,Number,Address,Latitude and Longitude,Capacity
0,32921,세방부산신항물류센터 태양광발전소,부산 강서구 신항로,0.98496
1,4063,SANC에너지1호태양광,부산 기장군 기장읍,1.831
2,21074,맥그리거코리아태양광,부산 강서구 지사동,0.465
3,12470,부산복합태양광2단계,부산 사하구 감천항로,0.50184
4,12490,부산복합태양광,부산 사하구 감천동,0.392
5,12483,부산신항태양광,부산 강서구 성북동,0.1159999999999999
6,26230,부산신호르노태양광,부산 강서구 르노삼성대로,6.0
7,1466,비에스케이햇빛발전소,부산 기장군 장안읍,0.4588
8,38049,쌍용전력태양광,부산 강서구 미음산단2로,0.9421
9,26216,화명태양광,부산 북구 산성로,0.286
10,26217,강변사업소태양광,부산 사하구 을숙도대로,1.807
11,55573,노포차량기지태양광,부산 금정구 노포동,1.693
12,1448,녹산표준형공장태양광,부산 강서구 녹산산단261로,0.49248
13,62210,아이오니아1태양광,부산 강서구 유통단지1로,2.822
14,62211,아이오니아2태양광,부산 강서구 유통단지1로,1.897
15,41406,Gridsol화명태양광,부산 북구 와석장터로,0.99792
16,41407,Gridsol부산태양광,부산 강서구 화전산단5로,0.91188
17,1449,유니온스틸부산공장태양광,부산 남구 신선로,2.7060000000000004
18,33033,신발산업진흥센터태양광,부산 강서구 송정동,0.441
19,42772,영양2태양광발전기,부산 해운대구 센텀중앙로,0.49896
20,12474,부산복합자재창고태양광,부산 사하구 감천항로,0.187
21,4598,KTE태양광발전소,부산 강서구 녹산산업대로,0.05092
22,55572,청호전기태양광,부산 강서구 미음산단,0.633
23,56412,KT부산물류센터 태양광,부산 강서구 가달1로,0.75888
