,Number,Address,Latitude and Longitude,Capacity
0,4063,SANC에너지1호태양광,부산 기장군 기장읍,1.831
1,21074,맥그리거코리아태양광,부산 강서구 지사동,0.465
2,12470,부산복합태양광2단계,부산 사하구 감천항로,0.50184
3,12490,부산복합태양광,부산 사하구 감천동,0.392
4,12483,부산신항태양광,부산 강서구 성북동,0.1159999999999999
5,26230,부산신호르노태양광,부산 강서구 르노삼성대로,6.0
6,26216,화명태양광,부산 북구 산성로,0.286
7,26217,강변사업소태양광,부산 사하구 을숙도대로,1.807
8,1448,녹산표준형공장태양광,부산 강서구 녹산산단261로,0.49248
9,62210,아이오니아1태양광,부산 강서구 유통단지1로,2.822
10,62211,아이오니아2태양광,부산 강서구 유통단지1로,1.897
11,1449,유니온스틸부산공장태양광,부산 남구 신선로,2.7060000000000004
12,33033,신발산업진흥센터태양광,부산 강서구 송정동,0.441
13,42772,영양2태양광발전기,부산 해운대구 센텀중앙로,0.49896
14,12474,부산복합자재창고태양광,부산 사하구 감천항로,0.187
15,4598,KTE태양광발전소,부산 강서구 녹산산업대로,0.05092
16,56412,KT부산물류센터 태양광,부산 강서구 가달1로,0.75888
