,Number,Address,Latitude and Longitude,Capacity
0,69821,현대음성태양광,충북 음성군,0.531
1,65905,소수 수상태양광발전소,충북 괴산군 소수면,2.00736
2,1744,신세계태양광,충북 단양군 어상천면,2.0196
3,44465,서오창1호태양광,충북 청주시 청원구,2.74284
4,33153,세종태양광발전소,충북 증평군 도안면,0.099
5,1749,신영태양광,충북 충주시 주덕읍,0.98496
6,61926,서울전선태양광,충북 음성군 삼성면,0.795
7,61564,승일음성태양광,충북 음성군 원남면,0.8856
8,41408,Gridsol태양광,충북 청주시 흥덕구,2.041
9,21113,수한태양광,충북 보은군 수한면,1.7969400000000002
10,34413,송정제일태양광발전소,충북 증평군 도안면,0.49896
11,140,(유)네모8태양광,충북 보은군 보은읍,1.51708
12,31055,선애태양광,충북 제천시 대랑동,0.099
13,2467,KGC예본태양광,충북 충주시 가주농공2길,0.991
14,44464,서오창2호태양광,충북 청주시 청원구 오창읍,1.7715599999999998
15,2307,BC옥천태양광,충북 옥천군 안내면,1.4980000000000002
16,63343,태지태양광,충북 충주시 금가면,0.09912
17,61567,W-SCOPE태양광,충북 청주시 청원구,0.61983
18,56021,디케이에너지1발전기,충북 청주시 청원구,2.05128
19,56020,디케이에너지2발전기,충북 청주시 청원구,2.01132
20,19942,라온하제 태양광,충북 충주시 소태면,0.09936
21,48741,만월태양광발전소,충북 옥천군 청산면,0.99684
22,12213,낙원태양광,충북 단양군 어상천면,0.09
23,2413,청산에너지태양광,충북 옥천군 청산면,2.336
24,21114,매포태양광,충북 단양군 매포읍,1.97532
25,21285,명문에너지2호태양광,충북 제천시 세명로,0.417
26,21284,명문에너지태양광,충북 제천시 대학로,0.821
27,35111,청주정수장태양광,충북 청주시,0.379
28,56018,디엔피아태양광,충북 보은군 수한면,1.49661
29,35125,청풍호수상태양광2호,충북 제천시 한수면,0.2016
30,936,추풍령저수지태양광,충북 영동군 추풍령,2.004
31,40883,충북증평태양광,충북 증평군 증평읍,0.993
32,61449,충북태양광16호,충북 청주시 내수읍,1.464
33,1647,충주특수강1기태양광,충북 충주시 충주산단2로,1.0098
34,1648,충주특수강2기태양광,충북 충주시 충주산단1로,1.00386
35,46659,우진플라임2호태양광,충북 보은군 장안면,2.67995
36,46660,우진플라임1호태양광,충북 보은군 장안면,1.37237
37,46643,우진4호태양광발전소,충북 옥천군 청산면,0.098825
38,46642,우진3호태양광발전소,충북 옥천군 청산면,0.09975
39,61917,케이에스솔라#14,충북 진천군 광혜원면,0.382
40,21664,명환 태양광발전소,충북 청주시 흥덕구 강내면,0.098855
41,61918,케이에스솔라#15,충북 진천군 진천읍,0.099
42,58971,진천삼채나라태양광,충북 진천군 덕산면,1.985625
43,136,네모1태양광발전소,충북 보은군 회인면,0.498225
44,65560,적암3호태양광,충북 보은군 마로면,0.9996
45,2311,주덕대곡발전소,충북 충주시 주덕읍,0.0972
46,570,주덕태양광,충북 충주시 주덕읍,0.99328
47,65558,적암1호태양광,충북 보은군 마로면,0.5
48,33969,덕은1호 태양광발전소,충북 충주시 소태면,0.99698
49,2647,단양태양광,충북 단양군 적성면,1.9899
50,57263,중부솔라발전,충북 증평군 증평읍,0.975
51,57770,지셀태양광4호,충북 청주시 상당구,0.9
52,57863,지에스중발전,충북 제천시 금성면,2.57076
53,13975,다성태양광,충북 충주시 신니면,1.15056
54,141,네모12태양광발전소,충북 청주시 상당구,1.82484
55,56367,지티씨솔라7호,충북 단양군 적성면,1.2940200000000002
56,2834,다니엘윈체태양광,충북 충주시 산척면,0.4836
57,1069,다니엘영동태양광,충북 영동군 용화면,2.994
58,2140,이레태양광c,충북 옥천군 청산면,1.954055
59,65874,농어촌괴산태양광,충북 괴산군,0.522
60,49955,의성발전태양광,충북 청주시 서원구,0.999075
61,49909,음성장수태양광발전소,충북 음성군 소이면,0.4947
62,49608,은주태양광,충북 충주시 주덕읍,0.0972
63,139,네모5태양광발전소,충북 보은군 회인면,0.396025
64,137,네모4태양광발전소,충북 보은군 회인면,0.498225
65,138,네모2태양광발전소,충북 보은군 회인면,0.498225
66,50607,이오태양광,충북 괴산군 청천면,0.99693
67,2458,케이원태양발전소,충북 충주시 신니면,1.60344
68,46105,우리에너지(주)영동공수태양광#1,충북 영동군 매곡면,1.4994
69,61566,코스모링크태양광,충북 옥천군 이원면,1.1893200000000002
70,66183,한마음발전1태양광,충북 영동군 용산면,1.99584
71,66186,한마음발전태양광,충북 영동군 용화면,1.99584
72,6258,한미전선태양광,충북 진천군 이월면,1.2990000000000002
73,1803,아침태양광,충북 괴산군 소수면,2.9952
74,4629,삼익악기 음성태양광발전소,충북 음성군 소이면,2.997
75,39034,아성9호태양광발전소,충북 괴산군 소수면,0.09911
76,39033,아성8호태양광발전소,충북 괴산군 소수면,0.09911
