,Number,Address,Latitude and Longitude,Capacity
0,69821,현대음성태양광,충북 음성군,0.531
1,65905,소수 수상태양광발전소,충북 괴산군 소수면,2.00736
2,61926,서울전선태양광,충북 음성군 삼성면,0.795
3,61564,승일음성태양광,충북 음성군 원남면,0.8856
4,41408,Gridsol태양광,충북 청주시 흥덕구,2.041
5,2467,KGC예본태양광,충북 충주시 가주농공2길,0.991
6,2307,BC옥천태양광,충북 옥천군 안내면,1.4980000000000002
7,61567,W-SCOPE태양광,충북 청주시 청원구,0.61983
8,56021,디케이에너지1발전기,충북 청주시 청원구,2.05128
9,56020,디케이에너지2발전기,충북 청주시 청원구,2.01132
10,19942,라온하제 태양광,충북 충주시 소태면,0.09936
11,21285,명문에너지2호태양광,충북 제천시 세명로,0.417
12,21284,명문에너지태양광,충북 제천시 대학로,0.821
13,35111,청주정수장태양광,충북 청주시,0.379
14,56018,디엔피아태양광,충북 보은군 수한면,1.49661
15,35125,청풍호수상태양광2호,충북 제천시 한수면,0.2016
16,936,추풍령저수지태양광,충북 영동군 추풍령,2.004
17,40883,충북증평태양광,충북 증평군 증평읍,0.993
18,61449,충북태양광16호,충북 청주시 내수읍,1.464
19,1647,충주특수강1기태양광,충북 충주시 충주산단2로,1.0098
20,1648,충주특수강2기태양광,충북 충주시 충주산단1로,1.00386
21,46659,우진플라임2호태양광,충북 보은군 장안면,2.67995
22,46660,우진플라임1호태양광,충북 보은군 장안면,1.37237
23,61917,케이에스솔라#14,충북 진천군 광혜원면,0.382
24,61918,케이에스솔라#15,충북 진천군 진천읍,0.099
25,570,주덕태양광,충북 충주시 주덕읍,0.99328
26,57263,중부솔라발전,충북 증평군 증평읍,0.975
27,57770,지셀태양광4호,충북 청주시 상당구,0.9
28,57863,지에스중발전,충북 제천시 금성면,2.57076
29,56367,지티씨솔라7호,충북 단양군 적성면,1.2940200000000002
30,2834,다니엘윈체태양광,충북 충주시 산척면,0.4836
31,1069,다니엘영동태양광,충북 영동군 용화면,2.994
32,65874,농어촌괴산태양광,충북 괴산군,0.522
33,46105,우리에너지(주)영동공수태양광#1,충북 영동군 매곡면,1.4994
34,61566,코스모링크태양광,충북 옥천군 이원면,1.1893200000000002
35,66183,한마음발전1태양광,충북 영동군 용산면,1.99584
36,66186,한마음발전태양광,충북 영동군 용화면,1.99584
37,6258,한미전선태양광,충북 진천군 이월면,1.2990000000000002
38,4629,삼익악기 음성태양광발전소,충북 음성군 소이면,2.997
39,1655,사당태양광,충북 진천군 이월면,0.949
40,68350,탑프라 태양광발전소,충북 음성군 맹동면,1.1169
41,62536,태광쏠라괴산태양광,충북 괴산군 감물면,1.0
42,55974,그린1 태양광발전소,충북 청주시 청원구 북이면,1.3967200000000002
43,56441,오창저수지 수상2호태양광발전기,충북 청주시 청원구,2.50648
44,4717,팜스코태양광#3,충북 증평군 도안면,2.496
45,56411,괴산군조합공동법인 태양광,충북 괴산군 문광면,0.416
46,1940,엠아이씨태양광,충북 청주시 상당구,1.99584
47,56234,엘케이에너지태양광,충북 청주시 상당구,1.99584
48,57260,보은2호 발전소,충북 보은군 수한면,0.19404
49,56212,에스엠이2호 태양광,충북 영동군 영동읍,1.99728
50,56205,에스에이치태양광발전소,충북 보은군 산외면,1.9584
51,7934,사곡태양광b,충북 진천군 이월면,2.106
52,61569,W-SCOPE 2공장 태양광발전소,충북 청주시 청원구,0.61758
