,Number,Address,Latitude and Longitude,Capacity
0,6381,경민태양광,충남 논산시 광석면,0.099375
1,4090,에스이씨에너지,충남 보령시 주교면,1.3392
2,55353,조양8호태양광,충남 홍성군 광천읍,0.49761
3,56213,에스와이솔라태양광,충남 공주시 제민천2길,1.4976
4,56291,건천 태양광발전소,충남 금산군 남이면,2.4966
5,40794,에스와이2호태양광발전소,충남 아산시 인주면,1.93752
6,4699,석문제1태양광발전소,충남 당진시 석문면,0.9408
7,40301,어필태양광발전소,충남 부여군 홍산면,0.0982799999999999
8,55354,조양9호태양광,충남 홍성군 광천읍,0.54891
9,57245,신보령화력태양광,충남 보령시 주교면,2.9
10,1452,부여에너지팜태양광,충남 부여군 세도면,3.005
11,280,부여태양광,충남 부여군 장암면,0.298
12,1844,에너제이태양광,충남 홍성군 결성면,2.997
13,35118,석성태양광,충남 부여군 석성면,0.176
14,56468,한길 태양광발전소,충남 당진시 고대면,1.80909
15,17964,현대호이스트태양광,충남 당진시 송악읍,0.75
16,15345,대산에너지태양광,충남 서산시 대산읍,9.0
17,2767,현마산업태양광,충남 아산시 인주면,0.999
18,15228,대박태양광,충남 서천 마산면,0.099
19,40663,에스에스태양광발전소,충남 홍성군 광천읍,0.09975
20,15169,대명태양광발전기,충남 논산시 광석면,0.099375
21,40645,에스앤이태양광,충남 홍성군 결성면,2.07432
22,861,경완솔라팜태양광,충남 태안군 안면읍,0.998
23,26597,붓드기태양광,충남 태안군 붓드기길,2.2
24,62094,한국그린2호 태양광발전소,충남 금산군 진산면,0.8683200000000001
25,13432,에스비솔라 태양광,충남 당진시 고대면,2.1978
26,33938,솔라파워태양광,충남 예산군 오가면,1.80873
27,13455,전원솔라태양광발전,충남 서산시 고북면,2.99376
28,56139,솔라텍스에너지 천안발전소,충남 천안시 동남구,1.99584
29,48655,세광에너지 태양광,충남 보령시 천북면,0.99792
30,6986,고남태양광,충남 태안군 고남면,1.534
31,70278,현진태양광a,충남 논산시 연산면,0.099375
32,52113,자연태양광,충남 서천 마산면,0.099
33,55944,공주태양광,충남 공주시 계룡면,1.9206
34,41473,엠에스솔라 태양광,충남 서천군 서면,0.4977
35,41495,엠에이2호에너지,충남 논산시 가야곡면,0.099
36,4670,엠제이에너지태양광,충남 공주시 우성면,1.99368
37,57255,보령화력수상태양광,충남 보령시 오천면,1.1718
38,274,보령해냄태양광,충남 보령시 웅천읍,1.892
39,35115,보령정수장태양광,충남 보령시,0.295
40,7996,광명태양광a,충남 논산시 광석면,0.099375
41,25287,보령에너지태양광발전소,충남 홍성군 결성면,0.09975
42,64323,푸르미농산 태양광발전소,충남 서천군 마서면,0.0988
43,41998,연주 태양광발전소,충남 당진시 정미면,1.49688
44,941,보령솔라팜태양광,충남 보령시 성주면,3.6036
45,1959,열린에너지2호태양광,충남 태안군 소원면,1.49544
46,52161,자운에스지태양광,충남 부여군 임천면,0.9984
47,41391,엘비에너지,충남 공주시 탄천면,0.099
48,17024,덕암7호태양광,충남 논산시 연산면,0.0982799999999999
49,57249,보령화력태양광#1,충남 보령시 오천면,0.525
50,4706,KCC 대죽1공장 석고보드3호기 태양광 발전소,충남 서산시 대산읍,5.5827
51,2119,고라햇빛태양광,충남 서천군 마산면,2.11653
52,13422,드림팜C태양광발전소,충남 금산군 남이면,0.47736
53,40925,에스플래닛 금산 일호 태양광발전소,충남 금산군 제원면,1.998
54,56404,장송태양광,충남 천안시 동남구,2.4998400000000003
55,16731,더솔라부여태양광,충남 부여군 세도면,0.497
56,30804,선(SUN)1에너지1호,충남 금산군 부리면,0.4968
57,40414,봉성리태양광,충남 당진시 정미면,0.61758
58,13423,드림팜B태양광발전소,충남 금산군 남이면,0.47736
59,56026,레즐러 태양광발전소,충남 당진시 고대면,1.4014799999999998
60,30805,선(SUN)1에너지2호발전소,충남 금산군 부리면,0.4968
61,41254,에프앤씨문백태양광발전소,충남 진천군 문백면,1.8315
62,56444,성주솔라팜,충남 보령시 성주면,2.97024
63,16983,덕암 태양광발전소,충남 서천군 마서면,0.0972
64,4625,보림태양광,충남 홍성군 결성면,0.4964
65,57254,보령화력태양광#4,충남 보령시 오천면,0.427
66,1914,에코빌리지태양광,충남 태안군 안면읍,2.995
67,25790,봉명태양광,충남 서천군 화양면,0.099
68,55342,조양12호태양광,충남 보령시 청라면,0.0988
69,55351,조양6호태양광,충남 보령시 청라면,0.09936
70,29850,서민행복7호태양광,충남 태안군 안면읍,0.498
71,54644,제석태양광발전소01호,충남 보령시 남포면,0.09996
72,59323,참진3태양광,충남 부여군 세도면,0.3969
73,4686,제이제이에너지 태양광,충남 서천군 서면,0.497
74,56172,썬웨이태양광 교성1호,충남 보령시 오천면,1.6453799999999998
75,56173,썬웨이태양광 교성2호,충남 보령시 오천면,1.58004
76,54998,제이파워 태양광,충남 서천군 서면,0.4977
77,2277,제이파워태양광,충남 서천군 마산면,2.0088
78,12864,남포전력태양광,충남 보령시 남포면,0.09937
79,59818,천광 태양광,충남 서천군 종천면,0.09936
80,16172,대정2태양광,충남 논산시 광석면,0.099375
81,16241,대주당진태양광,충남 당진시 합덕읍,0.522
82,29884,새빛태양광,충남 태안군 태안읍,0.12864
83,4710,대죽2공장태양광,충남 서산시 대산읍,1.6
84,68920,햇살태양광,충남 예산군 덕산면,1.99728
85,15967,대웅에너지태양광#2,충남 태안군 소원면,1.66914
86,55992,대창태양광,충남 보령시 웅천읍,2.50128
87,40667,SH 발전소 태양광,충남 논산시 가야곡면,0.0962
88,29895,서부솔라서천태양광,충남 서천군 서면,3.4760000000000004
89,56338,제이더블유제3호 태양광,충남 당진시 석문면,0.9639
90,33847,서산코넥 태양광발전소,충남 서산시 고북면,2.437
91,54784,제이에너지태양광발전기,충남 홍성군 결성면,0.09975
92,4728,해창솔라태양광발전,충남 서산시 고북면,2.9930000000000003
93,56337,제이더블유제2호 태양광,충남 당진시 석문면,0.9639
94,29952,서산쏠라랜드1호태양광,충남 서산시 대산읍,2.001
95,346,서산덕지태양광,충남 서산시 덕지천동,1.98588
96,44132,OCI스페셜티 태양광,충남 공주시 탄천면,0.7270800000000001
97,3982,OCI평택당진태양광,충남 당진시 신평면,2.22701
98,4660,SA2기 태양광발전소,충남 당진시 송악읍,0.99144
99,69771,서산 태양광발전소,충남 서산시 부석면,65.0
100,4099,SF태양광,충남 태안군 안면읍,0.998
101,67879,해미솔라태양광#2,충남 서산시 해미면,3.0
102,67878,해미솔라태양광#1,충남 서산시 해미면,4.5
103,2716,해모아태양광,충남 청양군 장평면,2.11491
104,40649,서봉에너지태양광,충남 천안시 서북구,0.91188
105,55352,조양7호태양광,충남 홍성군 광천읍,0.49761
106,54288,정조 태양광발전소,충남 당진시 사기소동,0.09792
107,4809,가나태양광발전소,충남 홍성군 광천읍,0.49476
108,39183,아찬리 태양광발전소 1호,충남 당진시 순성면,0.09936
109,2667,한빛하만리태양광,충남 보령시 천북면,1.79676
110,69748,현대아산태양광,충남 아산시 인주면,10.063
111,39226,아폴로1호태양광,충남 금산군 제원면,0.495
112,15361,대산태양광,충남 서산시 대산읍,2.306
113,39364,안면도태양광,충남 태안군 안면읍,2.1
114,39366,안면태양광,충남 태안군 고남면,1.803
115,4723,한빛궁포리발전기,충남 보령시 천북면,1.59651
116,41184,점리태양광발전소삼호,충남 부여군 임천면,0.99864
117,55340,조양10호태양광,충남 보령시 청라면,0.69377
118,39766,야광태양광발전소,충남 청양군 운곡면,0.39664
119,56522,야룡1호태양광,충남 보령시 주산면,2.2506
120,55341,조양11호태양광,충남 보령시 청라면,0.0988
121,8061,광석에너지태양광,충남 논산시 광석면,0.099375
122,55350,조양5호태양광,충남 보령시 청라면,0.09936
123,55928,개화햇빛,충남 보령시 성주면,2.74456
124,4772,가나안태양광,충남 논산시 상월면,0.0982799999999999
125,4705,KCC 대죽3공장 창고 태양광 발전소,충남 서산시 대산읍,2.9127
126,11887,점리태양광발전소일호,충남 부여군 임천면,0.99864
127,29880,아산시 폐기물 매립장 태양광,충남 아산시 영인면,1.04463
128,43739,아산시스템즈태양광,충남 아산시 둔포면,2.506
129,2643,아산태양광,충남 아산시 둔포면,1.853
130,54958,신평태양광발전소,충남 당진시 신평면,0.99864
131,54128,정유원에너지태양광,충남 논산시 가야곡면,0.099
132,54038,정우태양광,충남 서산시 부석면,0.992
133,56297,윤성에너지태양광,충남 예산군 광시면,0.4941
134,4648,신정솔라태양광발전소,충남 서산시 고북면,2.99376
135,59895,천북승민행복나눔태양광,충남 보령시 천북면,1.584
136,35124,천안정수장태양광,충남 천안시 동남구,0.655
137,7935,서초정리1호태양광,충남 예산군 광시면,1.6146
138,4602,강산솔라태양광발전,충남 서산시 고북면,2.99376
139,72971,희창태양광,충남 논산시 광석면,0.099375
140,16503,대한태양광,충남 당진시 석문면,2.021
141,66694,한솔테크닉스태양광,충남 논산시 연무읍,1.506
142,40353,점리태양광발전소이호,충남 부여군 임천면,0.99764
143,49935,의령솔라태양광,충남 서천군 서면,0.497
144,56242,열린에너지태양광,충남 태안군 안면읍,1.65888
145,35114,보령댐수상태양광,충남 보령시 미산면,2.0
146,18166,동부당진솔라태양광,충남 당진시 송악읍,3.0
147,51301,인지솔라1호태양광,충남 당진시 송악읍,2.087
148,1656,금산목소리태양광,충남 금산군 복수면,2.201
149,4617,매산1호태양광,충남 청양군 화성면,0.820325
150,22408,문정석태양광,충남 예산군 대술면,0.09856
151,62100,코리아에너지발전소6호기,충남 청주시 흥덕구,0.5016
152,2364,지티씨솔라6호,충남 아산시 영인면,1.998
153,72547,휴코에너지1호 당진태양광발전소,충남 당진시 정미면,1.2992
154,1260,동양제6태양광,충남 태안군 안면읍,2.004
155,46079,우리발전2호 태양광,충남 서산시 대산읍,0.69696
156,56285,원화 태양광발전소,충남 천안시 동남구,0.49296
157,33835,성남리1호태양광,충남 홍성군 결성면,0.99792
158,2464,케이엠에너지태양광,충남 서산시 부석면,1.298
159,60467,청소 세기1호 태양광발전소,충남 보령시 청소면,0.9984
160,4643,세양2태양광,충남 공주시 우성면,2.47806
161,68609,해피2호태양광발전소,충남 금산군 금성면,0.0991799999999999
162,56312,이엔지솔라,충남 태안군 안면읍,2.02752
163,48576,월림산태양광발전소,충남 홍성군 광천읍,0.99495
164,51396,인화태양광,충남 태안군 근흥면,1.96182
165,48599,(유)늘솔길에너지 태양광발전소,충남 태안군 안면읍,0.099
166,1611,성운2호태양광,충남 보령시 성주면,0.39591
167,48635,보령선에너지1호 태양광,충남 보령시 천북면,0.99792
168,56125,선화 태양광발전소,충남 예산군 광시면,1.998
169,2514,탑인프라창기태양광,충남 태안군 안면읍,2.914
170,1380,미래그린태양광,충남 태안군 안면읍,0.998
171,56318,일광에너지,충남 태안군 안면읍,2.00448
172,1603,섬광에너지1호태양광,충남 태안군 소원면,1.49544
173,61568,승일천안태양광,충남 천안시 서북구,0.9018
174,9742,근흥태양광,충남 태안군 근흥면,1.95615
175,1,월미태양광발전소,충남 공주시 월미농공단지길,0.99636
176,113,(유)금일에너지,충남 홍성군 홍성읍,1.403625
177,633,클린에너지태양광,충남 서산시 대산읍,2.9
178,56274,용덕1호태양광발전소,충남 예산군 봉산면,0.180675
179,19625,드림태양광,충남 부여군 세도면,0.3969
180,45546,용성솔라에너지태양광,충남 서산시 고북면,6.669
181,51515,일동3태양광,충남 부여군 세도면,0.3969
182,33836,성남리2호태양광,충남 홍성군 결성면,0.99792
183,56056,무지개 태양광,충남 공주시 계룡면,0.49536
184,58417,진말태양광,충남 서천군 서면,0.4977
185,10862,기산솔라4호 태양광발전소,충남 홍성군 갈산면,0.09963
186,47041,원골드1호태양광발전소,충남 금산군 남일면,0.09855
187,11140,길현태양광발전소(PV),충남 서천군 한산면,0.09792
188,47042,원골드2호태양광발전소,충남 금산군 남일면,0.09842
189,21844,목곡16호태양광발전소,충남 논산시 가야곡면,0.0982799999999999
190,71352,화산1태양광발전소,충남 서천군 기산면,0.099
191,22771,추계리태양광발전소1호,충남 공주시 유구읍,2.00736
192,32151,성옥태양광발전소,충남 아산시 도고면,0.49725
193,1861,음암태양광,충남 서산시 음암면,1.176
194,32930,세보천안태양광,충남 천안시 목천읍,0.5
195,56014,드림천안 에너지,충남 천안시 동남구,1.78794
196,11969,나리태양광,충남 서천군 종천면,0.09936
197,71416,화선태양광a,충남 논산시 광석면,0.099375
198,65881,청천지구수상태양광,충남 보령시 죽정동,2.00736
199,35577,순은태양광,충남 예산군 대술면,0.09648
200,31724,성동13호태양광,충남 보령시 웅천읍,0.099
201,10861,기산솔라3호 태양광발전소,충남 홍성군 갈산면,0.09963
202,56394,칠성솔라태양광,충남 태안군 안면읍,1.50336
203,72424,후산부여태양광,충남 부여군 세도면,0.481
204,33846,우영 태양광발전소,충남 서산시 음암면,1.06434
205,71471,화성태양광c,충남 서천군 종천면,0.09936
206,2056,우진2호태양광,충남 태안군 근흥면,1.95048
207,56484,호진중리 태양광발전소,충남 아산시 배방읍,1.46268
208,35887,스프링웨이브1호태양광발전소,충남 논산시 양촌면,0.09911
209,31755,성동8호태양광,충남 보령시 웅천읍,0.099
210,56490,효창아산 태양광발전기,충남 아산시 음봉면,0.498225
211,21852,목곡7호태양광발전소,충남 논산시 가야곡면,0.0982799999999999
212,21847,목곡2호태양광발전소,충남 논산시 가야곡면,0.0982799999999999
213,61818,케드코에너지태양광,충남 태안군 원북면,1.4980000000000002
214,60566,청아태양광,충남 논산시 광석면,0.10098
215,61774,카이로스에너지태양광,충남 당진시 신평면,8.894
216,4630,기산솔라1호 태양광발전소,충남 홍성군 갈산면,0.99792
217,61759,카리스1호 태양광발전기,충남 천안시 서북구,1.332
218,56225,기산솔라2호 태양광발전소,충남 홍성군 갈산면,0.24948
219,70628,혜성태양광발전소,충남 홍성군 광천읍,0.09975
220,56261,왓츠1호태양광,충남 부여군 홍산면,0.49896
221,34093,솜티태양광,충남 서천군 종천면,0.09936
222,9552,창성에너지태양광,충남 천안시 동남구,0.95256
223,42994,영전11호태양광발전소,충남 태안군 소원면,0.09911
224,42995,영전12호태양광발전소,충남 태안군 소원면,0.09911
225,2567,티에스에너지5호태양광,충남 당진시 석문면,1.747
226,4649,영전1호태양광발전소,충남 태안군 소원면,0.09911
227,42996,영전2호태양광발전소,충남 태안군 소원면,0.09911
228,42997,영전3호태양광발전소,충남 태안군 소원면,0.09911
229,63787,티원 태양광,충남 홍성군 갈산면,0.0982799999999999
230,55951,구일태양광,충남 태안군 안면읍,1.65888
231,42999,영전5호태양광발전소,충남 태안군 소원면,0.09911
232,56339,영전6호태양광발전소,충남 태안군 소원면,0.09911
233,43000,영전7호태양광발전소,충남 태안군 소원면,0.09911
234,43001,영전8호태양광발전소,충남 태안군 소원면,0.09911
235,43002,영전9호태양광발전소,충남 태안군 소원면,0.09911
236,4681,백현태양광발전소,충남 홍성군 은하면,0.89244
237,58715,당진SH태양광,충남 당진시 정미면,1.47987
238,42998,영전4호태양광발전소,충남 태안군 소원면,0.09911
239,44696,온더로드태양광,충남 논산시 광석면,0.099375
240,42969,영임태양광,충남 서천군 서면,0.497
