,Number,Address,Latitude and Longitude,Capacity
0,4090,에스이씨에너지,충남 보령시 주교면,1.3392
1,56213,에스와이솔라태양광,충남 공주시 제민천2길,1.4976
2,40794,에스와이2호태양광발전소,충남 아산시 인주면,1.93752
3,4699,석문제1태양광발전소,충남 당진시 석문면,0.9408
4,1452,부여에너지팜태양광,충남 부여군 세도면,3.005
5,280,부여태양광,충남 부여군 장암면,0.298
6,1844,에너제이태양광,충남 홍성군 결성면,2.997
7,35118,석성태양광,충남 부여군 석성면,0.176
8,56468,한길 태양광발전소,충남 당진시 고대면,1.80909
9,17964,현대호이스트태양광,충남 당진시 송악읍,0.75
10,15345,대산에너지태양광,충남 서산시 대산읍,9.0
11,2767,현마산업태양광,충남 아산시 인주면,0.999
12,15228,대박태양광,충남 서천 마산면,0.099
13,40645,에스앤이태양광,충남 홍성군 결성면,2.07432
14,861,경완솔라팜태양광,충남 태안군 안면읍,0.998
15,26597,붓드기태양광,충남 태안군 붓드기길,2.2
16,62094,한국그린2호 태양광발전소,충남 금산군 진산면,0.8683200000000001
17,13432,에스비솔라 태양광,충남 당진시 고대면,2.1978
18,33938,솔라파워태양광,충남 예산군 오가면,1.80873
19,13455,전원솔라태양광발전,충남 서산시 고북면,2.99376
20,48655,세광에너지 태양광,충남 보령시 천북면,0.99792
21,6986,고남태양광,충남 태안군 고남면,1.534
22,55944,공주태양광,충남 공주시 계룡면,1.9206
23,274,보령해냄태양광,충남 보령시 웅천읍,1.892
24,35115,보령정수장태양광,충남 보령시,0.295
25,41998,연주 태양광발전소,충남 당진시 정미면,1.49688
26,1959,열린에너지2호태양광,충남 태안군 소원면,1.49544
27,52161,자운에스지태양광,충남 부여군 임천면,0.9984
28,57249,보령화력태양광#1,충남 보령시 오천면,0.525
29,4706,KCC 대죽1공장 석고보드3호기 태양광 발전소,충남 서산시 대산읍,5.5827
30,13422,드림팜C태양광발전소,충남 금산군 남이면,0.47736
31,40925,에스플래닛 금산 일호 태양광발전소,충남 금산군 제원면,1.998
32,56404,장송태양광,충남 천안시 동남구,2.4998400000000003
33,16731,더솔라부여태양광,충남 부여군 세도면,0.497
