,Number,Address,Latitude and Longitude,Capacity
0,14800,서변배수지태양광,대구 북구 서변동,0.1
1,14467,달성솔라태양광,대구 달성군 화원읍,1.8
2,42964,영일태양광,대구 달성군 다사읍,0.49896
3,14811,서부하수처리장태양광,대구 달서구 대천동,5.972
4,14813,신천하수처리장태양광,대구 북구 조야로2길,0.555
5,54584,옥포배수지 태양광발전소,대구 달성군 옥포면,0.4264
6,14796,세원정공태양광,대구 달서구 신당동,0.36
7,14797,MJ테크노파크태양광,대구 달서구 달서대로,0.98
8,14795,비젼지식센터태양광,대구 달서구 성서공단로,0.66
9,1892,에스지이엠태양광,대구 달서구 달서대로58길,0.13668
10,61571,대동공업 태양광발전소,대구 달성군 논공읍,2.99884
11,2659,한백대구태양광,대구 동구 검사동,2.71
12,864,경창산업1태양광,대구 달서구 성서로,0.39
13,865,경창산업2태양광,대구 달서구 성서로,0.95
14,70322,현풍솔라태양광,대구 달성군 현풍면,0.513
15,14802,죽곡정수지태양광,대구 달성군 다사읍,1.342
16,54582,대구국가산단배수지태양광,대구 달성군 구지면,0.3484
17,56457,피에이치씨 제2태양광,대구 달성군 유가면,0.89964
18,54581,고산정수장 태양광발전소,대구 수성구 노변동,0.994175
19,2759,현대논공발전소 태양광,대구 달성군 논공읍,0.9936
20,14803,칠곡배수지태양광,대구 북구 관음동,0.26
21,54583,문산정수장태양광,대구 달성군 다사읍,0.920075
22,4713,테크엔태양광,대구 달성군 구지면,0.44928
23,14812,북부하수처리장태양광,대구 서구 비산동,1.167
24,14801,이곡배수지태양광,대구 달서구 이곡동,0.302
25,14799,부곡배수지태양광,대구 달성군 다사읍,0.957
26,54601,제3대구솔라에너지제2발전,대구 달성군 다사읍,2.09898
27,33963,솔라팟태양광,대구 달서구 달서대로,2.172
28,23816,박스뱅크태양광,대구 달성군 구지면,0.9984
