,Number,Address,Latitude and Longitude,Capacity
0,14800,서변배수지태양광,대구 북구 서변동,0.1
1,14467,달성솔라태양광,대구 달성군 화원읍,1.8
2,14811,서부하수처리장태양광,대구 달서구 대천동,5.972
3,14813,신천하수처리장태양광,대구 북구 조야로2길,0.555
4,54584,옥포배수지 태양광발전소,대구 달성군 옥포면,0.4264
5,14796,세원정공태양광,대구 달서구 신당동,0.36
6,14797,MJ테크노파크태양광,대구 달서구 달서대로,0.98
7,14795,비젼지식센터태양광,대구 달서구 성서공단로,0.66
8,61571,대동공업 태양광발전소,대구 달성군 논공읍,2.99884
9,864,경창산업1태양광,대구 달서구 성서로,0.39
10,865,경창산업2태양광,대구 달서구 성서로,0.95
11,70322,현풍솔라태양광,대구 달성군 현풍면,0.513
12,14802,죽곡정수지태양광,대구 달성군 다사읍,1.342
13,54582,대구국가산단배수지태양광,대구 달성군 구지면,0.3484
14,56457,피에이치씨 제2태양광,대구 달성군 유가면,0.89964
15,54581,고산정수장 태양광발전소,대구 수성구 노변동,0.994175
16,14803,칠곡배수지태양광,대구 북구 관음동,0.26
17,54583,문산정수장태양광,대구 달성군 다사읍,0.920075
18,14812,북부하수처리장태양광,대구 서구 비산동,1.167
19,14801,이곡배수지태양광,대구 달서구 이곡동,0.302
20,14799,부곡배수지태양광,대구 달성군 다사읍,0.957
21,54601,제3대구솔라에너지제2발전,대구 달성군 다사읍,2.09898
22,33963,솔라팟태양광,대구 달서구 달서대로,2.172
