,번호,발전기명,설비용량(MW),광역지역,세부지역,latitude,longitude,bell,지점0,지점번호0,latitude(지점)0,longitude(지점)0,지점1,지점번호1,latitude(지점)1,longitude(지점)1,지점2,지점번호2,latitude(지점)2,longitude(지점)2
0,7528,공산쏠라 태양광,0.999,강원,강원 원주시 소초면,37.41796,128.0024,TRUE,원주,114,37.33749,127.94659,정선군,217,37.38149,128.6459,홍천,212,37.6836,127.88043
1,7529,공산쏠라2 태양광,0.999,강원,강원 원주시 소초면,37.41796,128.0024,TRUE,원주,114,37.33749,127.94659,정선군,217,37.38149,128.6459,홍천,212,37.6836,127.88043
2,1842,에너솔라태양광,0.36,강원,강원 춘천시 남산면,37.791866,127.646194,TRUE,철원,95,38.14787,127.3042,춘천,101,37.90262,127.7357,양평,202,37.48863,127.49446
3,56102,사북하늘3호 태양광발전소,0.99792,강원,강원도 정선군 사북읍,37.227726,128.82181,TRUE,정선군,217,37.38149,128.6459,태백,216,37.17038,128.98929,봉화,271,36.94361,128.91449
4,56101,사북하늘2호 태양광발전소,0.99792,강원,강원도 정선군 사북읍,37.227726,128.82181,TRUE,정선군,217,37.38149,128.6459,태백,216,37.17038,128.98929,봉화,271,36.94361,128.91449
5,58224,지혜2호 태양광발전소,0.99792,강원,강원도 정선군 사북읍,37.227726,128.82181,TRUE,정선군,217,37.38149,128.6459,태백,216,37.17038,128.98929,봉화,271,36.94361,128.91449
6,58223,지혜1호 태양광발전소,0.99792,강원,강원도 정선군 사북읍,37.227726,128.82181,TRUE,정선군,217,37.38149,128.6459,태백,216,37.17038,128.98929,봉화,271,36.94361,128.91449
7,64773,피브이플랜트5호,0.89872,강원,강원 횡성군 갑천면,37.560955,128.1102,TRUE,원주,114,37.33749,127.94659,정선군,217,37.38149,128.6459,홍천,212,37.6836,127.88043
8,64778,피브이플랜트8호,0.89872,강원,강원 횡성군 갑천면,37.560955,128.1102,TRUE,원주,114,37.33749,127.94659,정선군,217,37.38149,128.6459,홍천,212,37.6836,127.88043
9,64774,피브이플랜트6호,0.89872,강원,강원 횡성군 갑천면,37.560955,128.1102,TRUE,원주,114,37.33749,127.94659,정선군,217,37.38149,128.6459,홍천,212,37.6836,127.88043
10,64772,피브이플랜트10호,0.98568,강원,강원 인제군 기린면,37.955605,128.31918,TRUE,대관령,100,37.67713,128.71834,속초,90,38.25085,128.56473,인제,211,38.05986,128.16714
11,4619,디에스태양광6호,0.99234,강원,강원 인제군 기린면,37.955605,128.31918,TRUE,대관령,100,37.67713,128.71834,속초,90,38.25085,128.56473,인제,211,38.05986,128.16714
12,35134,관대리습지형수상태양광,0.1113,강원,강원 인제군 남면,37.96588,128.08333,TRUE,북춘천,93,37.94738,127.75443,인제,211,38.05986,128.16714,홍천,212,37.6836,127.88043
13,12782,남전인제태양광,0.3,강원,강원 인제군 남면,37.96588,128.08333,TRUE,북춘천,93,37.94738,127.75443,인제,211,38.05986,128.16714,홍천,212,37.6836,127.88043
14,55972,관동대 태양광발전소,1.963125,강원,강원 강릉시 내곡동,37.738976,128.88098,TRUE,강릉,105,37.75147,128.89099,대관령,100,37.67713,128.71834,동해,106,37.50709,129.12433
15,8320,광진쏠라4호태양광,2.4947,강원,강원 횡성군 서원면,37.48708,127.85055,TRUE,원주,114,37.33749,127.94659,홍천,212,37.6836,127.88043,양평,202,37.48863,127.49446
