,번호,발전기명,설비용량(MW),광역지역,세부지역,latitude,longitude,지점0,지점번호0,latitude(지점)0,longitude(지점)0,지점1,지점번호1,latitude(지점)1,longitude(지점)1,지점2,지점번호2,latitude(지점)2,longitude(지점)2
0,6265,결실 태양광발전소,0.29375999999999997,강원,강원 강릉시 성산면,37.718723,128.8321,강릉,105,37.75147,128.89099,대관령,100,37.67713,128.71834,동해,106,37.50709,129.12433
1,56016,디에스태양광5호,0.97236,강원,강원 철원군 갈말읍,38.147724,127.308304,속초,90,38.25085,128.56473,인제,211,38.05986,128.16714,철원,95,38.14787,127.3042
2,1293,디에스태양광3호,0.97236,강원,강원 철원군 갈말읍,38.147724,127.308304,속초,90,38.25085,128.56473,인제,211,38.05986,128.16714,철원,95,38.14787,127.3042
3,21124,철원3태양광,1.37376,강원,강원 철원군 갈말읍,38.147724,127.308304,속초,90,38.25085,128.56473,인제,211,38.05986,128.16714,철원,95,38.14787,127.3042
4,56366,지티씨솔라2호,1.99485,강원,강원 철원군 갈말읍,38.147724,127.308304,속초,90,38.25085,128.56473,인제,211,38.05986,128.16714,철원,95,38.14787,127.3042
5,4202,SKY 태양광,0.29784,강원,강원 강릉시 강동면,37.728096,128.95422,동해,106,37.50709,129.12433,북강릉,104,37.80456,128.85535,울릉도,115,37.48129,130.89863
6,28175,삼성솔라ENS,2.002,강원,강원 강릉시 강동면,37.728096,128.95422,동해,106,37.50709,129.12433,북강릉,104,37.80456,128.85535,울릉도,115,37.48129,130.89863
7,56113,서강3호 태양광,0.49932,강원,강원 강릉시 강동면,37.728096,128.95422,동해,106,37.50709,129.12433,북강릉,104,37.80456,128.85535,울릉도,115,37.48129,130.89863
8,67726,강릉1호태양광발전기,1.45044,강원,강원 강릉시 강동면,37.728096,128.95422,동해,106,37.50709,129.12433,북강릉,104,37.80456,128.85535,울릉도,115,37.48129,130.89863
9,28176,삼성파워1호태양광,2.496,강원,강원 강릉시 강동면,37.728096,128.95422,동해,106,37.50709,129.12433,북강릉,104,37.80456,128.85535,울릉도,115,37.48129,130.89863
10,29655,서강2호 태양광,0.49932,강원,강원 강릉시 강동면,37.728096,128.95422,동해,106,37.50709,129.12433,북강릉,104,37.80456,128.85535,울릉도,115,37.48129,130.89863
11,67727,강릉2호태양광발전기,0.99756,강원,강원 강릉시 강동면,37.728096,128.95422,동해,106,37.50709,129.12433,북강릉,104,37.80456,128.85535,울릉도,115,37.48129,130.89863
12,29656,서강레미콘 태양광,0.2964,강원,강원 강릉시 강동면,37.728096,128.95422,동해,106,37.50709,129.12433,북강릉,104,37.80456,128.85535,울릉도,115,37.48129,130.89863
13,12429,영동화력태양광,1.065,강원,강원 강릉시 강동면,37.728096,128.95422,동해,106,37.50709,129.12433,북강릉,104,37.80456,128.85535,울릉도,115,37.48129,130.89863
14,56207,자등2태양광발전소,0.49896,강원,강원 철원군 서면,38.16465,127.41571,속초,90,38.25085,128.56473,철원,95,38.14787,127.3042,백령도,102,37.97396,124.71237
15,56208,자등1태양광발전소,0.49896,강원,강원 철원군 서면,38.16465,127.41571,속초,90,38.25085,128.56473,철원,95,38.14787,127.3042,백령도,102,37.97396,124.71237
16,56155,SW1 태양광 발전기,2.29383,강원,강원 홍천군 내면,37.77381,128.38974,대관령,100,37.67713,128.71834,인제,211,38.05986,128.16714,홍천,212,37.6836,127.88043
17,1460,내린천4태양광,2.08512,강원,강원 홍천군 내면,37.77381,128.38974,대관령,100,37.67713,128.71834,인제,211,38.05986,128.16714,홍천,212,37.6836,127.88043
18,2318,준규솔라태양광,3.00352,강원,강원 홍천군 내면,37.77381,128.38974,대관령,100,37.67713,128.71834,인제,211,38.05986,128.16714,홍천,212,37.6836,127.88043
19,4628,내린천3태양광,2.50074,강원,강원 홍천군 내면,37.77381,128.38974,대관령,100,37.67713,128.71834,인제,211,38.05986,128.16714,홍천,212,37.6836,127.88043
20,1461,내린천태양광,1.41696,강원,강원 홍천군 내면,37.77381,128.38974,대관령,100,37.67713,128.71834,인제,211,38.05986,128.16714,홍천,212,37.6836,127.88043
21,56110,삼척장전태양광,0.45288,강원,강원 삼척시 하장면,37.34944,128.94307,동해,106,37.50709,129.12433,정선군,217,37.38149,128.6459,태백,216,37.17038,128.98929
22,29293,중봉SG태양광,0.994175,강원,강원 삼척시 하장면,37.34944,128.94307,동해,106,37.50709,129.12433,정선군,217,37.38149,128.6459,태백,216,37.17038,128.98929
23,56447,티제이태양광,0.47952,강원,강원 삼척시 하장면,37.34944,128.94307,동해,106,37.50709,129.12433,정선군,217,37.38149,128.6459,태백,216,37.17038,128.98929
24,260,방동태양광,2.7922,강원,강원 삼척시 하장면,37.34944,128.94307,동해,106,37.50709,129.12433,정선군,217,37.38149,128.6459,태백,216,37.17038,128.98929
25,56060,삼척그린태양광,0.3996,강원,강원 삼척시 하장면,37.34944,128.94307,동해,106,37.50709,129.12433,정선군,217,37.38149,128.6459,태백,216,37.17038,128.98929
26,56279,웅이태양광,0.9998100000000001,강원,강원 삼척시 하장면,37.34944,128.94307,동해,106,37.50709,129.12433,정선군,217,37.38149,128.6459,태백,216,37.17038,128.98929
27,36308,동그라미태양광,0.9872799999999999,강원,강원 삼척시 하장면,37.34944,128.94307,동해,106,37.50709,129.12433,정선군,217,37.38149,128.6459,태백,216,37.17038,128.98929
28,2558,토산태양광,2.74428,강원,강원 삼척시 하장면,37.34944,128.94307,동해,106,37.50709,129.12433,정선군,217,37.38149,128.6459,태백,216,37.17038,128.98929
29,62635,태두 태양광,0.09863999999999999,강원,강원도 인제군 인제읍,38.07039,128.17221,속초,90,38.25085,128.56473,인제,211,38.05986,128.16714,철원,95,38.14787,127.3042
30,4083,SD에너지태양광,1.4994,강원,강원 인제군 인제읍,38.07039,128.17221,속초,90,38.25085,128.56473,인제,211,38.05986,128.16714,철원,95,38.14787,127.3042
31,26516,북산태양광발전소,0.096,강원,강원도 춘천시 북산면,37.98733,127.88596000000001,북춘천,93,37.94738,127.75443,인제,211,38.05986,128.16714,철원,95,38.14787,127.3042
32,26135,부귀리태양광,0.061439999999999995,강원,강원 춘천시 북산면,37.98733,127.88596000000001,북춘천,93,37.94738,127.75443,인제,211,38.05986,128.16714,철원,95,38.14787,127.3042
33,41018,강릉제일솔라3호,0.4896,강원,강원 강릉시 사천면,37.82353,128.84872,북강릉,104,37.80456,128.85535,속초,90,38.25085,128.56473,울릉도,115,37.48129,130.89863
34,64786,제일솔라1호태양광,0.4896,강원,강원 강릉시 사천면,37.82353,128.84872,북강릉,104,37.80456,128.85535,속초,90,38.25085,128.56473,울릉도,115,37.48129,130.89863
35,5555,강릉제일솔라4호태양광,0.09909,강원,강원 강릉시 사천면,37.82353,128.84872,북강릉,104,37.80456,128.85535,속초,90,38.25085,128.56473,울릉도,115,37.48129,130.89863
36,56351,금광태양광,0.99792,강원,강원 강릉시 사천면,37.82353,128.84872,북강릉,104,37.80456,128.85535,속초,90,38.25085,128.56473,울릉도,115,37.48129,130.89863
