,Number,Address,Latitude and Longitude,Capacity
0,17811,동강태양광,강원 영월군 주천면,0.099
1,7528,공산쏠라 태양광,강원 원주시 소초면,0.999
2,7529,공산쏠라2 태양광,강원 원주시 소초면,0.999
3,1842,에너솔라태양광,강원 춘천시 남산면,0.36
4,56102,사북하늘3호 태양광발전소,강원도 정선군 사북읍,0.99792
5,64773,피브이플랜트5호,강원 횡성군 갑천면,0.8987200000000001
6,64772,피브이플랜트10호,강원 인제군 기린면,0.98568
7,35134,관대리습지형수상태양광,강원 인제군 남면,0.1113
8,55972,관동대 태양광발전소,강원 강릉시 내곡동,1.963125
9,56101,사북하늘2호 태양광발전소,강원도 정선군 사북읍,0.99792
10,56221,사곡태양광,강원 철원군 근남면,1.643
11,8320,광진쏠라4호태양광,강원 횡성군 서원면,2.4947
12,56447,티제이태양광,강원 삼척시 하장면,0.47952
13,3309,북평태양광,강원 동해시 구호동,2.9952
14,63627,토성2호태양광,강원 고성군 토성면,0.0992
15,63626,토성1호태양광,강원 고성군 토성면,0.0992
16,2558,토산태양광,강원 삼척시 하장면,2.74428
17,26516,북산태양광발전소,강원도 춘천시 북산면,0.096
18,1884,에스엘피양지태양광,강원 원주시 흥업면,1.85121
19,56439,테라에너지제일호태양광,강원 태백시 원동,0.99792
20,56438,테라에너지제이호태양광,강원 태백시 원동,0.99792
21,49420,은성쏠라5호태양광,강원 횡성군 서원면,2.4947
22,26135,부귀리태양광,강원 춘천시 북산면,0.0614399999999999
23,1456,제1야수교태양광,강원 홍천군 동면,2.349
24,56029,봉평일 태양광,강원도 평창군 봉평면,0.999
25,56028,봉평이 태양광,강원도 평창군 봉평면,0.999
26,40923,에스플래닛십호 태양광발전소,강원 고성군 현내면,1.19925
27,56428,태양 태양광발전소,강원 강릉시 왕산면,2.20095
28,64778,피브이플랜트8호,강원 횡성군 갑천면,0.8987200000000001
29,9103,궁촌1태양광,강원 삼척시 근덕면,0.0992
30,2221,정옥햇빛태양광,강원 정선군 임계면,2.298
31,52080,고성발전소,강원 고성군 죽왕면,0.496
32,4601,간성흘리찰리태양광,강원 고성군 간성읍,0.99864
33,27755,간촌리 지선 태양광,강원 고성군 거진읍,1.6556400000000002
34,33132,간현리태양광2호,강원 원주시 지정면,1.95129
35,56110,삼척장전태양광,강원 삼척시 하장면,0.45288
36,55919,강경솔라팜원삼척1태양광,강원 삼척시 원덕읍,0.9009
37,55920,강경솔라팜원삼척5태양광,강원 삼척시 미로면,1.26945
38,12485,삼척소내태양광#4,강원 삼척시 원덕읍,2.5992
39,67726,강릉1호태양광발전기,강원 강릉시 강동면,1.45044
40,67727,강릉2호태양광발전기,강원 강릉시 강동면,0.99756
41,41018,강릉제일솔라3호,강원 강릉시 사천면,0.4896
42,5555,강릉제일솔라4호태양광,강원 강릉시 사천면,0.09909
43,12473,삼척소내태양광#3,강원 삼척시 원덕읍,2.00232
44,12480,삼척소내태양광#2,강원 삼척시 원덕읍,0.99045
45,12489,삼척그린파워태양광,강원 삼척시 원덕읍,0.999
46,56060,삼척그린태양광,강원 삼척시 하장면,0.3996
47,5698,강원솔라파크태양광,강원 춘천시 송암동,2.995
48,28461,삼척GES태양광,강원 삼척시 근덕면,0.9982
49,28271,삼영고성태양광,강원 고성군 토성면,0.3
50,28176,삼성파워1호태양광,강원 강릉시 강동면,2.496
51,2219,정선 태양광,강원 정선군 신동읍,1.49796
52,55993,대한에너지3호,강원 태백시 원동,0.99792
53,28175,삼성솔라ENS,강원 강릉시 강동면,2.002
54,28170,삼성솔라2호태양광,강원 양양군 현남면,0.998
55,56329,정선솔라팜태양광,강원 정선군 여량면,2.0001
56,6265,결실 태양광발전소,강원 강릉시 성산면,0.2937599999999999
57,2635,한국오지케이 태양광발전소,강원 원주시 지정면,0.25137
58,4721,한교태양광,강원 정선군 정선읍,2.99592
59,64673,고성태양광발전소,강원 고성군 토성면,0.99
60,9105,궁촌2태양광,강원 삼척시 근덕면,0.099
61,40924,에스플랜트11호태양광,강원 홍천군 북방면,2.9952
62,4609,태백6호태양광발전소,강원 태백시 통동,0.8532
63,56384,청명5호태양광,강원 원주시 소초면,2.74752
64,1378,미래태양광,강원 춘천시 퇴계농공로,3.00294
65,29294,유천SG태양광,강원 정선군 여량면,2.031575
66,1379,미래영월태양광,강원 영월군 문곡리,0.998
67,21124,철원3태양광,강원 철원군 갈말읍,1.37376
68,12782,남전인제태양광,강원 인제군 남면,0.3
69,45883,용화에너지 태양광발전기,강원 영월군,0.868
70,56292,유림이피씨 해상태양광발전소,강원 고성군 간성읍,0.99756
71,55174,문막포진리태양광발전소,강원 원주시 문막읍,1.50453
72,4628,내린천3태양광,강원 홍천군 내면,2.50074
73,1460,내린천4태양광,강원 홍천군 내면,2.08512
74,1461,내린천태양광,강원 홍천군 내면,1.41696
75,40501,문막포진리 태양광발전소 4호,강원 원주시 문막읍,0.99792
76,2720,무이태양광발전소,강원 평창군 봉평면,1.48104
77,2051,우진영월태양광,강원 영월군 문곡리,0.998
78,56279,웅이태양광,강원 삼척시 하장면,0.99981
