,Number,Address,Latitude and Longitude,Capacity
0,7528,공산쏠라 태양광,강원 원주시 소초면,0.999
1,7529,공산쏠라2 태양광,강원 원주시 소초면,0.999
2,1842,에너솔라태양광,강원 춘천시 남산면,0.36
3,56102,사북하늘3호 태양광발전소,강원도 정선군 사북읍,0.99792
4,64773,피브이플랜트5호,강원 횡성군 갑천면,0.8987200000000001
5,64772,피브이플랜트10호,강원 인제군 기린면,0.98568
6,35134,관대리습지형수상태양광,강원 인제군 남면,0.1113
7,55972,관동대 태양광발전소,강원 강릉시 내곡동,1.963125
8,56101,사북하늘2호 태양광발전소,강원도 정선군 사북읍,0.99792
9,56221,사곡태양광,강원 철원군 근남면,1.643
10,8320,광진쏠라4호태양광,강원 횡성군 서원면,2.4947
11,56447,티제이태양광,강원 삼척시 하장면,0.47952
12,3309,북평태양광,강원 동해시 구호동,2.9952
13,2558,토산태양광,강원 삼척시 하장면,2.74428
14,1884,에스엘피양지태양광,강원 원주시 흥업면,1.85121
15,56439,테라에너지제일호태양광,강원 태백시 원동,0.99792
16,56438,테라에너지제이호태양광,강원 태백시 원동,0.99792
17,49420,은성쏠라5호태양광,강원 횡성군 서원면,2.4947
18,1456,제1야수교태양광,강원 홍천군 동면,2.349
19,56029,봉평일 태양광,강원도 평창군 봉평면,0.999
20,56028,봉평이 태양광,강원도 평창군 봉평면,0.999
21,40923,에스플래닛십호 태양광발전소,강원 고성군 현내면,1.19925
22,56428,태양 태양광발전소,강원 강릉시 왕산면,2.20095
23,64778,피브이플랜트8호,강원 횡성군 갑천면,0.8987200000000001
24,2221,정옥햇빛태양광,강원 정선군 임계면,2.298
25,52080,고성발전소,강원 고성군 죽왕면,0.496
26,4601,간성흘리찰리태양광,강원 고성군 간성읍,0.99864
27,27755,간촌리 지선 태양광,강원 고성군 거진읍,1.6556400000000002
28,33132,간현리태양광2호,강원 원주시 지정면,1.95129
29,56110,삼척장전태양광,강원 삼척시 하장면,0.45288
30,55919,강경솔라팜원삼척1태양광,강원 삼척시 원덕읍,0.9009
31,55920,강경솔라팜원삼척5태양광,강원 삼척시 미로면,1.26945
32,12485,삼척소내태양광#4,강원 삼척시 원덕읍,2.5992
33,67726,강릉1호태양광발전기,강원 강릉시 강동면,1.45044
34,67727,강릉2호태양광발전기,강원 강릉시 강동면,0.99756
35,12473,삼척소내태양광#3,강원 삼척시 원덕읍,2.00232
36,12480,삼척소내태양광#2,강원 삼척시 원덕읍,0.99045
37,12489,삼척그린파워태양광,강원 삼척시 원덕읍,0.999
38,56060,삼척그린태양광,강원 삼척시 하장면,0.3996
39,5698,강원솔라파크태양광,강원 춘천시 송암동,2.995
40,28461,삼척GES태양광,강원 삼척시 근덕면,0.9982
41,28271,삼영고성태양광,강원 고성군 토성면,0.3
42,28176,삼성파워1호태양광,강원 강릉시 강동면,2.496
43,55993,대한에너지3호,강원 태백시 원동,0.99792
44,28175,삼성솔라ENS,강원 강릉시 강동면,2.002
45,28170,삼성솔라2호태양광,강원 양양군 현남면,0.998
46,64673,고성태양광발전소,강원 고성군 토성면,0.99
47,40924,에스플랜트11호태양광,강원 홍천군 북방면,2.9952
48,29294,유천SG태양광,강원 정선군 여량면,2.031575
49,1379,미래영월태양광,강원 영월군 문곡리,0.998
50,21124,철원3태양광,강원 철원군 갈말읍,1.37376
51,12782,남전인제태양광,강원 인제군 남면,0.3
52,45883,용화에너지 태양광발전기,강원 영월군,0.868
53,4628,내린천3태양광,강원 홍천군 내면,2.50074
54,1460,내린천4태양광,강원 홍천군 내면,2.08512
55,1461,내린천태양광,강원 홍천군 내면,1.41696
56,40501,문막포진리 태양광발전소 4호,강원 원주시 문막읍,0.99792
57,2720,무이태양광발전소,강원 평창군 봉평면,1.48104
58,2051,우진영월태양광,강원 영월군 문곡리,0.998
59,56279,웅이태양광,강원 삼척시 하장면,0.99981
60,21395,원주그린솔라태양광,강원 원주시 부론면,2.46375
61,1644,원주메탈1기태양광,강원 원주시 문막읍,0.49896
62,58224,지혜2호 태양광발전소,강원도 정선군 사북읍,0.99792
63,58223,지혜1호 태양광발전소,강원도 정선군 사북읍,0.99792
