,Number,Address,Latitude and Longitude,Capacity
0,12404,영흥화력태양광#2,인천 옹진군 영흥면,0.993
1,29860,[서인천]발전부지내 태양광 2단계,인천 서구 장도로,0.09045
2,61890,공촌정수장태양광,인천 서구 공촌동,1.469
3,61891,영진공사태양광,인천 중구 신흥동3가,0.42
4,33845,신대륙물류 태양광발전소,인천 중구 축항대로296번길,1.13
5,1819,남동정수장태양광,인천 남동구 장수동,2.93661
6,33859,솔라뱅크강화태양광,인천 강화군 서도면,1.5
7,12502,수산정수사업소태양광,인천 남동구 수산동,0.998
8,19748,인천물류센터태양광,인천 중구 항동,0.245
9,51343,IPA북항햇빛태양광,인천 서구 원창동,0.95265
10,12479,신인천소내태양광,인천시 서구 경서동,0.2
11,12497,신인천발전본부 해수취수구 태양광,인천 서구 장도로,0.9072
12,51344,인천항햇빛발전소9,인천 서구 원창동,1.43424
13,57240,인천태양광2호기,인천 서구 원창동,0.95016
14,12472,신인천전망대법사면태양광,인천 서구 장도로,1.7423
