,Number,Address,Latitude and Longitude,Capacity
0,58704,진안황금8호태양광,전북 진안군 부귀면,0.0988
1,1640,군산베스틸5기태양광,전북 군산시 외항로,0.64746
2,1639,군산베스틸4기태양광,전북 군산시 외항로,2.42352
3,12989,내동태양광발전기,전북 순창군 금과면,0.894
4,1641,군산베스틸6기태양광,전북 군산시 외항로,2.11464
5,60459,청석태양광,전북 남원시 요천로,0.396
6,4639,군산베스틸8기태양광,전북 군산시 외항로,0.98496
7,1306,디엔아이장교리태양광발전소,전북 남원시 운봉읍,0.4968
8,1642,군산베스틸7기태양광,전북 군산시 외항로,0.24948
9,267,백마태양광,전북 정읍시 산외면,0.49848
10,43299,영호태양광,전북 완주군 구이면,0.09747
11,599,참길자동차학원태양광1호,전북 부안군 부안읍,0.099
12,43323,영화태양광발전소,전북 김제시 순동,0.099
13,48743,영화태양광발전소_PV,전북 정읍시 감곡면,0.49896
14,636,동연1호태양광발전,전북 익산시 황등면,0.998865
15,46265,우산태양광발전소,전북 김제시 오정동,0.099
16,63411,태평태양광,전북 남원시 광치동,0.95304
17,4642,군산베스틸9기태양광,전북 군산시 외항로,0.92016
18,29885,군산복합2단계태양광,전북 군산시 구암로,0.68608
19,2340,군산오식도배수지태양광,전북 군산시 오식도동,0.84
20,24054,반야태양광,전북 부안군 주산면,0.09855
21,22156,무진장2호태양광발전소,전북 진안군 동향면,0.49416
22,46855,운성고창태양광,전북 고창군 공음면,0.499
23,63641,토탈장수태양광,전북 장수군 산서면,1.234
24,43032,영주태양광,전북 김제시 용지면,0.0999
25,48715,우주3호태양광발전기,전북 장수군 계북면,0.49446
26,48714,우주2호태양광발전기,전북 장수군 계북면,0.49446
27,48713,우주1호태양광발전기,전북 장수군 계북면,0.49446
28,49479,은숙태양광발전소,전북 정읍시 북면,0.078
29,49464,은송예빈태양광발전소,전북 남원시 운봉읍,0.099375
30,56299,은성푸드태양광발전소,전북 익산시 여산면,0.09856
31,4650,진안황금태양광발전소,전북 진안군 부귀면,0.0988
32,56277,우재태양광발전소,전북 고창군 공음면,0.99382
33,13069,내척 태양광,전북 남원시 내척동,0.09845
34,134,내일에너지태양광,전북 김제시 황산면,0.99
35,24865,베스코태양광 제4호,전북 임실군 관촌면,0.099
36,24864,베스코태양광 제2호,전북 임실군 관촌면,0.099
37,56372,진현태양광,전북 군산시 임피면,0.49742
38,2589,팜스코태양광#5,전북 익산시 낭산면,0.782
39,18688,동은태양광,전북 김제시 도장동,0.09855
40,13391,드림팜태양광,전북 부안군 보안면,0.3979999999999999
41,56499,구룡제2발전소,전북 진안군 진안읍,0.93
42,50830,이진혁1호태양광,전북 부안군 줄포면,0.49275
43,51407,인희태양광,전북 부안군 줄포면,0.099
44,58705,진안황금9호태양광,전북 진안군 부귀면,0.0988
45,56443,티디씨에너지1호태양광,전북 완주군 이서면,0.099
46,2339,군산나우배수지태양광,전북 군산시 소룡동,0.59
47,56022,군산디티에스태양광발전소,전북 군산시 자유무역2길,1.73196
48,4634,군산베스틸12기태양광,전북 군산시 외항로,0.43416
49,4638,군산베스틸15기태양광,전북 군산시 외항로,0.46656
50,4637,군산베스틸17기태양광,전북 군산시 외항8길,0.62208
51,4636,군산베스틸18기태양광,전북 군산시 외항1길,0.162
52,46725,우포태양광발전소,전북 부안군 줄포면,0.25623
53,23670,바우네태양광,전북 진안군 주천면,0.0988
54,1638,군산제강3기태양광,전북 군산시 자유무역로,0.5441699999999999
55,596,참길자동차학원태양광3호,전북 부안군 부안읍,0.099
56,56340,진안황금4호태양광발전소,전북 진안군 부귀면,0.0988
57,64844,진안황금3호태양광발전소,전북 진안군 부귀면,0.0988
58,19509,드림1호 태양광,전북 정읍시 북면,0.09928
59,56266,와이즈솔라군산태양광,전북 군산시,1.9
60,60172,첨단발전소,전북 김제시 공덕면,0.49896
61,13665,늘푸른태양광,전북 김제시 용지면,0.4968
62,60876,청파태양광발전소,전북 고창군 공음면,0.99382
63,64675,두산솔라파워6호 태양광,전북 군산시 동장산로,2.0282400000000003
64,45723,용정태양광4호,전북 장수군 계북면,0.4966399999999999
65,45722,용정태양광2호,전북 장수군 계북면,0.495
66,45721,용정태양광1호,전북 장수군 계북면,0.495
67,130,남강태양광,전북 남원시 대산면,0.97416
68,58700,진안황금2호태양광,전북 진안군 부귀면,0.0988
69,59968,천일부안태양광#3,전북 부안군 줄포면,0.498
70,48687,청정태양광발전소_PV,전북 정읍시 감곡면,0.49896
71,4623,월승리2호태양광,전북 김제시 부량면,0.49275
72,62163,코원이에스햇빛발전기(군산),전북 군산시 오식도동,0.7559999999999999
73,4622,월승리1호태양광,전북 김제시 부량면,0.49275
74,21291,명문태양광,전북 남원시 보절면,0.099
75,110,익산태양광,전북 익산시 망성면,0.99
76,60648,청용태양광,전북 남원시 요천로,0.396
77,22615,미래-2 태양광발전소,전북 정읍시 북면,0.49654
78,47505,월곡선창태양광발전,전북 장수군 장수읍,2.99376
79,19163,두남태양광,전북 남원시 대강면,0.099
80,47504,월곡남양발전소,전북 장수군 천천면,1.9908
81,513,월곡1호태양광,전북 장수군 천천면,0.99693
82,48725,인7호태양광발전소,전북 남원시 대산면,0.98604
83,60497,청솔태양광발전기,전북 순창군 풍산면,0.90272
84,54707,진안황금10호태양광발전소,전북 진안군 부귀면,0.0988
85,510,원석1호태양광,전북 진안군 부귀면,0.5875199999999999
86,48701,와이엔비태양광,전북 군산시 산단동서로,0.3396
87,59979,천일부안태양광#2,전북 부안군 보안면,0.743
88,22791,태웅태양광발전소_PV,전북 정읍시 감곡면,0.49896
89,598,참길자동차학원태양광4호,전북 부안군 부안읍,0.099
90,50532,이안태양광발전,전북 익산시 무왕로,0.13968
91,43854,오메가태양광발전기,전북 순창군 풍산면,0.9992
92,106,그린환경건설태양광,전북 남원시 대강면,0.9319
93,63087,태영정읍태양광,전북 정읍시 북면,0.273
94,23655,바른빛에너지태양광,전북 익산시 춘포면,0.496375
95,18654,군산테크팩태양광,전북 군산시 소룡동,1.63296
96,597,참길자동차학원태양광5호,전북 부안군 부안읍,0.099
97,601,참솔라태양광,전북 고창군 부안면,0.5
98,9038,군하산업 태양광발전소,전북 군산시 산단남북로,1.48368
99,58703,진안황금7호태양광,전북 진안군 부귀면,0.0988
100,48726,인태양광발전소,전북 남원시 대산면,0.95634
101,2466,케이이디태양광,전북 정읍시 덕천면,0.999
102,53395,디와이익산2공장태양광,전북 익산시 팔봉동,0.5032
103,48504,유천태양광발전소,전북 부안군 보안면,0.29784
104,2389,창수발전소,전북 군산시 대야면,0.09849
105,58702,진안황금6호태양광,전북 진안군 부귀면,0.0988
106,62052,켄스태양광,전북 부안군 줄포면,0.495
107,12833,남천태양광,전북 완주군 소양면,0.0904399999999999
108,63198,김태욱태양광,전북 정읍시 정우면,0.396
109,25222,보담태양광발전소,전북 부안군 보안면,0.9702
110,40352,남창리태양광,전북 남원시 수지면,1.496
111,58701,진안황금5호태양광,전북 진안군 부귀면,0.0988
112,7,온누리태양광발전소,전북 김제시 황산면,0.099
113,3631,유일순창태양광,전북 순창군 복흥면,0.77
114,23075,미숙 태양광,전북 익산시 춘포면,0.09933
115,11693,김택동.송명희태양광,전북 정읍시 정우면,0.396
116,44862,와룡태양광,전북 김제 용지면,0.09945
117,53396,디와이익산1공장태양광,전북 익산시 팔봉동,1.4280000000000002
118,58190,지현태양광발전소,전북 정읍시 북면,0.079
119,17189,덕천태양광,전북 정읍시 덕천면,0.0988
120,48742,패스오버태양광,전북 익산시 왕궁면,0.637875
121,69097,행복태양광,전북 김제시 만경읍,0.09928
122,55997,행복태양광발전소_PV,전북 정읍시 감곡면,0.49896
123,69253,행안태양광,전북 부안군 행안면,0.49818
124,37559,신천정읍태양광,전북 정읍시 소성면,0.25
125,784,KSE 태양광,전북 임실군 관촌면,0.978
126,3743,KH에너지,전북 남원시 수지면,0.0954
127,69389,향상기업태양광발전소,전북 군산시 가도안2길,0.99207
128,69479,헥스부안태양광,전북 부안군 주산면,0.55
129,69495,헬파이어 태양광발전소(PV),전북 정읍시 신태인읍,0.0994
130,30397,서해에너지임실태양광,전북 임실군,0.994
131,54171,정읍솔라고창태양광,전북 고창군 무장면,1.4
132,2095,석매1호태양광,전북 익산시 함열읍,0.99176
133,37094,신신솔라태양광,전북 군산시 오식도동,3.2
134,56000,JS1SSPP태양광,전북 장수군 번암면,0.99756
135,30600,석민태양광,전북 남원시 보절면,0.099
136,1767,정읍솔라파크주산태양광,전북 정읍시 이평면,0.294
137,1769,정읍솔라파크창동태양광,전북 정읍시 이평면,0.396
138,1768,정읍솔라파크청량태양광,전북 정읍시 이평면,0.3979999999999999
139,1583,석포고창태양광,전북 고창군 공음면,0.732
140,1054,정읍태곡1호태양광,전북 정읍시 북면,0.99
141,56480,현수물산태양광발전소,전북 고창군 공음면,0.99382
142,30957,선명태양광발전소,전북 부안군 보안면,0.49896
143,56478,HD태양광발전기1호,전북 정읍시 신성길,0.1782
144,1096,신평가덕태양광,전북 임실군 신평면,0.868
145,30968,선미태양광발전소,전북 남원 대산면,0.099
146,69214,행복태양광d,전북 김제시 용지면,0.4896
147,54168,MG정읍태양광발전소1호,전북 정읍시 중앙1길,0.094875
148,56175,쏠태양광발전,전북 진안군 수동리,0.991515
149,29313,새론태양광발전소,전북 김제시 신곡동,0.1971
150,38668,쏠라퓨처고창태양광,전북 고창군 해리면,0.3
151,29343,새만금솔라에너지태양광발전소,전북 군산시 자유무역3길,4.99977
152,38743,새만금햇빛누리태양광,전북 군산시 새만금,10.872
153,67307,항아4호에너지태양광,전북 순창군 쌍치면,0.97236
154,29502,샘골1호태양광발전소,전북 남원시 덕과면,0.8294
155,63987,패스오버에너지태양광,전북 김제시 용지면,0.25092
156,67366,해기태양광,전북 부안군 줄포면,0.099
157,4652,썬하이텍태양광발전소,전북 고창군 공음면,0.99382
158,2701,해나눔태양광발전소,전북 김제시 용지면,0.7992
159,56174,썬플라워태양광,전북 군산시 임피면,0.49742
160,53518,정가태양광,전북 군산시 서수면,0.0992
161,29750,서남순창태양광,전북 순창군 팔덕면,1.0
162,29797,서리태양광,전북 김제시 금산면,0.0991799999999999
163,1757,써니정읍태양광,전북 정읍시,0.248
164,38148,써니에너지태양광,전북 완주군 운주면,0.8768
165,48778,해마루3호태양광,전북 정읍시 입암면,0.7257600000000001
166,67794,해맑은태양광발전소,전북 김제시 용지면,0.09702
167,1729,SDH태양광,전북 전주시 덕진구,0.53599
168,68325,해오름태양광발전소a,전북 부안군 계화면,0.6988800000000001
169,3957,MY태양광 제4호,전북 임실군 관촌면,0.099
170,54169,MG정읍태양광발전소2호,전북 정읍시 북면,0.327275
171,53912,정승기1호태양광,전북 정읍시 입암면,0.099
172,29235,상현 태양광,전북 김제시 청하면,0.0991799999999999
173,24675,DS부안태양광,전북 부안군 행안면,1.13
174,16263,대지산업태양광발전소,전북 정읍시 정우면,0.396
175,48658,송이용지태양광,전북 김제시 용지면,0.4896
176,34336,송옥순태양광발전기,전북 김제시 공덕면,0.495
177,71978,황산1호태양광,전북 김제시 공덕면,0.099
178,71981,황산2호태양광,전북 김제시 공덕면,0.099
179,34299,송암2태양광,전북 고창군 흥덕면,0.4998
180,32501,성진태양광,전북 진안군 백운면,0.099
