,Number,Address,Latitude and Longitude,Capacity
0,1640,군산베스틸5기태양광,전북 군산시 외항로,0.64746
1,1639,군산베스틸4기태양광,전북 군산시 외항로,2.42352
2,1641,군산베스틸6기태양광,전북 군산시 외항로,2.11464
3,60459,청석태양광,전북 남원시 요천로,0.396
4,4639,군산베스틸8기태양광,전북 군산시 외항로,0.98496
5,1642,군산베스틸7기태양광,전북 군산시 외항로,0.24948
6,4642,군산베스틸9기태양광,전북 군산시 외항로,0.92016
7,2340,군산오식도배수지태양광,전북 군산시 오식도동,0.84
8,46855,운성고창태양광,전북 고창군 공음면,0.499
9,63641,토탈장수태양광,전북 장수군 산서면,1.234
10,43032,영주태양광,전북 김제시 용지면,0.0999
11,48715,우주3호태양광발전기,전북 장수군 계북면,0.49446
12,49464,은송예빈태양광발전소,전북 남원시 운봉읍,0.099375
13,56277,우재태양광발전소,전북 고창군 공음면,0.99382
14,2589,팜스코태양광#5,전북 익산시 낭산면,0.782
15,18688,동은태양광,전북 김제시 도장동,0.09855
16,2339,군산나우배수지태양광,전북 군산시 소룡동,0.59
17,56022,군산디티에스태양광발전소,전북 군산시 자유무역2길,1.73196
18,4634,군산베스틸12기태양광,전북 군산시 외항로,0.43416
19,4638,군산베스틸15기태양광,전북 군산시 외항로,0.46656
20,4637,군산베스틸17기태양광,전북 군산시 외항8길,0.62208
21,4636,군산베스틸18기태양광,전북 군산시 외항1길,0.162
22,1638,군산제강3기태양광,전북 군산시 자유무역로,0.5441699999999999
23,56266,와이즈솔라군산태양광,전북 군산시,1.9
24,60876,청파태양광발전소,전북 고창군 공음면,0.99382
25,45723,용정태양광4호,전북 장수군 계북면,0.4966399999999999
26,45722,용정태양광2호,전북 장수군 계북면,0.495
27,45721,용정태양광1호,전북 장수군 계북면,0.495
28,59968,천일부안태양광#3,전북 부안군 줄포면,0.498
29,62163,코원이에스햇빛발전기(군산),전북 군산시 오식도동,0.7559999999999999
30,60648,청용태양광,전북 남원시 요천로,0.396
31,47505,월곡선창태양광발전,전북 장수군 장수읍,2.99376
32,47504,월곡남양발전소,전북 장수군 천천면,1.9908
33,59979,천일부안태양광#2,전북 부안군 보안면,0.743
34,63087,태영정읍태양광,전북 정읍시 북면,0.273
35,18654,군산테크팩태양광,전북 군산시 소룡동,1.63296
36,9038,군하산업 태양광발전소,전북 군산시 산단남북로,1.48368
37,53395,디와이익산2공장태양광,전북 익산시 팔봉동,0.5032
38,40352,남창리태양광,전북 남원시 수지면,1.496
39,3631,유일순창태양광,전북 순창군 복흥면,0.77
40,53396,디와이익산1공장태양광,전북 익산시 팔봉동,1.4280000000000002
41,17189,덕천태양광,전북 정읍시 덕천면,0.0988
42,37559,신천정읍태양광,전북 정읍시 소성면,0.25
43,784,KSE 태양광,전북 임실군 관촌면,0.978
44,69479,헥스부안태양광,전북 부안군 주산면,0.55
45,30397,서해에너지임실태양광,전북 임실군,0.994
46,54171,정읍솔라고창태양광,전북 고창군 무장면,1.4
47,37094,신신솔라태양광,전북 군산시 오식도동,3.2
48,56000,JS1SSPP태양광,전북 장수군 번암면,0.99756
49,1767,정읍솔라파크주산태양광,전북 정읍시 이평면,0.294
50,1769,정읍솔라파크창동태양광,전북 정읍시 이평면,0.396
51,1768,정읍솔라파크청량태양광,전북 정읍시 이평면,0.3979999999999999
52,1583,석포고창태양광,전북 고창군 공음면,0.732
53,56480,현수물산태양광발전소,전북 고창군 공음면,0.99382
54,29313,새론태양광발전소,전북 김제시 신곡동,0.1971
55,38668,쏠라퓨처고창태양광,전북 고창군 해리면,0.3
56,29343,새만금솔라에너지태양광발전소,전북 군산시 자유무역3길,4.99977
57,67307,항아4호에너지태양광,전북 순창군 쌍치면,0.97236
58,4652,썬하이텍태양광발전소,전북 고창군 공음면,0.99382
59,29750,서남순창태양광,전북 순창군 팔덕면,1.0
60,1757,써니정읍태양광,전북 정읍시,0.248
61,67794,해맑은태양광발전소,전북 김제시 용지면,0.09702
62,1729,SDH태양광,전북 전주시 덕진구,0.53599
63,24675,DS부안태양광,전북 부안군 행안면,1.13
64,71978,황산1호태양광,전북 김제시 공덕면,0.099
65,71981,황산2호태양광,전북 김제시 공덕면,0.099
66,32501,성진태양광,전북 진안군 백운면,0.099
67,169,대신정읍태양광,전북 정읍시 덕천면,0.3
