,Number,Address,Latitude and Longitude,Capacity
0,54910,제이와이태양광#2,제주 제주시 한림읍,0.098
1,57838,지앤비1호태양광발전소,제주 제주시 조천읍,0.2601
2,57928,지영태양광,제주 서귀포시 대정읍,0.5
3,57952,지용태양광발전소,제주 제주시 애월읍,0.17952
4,13923,다사랑태양광발전소,제주 제주시 한경면,0.06072
5,57809,지아태양광,제주 제주시 회천동,0.09916
6,2295,제주도시가스태양광,제주 제주시 노형동,0.099
7,55178,제주고성리태양광,제주 제주시 애월읍,0.3
8,58177,지혁태양광,제주특별자치도 제주시 한경면,0.594
9,48721,제주해냄태양광발전소,제주 서귀포시 표선면,0.9936
10,13797,다담1호태양광,제주 제주시 조천읍,0.099
11,55191,제주한림읍태양광발전소,제주 제주시 한림읍,0.49896
12,55985,대명솔라1호에너지,제주 서귀포시 표선면,0.476
13,56357,제주자연태양광,제주특별자치도 서귀포시 표선면,0.99234
14,58200,지혜태양광발전소,제주 제주시 회천동,0.09916
15,13800,다담3호 태양광발전소,제주 제주시 회천동,0.09906
16,13801,다담4호 태양광,제주 제주시 회천동,0.09906
17,55184,제주용강1호,제주 제주시 용강동,0.42768
18,56356,제주오름태양광,제주특별자치도 제주시 월평동,0.39294
19,1162,제주영락태양광,제주 서귀포시 대정읍,0.396
20,55189,제주성산태양광,제주 서귀포시 성산읍,0.998
21,57043,준영태양광,제주 제주시 구좌읍,0.4992
22,1066,뉴세제제주지사태양광,제주 서귀포시 성산읍,0.988
23,1161,제주상모태양광,제주 서귀포시 대정읍,0.5
24,55168,제주마을태양광,제주 서귀포시 토평공단로,0.0792
25,58439,진모태양광,제주 제주시 한경면,0.0975
26,13832,다람태양광발전소,제주 제주시 애월읍,0.20128
27,56666,주원태양광,제주 제주시 애월읍,0.08976
28,1269,제주동진태양광,제주 서귀포시 대정읍,0.5
29,56756,주한 태양광,제주 서귀포시 강정동,0.19943
30,14927,대동솔라태양광,제주 서귀포시 표선면,0.49932
31,57242,제주대태양광,제주 제주시 아라1동,1.092
32,567,제주늘해랑 태양광 발전소,제주 서귀포시 성산읍,2.19672
33,56768,주현2호 태양광,제주 제주시 조천읍,0.09906
34,55162,제주농산태양광,제주 서귀포시 성산읍,0.09648
35,58043,지유태양광,제주 서귀포시 성산면,0.09
36,2070,주식회사원더풀태양광발전소가시리1호,제주 서귀포시 표선면,0.9213
37,2298,제주햇빛태양광,제주 서귀포시 표선면,1.7
38,8754,구억태양광발전소,제주 서귀포시 대정읍,0.29835
39,59077,진희1호태양광,제주 제주시 한경면,0.078
40,67064,한일태양광,제주 서귀포시 성산읍,0.25192
41,5079,가온태양광발전소,제주 서귀포시 대정읍,0.34776
42,55913,가시태양광,제주특별자치도 서귀포시 표선면,0.9324
