,Number,Address,Latitude and Longitude,Capacity
0,54910,제이와이태양광#2,제주 제주시 한림읍,0.098
1,57838,지앤비1호태양광발전소,제주 제주시 조천읍,0.2601
2,57952,지용태양광발전소,제주 제주시 애월읍,0.17952
3,13923,다사랑태양광발전소,제주 제주시 한경면,0.06072
4,57809,지아태양광,제주 제주시 회천동,0.09916
5,2295,제주도시가스태양광,제주 제주시 노형동,0.099
6,55178,제주고성리태양광,제주 제주시 애월읍,0.3
7,58177,지혁태양광,제주특별자치도 제주시 한경면,0.594
8,48721,제주해냄태양광발전소,제주 서귀포시 표선면,0.9936
9,13797,다담1호태양광,제주 제주시 조천읍,0.099
10,55191,제주한림읍태양광발전소,제주 제주시 한림읍,0.49896
11,56357,제주자연태양광,제주특별자치도 서귀포시 표선면,0.99234
12,58200,지혜태양광발전소,제주 제주시 회천동,0.09916
13,13800,다담3호 태양광발전소,제주 제주시 회천동,0.09906
14,13801,다담4호 태양광,제주 제주시 회천동,0.09906
15,55184,제주용강1호,제주 제주시 용강동,0.42768
16,56356,제주오름태양광,제주특별자치도 제주시 월평동,0.39294
17,55189,제주성산태양광,제주 서귀포시 성산읍,0.998
18,57043,준영태양광,제주 제주시 구좌읍,0.4992
19,1066,뉴세제제주지사태양광,제주 서귀포시 성산읍,0.988
20,55168,제주마을태양광,제주 서귀포시 토평공단로,0.0792
21,58439,진모태양광,제주 제주시 한경면,0.0975
22,13832,다람태양광발전소,제주 제주시 애월읍,0.20128
23,56666,주원태양광,제주 제주시 애월읍,0.08976
24,1269,제주동진태양광,제주 서귀포시 대정읍,0.5
25,56756,주한 태양광,제주 서귀포시 강정동,0.19943
26,14927,대동솔라태양광,제주 서귀포시 표선면,0.49932
27,567,제주늘해랑 태양광 발전소,제주 서귀포시 성산읍,2.19672
28,56768,주현2호 태양광,제주 제주시 조천읍,0.09906
29,55162,제주농산태양광,제주 서귀포시 성산읍,0.09648
30,2070,주식회사원더풀태양광발전소가시리1호,제주 서귀포시 표선면,0.9213
31,2298,제주햇빛태양광,제주 서귀포시 표선면,1.7
32,8754,구억태양광발전소,제주 서귀포시 대정읍,0.29835
33,59077,진희1호태양광,제주 제주시 한경면,0.078
34,67064,한일태양광,제주 서귀포시 성산읍,0.25192
35,5079,가온태양광발전소,제주 서귀포시 대정읍,0.34776
36,55913,가시태양광,제주특별자치도 서귀포시 표선면,0.9324
37,4933,가산2태양광발전소,제주 서귀포시 남원읍,0.89505
38,4863,가람태양광발전소,제주 제주시 구좌읍,0.2444
39,4490,YB태양광발전소,제주 서귀포시 지장샘로,0.1989
40,5431,갑부태양광발전소,제주 제주시 한경면,0.1971
41,4459,VE태양광,제주 서귀포시 대정읍,0.099
