,Number,Address,Latitude and Longitude,Capacity
0,34589,송호2호태양광,전남 해남군 황산면,0.6990000000000001
1,70352,협신태양광,전남 함평군 나산면,0.999
2,70870,호성에너지태양광,전남 화순군 북면,0.995
3,35252,수지1태양광,전남 남원시 수지면,0.4
4,34565,송현 태양광발전소,전남 강진군 강진읍,0.09519
5,34180,송덕5호태양광발전소,전남 강진군 강진읍,0.09486
6,36904,신북영암태양광,전남 영암군 신북면,0.5379999999999999
7,2686,한자1호태양광,전남 해남군 황산면,2.61072
8,2832,황산태양광#5,전남 해남군 황산면,0.62937
9,33968,솔라플러스함평태양광,전남 함평군 손불면,1.393
10,2831,황산태양광#4,전남 해남군 황산면,0.5159699999999999
11,34320,송암태양광,전남 함평군 나산면,0.911
12,40877,순천하수처리장태양광,전남 순천시 교량동,0.996
13,2687,한자2호태양광,전남 해남군 황산면,1.01108
14,56163,송암2호태양광발전소,전남 영광군 염산면,0.9954
15,70772,호남축산태양광,전남 장흥군 관산읍,1.83
16,34215,송림에너텍영광태양광,전남 영광군 영광읍,0.297
17,36173,승현태양광b,전남 완도군 신지면,0.099
18,58662,신동진도태양광,전남 진도군 군내면,0.3989999999999999
19,36825,신라태양광,전남 해남군 화산면,0.099
20,72625,흥양고흥태양광,전남 고흥군 도화면,0.5
21,34214,송림에너지영광태양광,전남 영광군 홍농읍,0.22
22,13463,슬찬에너지태양광,전남 완도군 노화읍,1.995
23,1728,신광나주태양광,전남 나주시 공산면,0.29
24,69981,현성에너지태양광,전남 완도군 신지면,1.646
25,2830,황산태양광#3,전남 해남군 황산면,0.6237
26,69980,현성산업태양광,전남 완도군 신지면,0.67
27,2815,화성에너지태양광,전남 곡성군 겸면,0.99
28,2757,헬리오장성태양광,전남 장성군 삼계면,0.396
29,41026,아주나주태양광,전남 나주시 왕곡면,0.5
30,53330,화광관춘태양광발전소,전남 해남군 황산면,0.992775
31,72934,희재고흥태양광,전남 고흥군 포두면,0.499
32,69316,행정16호태양광,전남 남원시 운봉읍,0.0996399999999999
33,1867,솔라파크태양광발전기,전남,0.7
34,733,화이트에너지태양광발전,전남 해남군 문내면,0.5
35,37758,신혜태양광발전소,전남 해남군 해남읍,0.0312
36,17966,한영산업태양광,전남 영암군 삼호읍,0.88
37,36334,시온유 태양광발전소,전남 영암군 학산면,0.36288
38,66740,한승장흥태양광,전남 장흥군 관산읍,0.31
39,37963,심천태양광,전남 완도군 신지면,0.298
40,56472,한태연2호,전남 광양시 봉강면,2.5056
41,33977,솔라필드제5차1호 태양광,전남 신안군 도초면,0.99072
42,26245,해남부성태양광,전남 해남군 옥천면,0.5
43,1402,해남화원장춘태양광,전남 해남군 화원면,0.348
44,56143,송고태양광,전남 해남군 황산면,2.5872
45,35672,순천만ECO태양광,전남 순천시 국가정원1호길,0.61056
46,38585,쏠17호 태양광발전소,전남 순천시 낙안면,0.099125
47,34176,송덕1호태양광발전소,전남 강진군 강진읍,0.09486
48,56473,해뜸태양광발전소,전남 광양시 황길동,1.9656
49,700,해바라기영암태양광,전남 영암군 삼호읍,0.999
50,38367,썬아이강진태양광,전남 강진군 칠량면,0.487
51,58661,썬사랑진도태양광,전남 진도군 군내면,0.4
52,68114,해성 태양광,전남 함평군 신광면,0.0972
53,16595,송림영광태양광,전남 영광군 영광읍,0.5
54,38589,쏠8호태양광발전소,전남 순천시 낙안면,0.099645
