,Number,Address,Latitude and Longitude,Capacity
0,34589,송호2호태양광,전남 해남군 황산면,0.6990000000000001
1,70352,협신태양광,전남 함평군 나산면,0.999
2,35252,수지1태양광,전남 남원시 수지면,0.4
3,36904,신북영암태양광,전남 영암군 신북면,0.5379999999999999
4,2832,황산태양광#5,전남 해남군 황산면,0.62937
5,33968,솔라플러스함평태양광,전남 함평군 손불면,1.393
6,34320,송암태양광,전남 함평군 나산면,0.911
7,40877,순천하수처리장태양광,전남 순천시 교량동,0.996
8,70772,호남축산태양광,전남 장흥군 관산읍,1.83
9,34215,송림에너텍영광태양광,전남 영광군 영광읍,0.297
10,58662,신동진도태양광,전남 진도군 군내면,0.3989999999999999
11,72625,흥양고흥태양광,전남 고흥군 도화면,0.5
12,34214,송림에너지영광태양광,전남 영광군 홍농읍,0.22
13,13463,슬찬에너지태양광,전남 완도군 노화읍,1.995
14,1728,신광나주태양광,전남 나주시 공산면,0.29
15,2830,황산태양광#3,전남 해남군 황산면,0.6237
16,2815,화성에너지태양광,전남 곡성군 겸면,0.99
17,2757,헬리오장성태양광,전남 장성군 삼계면,0.396
18,41026,아주나주태양광,전남 나주시 왕곡면,0.5
19,72934,희재고흥태양광,전남 고흥군 포두면,0.499
20,1867,솔라파크태양광발전기,전남,0.7
21,733,화이트에너지태양광발전,전남 해남군 문내면,0.5
22,17966,한영산업태양광,전남 영암군 삼호읍,0.88
23,66740,한승장흥태양광,전남 장흥군 관산읍,0.31
24,37963,심천태양광,전남 완도군 신지면,0.298
25,56472,한태연2호,전남 광양시 봉강면,2.5056
26,33977,솔라필드제5차1호 태양광,전남 신안군 도초면,0.99072
27,26245,해남부성태양광,전남 해남군 옥천면,0.5
28,1402,해남화원장춘태양광,전남 해남군 화원면,0.348
29,56143,송고태양광,전남 해남군 황산면,2.5872
30,56473,해뜸태양광발전소,전남 광양시 황길동,1.9656
31,700,해바라기영암태양광,전남 영암군 삼호읍,0.999
32,38367,썬아이강진태양광,전남 강진군 칠량면,0.487
33,58661,썬사랑진도태양광,전남 진도군 군내면,0.4
34,16595,송림영광태양광,전남 영광군 영광읍,0.5
35,38289,썬레이장흥태양광,전남 장흥군 관산읍,1.5
36,67901,썬라이즈2호 태양광,전남 해남군 황산면,0.099
37,38073,써니고흥태양광,전남 고흥군 포두면,0.299
38,65942,신재생나주태양광,전남 나주시 공산면,0.3
39,48709,순동태양광,전남 해남군 황산면,0.36036
40,37923,승덕군서태양광,전남 영광군 군서면,0.66
41,38627,쏠라젠나주태양광,전남 나주시 왕곡면,0.1989999999999999
42,71668,화창태양광,전남 해남군 황산면,0.099
43,33979,솔라필드제5차2호태양광,전남 신안군 도초면,0.99072
44,1635,순천제강2기태양광,전남 순천시 해룡면,0.5
45,33978,솔라필드제5차3호 태양광,전남 신안군 도초면,0.99072
46,1794,아이에스태양광,전남,0.5
47,38784,씨케이해남태양광,전남 해남군 화원면,1.0
48,53331,씨제이대한통운태양광,전남 광양시 도이동,1.689
49,37767,신호태양광,전남 해남군 황산면,0.099
50,1746,신안성환태양광,전남 신안군 지도읍,1.0
51,2747,행복솔라태양광,전남 영암군 삼호읍,0.347
52,2698,함평쏠라태양광,전남 함평군 나산면,1.0
53,12253,신안증도태양광,전남 신안군,0.8
54,37162,신양고흥태양광,전남 고흥군 도덕면,0.65
