,Number,Address,Latitude and Longitude,Capacity
0,56290,위천솔라태양광,경북 거창군 위천면,0.49446
1,49423,은성쏠라21호태양광,경북 상주시 외서면,1.27205
2,2106,유원성주태양광,경북 성주군 성주읍,0.962
3,49415,은성쏠라14호 태양광발전소,경북 예천군 보문면,1.095255
4,19764,디에이의성태양광,경북 의성군 단촌면,0.7
5,18963,동해에너지태양광발전소,경북 의성군 금성면,0.996
6,48430,유진쏠라랜드태양광,경북 상주시 사벌면,0.68
7,1284,디씨에너지태양광,경북 칠곡군 가산면,1.49
8,1286,디아이테크태양광,경북 포항시 남구,0.96
9,20276,류천에너지태양광,경북 영주시 장수면,0.903105
10,55914,의성솔라에너지태양광,경북 의성군 단촌면,2.00013
11,48395,유진의성태양광,경북 의성군 금성면,1.0
12,2159,이원에너지태양광,경북 군위군 의흥면,0.7
13,50058,이글스에너지태양광#2,경북 구미시 공단동,0.789
14,49956,의성솔라태양광,경북 의성군 금성면,1.5
15,49421,은성쏠라4호태양광,경북 영주시 안정면,1.29675
16,18657,동원에너지태양광발전소,경북 의성군 금성면,0.996
17,19258,두산태양광발전소,경북 안동시 북후면,0.0992
18,19544,드림솔라1태양광,경북 의성군 금성면,0.29988
19,18472,동아태양광에너지,경북 영주시 안정면,0.97416
20,48832,육일태양광,경북 성주군 성주읍,0.2937599999999999
21,56298,윤아에너지 태양광,경북 의성군 안계면,0.99864
22,2169,익성솔라태양광,경북 경산시 용성면,0.496339
23,49127,율리2태양광,경북 상주시 청리면,0.099375
24,19588,드림태양광발전소,경북 영천시 금호읍,0.099
25,55991,의성율현태양광,경북 의성군 구천면,2.00032
26,68061,익산포항선태양광,경북 영천시 임고면,0.674
27,2182,일신산업태양광,경북 경산시 남산면,0.295
28,20606,마전태양광,경북 예천군 지보면,0.99712
29,29701,서광영천북안태양광,경북 영천시,0.994
30,1763,썬위즈군위태양광,경북 군위군 의흥면,0.43
31,29651,서강봉화태양광,경북 봉화군 물야면,1.0
32,1774,쏠라테크칠곡태양광,경북 칠곡군 지천면,0.995
33,1778,쏠라파워태양광,경북 영덕군 축산면,1.496
34,1534,상주태양광,경북 상주시 화서면,1.49
35,1533,상주솔라태양광,경북 상주시 공검면,1.492
36,1781,씨그마영주태양광,경북 영주시 조와동,2.999
37,38707,씨앤상주태양광,경북 상주시 모서면,0.999
38,29016,상용 태양광,경북 상주시 화서면,0.4032
39,1529,상생에너지태양광,경북 김천시 어모면,1.994525
40,1519,삼진영주태양광,경북 영주시 문수면,0.5
41,56109,삼지솔라 태양광발전소,경북 구미시 도개면,0.99495
42,1517,삼일방직태양광,경북 경산시 진량읍,1.5
43,56108,삼읍태양광,경북 영덕군 병곡면,0.8046
44,4654,아이제이에스태양광,경북 경산시 진량읍,0.4824
45,1876,삼성제침2호태양광,경북 칠곡면 왜관읍,0.36639
46,1875,삼성제침1호태양광,경북 칠곡면 왜관읍,0.4595399999999999
47,1502,삼성정공2태양광,경북 성주군 성주읍,0.335
48,1501,삼성정공1태양광,경북 성주군 성주읍,0.39
49,56189,안다미로제이,경북 김천시 감문면,2.9760000000000004
50,42375,삼백쏠라랜드태양광,경북 상주시 사벌면,0.565
51,40078,양지솔라태양광,경북 김천시 감문면,0.49
52,29687,서광영천태양광,경북 영천시 임고면,0.45
53,56169,썬가든태양광발전기,경북 포항시 남구,2.2041
54,38205,써니파크태양광,경북 칠곡군 동명면,0.26964
55,1551,서보의성태양광,경북 의성군 금성면,2.0
56,1682,솔라파워영주태양광,경북 영주시 안정면,0.7
57,1667,솔라예천태양광,경북 예천군 감천면,0.999
58,4644,소곡태양광,경북 문경시 우지동,0.99495
59,33992,솔로몬영주태양광,경북 영주시 안정면,0.994
60,1687,솔싱크영주태양광,경북 영주시 상망동,0.966
61,1654,세종솔라5호태양광,경북 고령군 성산면,0.48
62,32953,세실쏠라태양광,경북 영천시 임고면,0.09936
63,32901,세명태양광,경북 성주군 대가면,0.7452
64,32276,성원2태양광발전소,경북 문경시 영순면,0.34992
65,1610,성운태양광,경북 군위군 부계면,0.999
66,13420,성안태양광,경북 안동시 와룡면,1.49688
67,40226,어덕1태양광발전소,경북 상주시 중덕동,0.098
68,38568,수식리태양광,경북 봉화군 물야면,1.30169
69,4631,성광태양광발전소,경북 상주시 함창읍,0.999
70,35972,승문태양광b,경북 영주시 문수면,1.42317
71,63567,승문태양광,경북 영주시 문수면,0.486
72,4647,승진에너지태양광발전소,경북 구미시 산동면,1.99368
73,31105,선우영주태양광,경북 영주시 이산면,1.2
74,30966,선미래의성태양광,경북 의성군 춘산면,0.446
75,36513,신광솔라태양광,경북 포항시 북구,0.99324
76,56165,신우솔라태양광,경북 구미시 도개면,0.450775
77,37710,신풍태양광,경북 예천군 지보면,0.496
78,42760,신화테크2태양광,경북 포항시 대송면,0.942
79,29958,서산2태양광,경북 영천시 서산동,0.09936
80,35910,승경2호태양광,경북 상주시 사벌면,0.29808
81,40227,어덕2태양광발전소,경북 상주시 중덕동,0.099
82,27385,사벌쏠라랜드태양광,경북 상주시 사벌면,0.5
83,1486,사리태양광,경북 영천시 임고면,1.998
84,1999,오운태양광,경북 영주시 평은면,1.4
85,29138,오태2수상태양광,경북 군위군 의흥면,3.088
86,44404,옥광에너지영덕태양광,경북 영덕군 영덕읍,0.968
87,4673,와이즈솔라21호,경북 김천시 농소면,1.4985
88,45013,와이티썬칠곡태양광,경북 칠곡군 지천면,2.97
89,1384,미래영주태양광,경북 영주시 부석면,0.999
90,22707,미래솔라태양광,경북 문경시 마성면,2.06388
91,2024,용성2호태양광,경북 경산시 용성면,0.496339
92,2031,우도경주태양광,경북 경주시 서면,2.9736
93,2030,우도상주태양광,경북 상주시 이안면,0.995
94,46097,우리솔라태양광,경북 경산시 용성면,0.496339
95,66722,예천태양광#1,경북 예천군 하리면,1.385
96,2035,우리에너지태양광#1,경북 안동시 풍산읍,1.096
97,56047,무성햇빛발전소,경북 영양군 청기면,0.45333
98,7930,우지1호태양광,경북 문경시 우지동,2.7495
99,21632,명품5호 태양광,경북 문경시 산양면,0.09916
100,21631,명품4호 태양광,경북 문경시 산양면,0.09916
101,21630,명품3호 태양광,경북 문경시 산양면,0.09916
102,56041,맥스에너지월성 태양광,경북 구미시 해평면,0.96876
103,56040,맥스에너지안정,경북 의성군 안계면,0.95616
104,56036,맥스에너지2호,경북 의성군 봉양면,0.99882
105,4611,월막1호 태양광발전소,경북 고령군 쌍림면,0.99495
106,4676,월성에너지태양광,경북 의성군 안계면,0.49842
107,65889,만운저수지태양광,경북 안동시 풍산면,2.00736
108,1367,문경솔라팜태양광,경북 문경시 동로면,2.08208
109,56494,마북태양광발전,경북 포항시 북구,2.016
110,1988,예천솔라태양광,경북 예천군 지보면 어신리,1.0
111,43277,영해태양광발전소,경북 영천시 화남면,0.9996
112,40458,에덴에너지,경북 상주시 사벌면,0.49725
113,56099,빛모아 태양광,경북 의성군 안계면,0.99864
114,2661,비안태양광,경북 의성군 비안면,1.99872
115,56202,에스솔라 태양광발전소,경북 성주군 벽진면,0.99648
116,40654,에스에스의성태양광,경북 의성군 안계면,0.489
117,17813,동건태양광,경북 예천군 지보면,0.099
118,1444,부경태양광#1,경북 영양군 석보면,0.992
119,25586,복용쏠라 태양광,경북 상주시 화서면,0.1989999999999999
120,62970,보현산댐태양광,경북 영천시 화북면,2.40185
121,56521,에스피햇빛발전소,경북 영양군 청기면,0.45333
122,56229,엔아이씨안동태양광,경북 안동시 임동면,2.9792
123,1406,배내상주태양광,경북 상주시 이안면,0.995
124,1962,영광1호태양광,경북 김천시 남면,1.996
125,42667,영숙태양광발전소,경북 구미시 도개면,0.099
126,48002,영순태양광,경북 문경시 영순면,1.7009999999999998
