,Number,Address,Latitude and Longitude,Capacity
0,49423,은성쏠라21호태양광,경북 상주시 외서면,1.27205
1,2106,유원성주태양광,경북 성주군 성주읍,0.962
2,49415,은성쏠라14호 태양광발전소,경북 예천군 보문면,1.095255
3,19764,디에이의성태양광,경북 의성군 단촌면,0.7
4,1286,디아이테크태양광,경북 포항시 남구,0.96
5,55914,의성솔라에너지태양광,경북 의성군 단촌면,2.00013
6,48395,유진의성태양광,경북 의성군 금성면,1.0
7,50058,이글스에너지태양광#2,경북 구미시 공단동,0.789
8,49956,의성솔라태양광,경북 의성군 금성면,1.5
9,49421,은성쏠라4호태양광,경북 영주시 안정면,1.29675
10,2169,익성솔라태양광,경북 경산시 용성면,0.496339
11,49127,율리2태양광,경북 상주시 청리면,0.099375
12,19588,드림태양광발전소,경북 영천시 금호읍,0.099
13,68061,익산포항선태양광,경북 영천시 임고면,0.674
14,29701,서광영천북안태양광,경북 영천시,0.994
15,1763,썬위즈군위태양광,경북 군위군 의흥면,0.43
16,29651,서강봉화태양광,경북 봉화군 물야면,1.0
17,1774,쏠라테크칠곡태양광,경북 칠곡군 지천면,0.995
18,1778,쏠라파워태양광,경북 영덕군 축산면,1.496
19,1534,상주태양광,경북 상주시 화서면,1.49
20,1533,상주솔라태양광,경북 상주시 공검면,1.492
21,1781,씨그마영주태양광,경북 영주시 조와동,2.999
22,38707,씨앤상주태양광,경북 상주시 모서면,0.999
23,1529,상생에너지태양광,경북 김천시 어모면,1.994525
24,1519,삼진영주태양광,경북 영주시 문수면,0.5
25,56109,삼지솔라 태양광발전소,경북 구미시 도개면,0.99495
26,1876,삼성제침2호태양광,경북 칠곡면 왜관읍,0.36639
27,1875,삼성제침1호태양광,경북 칠곡면 왜관읍,0.4595399999999999
28,1502,삼성정공2태양광,경북 성주군 성주읍,0.335
29,1501,삼성정공1태양광,경북 성주군 성주읍,0.39
30,56189,안다미로제이,경북 김천시 감문면,2.9760000000000004
31,40078,양지솔라태양광,경북 김천시 감문면,0.49
32,29687,서광영천태양광,경북 영천시 임고면,0.45
33,56169,썬가든태양광발전기,경북 포항시 남구,2.2041
