,Number,Address,Latitude and Longitude,Capacity
0,72737,희망빛단장범도 제1발전기,경남 밀양시 단장면,0.99864
1,17644,도천솔라창녕태양광,경남 창녕군 도천면,0.7929999999999999
2,150,다모아태양광,경남 의령군 대의면,1.87488
3,20578,마이솔에너지,경남 하동군 진교면,0.49896
4,55982,대곡태양광발전소,경남 하동군 옥종면,0.2976
5,61912,GMK창원공장태양광,경남 창원시 성산구,2.966
6,61920,GMK창원공장3호태양광,경남 창원시 성산구,5.002
7,65873,명관수상태양광,경남 함안군 군북면,1.21176
8,57972,지우태양광발전소,경남 산청군 산청읍,0.9996
9,1224,동광하동태양광,경남 하동군 북천면,1.0
10,51639,일심태양광,경남 합천군 묘산면,0.099
11,72736,희망빛부북위양 제3발전기,경남 밀양시 부북면,0.6584399999999999
12,1296,DSP4호 태양광발전소,경남 합천군 가야면,0.81
13,10476,금오태양광,경남 하동군 진교면,0.49842
14,2258,제이에스파워1호태양광,경남 밀양시 초동면,0.1
15,4685,제이에스파워2호태양광,경남 진주시 사봉면,0.0972
16,2449,케이더블유에너지태양광,경남 거창군 남하면,1.69524
17,20071,레일에너지태양광,경남 김해시 한림면,1.247
18,24546,백운함양태양광,경남 함양군 백전면,1.5
19,1622,지수공장태양광,경남 진주시 지수면,1.4
20,56127,성광대독발전기,경남 고성군 고성읍,0.42458
21,46123,우리에너지 태양광,경남 하동군 횡천면,0.44625
22,71051,호포차량기지태양광,경남 양산시 동면,1.452
23,1948,진주햇빛 태양광,경남 진주시,0.3979999999999999
24,59553,진해석동정수장태양광발전기,경남 창원시 진해구,0.491
25,55946,주식회사광덕,경남 창녕군 계성면,0.39123
26,33082,세일솔라덕산태양광,경남 김해시 대동면,3.00096
27,1621,성훈철강태양광,경남 진주시 상평동,1.624
28,22667,미래개발태양광,경남 고성군 하이면,2.00112
29,34246,송산고성태양광,경남 고성군 거류면,0.246
30,1637,창녕베스틸1기태양광,경남 창녕군 대합면,2.6
31,1649,창원특수강1기태양광,경남 창원시 성산구,1.79388
32,48727,천지에너지태양광,경남 하동군 북천면,0.9984
33,48699,남해평산태양광발전소,경남 남해군 남면,0.40824
34,59902,천사태양광,경남 사천시 서포면,0.099
35,15140,대명에너지태양광,경남 하동군 북천면,1.402
36,59823,천광태양광,경남 하동군 북천면,0.498225
37,48660,남해덕월태양광발전소,경남 남해군 남면,2.5531200000000003
38,58879,진원산업개발태양광,경남 창원시 진해구,0.208
39,45018,와이피피농원에너지2호,경남 거창군 북상면,0.498
40,46469,우원솔라태양광발전기,경남 사천시 곤양면,2.73042
41,1044,넥스트에너지태양광,경남 함양군 서상면,2.00448
42,11723,명동정수장 침전지 태양광발전소,경남 김해시 한림면,0.4968
43,18505,동양4공장태양광,경남 창원시 성산구,0.986
44,35130,원동취수장태양광,경남 양산시 원동면,0.099
45,20072,레일에너지태양광6,경남 김해시 한림면,0.7074
46,20042,럭키태양광발전기,경남 거창군 고제면,0.99856
47,11716,김해명동태양광,경남 김해시 한림면,1.539
48,48603,대룡1호태양광,경남 하동군 북천면,0.9984
49,56368,지피원오호리태양광,경남 창녕군 길곡면,1.1934
50,2435,초곡태양광발전기,경남 의령군 유곡면,1.49226
51,56392,첼시4호태양광발전소,경남 의령군 대의면,1.998
52,1283,도원태양광,경남 합천군 봉산면,0.469
53,11989,나무리태양광발전소,경남 산청군 신등면,0.9657
54,35132,밀양정수장태양광,경남 밀양시 산외면,0.233
55,985,화목맑은물센터태양광,경남 김해시 김해대로,1.243
56,34344,송원발전,경남 하동군 진교면,0.49896
57,56046,무량태양광,경남 고성군 고성읍,2.3040000000000003
58,32277,성원 태양광,경남 남해군 서면,0.40736
59,18504,동양3공장태양광,경남 창원시 성산구,0.3229999999999999
60,65880,가산수상태양광,경남 밀양시 밀양대로,2.00736
61,25199,보국전자태양광,경남 김해시 진례면,0.245
62,12428,경상대가좌태양광,경남 진주시 진주대로,0.905
63,26215,덕산태양광,경남 김해시 대동면,0.7709999999999999
64,65920,해떠태양광,경남 김해시 주촌면,0.09936
65,56464,하찬캄태양광,경남 고성군 하이면,1.4994
66,56311,하이저수지수상태양광,경남 고성군 하이면,2.51856
67,66716,삼랑진양수 태양광 #2,경남 밀양시 삼랑진읍,0.53874
68,66718,삼랑진양수 태양광 #1,경남 밀양시 삼랑진읍,2.2338
69,12492,하동화력태양광,경남 하동군 금성면,1.0
70,12469,하동화력태양광5호기,경남 하동군 금남면,0.99756
71,12493,하동화력태양광4호기,경남 하동군 금남면,0.99756
72,19749,양산물류센터태양광,경남 양산시 물금읍,1.6
73,12500,하동하수처리장태양광,경남 하동군 하동읍,0.055
74,1824,양산솔라태양광,경남 양산시 물금읍,2.967
75,56222,한국일본통운태양광,경남 창원시 진해구,1.25568
76,12499,하동정수장태양광,경남 하동군 하동읍,0.093
77,35133,양산정수장태양광,경남 양산시 상북면,0.099
78,12484,하동변전소태양광,경남 하동군 적량면,0.048
79,65307,하동미래태양광,경남 하동군 고전면,0.1
80,65305,하동광성에너지,경남 하동군 양보면,0.99648
81,12501,하동공설운동장태양광,경남 함안군 법수면,0.37
82,11722,삼계정수장 침전지 태양광발전소,경남 김해시 생림대로,0.75555
83,1492,산청태양광,경남 산청군 단성면,1.0
84,65115,하늘농장15호태양광,경남 거창군 가조면,1.50255
85,35113,고성조절지태양광,경남 고성군 상리면,0.31248
86,59283,의령 참새 태양광,경남 의령군 용덕면,0.98982
87,7179,고암창녕태양광,경남 창녕군 고암면,1.4980000000000002
88,17965,코아텍시스템즈태양광,경남 창원시 성산구,0.67
89,11789,의령 까치 태양광,경남 의령군 용덕면,0.98982
90,12498,하동보건소태양광,경남 하동군 하동읍,0.04
91,61887,한국제강태양광,경남 함안군 군북면,0.998
92,40884,경남창원태양광#2,경남 창원시 성산구,0.944
