,Number,Address,Latitude and Longitude,Capacity
0,72737,희망빛단장범도 제1발전기,경남 밀양시 단장면,0.99864
1,17644,도천솔라창녕태양광,경남 창녕군 도천면,0.7929999999999999
2,150,다모아태양광,경남 의령군 대의면,1.87488
3,20578,마이솔에너지,경남 하동군 진교면,0.49896
4,61912,GMK창원공장태양광,경남 창원시 성산구,2.966
5,61920,GMK창원공장3호태양광,경남 창원시 성산구,5.002
6,65873,명관수상태양광,경남 함안군 군북면,1.21176
7,57972,지우태양광발전소,경남 산청군 산청읍,0.9996
8,1224,동광하동태양광,경남 하동군 북천면,1.0
9,72736,희망빛부북위양 제3발전기,경남 밀양시 부북면,0.6584399999999999
10,10476,금오태양광,경남 하동군 진교면,0.49842
11,2449,케이더블유에너지태양광,경남 거창군 남하면,1.69524
12,24546,백운함양태양광,경남 함양군 백전면,1.5
13,1622,지수공장태양광,경남 진주시 지수면,1.4
14,71051,호포차량기지태양광,경남 양산시 동면,1.452
15,1948,진주햇빛 태양광,경남 진주시,0.3979999999999999
16,59553,진해석동정수장태양광발전기,경남 창원시 진해구,0.491
17,33082,세일솔라덕산태양광,경남 김해시 대동면,3.00096
18,1621,성훈철강태양광,경남 진주시 상평동,1.624
19,22667,미래개발태양광,경남 고성군 하이면,2.00112
20,34246,송산고성태양광,경남 고성군 거류면,0.246
21,1637,창녕베스틸1기태양광,경남 창녕군 대합면,2.6
22,1649,창원특수강1기태양광,경남 창원시 성산구,1.79388
23,48699,남해평산태양광발전소,경남 남해군 남면,0.40824
24,59823,천광태양광,경남 하동군 북천면,0.498225
25,48660,남해덕월태양광발전소,경남 남해군 남면,2.5531200000000003
26,58879,진원산업개발태양광,경남 창원시 진해구,0.208
27,46469,우원솔라태양광발전기,경남 사천시 곤양면,2.73042
28,1044,넥스트에너지태양광,경남 함양군 서상면,2.00448
29,18505,동양4공장태양광,경남 창원시 성산구,0.986
30,35130,원동취수장태양광,경남 양산시 원동면,0.099
31,20042,럭키태양광발전기,경남 거창군 고제면,0.99856
32,11716,김해명동태양광,경남 김해시 한림면,1.539
33,56368,지피원오호리태양광,경남 창녕군 길곡면,1.1934
34,2435,초곡태양광발전기,경남 의령군 유곡면,1.49226
35,1283,도원태양광,경남 합천군 봉산면,0.469
36,11989,나무리태양광발전소,경남 산청군 신등면,0.9657
37,35132,밀양정수장태양광,경남 밀양시 산외면,0.233
38,985,화목맑은물센터태양광,경남 김해시 김해대로,1.243
39,34344,송원발전,경남 하동군 진교면,0.49896
40,18504,동양3공장태양광,경남 창원시 성산구,0.3229999999999999
41,65880,가산수상태양광,경남 밀양시 밀양대로,2.00736
42,25199,보국전자태양광,경남 김해시 진례면,0.245
43,12428,경상대가좌태양광,경남 진주시 진주대로,0.905
44,26215,덕산태양광,경남 김해시 대동면,0.7709999999999999
45,56311,하이저수지수상태양광,경남 고성군 하이면,2.51856
46,66716,삼랑진양수 태양광 #2,경남 밀양시 삼랑진읍,0.53874
47,66718,삼랑진양수 태양광 #1,경남 밀양시 삼랑진읍,2.2338
48,12492,하동화력태양광,경남 하동군 금성면,1.0
49,12469,하동화력태양광5호기,경남 하동군 금남면,0.99756
50,12493,하동화력태양광4호기,경남 하동군 금남면,0.99756
51,19749,양산물류센터태양광,경남 양산시 물금읍,1.6
52,12500,하동하수처리장태양광,경남 하동군 하동읍,0.055
53,1824,양산솔라태양광,경남 양산시 물금읍,2.967
54,56222,한국일본통운태양광,경남 창원시 진해구,1.25568
55,12499,하동정수장태양광,경남 하동군 하동읍,0.093
56,35133,양산정수장태양광,경남 양산시 상북면,0.099
57,12484,하동변전소태양광,경남 하동군 적량면,0.048
58,65307,하동미래태양광,경남 하동군 고전면,0.1
59,65305,하동광성에너지,경남 하동군 양보면,0.99648
60,12501,하동공설운동장태양광,경남 함안군 법수면,0.37
61,1492,산청태양광,경남 산청군 단성면,1.0
62,35113,고성조절지태양광,경남 고성군 상리면,0.31248
63,7179,고암창녕태양광,경남 창녕군 고암면,1.4980000000000002
64,17965,코아텍시스템즈태양광,경남 창원시 성산구,0.67
65,12498,하동보건소태양광,경남 하동군 하동읍,0.04
66,61887,한국제강태양광,경남 함안군 군북면,0.998
67,40884,경남창원태양광#2,경남 창원시 성산구,0.944
68,66143,한려태양광,경남 남해군 창선면,0.49932
69,12408,삼천포태양광#3,경남 고성군 하이면,0.35
70,12417,삼천포태양광#2,경남 고성군 하이면,0.99
71,795,가야태양광,경남 합천군 가야면,0.848
72,11721,가야테마파크주차장 태양광발전소,경남 김해시 가야테마길,0.4968
73,800,가조은혜태양광,경남 거창군 가조면,1.2
74,40885,함안태양광,경남 함안군 법수면,0.936
75,64674,두산솔라파워1호 태양광,경남 창원시 성산구,0.486
76,50060,이글스에너지태양광#1,경남 창원시 성산구,2.249
77,35121,합천댐수상태양광,경남 합천군,0.099
78,67292,합천솔라태양광,경남 합천군 가회면,1.5
79,19265,두산중공업 창원러닝센터태양광,경남 창원시 성산구,0.2993099999999999
80,66398,한빛에스지태양광,경남 거창군 웅양면,2.0
81,39235,아폴로솔라5호태양광발전소,경남 남해군 남해읍,2.24532
82,35107,합천수상태양광#2,경남 합천군 용주면,0.497
83,35126,합천수상태양광#3,경남 합천군 대병면,0.099
84,20523,거창미래태양광,경남 거창군 위천면,0.494
85,852,거창에코태양광,경남 거창군,0.998
86,16477,대한정밀 태양광발전기,경남 양산시 어곡공단4길,0.252
87,6307,덕동하수처리장태양광,경남 창원시 마산합포구 덕동동,1.2
88,1171,대한솔라태양광,경남 창원시 진해구,2.3
89,40081,양지에너지태양광,경남 하동군 고전면,0.498
90,873,곤양태양광,경남 사천시 곤양면,0.999
91,57869,정촌태양광발전소,경남 진주시 정촌면,0.40365
92,48689,티에스2호태양광발전소,경남 남해군 남면,1.21824
