,Number,Address,Latitude and Longitude,Capacity
0,950,근영산업3호태양광,광주 광산구 내동송동길,0.099
1,19804,디와이뱅크3호태양광,광주 광산구 하남산단,0.237
2,4724,한영피엔에스2호,광주광역시 광산구 하남산단7번로,0.6926399999999999
3,19803,디와이뱅크2호태양광,광주 광산구 손재로,0.35
4,2765,현대하이텍태양광발전기,광주 광산구 하남산단6번로,1.45764
5,1483,빛고을신재생2태양광,광주 광산구 본덕동,1.2990000000000002
6,1480,빛고을메트로태양광#2,광주 광산구 옥동,1.668
7,1300,디에이치글로벌첨단공장태양광,광주 북구 첨단연신로29번길,1.14444
8,62386,탑솔라2호 태양광발전소,광주 북구 첨단연신로30번길,0.24272
9,4726,한영피엔에스1호,광주광역시 광산구,1.2987
10,33309,센도리2태양광,광주 북구 첨단연신로30번길,0.07936
11,560,제이디시에너지,광주 북구 첨단벤처로60번길,0.34344
12,951,근영산업1호태양광,광주 광산구 내동송동길,0.099
13,53338,YSP B 태양광발전소,광주 광산구,0.8608
14,53337,YSP A 태양광발전소,광주 광산구,0.6336
15,944,그린테크노파크태양광,광주 북구 첨단과기로,1.5
16,69797,첨단태양광,광주 북구 첨단 연신로,0.748
17,62387,탑솔라태양광발전소,광주 북구 첨단연신로,0.9002100000000001
18,50059,해동태양광,광주 광산구 송치동,1.984
19,1643,광주FS1기태양광,광주 광산구 하남산단9번로,0.6177600000000001
20,56524,왕성테크 태양광발전소,광주 광산구 하남산단7번로,0.28908
21,19802,디와이뱅크4호태양광,광주 광산구 손재로,0.4
22,4595,한영정공1호태양광발전기,광주 광산구,0.4928399999999999
23,34436,송주솔텍태양광,광주 북구 첨단벤처로,0.494
24,2175,인팩태양광,광주 광산구 평동산단2번로,0.6352899999999999
25,61763,카본텍 태양광발전소,광주 북구 대촌동,0.21384
26,4620,디원2호태양광,광주 북구 동운로,0.0975
27,2131,은하산업 태양광발전소,광주 광산구 하남산단1번로,0.28152
28,65973,한국차량공업태양광,광주 광산구 평동산단,1.197
29,56249,영창이앤이태양광,광주 광산구 평동로,0.43416
30,1247,동신실업태양광,광주 광산구 손재로,0.35
31,56483,호원테크공장태양광,광주 광산구 평동산단2번로,1.21806
32,4596,한영정공2호태양광발전기,광주 광산구,0.4928399999999999
33,15040,대림쏠라태양광,광주 광산구 하남산단5번로,0.999011
34,33858,솔라뱅크태양광,광주 광산구 덕림동,1.497
35,20040,럭키쏠라태양광,광주 광산구 평동산단2번로,1.2144
36,48602,대각에너지태양광발전소,광주광역시 광산구 덕림동,0.6996600000000001
37,19800,디와이뱅크5호태양광,광주 광산구 하남 산단로,0.35
38,64723,플라텔 태양광 발전기,광주 광산구 평동로,0.9855
39,60106,철도솔라5호태양광,광주 광산구 장수동,0.996
