,Number,Address,Latitude and Longitude,Capacity
0,19804,디와이뱅크3호태양광,광주 광산구 하남산단,0.237
1,4724,한영피엔에스2호,광주광역시 광산구 하남산단7번로,0.6926399999999999
2,19803,디와이뱅크2호태양광,광주 광산구 손재로,0.35
3,2765,현대하이텍태양광발전기,광주 광산구 하남산단6번로,1.45764
4,1483,빛고을신재생2태양광,광주 광산구 본덕동,1.2990000000000002
5,1480,빛고을메트로태양광#2,광주 광산구 옥동,1.668
6,1300,디에이치글로벌첨단공장태양광,광주 북구 첨단연신로29번길,1.14444
7,4726,한영피엔에스1호,광주광역시 광산구,1.2987
8,560,제이디시에너지,광주 북구 첨단벤처로60번길,0.34344
9,53338,YSP B 태양광발전소,광주 광산구,0.8608
10,53337,YSP A 태양광발전소,광주 광산구,0.6336
11,944,그린테크노파크태양광,광주 북구 첨단과기로,1.5
12,69797,첨단태양광,광주 북구 첨단 연신로,0.748
13,50059,해동태양광,광주 광산구 송치동,1.984
14,1643,광주FS1기태양광,광주 광산구 하남산단9번로,0.6177600000000001
15,56524,왕성테크 태양광발전소,광주 광산구 하남산단7번로,0.28908
16,19802,디와이뱅크4호태양광,광주 광산구 손재로,0.4
17,4595,한영정공1호태양광발전기,광주 광산구,0.4928399999999999
18,34436,송주솔텍태양광,광주 북구 첨단벤처로,0.494
19,2175,인팩태양광,광주 광산구 평동산단2번로,0.6352899999999999
20,61763,카본텍 태양광발전소,광주 북구 대촌동,0.21384
21,2131,은하산업 태양광발전소,광주 광산구 하남산단1번로,0.28152
22,65973,한국차량공업태양광,광주 광산구 평동산단,1.197
23,56249,영창이앤이태양광,광주 광산구 평동로,0.43416
24,1247,동신실업태양광,광주 광산구 손재로,0.35
25,56483,호원테크공장태양광,광주 광산구 평동산단2번로,1.21806
26,4596,한영정공2호태양광발전기,광주 광산구,0.4928399999999999
27,15040,대림쏠라태양광,광주 광산구 하남산단5번로,0.999011
28,19800,디와이뱅크5호태양광,광주 광산구 하남 산단로,0.35
29,64723,플라텔 태양광 발전기,광주 광산구 평동로,0.9855
30,60106,철도솔라5호태양광,광주 광산구 장수동,0.996
