,Number,Address,Latitude and Longitude,Capacity
0,64307,포천파워소내태양광,경기 포천시 창수면,0.664
1,56023,디티이엔비 1호 태양광,경기 안성시 삼죽면,1.49796
2,56399,화성KC2호 태양광발전기,경기도 화성시 송산면,4.17582
3,29881,석정태양광발전소,경기 평택시 포승읍,0.19832
4,64251,포곡55사단태양광,경기 용인시 처인구,0.99648
5,2644,평택서부공설운동장태양광,경기 평택시 청북면,0.753
6,29864,평택2복합태양광,경기 평택시 포승읍,0.455
7,34385,송인태양광,경기 연천군 미산면,2.4786
8,56200,에버그린태양광,경기 연천군 미산면,2.4786
9,44821,옻골 태양광발전소,경기 화성시 송산면,0.25935
10,1854,에스디해바라기 태양광발전소 3호,경기 이천시 율면,2.2977
11,39379,에너지타운 태양광,경기 안산시 단원구,0.23676
12,56409,케이티화성송신소태양광,경기 화성시 서신면,2.98485
13,56130,주식회사 성진2호태양광발전소,경기도 화성시 장안면,0.432
14,930,3군사태양광,경기 용인시 처인구,1.464
15,4718,피앤이솔루션발전소,경기 수원시 권선구,0.05
16,4618,디에스4호,경기 연천군 미산면,0.8265600000000001
17,2496,콘카그린쏠라1호,경기 평택시 포스읍,1.96992
18,35123,덕소정수장정수지태양광,경기 남양주시 와부읍,1.012
19,18287,용인청정태양광,경기 용인시 처인구,1.085
20,62087,코리아로드태양광3호기,경기 용인시 수지구,1.703
21,61888,광명전기태양광,경기 안산시 단원구,0.5
22,35136,덕소정수장태양광발전기,경기 남양주시 와부읍,0.327
23,68158,해승태양광,경기 양평군 강하면,0.99645
24,35112,시흥정수장태양광#2,경기 안산시 단원구,1.31096
25,64771,피브이13호,경기도 연천군 신서면,0.4212
26,68536,해테크여주4호 태양광,경기 여주시 북내면,0.49842
27,7796,광나지태양광,경기 여주시 강천면,0.099
28,34333,송영훈 태양광,경기도 연천군 미산면,2.00022
29,54868,와초리 태양광,경기 연천군 연천읍,1.8468
30,1467,비에스케이여주햇빛발전소,경기 여주시 대신면,0.4930199999999999
31,62212,교통안전공단태양광,경기 화성시 성산면,0.9
32,41675,여주늘푸른태양광,경기 여주시 대신면,0.0994
33,778,성곡2호태양광,경기 안산시 단원구,1.99584
34,50877,이케아 고양점 태양광발전기,경기도 고양시 덕양구,0.994175
35,69838,현대태양광,경기 연천군 군남면,0.099
36,50466,이수백태양광,경기 여주시 대신면,0.0994
37,31683,성덕태양광,경기 연천군 청산면,0.099
38,61786,카피어솔라태양광,경기 파주시 파주읍,0.49533
39,56395,케이디솔라포천발전소1,경기 포천시 창수면,0.99792
40,40903,에스테루키2호태양광,경기 여주시 강천면,0.099
41,37042,신세계구성태양광,경기 용인시 기흥구,0.462
42,2964,BBTS태양광,경기 이천시 대월면,0.999
43,1578,석그린태양광발전소,경기 포천시 창수면,1.86552
44,4704,KCC중앙연구소 종합연구동태양광,경기 용인시 기흥구,1.134
45,48750,행죽태양광,경기 이천시 설성면,1.7532900000000002
46,1691,덕우수상회전식태양광,경기 화성시 봉담읍,2.656
47,4707,케이씨씨 여주태양광 제3발전소,경기 여주시 가남읍,0.84096
48,6257,KTC태양광,경기 화성시 팔탄면,1.378
49,56224,에이치알태양광발전소,경기 화성시 우정읍,2.07296
50,26700,블루2호,경기도 연천군 신서면,0.20088
51,13454,제일종축태양광,경기 이천시 부발읍,2.221
52,19801,디와이뱅크9호태양광,경기 안성시 원곡면,0.7488
53,929,605수송대대태양광,경기 포천시 이동면,1.518
54,1880,에스에이치에너지태양광,경기 광주시 곤지암읍,1.45
55,30119,김포공급센터태양광,경기 김포시 통진읍,0.09996
56,2591,팜스코태양광,경기 이천시 부발읍,2.99
57,35137,시흥정수장태양광발전기,경기 안산시 단원구,0.099
58,38771,그린오산태양광,경기 오산시 부산동,1.922
59,48662,신흥태양광발전소,경기 안성시 일죽면,1.47096
60,4708,케이씨씨 여주태양광 제4발전소,경기 여주시 가남읍,1.1103299999999998
61,18007,부지외태양광#2,경기 동두천시 광암동,0.131705
62,18006,부지외태양광#1,경기 동두천시 광암동,0.139125
63,56211,에스엘태양광,경기 안성시 삼죽면,1.90242
64,17971,트윈시스템태양광,경기 시흥시 정왕동,0.52
65,56168,신흥태양광발전기,경기 여주시 산북면,0.99648
66,35128,시화방아머리태양광,경기도 안산시 단원구,1.0404
67,55930,게이트원햇빛발전소,경기 여주시 대신면,0.4930199999999999
68,29875,안산초지태양광,경기 안산시 단원구,0.16
69,48598,(유)노령 태양광발전소,경기 여주시 점동면,0.99792
70,29872,안산와동태양광,경기 안산시 단원구,0.21
71,46898,운지솔라 북삼1호 태양광발전소,경기 연천군 왕징면,2.09088
72,29865,안산연성정수장태양광,경기 시흥시 광석동,1.49
73,29874,안산성곡태양광,경기 안산시 단원구,0.17
74,29873,안산목내태양광,경기 안산시 단원구,0.18
75,13405,농심율촌태양광,경기 평택시 포승읍,0.84
76,13404,농심포승태양광,경기 평택시 포승읍,1.27
77,49983,의정부하수처리장태양광,경기 의정부시 장곡로,0.327
78,56270,yk에너지1호,경기 시흥시 정황동,1.33385
79,2134,의정부행복태양광,경기 의정부시 장곡로,2.241
80,7929,멱곡1호태양광,경기 여주시 멱곡동,0.7904
81,21712,모든태양광,경기 안성시 미양면,0.3942
82,67825,강북아리수정수장태양광,경기 남양주시 삼패동,2.8
83,1690,멱우수상회전식태양광,경기 화성시 우정읍,2.9952
84,29871,안산공단태양광,경기 안산시 단원구,0.21
85,35135,고양정수장태양광발전기,경기 고양시 일산동구,0.268
86,67484,해님1호 태양광,경기 여주시 대신면,0.099
87,64500,늘푸른하늘태양광1호,경기 안성시 삼죽면,0.8935200000000001
88,64501,늘푸른하늘태양광2호,경기 안성시 삼죽면,0.70299
89,64502,늘푸른하늘태양광3호,경기 안성시 삼죽면,0.97236
90,47284,원일태양광,경기 포천시 내촌면,0.099
91,68058,한민고태양광,경기 파주시 광탄면,0.5429999999999999
92,66787,한양1태양광,경기 평택시 서탄면,0.4599
93,28297,삼용태양광,경기 포천시 일동면,0.491
94,48631,(유)방장 태양광발전소,경기 여주시 점동면,0.99792
95,56142,솔라팩토리3태양광,경기 포천시 창수면,1.30176
96,30127,지축차량기지태양광,경기 고양시 덕양구,1.992
97,39381,안산하수처리시설태양광,경기 안산시 단원구,1.248
98,15017,대륜발전1호태양광,경기 의정부시 민락로,0.25
99,39382,안산정수장태양광,경기 안산시 단원구,0.537
100,56105,삼마여주2호,경기 여주시 북내면,2.99592
101,38548,썬플러스5호 두일리태양광,경기 연천군 백학면,2.02176
102,57104,준태양광 왕징7호,경기 포천시 왕징면,1.81818
103,1944,린컴퍼니태양광,경기 이천시 부발읍,0.402
104,1522,삼천리광명태양광,경기도 광명시 자경로,0.1734
105,18479,동안이젠태양광발전소,경기 김포시 양촌읍,1.86975
106,48698,(유)여주케이원솔라 태양광발전소,경기 여주시 점동면,0.49896
107,61947,리콘타태양광,경기 여주시 점동면,0.78
108,1040,세일GAT솔라태양광#1,경기 이천시 초지리,4.386
109,2642,월곶2차태양광,경기 시흥시 월곶동,0.74052
110,7018,고래태양광,경기 안산시 단원구,0.0972799999999999
111,28342,삼이일태양광발전소,경기 여주시 점동면,0.09832
112,38934,아리랑태양광발전소 주식회사,경기 여주시 대신면,1.99584
113,58746,진에너지태양광,경기 포천시 영북면,0.099
114,4695,주영태양광PV,경기 안산시 단원구,0.2339099999999999
115,33872,노곡리1호 태양광발전소,경기 연천군 백학면,1.998
116,18008,동두천드림태양광,경기 동두천시 광암동,1.591
117,1112,대륜발전3호태양광,경기 양주시 화합로,0.564
118,55981,다인햇빛발전소,경기 여주시 대신면,0.4930199999999999
119,66869,한온시스템 평택공장 태양광 발전소,경기도 평택시 포승읍,1.15344
