,Number,Address,Latitude and Longitude,Capacity
0,64307,포천파워소내태양광,경기 포천시 창수면,0.664
1,56023,디티이엔비 1호 태양광,경기 안성시 삼죽면,1.49796
2,29881,석정태양광발전소,경기 평택시 포승읍,0.19832
3,64251,포곡55사단태양광,경기 용인시 처인구,0.99648
4,2644,평택서부공설운동장태양광,경기 평택시 청북면,0.753
5,29864,평택2복합태양광,경기 평택시 포승읍,0.455
6,34385,송인태양광,경기 연천군 미산면,2.4786
7,56200,에버그린태양광,경기 연천군 미산면,2.4786
8,44821,옻골 태양광발전소,경기 화성시 송산면,0.25935
9,1854,에스디해바라기 태양광발전소 3호,경기 이천시 율면,2.2977
10,56409,케이티화성송신소태양광,경기 화성시 서신면,2.98485
11,930,3군사태양광,경기 용인시 처인구,1.464
12,4618,디에스4호,경기 연천군 미산면,0.8265600000000001
13,2496,콘카그린쏠라1호,경기 평택시 포스읍,1.96992
14,35123,덕소정수장정수지태양광,경기 남양주시 와부읍,1.012
15,18287,용인청정태양광,경기 용인시 처인구,1.085
16,62087,코리아로드태양광3호기,경기 용인시 수지구,1.703
17,61888,광명전기태양광,경기 안산시 단원구,0.5
18,35136,덕소정수장태양광발전기,경기 남양주시 와부읍,0.327
19,64771,피브이13호,경기도 연천군 신서면,0.4212
20,54868,와초리 태양광,경기 연천군 연천읍,1.8468
21,62212,교통안전공단태양광,경기 화성시 성산면,0.9
22,50877,이케아 고양점 태양광발전기,경기도 고양시 덕양구,0.994175
23,61786,카피어솔라태양광,경기 파주시 파주읍,0.49533
24,37042,신세계구성태양광,경기 용인시 기흥구,0.462
25,2964,BBTS태양광,경기 이천시 대월면,0.999
26,1578,석그린태양광발전소,경기 포천시 창수면,1.86552
27,4704,KCC중앙연구소 종합연구동태양광,경기 용인시 기흥구,1.134
28,48750,행죽태양광,경기 이천시 설성면,1.7532900000000002
29,1691,덕우수상회전식태양광,경기 화성시 봉담읍,2.656
30,4707,케이씨씨 여주태양광 제3발전소,경기 여주시 가남읍,0.84096
31,6257,KTC태양광,경기 화성시 팔탄면,1.378
32,56224,에이치알태양광발전소,경기 화성시 우정읍,2.07296
33,26700,블루2호,경기도 연천군 신서면,0.20088
34,13454,제일종축태양광,경기 이천시 부발읍,2.221
35,19801,디와이뱅크9호태양광,경기 안성시 원곡면,0.7488
36,929,605수송대대태양광,경기 포천시 이동면,1.518
37,1880,에스에이치에너지태양광,경기 광주시 곤지암읍,1.45
38,30119,김포공급센터태양광,경기 김포시 통진읍,0.09996
39,2591,팜스코태양광,경기 이천시 부발읍,2.99
40,35137,시흥정수장태양광발전기,경기 안산시 단원구,0.099
41,38771,그린오산태양광,경기 오산시 부산동,1.922
42,48662,신흥태양광발전소,경기 안성시 일죽면,1.47096
43,4708,케이씨씨 여주태양광 제4발전소,경기 여주시 가남읍,1.1103299999999998
44,18007,부지외태양광#2,경기 동두천시 광암동,0.131705
45,18006,부지외태양광#1,경기 동두천시 광암동,0.139125
46,56211,에스엘태양광,경기 안성시 삼죽면,1.90242
47,17971,트윈시스템태양광,경기 시흥시 정왕동,0.52
48,56168,신흥태양광발전기,경기 여주시 산북면,0.99648
49,29875,안산초지태양광,경기 안산시 단원구,0.16
50,29872,안산와동태양광,경기 안산시 단원구,0.21
51,46898,운지솔라 북삼1호 태양광발전소,경기 연천군 왕징면,2.09088
52,29865,안산연성정수장태양광,경기 시흥시 광석동,1.49
53,29874,안산성곡태양광,경기 안산시 단원구,0.17
54,29873,안산목내태양광,경기 안산시 단원구,0.18
55,13405,농심율촌태양광,경기 평택시 포승읍,0.84
56,13404,농심포승태양광,경기 평택시 포승읍,1.27
57,49983,의정부하수처리장태양광,경기 의정부시 장곡로,0.327
58,56270,yk에너지1호,경기 시흥시 정황동,1.33385
59,2134,의정부행복태양광,경기 의정부시 장곡로,2.241
60,7929,멱곡1호태양광,경기 여주시 멱곡동,0.7904
61,67825,강북아리수정수장태양광,경기 남양주시 삼패동,2.8
62,1690,멱우수상회전식태양광,경기 화성시 우정읍,2.9952
63,29871,안산공단태양광,경기 안산시 단원구,0.21
64,35135,고양정수장태양광발전기,경기 고양시 일산동구,0.268
65,64500,늘푸른하늘태양광1호,경기 안성시 삼죽면,0.8935200000000001
66,64501,늘푸른하늘태양광2호,경기 안성시 삼죽면,0.70299
67,64502,늘푸른하늘태양광3호,경기 안성시 삼죽면,0.97236
68,68058,한민고태양광,경기 파주시 광탄면,0.5429999999999999
69,66787,한양1태양광,경기 평택시 서탄면,0.4599
70,28297,삼용태양광,경기 포천시 일동면,0.491
71,30127,지축차량기지태양광,경기 고양시 덕양구,1.992
72,39381,안산하수처리시설태양광,경기 안산시 단원구,1.248
73,15017,대륜발전1호태양광,경기 의정부시 민락로,0.25
74,39382,안산정수장태양광,경기 안산시 단원구,0.537
75,38548,썬플러스5호 두일리태양광,경기 연천군 백학면,2.02176
76,57104,준태양광 왕징7호,경기 포천시 왕징면,1.81818
77,1944,린컴퍼니태양광,경기 이천시 부발읍,0.402
78,1522,삼천리광명태양광,경기도 광명시 자경로,0.1734
79,18479,동안이젠태양광발전소,경기 김포시 양촌읍,1.86975
80,61947,리콘타태양광,경기 여주시 점동면,0.78
81,1040,세일GAT솔라태양광#1,경기 이천시 초지리,4.386
82,2642,월곶2차태양광,경기 시흥시 월곶동,0.74052
83,38934,아리랑태양광발전소 주식회사,경기 여주시 대신면,1.99584
84,33872,노곡리1호 태양광발전소,경기 연천군 백학면,1.998
85,18008,동두천드림태양광,경기 동두천시 광암동,1.591
86,1112,대륜발전3호태양광,경기 양주시 화합로,0.564
87,66869,한온시스템 평택공장 태양광 발전소,경기도 평택시 포승읍,1.15344
