,번호,발전기명,설비용량(MW),광역지역,세부지역,latitude,longitude
0,28271,삼영고성태양광,0.3,강원,강원 고성군 토성면,38.25729,128.5589
1,2191,자혜태양광,0.99495,강원,강원 양구군 해안면,38.285168,128.13713
2,56221,사곡태양광,1.643,강원,강원 철원군 근남면,38.23709,127.47105400000001
3,56310,이에쓰태양광,1.423,강원,강원 고성군 거진읍,38.43614,128.45256
4,4601,간성흘리찰리태양광,0.99864,강원,강원 고성군 간성읍,38.378384,128.46686
5,64673,고성태양광발전소,0.99,강원,강원 고성군 토성면,38.25729,128.5589
6,4600,간성흘리에코태양광,0.98892,강원,강원 고성군 간성읍,38.378384,128.46686
7,27755,간촌리 지선 태양광,1.6556400000000002,강원,강원 고성군 거진읍,38.43614,128.45256
8,49176,율이동태양광,0.996,강원,강원 철원군 철원읍,38.212097,127.212746
9,63626,토성1호태양광,0.0992,강원,강원 고성군 토성면,38.25729,128.5589
10,52080,고성발전소,0.496,강원,강원 고성군 죽왕면,38.328766,128.52518
11,40923,에스플래닛십호 태양광발전소,1.19925,강원,강원 고성군 현내면,38.494152,128.42752
12,38546,썬플러스 7호,1.4976,강원,강원 고성군 토성면,38.25729,128.5589
13,56292,유림이피씨 해상태양광발전소,0.99756,강원,강원 고성군 간성읍,38.378384,128.46686
14,63627,토성2호태양광,0.0992,강원,강원 고성군 토성면,38.25729,128.5589
15,49177,율이서태양광,0.996,강원,강원 철원군 율이리,38.219307,127.17845
16,2122,율이리태양광,2.03904,강원,강원 철원군 철원읍,38.212097,127.212746
17,26700,블루2호,0.20088,경기,경기도 연천군 신서면,38.18297,127.10703999999998
18,64771,피브이13호,0.4212,경기,경기도 연천군 신서면,38.18297,127.10703999999998
19,12474,부산복합자재창고태양광,0.187,부산,부산 사하구 감천항로,35.0695,128.99043
20,4063,SANC에너지1호태양광,1.831,부산,부산 기장군 기장읍,35.238712,129.21587
21,1466,비에스케이햇빛발전소,0.4588,부산,부산 기장군 장안읍,35.313927,129.24403
22,12470,부산복합태양광2단계,0.50184,부산,부산 사하구 감천항로,35.0695,128.99043
23,1449,유니온스틸부산공장태양광,2.7060000000000004,부산,부산 남구 신선로,35.113102,129.0959
24,42772,영양2태양광발전기,0.49896,부산,부산 해운대구 센텀중앙로,35.1752,129.12566999999999
25,18272,울산#4CC건물옥상태양광,0.40392,울산,울산 남구 용잠로,35.494568,129.3755
26,42342,YES동부울산태양광,1.11996,울산,울산 남구 매암동,35.511673,129.37714
27,43476,예빛태양광,0.25,제주,제주 서귀포시 대정읍,33.22667,126.25181599999999
28,18910,동캐1호태양광,0.099,제주,제주 서귀포시 대정읍,33.22667,126.25181599999999
29,36506,신광2호태양광,0.6633899999999999,제주,제주 서귀포시 남원읍,33.279884,126.720665
30,1269,제주동진태양광,0.5,제주,제주 서귀포시 대정읍,33.22667,126.25181599999999
31,1544,서광신도태양광,0.302,제주,제주 서귀포시 대정읍,33.22667,126.25181599999999
32,64314,표선2호 태양광,0.09827999999999999,제주,제주특별자치도 서귀포시 표선면,33.326717,126.83098000000001
33,57759,지성태양광발전소,0.2592,제주,제주 서귀포시 안덕면,33.257626,126.33067
34,1531,상은태양광,2.99646,제주,제주 서귀포시 표선면,33.326717,126.83098000000001
35,56771,주현3호태양광,0.2997,제주,제주 서귀포시 대정읍,33.22667,126.25181599999999
36,67661,해든햇빛태양광,0.1998,제주,제주 서귀포시 대정읍,33.22667,126.25181599999999
37,4691,89호태양광,0.92456,제주,제주 서귀포시 남원읍,33.279884,126.720665
38,65408,하산태양광,0.099,제주,제주 서귀포시 대정읍,33.22667,126.25181599999999
39,47822,위미태양광b,0.70308,제주,제주 서귀포시 남원읍,33.279884,126.720665
40,56769,주현2호태양광,0.09936,제주,제주 서귀포시 대정읍,33.22667,126.25181599999999
41,18911,동캐2호태양광,0.099,제주,제주 서귀포시 대정읍,33.22667,126.25181599999999
42,34664,수경태양광발전소,0.17952,제주,제주 서귀포시 대정읍,33.22667,126.25181599999999
43,1545,서광무릉태양광,0.518,제주,제주 서귀포시 대정읍,33.22667,126.25181599999999
44,22030,무릉중앙태양광,0.49700000000000005,제주,제주 서귀포시 대정읍,33.22667,126.25181599999999
45,47821,위미태양광,0.5,제주,제주 서귀포시 남원읍,33.279884,126.720665
46,58579,무릉1태양광,0.4464,제주,제주 서귀포시 대정읍,33.22667,126.25181599999999
47,36505,신광1호태양광,0.6974100000000001,제주,제주 서귀포시 남원읍,33.279884,126.720665
48,43312,영화에너지,0.09984,제주,제주 서귀포시 표선면,33.326717,126.83098000000001
49,973,금학일태양광,1.4969999999999999,제주,제주 서귀포시 남원읍,33.279884,126.720665
50,5640,강석1호태양광,0.099,제주,제주 서귀포시 남원읍,33.279884,126.720665
51,19010,동현햇빛 발전기,0.46008000000000004,제주,제주 서귀포시 안덕면,33.257626,126.33067
52,8754,구억태양광발전소,0.29835,제주,제주 서귀포시 대정읍,33.22667,126.25181599999999
53,5952,거북태양광발전소,0.4995,제주,제주특별자치도 서귀포시 표선면,33.326717,126.83098000000001
54,51184,인성리마을회태양광,0.059000000000000004,제주,제주 서귀포시 대정읍,33.22667,126.25181599999999
55,29100,상익1호태양광,0.075,제주,제주 서귀포시 표선면,33.326717,126.83098000000001
56,49364,은서태양광,0.098,제주,제주 서귀포시 대정읍,33.22392,126.249554
57,65985,한국탄소배출권거래소태양광,2.99646,제주,제주 서귀포시 표선면,33.326717,126.83098000000001
58,4688,131호태양광,0.455,제주,제주특별자치도 서귀포시 남원읍,33.279884,126.720665
59,55190,하예1호태양광,0.45,제주,제주 서귀포시 하예동,33.24121,126.378716
60,1543,서광동일태양광,0.55,제주,제주 서귀포시 대정읍,33.22667,126.25181599999999
61,20006,란 태양광,0.1971,제주,제주 서귀포시 대정읍,33.22667,126.25181599999999
