,date,hour,61899,56271,65582,1996
0,20191201.0,1.0,0.0,0.0,0.0,0.0
1,20191201.0,2.0,0.0,0.0,0.0,0.0
2,20191201.0,3.0,0.0,0.0,0.0,0.0
3,20191201.0,4.0,0.0,0.0,0.0,0.0
4,20191201.0,5.0,0.0,0.0,0.0,0.0
5,20191201.0,6.0,0.0,0.0,0.0,0.0
6,20191201.0,7.0,0.0,0.0,0.0,0.0
7,20191201.0,8.0,0.0072,0.0126,0.00468,0.0102
8,20191201.0,9.0,0.1656,0.1944,0.25848,0.11208
9,20191201.0,10.0,0.2268,0.2646,0.46116,0.24228
10,20191201.0,11.0,0.2088,0.2502,0.37764,0.22404
11,20191201.0,12.0,0.1926,0.225,0.38844,0.19236
12,20191201.0,13.0,0.126,0.1512,0.24696,0.11532
13,20191201.0,14.0,0.0756,0.0936,0.15192,0.0816
14,20191201.0,15.0,0.0594,0.0792,0.12888,0.05304
15,20191201.0,16.0,0.027,0.0396,0.07164,0.033
16,20191201.0,17.0,0.0,0.0054,0.0,0.01596
17,20191201.0,18.0,0.0,0.0,0.0,0.00024
18,20191201.0,19.0,0.0,0.0,0.0,0.0
19,20191201.0,20.0,0.0,0.0,0.0,0.0
20,20191201.0,21.0,0.0,0.0,0.0,0.0
21,20191201.0,22.0,0.0,0.0,0.0,0.0
22,20191201.0,23.0,0.0,0.0,0.0,0.0
23,20191201.0,24.0,0.0,0.0,0.0,0.0
24,20191202.0,1.0,0.0,0.0,0.0,0.0
25,20191202.0,2.0,0.0,0.0,0.0,0.0
26,20191202.0,3.0,0.0,0.0,0.0,0.0
27,20191202.0,4.0,0.0,0.0,0.0,0.0
28,20191202.0,5.0,0.0,0.0,0.0,0.0
29,20191202.0,6.0,0.0,0.0,0.0,0.0
30,20191202.0,7.0,0.0,0.0,0.0,0.0
31,20191202.0,8.0,0.0,0.0018,0.0,0.0018
32,20191202.0,9.0,0.1566,0.1692,0.21636,0.07656
33,20191202.0,10.0,0.5994,0.5382,1.1214,0.21864
34,20191202.0,11.0,0.6462,0.5724,1.44828,0.49764
35,20191202.0,12.0,1.0098,0.909,2.26188,0.67932
36,20191202.0,13.0,1.1844,1.0854,2.475,0.912
37,20191202.0,14.0,1.0728,0.9684,2.5866,0.8922
38,20191202.0,15.0,0.8118,0.7434,2.10096,0.46992
39,20191202.0,16.0,0.288,0.2988,0.74988,0.27828
40,20191202.0,17.0,0.0936,0.1026,0.24408,0.0426
41,20191202.0,18.0,0.0,0.0018,0.00288,0.00012
42,20191202.0,19.0,0.0,0.0,0.0,0.0
43,20191202.0,20.0,0.0,0.0,0.0,0.0
44,20191202.0,21.0,0.0,0.0,0.0,0.0
45,20191202.0,22.0,0.0,0.0,0.0,0.0
46,20191202.0,23.0,0.0,0.0,0.0,0.0
47,20191202.0,24.0,0.0,0.0,0.0,0.0
48,20191203.0,1.0,0.0,0.0,0.0,0.0
49,20191203.0,2.0,0.0,0.0,0.0,0.0
50,20191203.0,3.0,0.0,0.0,0.0,0.0
51,20191203.0,4.0,0.0,0.0,0.0,0.0
52,20191203.0,5.0,0.0,0.0,0.0,0.0
53,20191203.0,6.0,0.0,0.0,0.0,0.0
54,20191203.0,7.0,0.0,0.0,0.0,0.0
55,20191203.0,8.0,0.0072,0.0216,0.00864,0.01092
56,20191203.0,9.0,0.1674,0.207,0.34092,0.13728
57,20191203.0,10.0,0.4158,0.4266,0.6912,0.28596
58,20191203.0,11.0,0.6444,0.6372,1.23624,0.33048
59,20191203.0,12.0,0.4698,0.54,1.21896,0.54876
60,20191203.0,13.0,0.3924,0.4104,1.05408,0.19572
61,20191203.0,14.0,0.4518,0.5562,1.1671200000000002,0.27984
62,20191203.0,15.0,0.3186,0.36,0.65088,0.03972
63,20191203.0,16.0,0.009,0.0162,0.03816,0.02688
64,20191203.0,17.0,0.0,0.0,0.0,0.00204
65,20191203.0,18.0,0.0,0.0,0.0,0.0
66,20191203.0,19.0,0.0,0.0,0.0,0.0
67,20191203.0,20.0,0.0,0.0,0.0,0.0
68,20191203.0,21.0,0.0,0.0,0.0,0.0
69,20191203.0,22.0,0.0,0.0,0.0,0.0
70,20191203.0,23.0,0.0,0.0,0.0,0.0
71,20191203.0,24.0,0.0,0.0,0.0,0.0
72,20191204.0,1.0,0.0,0.0,0.0,0.0
73,20191204.0,2.0,0.0,0.0,0.0,0.0
74,20191204.0,3.0,0.0,0.0,0.0,0.0
75,20191204.0,4.0,0.0,0.0,0.0,0.0
76,20191204.0,5.0,0.0,0.0,0.0,0.0
77,20191204.0,6.0,0.0,0.0,0.0,0.0
78,20191204.0,7.0,0.0,0.0,0.0,0.0
79,20191204.0,8.0,0.0018,0.0036,0.0,0.00576
80,20191204.0,9.0,0.162,0.1674,0.22428,0.09936
81,20191204.0,10.0,0.6012,0.5328,1.1178,0.31248
82,20191204.0,11.0,0.9216,0.8352,1.87668,0.69396
83,20191204.0,12.0,1.0836,1.0062,2.28744,0.83868
84,20191204.0,13.0,1.107,1.0296,2.48436,0.88944
85,20191204.0,14.0,0.945,0.9108,2.18016,0.8353200000000001
86,20191204.0,15.0,0.8352,0.7559999999999999,2.0628,0.6588
87,20191204.0,16.0,0.378,0.3492,1.10232,0.2076
88,20191204.0,17.0,0.0594,0.0774,0.171,0.0342
89,20191204.0,18.0,0.0,0.0,0.00468,0.0
90,20191204.0,19.0,0.0,0.0,0.0,0.0
91,20191204.0,20.0,0.0,0.0,0.0,0.0
92,20191204.0,21.0,0.0,0.0,0.0,0.0
93,20191204.0,22.0,0.0,0.0,0.0,0.0
94,20191204.0,23.0,0.0,0.0,0.0,0.0
95,20191204.0,24.0,0.0,0.0,0.0,0.0
96,20191205.0,1.0,0.0,0.0,0.0,0.0
97,20191205.0,2.0,0.0,0.0,0.0,0.0
98,20191205.0,3.0,0.0,0.0,0.0,0.0
99,20191205.0,4.0,0.0,0.0,0.0,0.0
100,20191205.0,5.0,0.0,0.0,0.0,0.0
101,20191205.0,6.0,0.0,0.0,0.0,0.0
102,20191205.0,7.0,0.0,0.0,0.0,0.0
103,20191205.0,8.0,0.0054,0.0216,0.00468,0.0075599999999999
104,20191205.0,9.0,0.2106,0.234,0.32832,0.16224
105,20191205.0,10.0,0.6192,0.5579999999999999,1.215,0.4491600000000001
106,20191205.0,11.0,0.936,0.846,1.90224,0.69972
