,date,hour,48683,4711,65561,56280,42342,18272,2065
0,20191201.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,20191201.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,20191201.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,20191201.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,20191201.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,20191201.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,20191201.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,20191201.0,8.0,0.012,0.0054,0.0,0.00072,0.00096,0.00072,0.0
8,20191201.0,9.0,0.0528,0.0252,0.00108,0.01368,0.0163199999999999,0.00468,0.018792
9,20191201.0,10.0,0.2424,0.1188,0.01044,0.0604799999999999,0.0768,0.0252,0.061488
10,20191201.0,11.0,0.3336,0.198,0.02736,0.07992,0.10848,0.04392,0.080712
11,20191201.0,12.0,0.3720000000000001,0.1062,0.02124,0.0936,0.12672,0.05292,0.106344
12,20191201.0,13.0,0.4992,0.1602,0.0338399999999999,0.11448,0.15744,0.06336,0.16164
13,20191201.0,14.0,0.2568,0.1026,0.01764,0.0648,0.08352,0.03276,0.07596
14,20191201.0,15.0,0.0936,0.0558,0.00936,0.02808,0.02976,0.0075599999999999,0.023976
15,20191201.0,16.0,0.0216,0.009,0.00036,0.00216,0.0076799999999999,0.00288,0.00288
16,20191201.0,17.0,0.0,0.0018,0.0,0.0,0.0,0.00072,0.00036
17,20191201.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,20191201.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,20191201.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,20191201.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,20191201.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,20191201.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,20191201.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,20191202.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,20191202.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,20191202.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,20191202.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,20191202.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,20191202.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
