번호,발전기명,설비용량(MW),광역지역,세부지역
6265,결실 태양광발전소,0.29376,강원,강원 강릉시 성산면
56016,디에스태양광5호,0.97236,강원,강원 철원군 갈말읍
28271,삼영고성태양광,0.3,강원,강원 고성군 토성면
2191,자혜태양광,0.99495,강원,강원 양구군 해안면
4202,SKY 태양광,0.29784,강원,강원 강릉시 강동면
56207,자등2태양광발전소,0.49896,강원,강원 철원군 서면
56155,SW1 태양광 발전기,2.29383,강원,강원 홍천군 내면
56110,삼척장전태양광,0.45288,강원,강원 삼척시 하장면
62635,태두 태양광,0.09864,강원,강원도 인제군 인제읍
26516,북산태양광발전소,0.096,강원,강원도 춘천시 북산면
56221,사곡태양광,1.643,강원,강원 철원군 근남면
41018,강릉제일솔라3호,0.4896,강원,강원 강릉시 사천면
4609,태백6호태양광발전소,0.8532,강원,강원 태백시 통동
33505,소매곡리태양광,0.343,강원,강원 홍천군 북방면
56069,민결 태양광발전소,0.91324,강원,강원도 원주시 호저면
7529,공산쏠라2 태양광,0.999,강원,강원 원주시 소초면
4621,리치1호 태양광발전,1.50732,강원,강원 정선군 신동읍
3309,북평태양광,2.9952,강원,강원 동해시 구호동
1378,미래태양광,3.00294,강원,강원 춘천시 퇴계농공로
68064,춘천정비부대태양광#1,0.501,강원,강원 춘천시 신동면
64773,피브이플랜트5호,0.89872,강원,강원 횡성군 갑천면
1456,제1야수교태양광,2.349,강원,강원 홍천군 동면
1460,내린천4태양광,2.08512,강원,강원 홍천군 내면
68062,춘천정비부대태양광#2,0.418,강원,강원 춘천시 신동면
8320,광진쏠라4호태양광,2.4947,강원,강원 횡성군 서원면
1293,디에스태양광3호,0.97236,강원,강원 철원군 갈말읍
56384,청명5호태양광,2.74752,강원,강원 원주시 소초면
56329,정선솔라팜태양광,2.0001,강원,강원 정선군 영량면
35134,관대리습지형수상태양광,0.1113,강원,강원 인제군 남면
28465,삼척태양광,2.2032,강원,강원 삼척시 근덕면
328,(유)선그린태백5호,0.8532,강원,강원도 태백시 통동
56310,이에쓰태양광,1.423,강원,강원 고성군 거진읍
55174,문막포진리태양광발전소,1.50453,강원,강원 원주시 문막읍
4601,간성흘리찰리태양광,0.99864,강원,강원 고성군 간성읍
1407,백광영월신재생,0.998,강원,강원 영월군 문곡리
64673,고성태양광발전소,0.99,강원,강원 고성군 토성면
38687,씨그마렌텍2영월태양광,1.76679,강원,강원 영월군 남면
64778,피브이플랜트8호,0.89872,강원,강원 횡성군 갑천면
2318,준규솔라태양광,3.00352,강원,강원 홍천군 내면
35108,황지태양광,0.048,강원,강원 태백시
55972,관동대 태양광발전소,1.963125,강원,강원 강릉시 내곡동
21395,원주그린솔라태양광,2.46375,강원,강원 원주시 부론면
4600,간성흘리에코태양광,0.98892,강원,강원 고성군 간성읍
28175,삼성솔라ENS,2.002,강원,강원 강릉시 강동면
4627,현대인구리태양광발전소,2.0169,강원,강원 양양군 현남면
58224,지혜2호 태양광발전소,0.99792,강원,강원도 정선군 사북읍
12485,삼척소내태양광#4,2.5992,강원,강원 삼척시 원덕읍
29293,중봉SG태양광,0.994175,강원,강원 삼척시 하장면
56243,준서 태양광,0.9792,강원,강원 홍천군 북방면
4083,SD에너지태양광,1.4994,강원,강원 인제군 인제읍
28461,삼척GES태양광,0.9982,강원,강원 삼척시 근덕면
1524,삼호태양광발전,2.001,강원,강원 삼척시 원덕읍
4628,내린천3태양광,2.50074,강원,강원 홍천군 내면
56428,태양 태양광발전소,2.20095,강원,강원 강릉시 왕산면
58223,지혜1호 태양광발전소,0.99792,강원,강원도 정선군 사북읍
55993,대한에너지3호,0.99792,강원,강원 태백시 원동
12473,삼척소내태양광#3,2.00232,강원,강원 삼척시 원덕읍
56101,사북하늘2호 태양광발전소,0.99792,강원,강원도 정선군 사북읍
31483,섬진2호태양광,0.4788,강원,강원 평창군 평창읍
1379,미래영월태양광,0.998,강원,강원 영월군 문곡리
47489,원희태양광,0.4788,강원,강원 평창군 평창읍
45883,용화에너지 태양광발전기,0.868,강원,강원 영월군
17811,동강태양광,0.099,강원,강원 영월군 주천면
38688,씨그마렌텍3원주태양광,2.38734,강원,강원 원주시 호저면
4698,태백4호,0.9408,강원,강원도 태백시 통동
21124,철원3태양광,1.37376,강원,강원 철원군 갈말읍
12476,영월 철도부지 태양광,1.1907,강원,강원 영월군 영월읍
42426,영동에너지태양광,0.0992,강원,강원 횡성군 서원면
12782,남전인제태양광,0.3,강원,강원 인제군 남면
12480,삼척소내태양광#2,0.99045,강원,강원 삼척시 원덕읍
56113,서강3호 태양광,0.49932,강원,강원 강릉시 강동면
56438,테라에너지제이호태양광,0.99792,강원,강원 태백시 원동
27755,간촌리 지선 태양광,1.65564,강원,강원 고성군 거진읍
1203,덕원영월태양광,0.998,강원,강원 영월군 문곡리
9105,궁촌2태양광,0.099,강원,강원 삼척시 근덕면
56028,봉평이 태양광,0.999,강원,강원도 평창군 봉평면
26135,부귀리태양광,0.06144,강원,강원 춘천시 북산면
61397,춘천태양광,2.898,강원,강원 춘천시 송암동
56447,티제이태양광,0.47952,강원,강원 삼척시 하장면
5695,현천리태양광,0.80512,강원,강원 횡성군 둔내면
56408,kt원주연수원 태양광,0.3216,강원,강원 원주시 행구덕현길
355,솔라파크원주태양광,1.91808,강원,강원 원주시 부론면
2221,정옥햇빛태양광,2.298,강원,강원 정선군 임계면
260,방동태양광,2.7922,강원,강원 삼척시 하장면
67726,강릉1호태양광발전기,1.45044,강원,강원 강릉시 강동면
2720,무이태양광발전소,1.48104,강원,강원 평창군 봉평면
4619,디에스태양광6호,0.99234,강원,강원 인제군 기린면
64786,제일솔라1호태양광,0.4896,강원,강원 강릉시 사천면
56060,삼척그린태양광,0.3996,강원,강원 삼척시 하장면
49176,율이동태양광,0.996,강원,강원 철원군 철원읍
63626,토성1호태양광,0.0992,강원,강원 고성군 토성면
2635,한국오지케이 태양광발전소,0.25137,강원,강원 원주시 지정면
52080,고성발전소,0.496,강원,강원 고성군 죽왕면
1408,백광영월태양광,0.996,강원,강원 영월군 문곡리
56029,봉평일 태양광,0.999,강원,강원도 평창군 봉평면
7928,도마리1호태양광,2.106,강원,강원 강릉시 왕산면
1884,에스엘피양지태양광,1.85121,강원,강원 원주시 흥업면
56449,화암태양광발전소 10호기,0.0992,강원,강원 정선군 화암면
28176,삼성파워1호태양광,2.496,강원,강원 강릉시 강동면
12489,삼척그린파워태양광,0.999,강원,강원 삼척시 원덕읍
35594,순자태양광발전소,0.09928,강원,강원 영월군 남면
29294,유천SG태양광,2.031575,강원,강원 정선군 여량면
5555,강릉제일솔라4호태양광,0.09909,강원,강원 강릉시 사천면
18270,동해시하수종말처리장태양광,2.417,강원,강원 동해시 공단1로
64774,피브이플랜트6호,0.89872,강원,강원 횡성군 갑천면
18280,동해바이오화력본부 태양광,1.992,강원,강원도 동해시
67119,지동리북 태양광발전소,0.99858,강원,강원 평창군 평창읍
56279,웅이태양광,0.99981,강원,강원 삼척시 하장면
1461,내린천태양광,1.41696,강원,강원 홍천군 내면
28170,삼성솔라2호태양광,0.998,강원,강원 양양군 현남면
40923,에스플래닛십호 태양광발전소,1.19925,강원,강원 고성군 현내면
29655,서강2호 태양광,0.49932,강원,강원 강릉시 강동면
44949,와이엔솔라태양광,2.00196,강원,강원 춘천시 신북읍
