,Location,place,Date,Temp,Wind,Humid,Cloud
0,105,강릉,2019-12-01 0:00,9.2,0.5,33.0,10.0
1,105,강릉,2019-12-01 1:00,9.0,1.4,35.0,10.0
2,105,강릉,2019-12-01 2:00,8.9,2.4,30.0,10.0
3,105,강릉,2019-12-01 3:00,8.5,4.4,34.0,10.0
4,105,강릉,2019-12-01 4:00,8.5,2.8,41.0,10.0
5,105,강릉,2019-12-01 5:00,8.2,3.4,44.0,10.0
6,105,강릉,2019-12-01 6:00,7.8,2.5,47.0,10.0
7,105,강릉,2019-12-01 7:00,7.7,2.8,53.0,10.0
8,105,강릉,2019-12-01 8:00,7.8,4.5,55.0,10.0
9,105,강릉,2019-12-01 9:00,8.0,3.0,58.0,10.0
10,105,강릉,2019-12-01 10:00,8.3,3.4,58.0,10.0
11,105,강릉,2019-12-01 11:00,8.8,1.8,58.0,10.0
12,105,강릉,2019-12-01 12:00,9.2,1.1,57.0,10.0
13,105,강릉,2019-12-01 13:00,9.6,1.5,56.0,10.0
14,105,강릉,2019-12-01 14:00,9.7,0.4,56.0,10.0
15,105,강릉,2019-12-01 15:00,9.4,1.3,61.0,10.0
16,105,강릉,2019-12-01 16:00,9.3,1.0,59.0,10.0
17,105,강릉,2019-12-01 17:00,9.2,1.0,62.0,10.0
18,105,강릉,2019-12-01 18:00,8.6,2.0,68.0,10.0
19,105,강릉,2019-12-01 19:00,8.2,1.1,71.0,10.0
20,105,강릉,2019-12-01 20:00,7.8,0.3,75.0,10.0
21,105,강릉,2019-12-01 21:00,7.7,0.8,75.0,10.0
22,105,강릉,2019-12-01 22:00,7.6,1.0,77.0,10.0
23,105,강릉,2019-12-01 23:00,7.9,2.0,69.0,10.0
24,105,강릉,2019-12-02 0:00,7.9,2.2,68.0,10.0
25,105,강릉,2019-12-02 1:00,8.0,2.5,64.0,9.0
26,105,강릉,2019-12-02 2:00,8.2,4.3,58.0,8.0
27,105,강릉,2019-12-02 3:00,7.6,2.9,55.0,8.0
28,105,강릉,2019-12-02 4:00,7.0,4.2,47.0,10.0
29,105,강릉,2019-12-02 5:00,6.1,4.1,47.0,10.0
30,105,강릉,2019-12-02 6:00,4.7,5.2,42.0,9.0
31,105,강릉,2019-12-02 7:00,3.6,5.4,47.0,7.0
32,105,강릉,2019-12-02 8:00,2.9,3.2,52.0,2.0
33,105,강릉,2019-12-02 9:00,3.6,3.8,47.0,2.0
34,105,강릉,2019-12-02 10:00,4.5,3.4,38.0,3.0
35,105,강릉,2019-12-02 11:00,5.9,2.6,27.0,0.0
36,105,강릉,2019-12-02 12:00,6.0,3.1,29.0,0.0
37,105,강릉,2019-12-02 13:00,6.1,5.5,29.0,0.0
38,105,강릉,2019-12-02 14:00,6.6,3.8,26.0,0.0
39,105,강릉,2019-12-02 15:00,6.4,4.0,25.0,0.0
40,105,강릉,2019-12-02 16:00,6.0,2.4,25.0,1.0
41,105,강릉,2019-12-02 17:00,4.7,3.7,26.0,0.0
42,105,강릉,2019-12-02 18:00,3.4,1.0,34.0,0.0
43,105,강릉,2019-12-02 19:00,2.9,3.2,34.0,0.0
44,105,강릉,2019-12-02 20:00,2.1,2.6,35.0,0.0
45,105,강릉,2019-12-02 21:00,1.5,2.6,33.0,0.0
46,105,강릉,2019-12-02 22:00,0.7,0.9,34.0,0.0
47,105,강릉,2019-12-02 23:00,0.1,0.4,36.0,0.0
48,105,강릉,2019-12-03 0:00,-0.4,1.6,42.0,0.0
49,105,강릉,2019-12-03 1:00,-1.1,0.3,47.0,0.0
50,105,강릉,2019-12-03 2:00,-1.8,0.2,52.0,3.0
51,105,강릉,2019-12-03 3:00,-1.6,3.3,53.0,0.0
52,105,강릉,2019-12-03 4:00,-1.9,0.4,48.0,0.0
53,105,강릉,2019-12-03 5:00,-1.3,2.5,38.0,0.0
54,105,강릉,2019-12-03 6:00,-1.9,1.0,41.0,0.0
55,105,강릉,2019-12-03 7:00,-2.6,0.8,47.0,0.0
56,105,강릉,2019-12-03 8:00,-1.2,1.4,40.0,1.0
57,105,강릉,2019-12-03 9:00,0.9,0.9,38.0,1.0
58,105,강릉,2019-12-03 10:00,3.5,1.2,40.0,5.0
59,105,강릉,2019-12-03 11:00,5.6,1.7,40.0,6.0
60,105,강릉,2019-12-03 12:00,6.0,1.7,41.0,7.0
61,105,강릉,2019-12-03 13:00,6.6,3.5,42.0,7.0
62,105,강릉,2019-12-03 14:00,6.7,3.1,40.0,6.0
63,105,강릉,2019-12-03 15:00,6.9,3.3,34.0,5.0
64,105,강릉,2019-12-03 16:00,6.3,2.8,34.0,3.0
65,105,강릉,2019-12-03 17:00,4.6,2.3,41.0,1.0
66,105,강릉,2019-12-03 18:00,3.7,3.4,47.0,0.0
67,105,강릉,2019-12-03 19:00,3.5,2.1,47.0,0.0
68,105,강릉,2019-12-03 20:00,3.1,0.6,48.0,5.0
69,105,강릉,2019-12-03 21:00,2.8,0.1,49.0,0.0
70,105,강릉,2019-12-03 22:00,2.4,1.1,52.0,5.0
71,105,강릉,2019-12-03 23:00,1.7,0.7,59.0,7.0
72,105,강릉,2019-12-04 0:00,2.0,0.4,60.0,7.0
73,105,강릉,2019-12-04 1:00,2.1,0.3,62.0,7.0
74,105,강릉,2019-12-04 2:00,2.3,0.6,61.0,8.0
75,105,강릉,2019-12-04 3:00,2.3,1.3,61.0,7.0
76,105,강릉,2019-12-04 4:00,2.4,1.8,53.0,2.0
77,105,강릉,2019-12-04 5:00,0.3,1.2,69.0,2.0
78,105,강릉,2019-12-04 6:00,-0.3,1.2,69.0,0.0
79,105,강릉,2019-12-04 7:00,-1.1,1.0,72.0,0.0
80,105,강릉,2019-12-04 8:00,-0.2,0.7,68.0,1.0
81,105,강릉,2019-12-04 9:00,2.8,0.4,54.0,0.0
82,105,강릉,2019-12-04 10:00,5.2,1.5,36.0,0.0
83,105,강릉,2019-12-04 11:00,6.6,2.0,30.0,0.0
84,105,강릉,2019-12-04 12:00,7.7,3.5,28.0,0.0
85,105,강릉,2019-12-04 13:00,8.0,3.5,27.0,0.0
86,105,강릉,2019-12-04 14:00,8.2,3.7,28.0,0.0
87,105,강릉,2019-12-04 15:00,8.6,3.0,29.0,1.0
88,105,강릉,2019-12-04 16:00,8.1,3.5,27.0,0.0
89,105,강릉,2019-12-04 17:00,6.7,3.0,33.0,2.0
90,105,강릉,2019-12-04 18:00,6.0,1.2,38.0,2.0
91,105,강릉,2019-12-04 19:00,5.6,1.1,40.0,4.0
92,105,강릉,2019-12-04 20:00,4.9,1.2,43.0,2.0
93,105,강릉,2019-12-04 21:00,4.7,1.9,45.0,1.0
94,105,강릉,2019-12-04 22:00,4.8,2.7,41.0,0.0
95,105,강릉,2019-12-04 23:00,4.2,1.7,42.0,2.0
96,105,강릉,2019-12-05 0:00,2.9,0.8,46.0,1.0
97,105,강릉,2019-12-05 1:00,2.4,1.4,48.0,0.0
98,105,강릉,2019-12-05 2:00,2.7,2.9,32.0,0.0
99,105,강릉,2019-12-05 3:00,1.7,0.8,33.0,2.0
100,105,강릉,2019-12-05 4:00,0.9,1.3,35.0,0.0
101,105,강릉,2019-12-05 5:00,-1.0,0.9,50.0,2.0
102,105,강릉,2019-12-05 6:00,0.8,1.9,34.0,0.0
103,105,강릉,2019-12-05 7:00,1.0,2.7,33.0,0.0
104,105,강릉,2019-12-05 8:00,0.9,1.7,33.0,0.0
105,105,강릉,2019-12-05 9:00,2.3,2.3,29.0,1.0
106,105,강릉,2019-12-05 10:00,3.6,3.5,22.0,0.0
107,105,강릉,2019-12-05 11:00,4.7,2.2,19.0,0.0
108,105,강릉,2019-12-05 12:00,4.6,3.6,18.0,0.0
109,105,강릉,2019-12-05 13:00,4.9,3.7,16.0,0.0
110,105,강릉,2019-12-05 14:00,4.3,6.2,13.0,0.0
