,Location,place,Date,Temp,Wind,Humid,Cloud
0,259,강진군,2019-12-01 0:00,7.8,1.8,67.0,10.0
1,259,강진군,2019-12-01 1:00,7.4,0.3,74.0,9.0
2,259,강진군,2019-12-01 2:00,7.0,0.0,80.0,9.0
3,259,강진군,2019-12-01 3:00,6.9,0.5,84.0,5.0
4,259,강진군,2019-12-01 4:00,7.3,1.1,77.0,1.0
5,259,강진군,2019-12-01 5:00,8.2,1.5,63.0,0.0
6,259,강진군,2019-12-01 6:00,8.2,0.0,64.0,4.0
7,259,강진군,2019-12-01 7:00,7.3,0.0,77.0,10.0
8,259,강진군,2019-12-01 8:00,6.7,0.0,81.0,10.0
9,259,강진군,2019-12-01 9:00,6.5,2.0,85.0,10.0
10,259,강진군,2019-12-01 10:00,6.7,1.6,88.0,10.0
11,259,강진군,2019-12-01 11:00,6.7,0.7,92.0,10.0
12,259,강진군,2019-12-01 12:00,6.8,0.4,92.0,10.0
13,259,강진군,2019-12-01 13:00,7.2,0.5,92.0,10.0
14,259,강진군,2019-12-01 14:00,7.6,0.2,93.0,10.0
15,259,강진군,2019-12-01 15:00,7.8,1.6,93.0,10.0
16,259,강진군,2019-12-01 16:00,8.0,1.2,93.0,10.0
17,259,강진군,2019-12-01 17:00,7.2,2.4,93.0,10.0
18,259,강진군,2019-12-01 18:00,7.0,4.5,93.0,10.0
19,259,강진군,2019-12-01 19:00,7.2,2.4,90.0,10.0
20,259,강진군,2019-12-01 20:00,7.5,3.5,89.0,10.0
21,259,강진군,2019-12-01 21:00,7.5,2.4,88.0,10.0
22,259,강진군,2019-12-01 22:00,7.8,3.7,83.0,9.0
23,259,강진군,2019-12-01 23:00,7.9,4.1,78.0,9.0
24,259,강진군,2019-12-02 0:00,7.1,1.8,81.0,7.0
25,259,강진군,2019-12-02 1:00,7.7,1.5,75.0,9.0
26,259,강진군,2019-12-02 2:00,7.5,2.4,78.0,10.0
27,259,강진군,2019-12-02 3:00,7.2,5.1,83.0,10.0
28,259,강진군,2019-12-02 4:00,7.2,6.2,71.0,9.0
29,259,강진군,2019-12-02 5:00,7.1,3.7,63.0,6.0
30,259,강진군,2019-12-02 6:00,6.9,3.5,57.0,8.0
31,259,강진군,2019-12-02 7:00,6.8,3.3,52.0,3.0
32,259,강진군,2019-12-02 8:00,6.6,3.2,53.0,6.0
33,259,강진군,2019-12-02 9:00,7.4,3.6,54.0,7.0
34,259,강진군,2019-12-02 10:00,7.7,4.5,57.0,9.0
35,259,강진군,2019-12-02 11:00,7.5,5.4,61.0,9.0
36,259,강진군,2019-12-02 12:00,8.0,4.7,59.0,9.0
37,259,강진군,2019-12-02 13:00,8.5,4.6,54.0,7.0
38,259,강진군,2019-12-02 14:00,6.4,4.5,66.0,8.0
39,259,강진군,2019-12-02 15:00,6.2,6.1,65.0,8.0
40,259,강진군,2019-12-02 16:00,6.2,4.5,63.0,8.0
41,259,강진군,2019-12-02 17:00,5.8,5.6,64.0,6.0
42,259,강진군,2019-12-02 18:00,5.0,3.1,68.0,5.0
43,259,강진군,2019-12-02 19:00,5.0,2.9,53.0,0.0
44,259,강진군,2019-12-02 20:00,5.0,4.1,54.0,0.0
45,259,강진군,2019-12-02 21:00,4.4,4.0,51.0,7.0
46,259,강진군,2019-12-02 22:00,4.6,3.2,51.0,0.0
47,259,강진군,2019-12-02 23:00,4.6,2.6,52.0,8.0
48,259,강진군,2019-12-03 0:00,4.5,2.8,54.0,8.0
49,259,강진군,2019-12-03 1:00,3.8,1.5,58.0,5.0
50,259,강진군,2019-12-03 2:00,3.8,2.1,61.0,4.0
51,259,강진군,2019-12-03 3:00,3.6,1.2,65.0,0.0
52,259,강진군,2019-12-03 4:00,3.3,0.7,71.0,8.0
53,259,강진군,2019-12-03 5:00,4.1,0.7,63.0,2.0
54,259,강진군,2019-12-03 6:00,3.4,1.4,73.0,6.0
55,259,강진군,2019-12-03 7:00,3.9,2.2,72.0,1.0
56,259,강진군,2019-12-03 8:00,3.9,0.7,75.0,8.0
57,259,강진군,2019-12-03 9:00,4.7,1.4,74.0,8.0
58,259,강진군,2019-12-03 10:00,6.0,1.8,69.0,6.0
59,259,강진군,2019-12-03 11:00,7.3,0.4,63.0,7.0
60,259,강진군,2019-12-03 12:00,7.6,4.4,53.0,8.0
61,259,강진군,2019-12-03 13:00,8.0,3.5,51.0,7.0
62,259,강진군,2019-12-03 14:00,8.1,3.6,47.0,9.0
63,259,강진군,2019-12-03 15:00,8.0,3.4,50.0,9.0
64,259,강진군,2019-12-03 16:00,7.8,3.3,50.0,9.0
65,259,강진군,2019-12-03 17:00,7.4,2.6,50.0,8.0
66,259,강진군,2019-12-03 18:00,6.4,1.1,53.0,0.0
67,259,강진군,2019-12-03 19:00,3.3,1.1,71.0,0.0
68,259,강진군,2019-12-03 20:00,1.9,0.6,78.0,0.0
69,259,강진군,2019-12-03 21:00,1.4,0.6,81.0,0.0
70,259,강진군,2019-12-03 22:00,0.5,1.1,84.0,0.0
71,259,강진군,2019-12-03 23:00,0.1,0.0,85.0,0.0
72,259,강진군,2019-12-04 0:00,-0.4,0.0,89.0,0.0
73,259,강진군,2019-12-04 1:00,-0.9,0.0,91.0,0.0
74,259,강진군,2019-12-04 2:00,-1.0,0.0,91.0,0.0
75,259,강진군,2019-12-04 3:00,-1.0,0.0,91.0,1.0
76,259,강진군,2019-12-04 4:00,-1.9,0.0,92.0,0.0
77,259,강진군,2019-12-04 5:00,-1.8,0.9,92.0,0.0
78,259,강진군,2019-12-04 6:00,-1.4,1.3,91.0,8.0
79,259,강진군,2019-12-04 7:00,-1.6,1.4,91.0,0.0
80,259,강진군,2019-12-04 8:00,-0.7,0.0,92.0,9.0
81,259,강진군,2019-12-04 9:00,0.4,0.0,90.0,8.0
82,259,강진군,2019-12-04 10:00,4.5,0.0,78.0,7.0
83,259,강진군,2019-12-04 11:00,7.1,0.8,66.0,4.0
