,Location,place,Date,Temp,Wind,Humid,Cloud
0,201,강화,2019-12-01 0:00,4.3,0.0,66.0,9.0
1,201,강화,2019-12-01 1:00,3.5,0.0,83.0,10.0
2,201,강화,2019-12-01 2:00,3.4,0.0,86.0,10.0
3,201,강화,2019-12-01 3:00,3.4,0.1,84.0,10.0
4,201,강화,2019-12-01 4:00,3.7,0.0,77.0,10.0
5,201,강화,2019-12-01 5:00,3.4,0.0,87.0,10.0
6,201,강화,2019-12-01 6:00,3.5,0.0,86.0,9.0
7,201,강화,2019-12-01 7:00,3.3,0.0,91.0,10.0
8,201,강화,2019-12-01 8:00,3.2,0.0,93.0,10.0
9,201,강화,2019-12-01 9:00,3.9,0.0,92.0,10.0
10,201,강화,2019-12-01 10:00,4.4,0.0,90.0,10.0
11,201,강화,2019-12-01 11:00,4.9,0.0,91.0,10.0
12,201,강화,2019-12-01 12:00,5.1,1.5,92.0,9.0
13,201,강화,2019-12-01 13:00,5.4,1.7,90.0,10.0
14,201,강화,2019-12-01 14:00,5.4,1.9,88.0,10.0
15,201,강화,2019-12-01 15:00,5.4,1.3,89.0,10.0
16,201,강화,2019-12-01 16:00,4.8,1.1,86.0,9.0
17,201,강화,2019-12-01 17:00,3.9,3.1,86.0,10.0
18,201,강화,2019-12-01 18:00,3.2,2.9,75.0,9.0
19,201,강화,2019-12-01 19:00,3.4,1.1,70.0,10.0
20,201,강화,2019-12-01 20:00,2.5,0.0,84.0,10.0
21,201,강화,2019-12-01 21:00,2.7,0.0,81.0,10.0
22,201,강화,2019-12-01 22:00,3.3,1.6,61.0,8.0
23,201,강화,2019-12-01 23:00,1.6,0.1,79.0,9.0
24,201,강화,2019-12-02 0:00,3.0,1.2,60.0,8.0
25,201,강화,2019-12-02 1:00,2.4,2.1,64.0,10.0
26,201,강화,2019-12-02 2:00,2.0,2.8,69.0,8.0
27,201,강화,2019-12-02 3:00,-0.1,0.2,80.0,6.0
28,201,강화,2019-12-02 4:00,0.7,1.5,71.0,1.0
29,201,강화,2019-12-02 5:00,-1.1,0.9,78.0,0.0
30,201,강화,2019-12-02 6:00,0.6,3.7,67.0,6.0
31,201,강화,2019-12-02 7:00,0.6,3.2,60.0,0.0
32,201,강화,2019-12-02 8:00,0.0,4.1,49.0,0.0
33,201,강화,2019-12-02 9:00,0.4,3.6,48.0,0.0
34,201,강화,2019-12-02 10:00,1.1,3.7,41.0,0.0
35,201,강화,2019-12-02 11:00,1.9,2.4,34.0,0.0
36,201,강화,2019-12-02 12:00,2.2,4.0,39.0,0.0
37,201,강화,2019-12-02 13:00,1.9,3.7,50.0,3.0
38,201,강화,2019-12-02 14:00,1.4,3.1,53.0,6.0
39,201,강화,2019-12-02 15:00,1.9,4.2,41.0,4.0
40,201,강화,2019-12-02 16:00,1.9,3.7,36.0,1.0
41,201,강화,2019-12-02 17:00,0.5,3.1,39.0,1.0
42,201,강화,2019-12-02 18:00,-1.0,1.5,44.0,0.0
43,201,강화,2019-12-02 19:00,-1.6,1.4,42.0,0.0
44,201,강화,2019-12-02 20:00,-3.8,1.2,63.0,0.0
45,201,강화,2019-12-02 21:00,-2.4,0.0,52.0,9.0
46,201,강화,2019-12-02 22:00,-2.5,0.0,54.0,4.0
47,201,강화,2019-12-02 23:00,-3.6,0.0,61.0,8.0
48,201,강화,2019-12-03 0:00,-4.6,0.1,72.0,0.0
49,201,강화,2019-12-03 1:00,-4.3,0.0,66.0,0.0
50,201,강화,2019-12-03 2:00,-6.0,0.0,75.0,0.0
51,201,강화,2019-12-03 3:00,-5.7,0.0,73.0,0.0
52,201,강화,2019-12-03 4:00,-5.1,1.4,71.0,0.0
53,201,강화,2019-12-03 5:00,-5.2,0.5,72.0,2.0
54,201,강화,2019-12-03 6:00,-5.3,0.0,75.0,5.0
55,201,강화,2019-12-03 7:00,-5.1,0.0,79.0,7.0
56,201,강화,2019-12-03 8:00,-3.5,1.1,70.0,7.0
57,201,강화,2019-12-03 9:00,-0.8,0.8,68.0,7.0
58,201,강화,2019-12-03 10:00,0.4,0.8,66.0,8.0
59,201,강화,2019-12-03 11:00,1.8,0.2,65.0,6.5
60,201,강화,2019-12-03 12:00,1.7,0.9,67.0,5.0
61,201,강화,2019-12-03 13:00,3.6,0.0,63.0,8.0
62,201,강화,2019-12-03 14:00,5.5,0.7,53.0,7.0
63,201,강화,2019-12-03 15:00,5.1,1.2,58.0,4.0
64,201,강화,2019-12-03 16:00,4.2,2.1,59.0,8.0
65,201,강화,2019-12-03 17:00,3.7,1.1,64.0,9.0
66,201,강화,2019-12-03 18:00,3.2,0.0,71.0,8.0
67,201,강화,2019-12-03 19:00,3.0,0.0,71.0,8.0
68,201,강화,2019-12-03 20:00,3.6,0.0,73.0,9.0
69,201,강화,2019-12-03 21:00,4.0,0.7,75.0,9.0
70,201,강화,2019-12-03 22:00,4.5,1.8,77.0,9.0
71,201,강화,2019-12-03 23:00,4.3,1.4,81.0,9.0
72,201,강화,2019-12-04 0:00,4.4,1.5,58.0,9.0
73,201,강화,2019-12-04 1:00,2.3,2.2,63.0,1.0
74,201,강화,2019-12-04 2:00,1.2,1.5,56.0,1.0
75,201,강화,2019-12-04 3:00,-0.7,2.2,57.0,0.0
76,201,강화,2019-12-04 4:00,-0.2,1.7,42.0,0.0
77,201,강화,2019-12-04 5:00,0.8,2.4,31.0,0.0
78,201,강화,2019-12-04 6:00,-3.3,0.2,59.0,0.0
79,201,강화,2019-12-04 7:00,-3.7,0.9,68.0,0.0
80,201,강화,2019-12-04 8:00,-2.7,0.5,56.0,0.0
81,201,강화,2019-12-04 9:00,0.8,0.0,40.0,1.0
82,201,강화,2019-12-04 10:00,1.8,2.8,32.0,2.0
83,201,강화,2019-12-04 11:00,2.9,2.8,28.0,1.0
84,201,강화,2019-12-04 12:00,3.8,2.5,26.0,0.0
