,Location,place,Date,Temp,Wind,Humid,Cloud
0,294,거제,2019-12-01 0:00,10.7,0.7,84.0,9.0
1,294,거제,2019-12-01 1:00,11.3,1.9,97.0,9.0
2,294,거제,2019-12-01 2:00,11.1,0.8,98.0,9.0
3,294,거제,2019-12-01 3:00,10.9,0.1,99.0,9.0
4,294,거제,2019-12-01 4:00,10.2,0.4,99.0,9.0
5,294,거제,2019-12-01 5:00,10.0,0.3,99.0,10.0
6,294,거제,2019-12-01 6:00,9.9,0.7,99.0,10.0
7,294,거제,2019-12-01 7:00,10.0,0.6,99.0,10.0
8,294,거제,2019-12-01 8:00,10.4,0.8,98.0,8.0
9,294,거제,2019-12-01 9:00,11.0,0.6,96.0,10.0
10,294,거제,2019-12-01 10:00,10.9,0.7,95.0,10.0
11,294,거제,2019-12-01 11:00,10.5,1.6,95.0,10.0
12,294,거제,2019-12-01 12:00,10.8,1.0,92.0,10.0
13,294,거제,2019-12-01 13:00,9.8,1.1,96.0,10.0
14,294,거제,2019-12-01 14:00,9.3,0.0,96.0,10.0
15,294,거제,2019-12-01 15:00,9.4,1.9,98.0,10.0
16,294,거제,2019-12-01 16:00,9.7,1.3,99.0,10.0
17,294,거제,2019-12-01 17:00,9.8,0.9,99.0,10.0
18,294,거제,2019-12-01 18:00,9.6,0.1,99.0,10.0
19,294,거제,2019-12-01 19:00,9.0,1.4,99.0,10.0
20,294,거제,2019-12-01 20:00,8.9,1.6,99.0,10.0
21,294,거제,2019-12-01 21:00,8.3,2.6,99.0,9.0
22,294,거제,2019-12-01 22:00,7.9,3.3,99.0,10.0
23,294,거제,2019-12-01 23:00,8.0,2.4,99.0,10.0
24,294,거제,2019-12-02 0:00,7.9,1.0,99.0,10.0
25,294,거제,2019-12-02 1:00,8.3,1.7,98.0,9.0
26,294,거제,2019-12-02 2:00,8.6,2.8,95.0,9.0
27,294,거제,2019-12-02 3:00,8.4,2.6,90.0,7.0
28,294,거제,2019-12-02 4:00,8.1,2.7,92.0,8.0
29,294,거제,2019-12-02 5:00,8.4,2.3,82.0,8.0
30,294,거제,2019-12-02 6:00,8.1,3.1,81.0,7.0
31,294,거제,2019-12-02 7:00,7.8,3.0,65.0,8.0
32,294,거제,2019-12-02 8:00,7.1,3.2,57.0,6.0
33,294,거제,2019-12-02 9:00,7.6,2.7,53.0,2.0
34,294,거제,2019-12-02 10:00,8.4,3.8,51.0,4.0
35,294,거제,2019-12-02 11:00,9.2,4.0,48.0,0.0
36,294,거제,2019-12-02 12:00,8.7,3.9,48.0,3.0
37,294,거제,2019-12-02 13:00,9.0,2.9,46.0,5.0
38,294,거제,2019-12-02 14:00,10.0,4.3,39.0,1.0
39,294,거제,2019-12-02 15:00,9.3,3.5,39.0,3.0
40,294,거제,2019-12-02 16:00,8.4,3.2,40.0,1.0
41,294,거제,2019-12-02 17:00,7.6,3.0,43.0,0.0
42,294,거제,2019-12-02 18:00,7.1,4.2,39.0,0.0
43,294,거제,2019-12-02 19:00,6.6,3.6,38.0,0.0
44,294,거제,2019-12-02 20:00,5.5,2.6,45.0,0.0
45,294,거제,2019-12-02 21:00,5.2,3.7,49.0,6.0
46,294,거제,2019-12-02 22:00,5.0,4.2,53.0,0.0
47,294,거제,2019-12-02 23:00,4.4,2.5,54.0,0.0
48,294,거제,2019-12-03 0:00,3.8,2.4,53.0,0.0
49,294,거제,2019-12-03 1:00,3.9,3.5,51.0,0.0
50,294,거제,2019-12-03 2:00,4.0,3.4,49.0,0.0
51,294,거제,2019-12-03 3:00,3.4,1.9,53.0,0.0
52,294,거제,2019-12-03 4:00,3.5,2.8,55.0,0.0
53,294,거제,2019-12-03 5:00,2.5,1.4,61.0,1.0
54,294,거제,2019-12-03 6:00,0.9,0.4,74.0,0.0
55,294,거제,2019-12-03 7:00,0.3,0.3,77.0,2.0
56,294,거제,2019-12-03 8:00,0.8,0.3,78.0,2.0
57,294,거제,2019-12-03 9:00,3.5,1.0,67.0,6.0
58,294,거제,2019-12-03 10:00,5.7,1.2,54.0,0.0
59,294,거제,2019-12-03 11:00,7.0,0.9,49.0,0.5
60,294,거제,2019-12-03 12:00,8.8,1.2,49.0,1.0
61,294,거제,2019-12-03 13:00,7.2,1.1,50.0,3.0
62,294,거제,2019-12-03 14:00,7.7,1.4,52.0,7.0
