,Location,place,Date,Temp,Wind,Humid,Cloud
0,284,거창,2019-12-01 0:00,6.8,0.1,70.0,9.0
1,284,거창,2019-12-01 1:00,6.5,0.0,73.0,9.0
2,284,거창,2019-12-01 2:00,6.1,0.1,77.0,9.0
3,284,거창,2019-12-01 3:00,5.9,0.0,77.0,9.5
4,284,거창,2019-12-01 4:00,5.7,0.0,81.0,10.0
5,284,거창,2019-12-01 5:00,5.8,0.0,80.0,10.0
6,284,거창,2019-12-01 6:00,6.0,0.3,80.0,10.0
7,284,거창,2019-12-01 7:00,5.9,0.1,81.0,10.0
8,284,거창,2019-12-01 8:00,6.3,0.9,77.0,10.0
9,284,거창,2019-12-01 9:00,6.4,0.6,82.0,10.0
10,284,거창,2019-12-01 10:00,6.7,0.0,83.0,10.0
11,284,거창,2019-12-01 11:00,6.5,0.4,83.0,10.0
12,284,거창,2019-12-01 12:00,6.3,0.0,78.0,10.0
13,284,거창,2019-12-01 13:00,5.9,0.3,91.0,9.0
14,284,거창,2019-12-01 14:00,5.6,0.0,92.0,9.0
15,284,거창,2019-12-01 15:00,5.5,0.3,93.0,10.0
16,284,거창,2019-12-01 16:00,5.2,0.6,96.0,10.0
17,284,거창,2019-12-01 17:00,5.1,0.7,97.0,10.0
18,284,거창,2019-12-01 18:00,5.0,0.1,99.0,10.0
19,284,거창,2019-12-01 19:00,5.1,0.0,99.0,10.0
20,284,거창,2019-12-01 20:00,5.4,1.3,96.0,5.0
21,284,거창,2019-12-01 21:00,5.3,0.7,92.0,10.0
22,284,거창,2019-12-01 22:00,5.1,0.2,95.0,10.0
23,284,거창,2019-12-01 23:00,4.6,0.0,96.0,10.0
24,284,거창,2019-12-02 0:00,3.4,0.3,99.0,6.0
25,284,거창,2019-12-02 1:00,3.2,0.4,98.0,9.0
26,284,거창,2019-12-02 2:00,4.3,1.4,95.0,9.0
27,284,거창,2019-12-02 3:00,6.1,3.7,80.0,10.0
28,284,거창,2019-12-02 4:00,5.8,2.4,71.0,10.0
29,284,거창,2019-12-02 5:00,4.1,4.5,61.0,10.0
30,284,거창,2019-12-02 6:00,3.9,1.5,63.0,10.0
31,284,거창,2019-12-02 7:00,2.7,1.0,64.0,0.0
32,284,거창,2019-12-02 8:00,3.9,1.2,59.0,3.0
33,284,거창,2019-12-02 9:00,5.1,3.3,53.0,5.0
34,284,거창,2019-12-02 10:00,4.2,5.3,57.0,9.0
35,284,거창,2019-12-02 11:00,6.2,4.4,48.0,3.0
36,284,거창,2019-12-02 12:00,6.1,5.0,43.0,6.0
37,284,거창,2019-12-02 13:00,6.6,4.4,41.0,7.0
38,284,거창,2019-12-02 14:00,5.5,5.9,42.0,6.0
39,284,거창,2019-12-02 15:00,6.4,3.7,41.0,0.0
40,284,거창,2019-12-02 16:00,5.5,3.7,39.0,1.0
41,284,거창,2019-12-02 17:00,4.3,3.5,42.0,0.0
42,284,거창,2019-12-02 18:00,3.1,2.4,52.0,0.0
43,284,거창,2019-12-02 19:00,3.0,2.0,51.0,0.0
44,284,거창,2019-12-02 20:00,2.3,2.7,54.0,0.0
45,284,거창,2019-12-02 21:00,1.7,2.4,54.0,0.0
46,284,거창,2019-12-02 22:00,1.5,3.2,54.0,0.0
47,284,거창,2019-12-02 23:00,1.2,3.7,54.0,1.0
48,284,거창,2019-12-03 0:00,0.9,2.1,54.0,6.0
49,284,거창,2019-12-03 1:00,0.8,3.0,59.0,0.0
50,284,거창,2019-12-03 2:00,0.5,0.1,61.0,1.0
51,284,거창,2019-12-03 3:00,0.6,1.7,67.0,4.0
52,284,거창,2019-12-03 4:00,1.8,2.9,62.0,1.0
53,284,거창,2019-12-03 5:00,0.0,1.9,69.0,0.0
54,284,거창,2019-12-03 6:00,-1.7,1.7,82.0,0.0
55,284,거창,2019-12-03 7:00,-2.0,1.4,82.0,0.0
56,284,거창,2019-12-03 8:00,-1.7,0.5,82.0,7.0
57,284,거창,2019-12-03 9:00,1.0,0.4,67.0,9.0
58,284,거창,2019-12-03 10:00,3.0,0.9,60.0,7.0
59,284,거창,2019-12-03 11:00,5.0,1.0,51.0,6.0
60,284,거창,2019-12-03 12:00,5.1,1.5,50.0,5.0
61,284,거창,2019-12-03 13:00,7.2,3.8,46.0,8.0
62,284,거창,2019-12-03 14:00,7.0,4.5,47.0,8.0
63,284,거창,2019-12-03 15:00,5.8,3.7,52.0,9.0
64,284,거창,2019-12-03 16:00,5.8,2.6,54.0,9.0
65,284,거창,2019-12-03 17:00,5.3,2.6,57.0,7.0
66,284,거창,2019-12-03 18:00,5.3,2.9,59.0,0.0
67,284,거창,2019-12-03 19:00,5.0,3.5,61.0,9.0
68,284,거창,2019-12-03 20:00,5.1,3.2,60.0,4.0
69,284,거창,2019-12-03 21:00,4.8,3.0,60.0,1.0
70,284,거창,2019-12-03 22:00,4.5,2.5,59.0,1.0
71,284,거창,2019-12-03 23:00,3.8,2.4,62.0,1.0
72,284,거창,2019-12-04 0:00,2.8,1.9,65.0,5.0
73,284,거창,2019-12-04 1:00,2.5,1.9,69.0,0.0
74,284,거창,2019-12-04 2:00,1.0,0.8,78.0,2.0
75,284,거창,2019-12-04 3:00,0.2,1.3,81.0,5.0
76,284,거창,2019-12-04 4:00,0.3,0.9,81.0,1.0
77,284,거창,2019-12-04 5:00,-0.1,1.2,84.0,8.0
78,284,거창,2019-12-04 6:00,1.5,2.2,69.0,1.0
79,284,거창,2019-12-04 7:00,1.9,1.4,74.0,2.0
80,284,거창,2019-12-04 8:00,1.1,0.6,81.0,9.0
81,284,거창,2019-12-04 9:00,4.1,0.0,71.0,9.0
82,284,거창,2019-12-04 10:00,5.4,0.7,64.0,8.0
83,284,거창,2019-12-04 11:00,7.4,1.0,54.0,6.0
84,284,거창,2019-12-04 12:00,7.4,1.8,46.0,6.0
85,284,거창,2019-12-04 13:00,8.5,3.0,40.0,7.0
86,284,거창,2019-12-04 14:00,8.6,3.3,39.0,6.0
87,284,거창,2019-12-04 15:00,8.4,3.0,39.0,3.0
