,Location,place,Date,Temp,Wind,Humid,Cloud
0,283,경주시,2019-12-01 0:00,4.6,1.1,95.0,7.0
1,283,경주시,2019-12-01 1:00,5.2,1.3,94.0,10.0
2,283,경주시,2019-12-01 2:00,5.9,1.2,92.0,10.0
3,283,경주시,2019-12-01 3:00,5.9,0.8,93.0,9.5
4,283,경주시,2019-12-01 4:00,6.6,1.4,87.0,9.0
5,283,경주시,2019-12-01 5:00,6.5,0.6,86.0,9.0
6,283,경주시,2019-12-01 6:00,7.8,0.9,67.0,10.0
7,283,경주시,2019-12-01 7:00,8.3,0.3,55.0,10.0
8,283,경주시,2019-12-01 8:00,8.3,0.6,59.0,10.0
9,283,경주시,2019-12-01 9:00,8.9,2.0,48.0,10.0
10,283,경주시,2019-12-01 10:00,9.1,2.8,48.0,10.0
11,283,경주시,2019-12-01 11:00,9.1,1.7,50.0,10.0
12,283,경주시,2019-12-01 12:00,8.2,0.7,69.0,10.0
13,283,경주시,2019-12-01 13:00,7.9,2.5,75.0,10.0
14,283,경주시,2019-12-01 14:00,7.3,0.9,83.0,10.0
15,283,경주시,2019-12-01 15:00,6.8,1.4,92.0,10.0
16,283,경주시,2019-12-01 16:00,6.4,0.9,96.0,10.0
17,283,경주시,2019-12-01 17:00,6.3,0.6,96.0,10.0
18,283,경주시,2019-12-01 18:00,6.1,0.5,98.0,10.0
19,283,경주시,2019-12-01 19:00,6.1,0.9,98.0,10.0
20,283,경주시,2019-12-01 20:00,6.1,1.0,98.0,10.0
21,283,경주시,2019-12-01 21:00,6.2,0.9,99.0,10.0
22,283,경주시,2019-12-01 22:00,6.4,5.2,94.0,10.0
23,283,경주시,2019-12-01 23:00,6.4,3.2,93.0,10.0
24,283,경주시,2019-12-02 0:00,6.3,2.0,93.0,10.0
25,283,경주시,2019-12-02 1:00,6.2,2.0,91.0,10.0
26,283,경주시,2019-12-02 2:00,6.5,3.7,87.0,9.0
27,283,경주시,2019-12-02 3:00,6.9,4.3,81.0,9.0
28,283,경주시,2019-12-02 4:00,7.1,4.8,77.0,9.0
29,283,경주시,2019-12-02 5:00,7.0,2.5,77.0,10.0
30,283,경주시,2019-12-02 6:00,6.2,6.8,45.0,9.0
31,283,경주시,2019-12-02 7:00,4.5,5.7,49.0,8.0
32,283,경주시,2019-12-02 8:00,4.1,5.1,59.0,7.0
33,283,경주시,2019-12-02 9:00,4.7,4.9,59.0,8.0
34,283,경주시,2019-12-02 10:00,5.3,3.6,61.0,3.0
35,283,경주시,2019-12-02 11:00,6.2,6.0,57.0,5.0
36,283,경주시,2019-12-02 12:00,6.4,7.3,49.0,4.0
37,283,경주시,2019-12-02 13:00,7.3,4.9,40.0,0.0
38,283,경주시,2019-12-02 14:00,7.5,7.1,40.0,0.0
39,283,경주시,2019-12-02 15:00,7.4,3.6,39.0,0.0
40,283,경주시,2019-12-02 16:00,6.9,4.5,36.0,0.0
41,283,경주시,2019-12-02 17:00,4.9,1.4,41.0,0.0
42,283,경주시,2019-12-02 18:00,4.0,1.1,48.0,0.0
43,283,경주시,2019-12-02 19:00,4.2,2.0,44.0,0.0
44,283,경주시,2019-12-02 20:00,3.7,4.6,49.0,0.0
45,283,경주시,2019-12-02 21:00,2.8,4.7,53.0,0.0
46,283,경주시,2019-12-02 22:00,2.0,4.0,59.0,0.0
47,283,경주시,2019-12-02 23:00,1.8,4.8,49.0,0.0
48,283,경주시,2019-12-03 0:00,1.5,4.7,50.0,0.0
49,283,경주시,2019-12-03 1:00,1.2,3.0,51.0,0.0
50,283,경주시,2019-12-03 2:00,1.0,4.7,55.0,0.0
51,283,경주시,2019-12-03 3:00,1.0,3.6,56.0,0.0
52,283,경주시,2019-12-03 4:00,0.8,3.9,58.0,0.0
53,283,경주시,2019-12-03 5:00,0.5,3.4,60.0,0.0
54,283,경주시,2019-12-03 6:00,0.3,2.5,60.0,0.0
55,283,경주시,2019-12-03 7:00,-0.8,1.6,67.0,0.0
56,283,경주시,2019-12-03 8:00,-1.7,2.2,79.0,0.0
57,283,경주시,2019-12-03 9:00,0.7,1.4,64.0,0.0
58,283,경주시,2019-12-03 10:00,3.3,1.2,46.0,0.0
59,283,경주시,2019-12-03 11:00,4.2,1.1,40.0,0.0
60,283,경주시,2019-12-03 12:00,6.8,2.4,36.0,0.0
61,283,경주시,2019-12-03 13:00,7.7,3.3,39.0,0.0
62,283,경주시,2019-12-03 14:00,8.1,5.1,40.0,0.0
63,283,경주시,2019-12-03 15:00,8.5,5.8,41.0,5.0
64,283,경주시,2019-12-03 16:00,7.7,5.2,43.0,7.0
