,Location,place,Date,Temp,Wind,Humid,Cloud
0,185,고산,2019-12-01 0:00,11.7,5.5,87.0,9.0
1,185,고산,2019-12-01 1:00,11.8,5.6,88.0,10.0
2,185,고산,2019-12-01 2:00,11.6,5.0,87.0,10.0
3,185,고산,2019-12-01 3:00,11.7,5.6,86.0,10.0
4,185,고산,2019-12-01 4:00,11.6,5.0,87.0,10.0
5,185,고산,2019-12-01 5:00,11.3,5.9,89.0,10.0
6,185,고산,2019-12-01 6:00,10.8,6.0,94.0,9.0
7,185,고산,2019-12-01 7:00,10.5,7.0,95.0,9.0
8,185,고산,2019-12-01 8:00,10.8,6.3,93.0,9.0
9,185,고산,2019-12-01 9:00,10.8,4.1,95.0,10.0
10,185,고산,2019-12-01 10:00,11.3,4.1,95.0,10.0
11,185,고산,2019-12-01 11:00,12.1,2.7,96.0,10.0
12,185,고산,2019-12-01 12:00,12.1,3.9,99.0,10.0
13,185,고산,2019-12-01 13:00,12.4,2.2,99.0,10.0
14,185,고산,2019-12-01 14:00,13.2,4.1,100.0,10.0
15,185,고산,2019-12-01 15:00,13.9,3.4,100.0,10.0
16,185,고산,2019-12-01 16:00,14.5,5.7,100.0,10.0
17,185,고산,2019-12-01 17:00,14.8,4.4,99.0,9.0
18,185,고산,2019-12-01 18:00,17.1,16.0,94.0,9.0
19,185,고산,2019-12-01 19:00,12.4,11.2,95.0,9.0
20,185,고산,2019-12-01 20:00,11.7,9.8,93.0,10.0
21,185,고산,2019-12-01 21:00,11.9,10.1,90.0,9.0
22,185,고산,2019-12-01 22:00,11.3,10.5,88.0,10.0
23,185,고산,2019-12-01 23:00,11.4,11.7,82.0,8.0
24,185,고산,2019-12-02 0:00,11.2,11.1,82.0,9.0
25,185,고산,2019-12-02 1:00,11.6,10.9,81.0,10.0
26,185,고산,2019-12-02 2:00,11.9,10.4,81.0,9.0
27,185,고산,2019-12-02 3:00,11.8,10.2,76.0,9.0
28,185,고산,2019-12-02 4:00,11.8,11.6,79.0,10.0
29,185,고산,2019-12-02 5:00,11.1,11.6,76.0,10.0
30,185,고산,2019-12-02 6:00,10.4,12.5,73.0,10.0
31,185,고산,2019-12-02 7:00,10.2,10.7,71.0,10.0
32,185,고산,2019-12-02 8:00,10.2,11.2,67.0,6.0
33,185,고산,2019-12-02 9:00,9.9,12.9,72.0,10.0
34,185,고산,2019-12-02 10:00,10.0,15.6,78.0,10.0
35,185,고산,2019-12-02 11:00,10.2,17.4,67.0,9.0
36,185,고산,2019-12-02 12:00,11.1,16.7,62.0,7.0
37,185,고산,2019-12-02 13:00,11.6,17.1,57.0,8.0
38,185,고산,2019-12-02 14:00,10.3,16.6,53.0,7.0
39,185,고산,2019-12-02 15:00,9.2,17.8,65.0,9.0
40,185,고산,2019-12-02 16:00,9.0,18.3,61.0,8.0
41,185,고산,2019-12-02 17:00,9.1,17.7,53.0,8.0
42,185,고산,2019-12-02 18:00,8.8,16.7,70.0,8.0
43,185,고산,2019-12-02 19:00,8.3,15.3,63.0,7.0
44,185,고산,2019-12-02 20:00,8.5,13.0,71.0,9.0
45,185,고산,2019-12-02 21:00,8.6,15.4,68.0,9.0
46,185,고산,2019-12-02 22:00,8.4,15.3,57.0,9.0
47,185,고산,2019-12-02 23:00,7.9,13.2,65.0,9.0
48,185,고산,2019-12-03 0:00,7.7,13.9,63.0,9.0
49,185,고산,2019-12-03 1:00,8.0,12.5,64.0,9.0
50,185,고산,2019-12-03 2:00,7.9,11.9,62.0,9.0
51,185,고산,2019-12-03 3:00,8.1,11.9,62.0,9.0
52,185,고산,2019-12-03 4:00,8.1,12.4,63.0,9.0
53,185,고산,2019-12-03 5:00,8.3,11.8,65.0,9.0
54,185,고산,2019-12-03 6:00,8.5,9.7,55.0,9.0
55,185,고산,2019-12-03 7:00,8.6,10.3,57.0,8.0
56,185,고산,2019-12-03 8:00,8.8,9.7,60.0,8.0
57,185,고산,2019-12-03 9:00,8.7,8.5,56.0,8.0
58,185,고산,2019-12-03 10:00,8.9,9.2,55.0,8.0
59,185,고산,2019-12-03 11:00,9.2,6.8,56.0,9.0
60,185,고산,2019-12-03 12:00,9.5,8.7,65.0,10.0
61,185,고산,2019-12-03 13:00,10.1,8.4,55.0,10.0
62,185,고산,2019-12-03 14:00,9.7,9.7,64.0,9.0
63,185,고산,2019-12-03 15:00,9.4,9.6,61.0,9.0
64,185,고산,2019-12-03 16:00,9.2,8.5,59.0,9.0
65,185,고산,2019-12-03 17:00,9.3,9.1,61.0,9.0
66,185,고산,2019-12-03 18:00,9.5,8.5,58.0,9.0
67,185,고산,2019-12-03 19:00,9.7,8.3,59.0,9.0
68,185,고산,2019-12-03 20:00,9.8,7.5,58.0,8.0
69,185,고산,2019-12-03 21:00,10.1,8.1,60.0,9.0
70,185,고산,2019-12-03 22:00,9.9,7.4,58.0,9.0
71,185,고산,2019-12-03 23:00,10.3,7.3,64.0,9.0
72,185,고산,2019-12-04 0:00,10.2,9.0,65.0,8.0
73,185,고산,2019-12-04 1:00,9.7,9.8,62.0,6.0
74,185,고산,2019-12-04 2:00,9.9,10.1,62.0,8.0
75,185,고산,2019-12-04 3:00,10.3,8.7,62.0,8.0
76,185,고산,2019-12-04 4:00,10.0,9.5,59.0,7.0
77,185,고산,2019-12-04 5:00,10.5,9.5,59.0,9.0
78,185,고산,2019-12-04 6:00,10.5,8.8,61.0,9.0
79,185,고산,2019-12-04 7:00,10.7,7.7,60.0,9.0
80,185,고산,2019-12-04 8:00,10.9,7.2,57.0,8.0
81,185,고산,2019-12-04 9:00,11.6,7.9,53.0,5.0
82,185,고산,2019-12-04 10:00,12.1,6.8,55.0,8.0
83,185,고산,2019-12-04 11:00,11.8,6.5,58.0,8.0
84,185,고산,2019-12-04 12:00,13.6,8.2,57.0,8.0
85,185,고산,2019-12-04 13:00,14.1,8.6,54.0,8.0
86,185,고산,2019-12-04 14:00,14.0,8.6,55.0,8.0
87,185,고산,2019-12-04 15:00,13.6,8.2,54.0,8.0
88,185,고산,2019-12-04 16:00,11.9,9.0,62.0,7.0
89,185,고산,2019-12-04 17:00,11.3,8.1,65.0,6.0
90,185,고산,2019-12-04 18:00,11.2,6.8,65.0,6.0
91,185,고산,2019-12-04 19:00,11.4,8.2,61.0,6.0
92,185,고산,2019-12-04 20:00,11.2,7.9,58.0,7.0
93,185,고산,2019-12-04 21:00,11.0,8.5,57.0,7.0
94,185,고산,2019-12-04 22:00,11.0,6.9,54.0,6.0
95,185,고산,2019-12-04 23:00,10.7,6.3,57.0,6.0
96,185,고산,2019-12-05 0:00,10.3,6.6,55.0,5.0
97,185,고산,2019-12-05 1:00,10.3,7.7,49.0,3.0
