,Location,place,Date,Temp,Wind,Humid,Cloud
0,172,고창,2019-12-01 0:00,6.3,0.0,76.0,0.0
1,172,고창,2019-12-01 1:00,6.3,0.0,72.0,10.0
2,172,고창,2019-12-01 2:00,5.9,0.0,78.0,10.0
3,172,고창,2019-12-01 3:00,5.7,0.0,82.0,8.5
4,172,고창,2019-12-01 4:00,5.9,0.0,78.0,7.0
5,172,고창,2019-12-01 5:00,5.8,0.0,82.0,10.0
6,172,고창,2019-12-01 6:00,6.1,1.0,79.0,8.0
7,172,고창,2019-12-01 7:00,6.0,0.0,80.0,10.0
8,172,고창,2019-12-01 8:00,6.1,0.0,81.0,10.0
9,172,고창,2019-12-01 9:00,6.1,0.0,89.0,10.0
10,172,고창,2019-12-01 10:00,6.4,0.9,85.0,10.0
11,172,고창,2019-12-01 11:00,6.1,1.6,87.0,10.0
12,172,고창,2019-12-01 12:00,5.8,0.7,86.0,10.0
13,172,고창,2019-12-01 13:00,5.4,2.1,97.0,10.0
14,172,고창,2019-12-01 14:00,5.5,1.9,97.0,10.0
15,172,고창,2019-12-01 15:00,5.5,2.2,98.0,9.0
16,172,고창,2019-12-01 16:00,5.4,2.9,98.0,10.0
17,172,고창,2019-12-01 17:00,5.7,2.4,98.0,10.0
18,172,고창,2019-12-01 18:00,5.9,2.0,98.0,10.0
19,172,고창,2019-12-01 19:00,6.0,2.9,98.0,2.0
20,172,고창,2019-12-01 20:00,6.1,2.0,99.0,10.0
21,172,고창,2019-12-01 21:00,6.0,2.0,98.0,10.0
22,172,고창,2019-12-01 22:00,5.5,0.1,99.0,8.0
23,172,고창,2019-12-01 23:00,5.2,0.0,99.0,8.0
24,172,고창,2019-12-02 0:00,5.5,0.6,99.0,8.0
25,172,고창,2019-12-02 1:00,5.8,0.1,97.0,10.0
26,172,고창,2019-12-02 2:00,6.6,2.8,86.0,10.0
27,172,고창,2019-12-02 3:00,6.0,2.0,81.0,10.0
28,172,고창,2019-12-02 4:00,5.1,0.0,84.0,10.0
29,172,고창,2019-12-02 5:00,6.7,3.6,61.0,9.0
30,172,고창,2019-12-02 6:00,6.2,2.6,66.0,7.0
31,172,고창,2019-12-02 7:00,5.9,2.2,62.0,9.0
32,172,고창,2019-12-02 8:00,5.1,0.6,74.0,10.0
33,172,고창,2019-12-02 9:00,6.1,2.3,67.0,9.0
34,172,고창,2019-12-02 10:00,6.1,3.4,64.0,9.0
35,172,고창,2019-12-02 11:00,6.1,2.5,81.0,8.0
36,172,고창,2019-12-02 12:00,6.4,2.2,72.0,8.0
37,172,고창,2019-12-02 13:00,6.5,3.5,59.0,8.0
38,172,고창,2019-12-02 14:00,6.6,3.4,55.0,8.0
39,172,고창,2019-12-02 15:00,5.8,3.9,65.0,8.0
40,172,고창,2019-12-02 16:00,5.3,3.2,73.0,7.0
41,172,고창,2019-12-02 17:00,4.6,3.2,73.0,6.0
42,172,고창,2019-12-02 18:00,2.8,2.8,91.0,5.0
43,172,고창,2019-12-02 19:00,3.0,1.3,90.0,5.0
44,172,고창,2019-12-02 20:00,3.8,3.3,58.0,6.0
45,172,고창,2019-12-02 21:00,4.1,3.0,61.0,7.0
46,172,고창,2019-12-02 22:00,4.1,3.1,59.0,8.0
47,172,고창,2019-12-02 23:00,3.9,2.3,60.0,9.0
48,172,고창,2019-12-03 0:00,4.0,1.9,65.0,8.0
49,172,고창,2019-12-03 1:00,2.5,0.7,92.0,6.0
50,172,고창,2019-12-03 2:00,2.5,1.4,96.0,10.0
51,172,고창,2019-12-03 3:00,2.5,0.0,96.0,9.0
52,172,고창,2019-12-03 4:00,2.0,2.6,93.0,8.0
53,172,고창,2019-12-03 5:00,1.7,2.5,92.0,7.0
54,172,고창,2019-12-03 6:00,1.5,1.6,91.0,7.0
55,172,고창,2019-12-03 7:00,1.2,1.0,93.0,5.0
