,Location,place,Date,Temp,Wind,Humid,Cloud
0,251,고창군,2019-12-01 0:00,6.3,0.1,67.0,9.0
1,251,고창군,2019-12-01 1:00,6.0,0.7,69.0,10.0
2,251,고창군,2019-12-01 2:00,6.0,0.0,67.0,9.0
3,251,고창군,2019-12-01 3:00,5.8,0.0,70.0,8.0
4,251,고창군,2019-12-01 4:00,5.9,0.0,69.0,7.0
5,251,고창군,2019-12-01 5:00,6.1,0.3,67.0,10.0
6,251,고창군,2019-12-01 6:00,5.6,0.5,71.0,9.0
7,251,고창군,2019-12-01 7:00,5.3,0.1,79.0,4.0
8,251,고창군,2019-12-01 8:00,5.0,0.1,86.0,8.0
9,251,고창군,2019-12-01 9:00,5.6,1.2,80.0,10.0
10,251,고창군,2019-12-01 10:00,6.0,1.1,79.0,10.0
11,251,고창군,2019-12-01 11:00,6.0,1.5,74.0,10.0
12,251,고창군,2019-12-01 12:00,5.7,2.1,75.0,10.0
13,251,고창군,2019-12-01 13:00,5.1,1.6,88.0,10.0
14,251,고창군,2019-12-01 14:00,5.5,2.2,89.0,10.0
15,251,고창군,2019-12-01 15:00,5.0,2.2,90.0,9.0
16,251,고창군,2019-12-01 16:00,5.5,2.3,90.0,10.0
17,251,고창군,2019-12-01 17:00,5.4,2.4,89.0,10.0
18,251,고창군,2019-12-01 18:00,5.5,3.2,90.0,10.0
19,251,고창군,2019-12-01 19:00,5.8,2.1,89.0,6.0
20,251,고창군,2019-12-01 20:00,5.8,2.0,91.0,10.0
21,251,고창군,2019-12-01 21:00,5.6,1.6,92.0,10.0
22,251,고창군,2019-12-01 22:00,5.5,2.0,94.0,8.0
23,251,고창군,2019-12-01 23:00,5.4,2.3,93.0,1.0
24,251,고창군,2019-12-02 0:00,5.5,2.2,92.0,9.0
25,251,고창군,2019-12-02 1:00,5.5,1.7,90.0,10.0
26,251,고창군,2019-12-02 2:00,5.5,3.1,91.0,10.0
27,251,고창군,2019-12-02 3:00,5.1,2.7,78.0,10.0
28,251,고창군,2019-12-02 4:00,4.9,1.6,70.0,10.0
29,251,고창군,2019-12-02 5:00,4.5,2.5,69.0,9.0
30,251,고창군,2019-12-02 6:00,4.8,1.9,68.0,1.0
31,251,고창군,2019-12-02 7:00,4.8,2.2,70.0,0.0
32,251,고창군,2019-12-02 8:00,4.5,0.6,75.0,4.0
33,251,고창군,2019-12-02 9:00,5.5,2.1,66.0,9.0
34,251,고창군,2019-12-02 10:00,5.8,3.7,59.0,9.0
35,251,고창군,2019-12-02 11:00,5.1,3.8,70.0,8.0
36,251,고창군,2019-12-02 12:00,5.5,2.1,72.0,8.0
37,251,고창군,2019-12-02 13:00,6.2,4.2,56.0,9.0
38,251,고창군,2019-12-02 14:00,5.9,3.2,57.0,8.0
39,251,고창군,2019-12-02 15:00,5.4,4.1,61.0,7.0
40,251,고창군,2019-12-02 16:00,5.1,3.6,62.0,7.0
41,251,고창군,2019-12-02 17:00,3.9,2.7,71.0,7.0
42,251,고창군,2019-12-02 18:00,3.0,2.2,77.0,1.0
43,251,고창군,2019-12-02 19:00,2.2,3.2,83.0,1.0
44,251,고창군,2019-12-02 20:00,1.8,2.5,85.0,8.0
45,251,고창군,2019-12-02 21:00,2.5,1.5,75.0,8.0
46,251,고창군,2019-12-02 22:00,3.5,2.9,59.0,8.0
47,251,고창군,2019-12-02 23:00,2.5,2.4,69.0,8.0
48,251,고창군,2019-12-03 0:00,2.2,0.5,70.0,8.0
49,251,고창군,2019-12-03 1:00,1.1,1.0,83.0,2.0
50,251,고창군,2019-12-03 2:00,1.2,0.4,85.0,9.0
51,251,고창군,2019-12-03 3:00,1.5,0.6,87.0,10.0
52,251,고창군,2019-12-03 4:00,1.4,0.5,87.0,10.0
53,251,고창군,2019-12-03 5:00,1.2,1.5,86.0,1.0
54,251,고창군,2019-12-03 6:00,1.2,1.4,83.0,9.0
55,251,고창군,2019-12-03 7:00,0.8,0.0,89.0,4.0
56,251,고창군,2019-12-03 8:00,1.1,0.2,88.0,2.0
57,251,고창군,2019-12-03 9:00,2.4,0.4,85.0,7.0
58,251,고창군,2019-12-03 10:00,3.9,1.4,75.0,6.0
59,251,고창군,2019-12-03 11:00,4.8,0.8,67.0,5.0
60,251,고창군,2019-12-03 12:00,6.4,1.8,62.0,4.0
61,251,고창군,2019-12-03 13:00,7.1,1.1,61.0,8.0
62,251,고창군,2019-12-03 14:00,7.5,3.5,54.0,9.0
63,251,고창군,2019-12-03 15:00,7.4,3.5,52.0,9.0
64,251,고창군,2019-12-03 16:00,7.0,1.4,57.0,10.0
65,251,고창군,2019-12-03 17:00,6.9,1.9,51.0,7.0
66,251,고창군,2019-12-03 18:00,5.1,0.9,62.0,4.0
67,251,고창군,2019-12-03 19:00,3.2,0.4,70.0,1.0
68,251,고창군,2019-12-03 20:00,2.0,0.6,75.0,0.0
69,251,고창군,2019-12-03 21:00,1.3,0.5,78.0,0.0
70,251,고창군,2019-12-03 22:00,0.8,0.0,80.0,0.0
71,251,고창군,2019-12-03 23:00,0.5,0.0,80.0,0.0
72,251,고창군,2019-12-04 0:00,0.5,0.1,84.0,7.0
73,251,고창군,2019-12-04 1:00,1.3,0.4,83.0,1.0
74,251,고창군,2019-12-04 2:00,1.5,0.2,83.0,1.0
75,251,고창군,2019-12-04 3:00,2.0,0.2,82.0,8.0
76,251,고창군,2019-12-04 4:00,1.5,0.5,84.0,1.0
77,251,고창군,2019-12-04 5:00,2.4,0.1,85.0,9.0
78,251,고창군,2019-12-04 6:00,1.4,0.3,88.0,0.0
79,251,고창군,2019-12-04 7:00,1.2,0.1,87.0,0.0
80,251,고창군,2019-12-04 8:00,3.1,0.6,77.0,0.0
81,251,고창군,2019-12-04 9:00,4.0,0.4,78.0,2.0
82,251,고창군,2019-12-04 10:00,6.5,3.7,57.0,4.0
83,251,고창군,2019-12-04 11:00,7.8,1.8,55.0,1.0
84,251,고창군,2019-12-04 12:00,8.7,2.4,51.0,0.0
85,251,고창군,2019-12-04 13:00,8.8,1.1,52.0,6.0
86,251,고창군,2019-12-04 14:00,8.8,1.5,50.0,6.0
87,251,고창군,2019-12-04 15:00,9.3,1.7,49.0,5.0
88,251,고창군,2019-12-04 16:00,9.1,2.4,51.0,4.0
89,251,고창군,2019-12-04 17:00,8.1,1.5,53.0,3.0
90,251,고창군,2019-12-04 18:00,4.5,0.2,72.0,0.0
91,251,고창군,2019-12-04 19:00,3.5,0.2,77.0,1.0
92,251,고창군,2019-12-04 20:00,2.3,1.0,78.0,1.0
93,251,고창군,2019-12-04 21:00,2.0,0.2,81.0,2.0
94,251,고창군,2019-12-04 22:00,3.0,0.6,80.0,1.0
95,251,고창군,2019-12-04 23:00,2.6,0.6,85.0,0.0
96,251,고창군,2019-12-05 0:00,1.5,0.0,86.0,0.0
97,251,고창군,2019-12-05 1:00,2.0,1.2,88.0,4.0
98,251,고창군,2019-12-05 2:00,4.5,2.7,72.0,0.0
99,251,고창군,2019-12-05 3:00,4.3,3.2,68.0,0.0
100,251,고창군,2019-12-05 4:00,2.9,3.0,71.0,3.0
101,251,고창군,2019-12-05 5:00,2.4,4.2,72.0,0.0
102,251,고창군,2019-12-05 6:00,2.0,3.2,62.0,1.0
103,251,고창군,2019-12-05 7:00,1.2,1.4,55.0,0.0
104,251,고창군,2019-12-05 8:00,0.8,3.1,51.0,0.0
105,251,고창군,2019-12-05 9:00,0.6,2.7,47.0,0.0
106,251,고창군,2019-12-05 10:00,1.2,3.0,41.0,0.0
107,251,고창군,2019-12-05 11:00,1.6,3.2,39.0,0.0
108,251,고창군,2019-12-05 12:00,2.7,2.8,38.0,0.0
109,251,고창군,2019-12-05 13:00,3.1,3.2,39.0,0.0
110,251,고창군,2019-12-05 14:00,3.4,3.1,45.0,7.0
111,251,고창군,2019-12-05 15:00,2.9,3.8,53.0,8.0
112,251,고창군,2019-12-05 16:00,1.2,3.8,64.0,7.0
113,251,고창군,2019-12-05 17:00,1.0,2.2,65.0,7.0
114,251,고창군,2019-12-05 18:00,0.5,2.1,73.0,10.0
