,Location,place,Date,Temp,Wind,Humid,Cloud
0,262,고흥,2019-12-01 0:00,8.1,0.7,85.0,10.0
1,262,고흥,2019-12-01 1:00,7.2,0.9,99.0,10.0
2,262,고흥,2019-12-01 2:00,7.1,0.0,99.0,9.0
3,262,고흥,2019-12-01 3:00,6.9,0.6,99.0,9.5
4,262,고흥,2019-12-01 4:00,6.7,0.0,99.0,10.0
5,262,고흥,2019-12-01 5:00,6.5,0.1,99.0,10.0
6,262,고흥,2019-12-01 6:00,6.4,0.1,99.0,10.0
7,262,고흥,2019-12-01 7:00,6.3,0.1,99.0,8.0
8,262,고흥,2019-12-01 8:00,6.3,0.4,99.0,9.0
9,262,고흥,2019-12-01 9:00,6.5,0.4,98.0,10.0
10,262,고흥,2019-12-01 10:00,6.8,0.5,88.0,10.0
11,262,고흥,2019-12-01 11:00,6.9,0.9,94.0,10.0
12,262,고흥,2019-12-01 12:00,7.1,0.7,96.0,10.0
13,262,고흥,2019-12-01 13:00,7.1,0.7,98.0,10.0
14,262,고흥,2019-12-01 14:00,7.4,0.5,99.0,10.0
15,262,고흥,2019-12-01 15:00,7.5,0.8,99.0,10.0
16,262,고흥,2019-12-01 16:00,7.5,0.9,99.0,10.0
17,262,고흥,2019-12-01 17:00,7.5,2.0,99.0,10.0
18,262,고흥,2019-12-01 18:00,7.4,1.7,99.0,10.0
19,262,고흥,2019-12-01 19:00,7.3,1.5,99.0,8.0
20,262,고흥,2019-12-01 20:00,7.1,1.5,99.0,8.0
21,262,고흥,2019-12-01 21:00,7.0,2.0,99.0,10.0
22,262,고흥,2019-12-01 22:00,6.9,1.3,99.0,10.0
23,262,고흥,2019-12-01 23:00,6.9,1.0,99.0,9.0
24,262,고흥,2019-12-02 0:00,6.7,0.7,94.0,10.0
25,262,고흥,2019-12-02 1:00,6.9,3.2,86.0,9.0
26,262,고흥,2019-12-02 2:00,6.0,1.5,87.0,8.0
27,262,고흥,2019-12-02 3:00,5.8,0.4,89.0,8.0
28,262,고흥,2019-12-02 4:00,6.3,3.9,84.0,10.0
29,262,고흥,2019-12-02 5:00,5.5,2.8,73.0,8.0
30,262,고흥,2019-12-02 6:00,5.2,4.0,69.0,8.0
31,262,고흥,2019-12-02 7:00,4.9,3.0,66.0,5.0
32,262,고흥,2019-12-02 8:00,4.6,1.3,67.0,4.0
33,262,고흥,2019-12-02 9:00,6.2,2.1,62.0,2.0
34,262,고흥,2019-12-02 10:00,7.1,3.7,60.0,4.0
35,262,고흥,2019-12-02 11:00,7.2,3.1,59.0,8.0
36,262,고흥,2019-12-02 12:00,6.5,2.9,61.0,7.0
37,262,고흥,2019-12-02 13:00,6.6,4.2,60.0,7.0
38,262,고흥,2019-12-02 14:00,5.9,3.7,66.0,9.0
39,262,고흥,2019-12-02 15:00,5.8,4.1,61.0,9.0
40,262,고흥,2019-12-02 16:00,6.3,4.0,54.0,7.0
41,262,고흥,2019-12-02 17:00,5.3,3.5,58.0,6.0
42,262,고흥,2019-12-02 18:00,4.2,3.0,65.0,0.0
43,262,고흥,2019-12-02 19:00,3.9,3.2,65.0,1.0
44,262,고흥,2019-12-02 20:00,3.8,3.3,66.0,9.0
45,262,고흥,2019-12-02 21:00,3.5,4.7,67.0,9.0
46,262,고흥,2019-12-02 22:00,3.0,3.3,60.0,8.0
47,262,고흥,2019-12-02 23:00,3.1,3.0,61.0,8.0
48,262,고흥,2019-12-03 0:00,3.1,1.8,61.0,8.0
49,262,고흥,2019-12-03 1:00,2.7,2.6,60.0,0.0
50,262,고흥,2019-12-03 2:00,2.4,1.2,64.0,5.0
51,262,고흥,2019-12-03 3:00,2.0,0.7,67.0,6.0
52,262,고흥,2019-12-03 4:00,0.2,0.3,81.0,8.0
53,262,고흥,2019-12-03 5:00,-0.7,0.1,88.0,9.0
54,262,고흥,2019-12-03 6:00,0.2,0.2,88.0,9.0
55,262,고흥,2019-12-03 7:00,1.0,0.4,88.0,10.0
56,262,고흥,2019-12-03 8:00,1.6,0.1,89.0,8.0
57,262,고흥,2019-12-03 9:00,3.6,0.6,76.0,8.0
