,Location,place,Date,Temp,Wind,Humid,Cloud
0,266,광양시,2019-12-01 0:00,10.4,0.5,70.0,10.0
1,266,광양시,2019-12-01 1:00,9.8,0.9,74.0,10.0
2,266,광양시,2019-12-01 2:00,9.5,0.2,75.0,9.0
3,266,광양시,2019-12-01 3:00,9.4,0.7,73.0,9.5
4,266,광양시,2019-12-01 4:00,9.4,0.4,69.0,10.0
5,266,광양시,2019-12-01 5:00,9.7,0.9,64.0,9.0
6,266,광양시,2019-12-01 6:00,9.8,0.2,58.0,3.0
7,266,광양시,2019-12-01 7:00,9.4,0.8,61.0,10.0
8,266,광양시,2019-12-01 8:00,8.1,0.2,78.0,7.0
9,266,광양시,2019-12-01 9:00,8.0,1.1,85.0,10.0
10,266,광양시,2019-12-01 10:00,7.7,0.5,89.0,9.0
11,266,광양시,2019-12-01 11:00,8.2,0.4,87.0,10.0
12,266,광양시,2019-12-01 12:00,7.6,0.3,90.0,10.0
13,266,광양시,2019-12-01 13:00,8.0,0.4,91.0,10.0
14,266,광양시,2019-12-01 14:00,7.6,1.1,92.0,10.0
15,266,광양시,2019-12-01 15:00,7.6,0.4,92.0,10.0
16,266,광양시,2019-12-01 16:00,7.1,1.0,93.0,10.0
17,266,광양시,2019-12-01 17:00,6.9,0.9,92.0,10.0
18,266,광양시,2019-12-01 18:00,7.1,1.8,88.0,10.0
19,266,광양시,2019-12-01 19:00,7.1,0.9,88.0,9.0
20,266,광양시,2019-12-01 20:00,6.9,1.0,93.0,8.0
21,266,광양시,2019-12-01 21:00,7.0,0.7,94.0,8.0
22,266,광양시,2019-12-01 22:00,7.0,0.4,94.0,10.0
23,266,광양시,2019-12-01 23:00,7.4,0.1,94.0,4.0
24,266,광양시,2019-12-02 0:00,7.1,0.5,92.0,9.0
25,266,광양시,2019-12-02 1:00,6.9,1.2,94.0,9.0
26,266,광양시,2019-12-02 2:00,6.8,1.2,85.0,8.0
27,266,광양시,2019-12-02 3:00,7.4,2.3,74.0,8.0
28,266,광양시,2019-12-02 4:00,7.4,4.3,71.0,9.0
29,266,광양시,2019-12-02 5:00,6.1,1.7,62.0,9.0
30,266,광양시,2019-12-02 6:00,5.3,4.0,59.0,7.0
31,266,광양시,2019-12-02 7:00,5.1,4.1,59.0,7.0
32,266,광양시,2019-12-02 8:00,5.2,4.4,60.0,4.0
33,266,광양시,2019-12-02 9:00,6.1,2.2,56.0,2.0
34,266,광양시,2019-12-02 10:00,6.7,2.8,53.0,6.0
35,266,광양시,2019-12-02 11:00,7.5,3.4,51.0,6.0
36,266,광양시,2019-12-02 12:00,6.6,3.9,55.0,7.0
37,266,광양시,2019-12-02 13:00,7.6,4.1,47.0,8.0
38,266,광양시,2019-12-02 14:00,8.0,4.8,46.0,6.0
39,266,광양시,2019-12-02 15:00,7.3,4.6,44.0,5.0
40,266,광양시,2019-12-02 16:00,6.6,3.3,44.0,4.0
41,266,광양시,2019-12-02 17:00,5.7,5.4,47.0,3.0
42,266,광양시,2019-12-02 18:00,5.0,3.8,47.0,2.0
