,Location,place,Date,Temp,Wind,Humid,Cloud
0,156,광주,2019-12-01 0:00,8.4,2.5,53.0,10.0
1,156,광주,2019-12-01 1:00,8.0,1.0,56.0,10.0
2,156,광주,2019-12-01 2:00,7.9,0.0,57.0,10.0
3,156,광주,2019-12-01 3:00,7.8,0.1,60.0,10.0
4,156,광주,2019-12-01 4:00,7.6,0.0,62.0,10.0
5,156,광주,2019-12-01 5:00,7.7,1.7,61.0,10.0
6,156,광주,2019-12-01 6:00,7.5,1.9,66.0,10.0
7,156,광주,2019-12-01 7:00,7.2,2.0,73.0,10.0
8,156,광주,2019-12-01 8:00,6.8,3.2,82.0,10.0
9,156,광주,2019-12-01 9:00,6.1,2.3,82.0,10.0
10,156,광주,2019-12-01 10:00,6.0,2.0,85.0,10.0
11,156,광주,2019-12-01 11:00,5.5,2.2,94.0,10.0
12,156,광주,2019-12-01 12:00,5.6,3.1,96.0,10.0
13,156,광주,2019-12-01 13:00,5.7,1.4,96.0,10.0
14,156,광주,2019-12-01 14:00,5.9,2.4,96.0,10.0
15,156,광주,2019-12-01 15:00,6.2,2.5,97.0,10.0
16,156,광주,2019-12-01 16:00,6.3,2.6,97.0,10.0
17,156,광주,2019-12-01 17:00,6.7,3.4,97.0,10.0
18,156,광주,2019-12-01 18:00,6.7,2.0,97.0,10.0
19,156,광주,2019-12-01 19:00,6.7,2.5,97.0,10.0
20,156,광주,2019-12-01 20:00,6.8,2.6,97.0,10.0
21,156,광주,2019-12-01 21:00,6.7,3.1,97.0,10.0
22,156,광주,2019-12-01 22:00,6.6,1.5,96.0,10.0
23,156,광주,2019-12-01 23:00,6.1,0.3,96.0,1.0
24,156,광주,2019-12-02 0:00,6.2,0.5,95.0,10.0
25,156,광주,2019-12-02 1:00,6.2,0.5,96.0,10.0
26,156,광주,2019-12-02 2:00,6.7,1.2,94.0,10.0
27,156,광주,2019-12-02 3:00,6.5,3.5,74.0,10.0
28,156,광주,2019-12-02 4:00,5.9,1.5,69.0,10.0
29,156,광주,2019-12-02 5:00,6.0,1.6,63.0,9.0
30,156,광주,2019-12-02 6:00,5.6,0.8,66.0,9.0
31,156,광주,2019-12-02 7:00,4.8,1.4,74.0,6.0
32,156,광주,2019-12-02 8:00,4.8,1.1,80.0,6.0
33,156,광주,2019-12-02 9:00,6.0,2.2,65.0,9.0
34,156,광주,2019-12-02 10:00,6.1,1.4,63.0,9.0
35,156,광주,2019-12-02 11:00,6.6,2.7,57.0,7.0
36,156,광주,2019-12-02 12:00,7.0,2.2,60.0,8.0
37,156,광주,2019-12-02 13:00,6.4,2.9,62.0,7.0
38,156,광주,2019-12-02 14:00,7.1,2.5,55.0,7.0
39,156,광주,2019-12-02 15:00,6.1,5.0,54.0,6.0
40,156,광주,2019-12-02 16:00,5.6,2.5,58.0,10.0
41,156,광주,2019-12-02 17:00,4.1,1.9,81.0,8.0
