,Location,place,Date,Temp,Wind,Humid,Cloud
0,279,구미,2019-12-01 0:00,6.2,0.1,86.0,10.0
1,279,구미,2019-12-01 1:00,6.5,0.2,84.0,10.0
2,279,구미,2019-12-01 2:00,6.3,0.1,83.0,10.0
3,279,구미,2019-12-01 3:00,7.4,0.3,70.0,10.0
4,279,구미,2019-12-01 4:00,7.3,0.1,67.0,10.0
5,279,구미,2019-12-01 5:00,7.8,0.2,55.0,10.0
6,279,구미,2019-12-01 6:00,8.1,0.9,50.0,10.0
7,279,구미,2019-12-01 7:00,7.3,0.9,55.0,9.0
8,279,구미,2019-12-01 8:00,7.4,0.0,58.0,9.0
9,279,구미,2019-12-01 9:00,8.2,0.0,53.0,10.0
10,279,구미,2019-12-01 10:00,8.9,0.2,48.0,10.0
11,279,구미,2019-12-01 11:00,8.6,0.0,56.0,10.0
12,279,구미,2019-12-01 12:00,7.7,0.0,68.0,10.0
13,279,구미,2019-12-01 13:00,7.6,0.0,77.0,10.0
14,279,구미,2019-12-01 14:00,6.9,0.7,97.0,10.0
15,279,구미,2019-12-01 15:00,6.4,0.8,99.0,10.0
16,279,구미,2019-12-01 16:00,5.9,0.7,99.0,10.0
17,279,구미,2019-12-01 17:00,5.6,0.6,99.0,10.0
18,279,구미,2019-12-01 18:00,5.7,0.0,99.0,10.0
19,279,구미,2019-12-01 19:00,5.7,0.7,99.0,10.0
20,279,구미,2019-12-01 20:00,5.6,0.6,99.0,10.0
21,279,구미,2019-12-01 21:00,5.6,1.4,99.0,10.0
22,279,구미,2019-12-01 22:00,5.8,1.1,99.0,10.0
23,279,구미,2019-12-01 23:00,5.9,1.4,99.0,10.0
24,279,구미,2019-12-02 0:00,5.4,1.5,99.0,10.0
25,279,구미,2019-12-02 1:00,5.2,1.4,99.0,10.0
26,279,구미,2019-12-02 2:00,5.9,1.4,99.0,10.0
27,279,구미,2019-12-02 3:00,6.1,1.5,99.0,10.0
28,279,구미,2019-12-02 4:00,5.1,2.1,65.0,10.0
29,279,구미,2019-12-02 5:00,4.5,2.8,64.0,10.0
30,279,구미,2019-12-02 6:00,4.1,1.4,75.0,9.0
31,279,구미,2019-12-02 7:00,3.7,2.1,75.0,0.0
32,279,구미,2019-12-02 8:00,4.1,0.6,77.0,2.0
33,279,구미,2019-12-02 9:00,4.4,2.4,77.0,7.0
34,279,구미,2019-12-02 10:00,4.3,2.2,82.0,9.0
35,279,구미,2019-12-02 11:00,6.1,2.2,61.0,5.0
36,279,구미,2019-12-02 12:00,5.4,3.2,56.0,5.0
