,Location,place,Date,Temp,Wind,Humid,Cloud
0,140,군산,2019-12-01 0:00,6.6,1.1,72.0,9.0
1,140,군산,2019-12-01 1:00,6.4,0.4,69.0,9.0
2,140,군산,2019-12-01 2:00,6.3,0.5,69.0,9.0
3,140,군산,2019-12-01 3:00,6.1,0.1,70.0,9.0
4,140,군산,2019-12-01 4:00,5.6,0.1,78.0,9.0
5,140,군산,2019-12-01 5:00,5.9,0.6,75.0,10.0
6,140,군산,2019-12-01 6:00,5.6,0.0,76.0,10.0
7,140,군산,2019-12-01 7:00,5.3,0.6,81.0,8.0
8,140,군산,2019-12-01 8:00,5.5,0.5,80.0,8.0
9,140,군산,2019-12-01 9:00,6.8,0.6,71.0,10.0
10,140,군산,2019-12-01 10:00,6.7,1.2,71.0,10.0
11,140,군산,2019-12-01 11:00,6.7,1.4,76.0,10.0
12,140,군산,2019-12-01 12:00,6.4,1.3,84.0,10.0
13,140,군산,2019-12-01 13:00,6.4,1.3,91.0,10.0
14,140,군산,2019-12-01 14:00,6.3,1.4,91.0,10.0
15,140,군산,2019-12-01 15:00,6.4,1.2,94.0,10.0
16,140,군산,2019-12-01 16:00,6.2,1.5,96.0,10.0
17,140,군산,2019-12-01 17:00,6.3,1.3,97.0,10.0
18,140,군산,2019-12-01 18:00,6.3,0.4,97.0,10.0
19,140,군산,2019-12-01 19:00,6.2,0.7,97.0,10.0
20,140,군산,2019-12-01 20:00,6.1,0.6,97.0,10.0
21,140,군산,2019-12-01 21:00,6.0,0.7,98.0,10.0
22,140,군산,2019-12-01 22:00,5.7,0.8,98.0,9.0
23,140,군산,2019-12-01 23:00,5.8,1.8,98.0,8.0
24,140,군산,2019-12-02 0:00,6.3,2.8,96.0,10.0
25,140,군산,2019-12-02 1:00,5.9,5.5,80.0,9.0
26,140,군산,2019-12-02 2:00,5.3,3.2,74.0,10.0
27,140,군산,2019-12-02 3:00,5.1,1.9,66.0,10.0
28,140,군산,2019-12-02 4:00,4.8,1.4,74.0,10.0
29,140,군산,2019-12-02 5:00,5.7,4.1,68.0,5.0
30,140,군산,2019-12-02 6:00,5.3,2.1,71.0,8.0
31,140,군산,2019-12-02 7:00,4.9,1.6,69.0,2.0
32,140,군산,2019-12-02 8:00,5.2,4.1,67.0,10.0
33,140,군산,2019-12-02 9:00,5.4,2.9,64.0,7.0
34,140,군산,2019-12-02 10:00,5.3,4.7,60.0,6.0
35,140,군산,2019-12-02 11:00,6.6,4.9,54.0,5.0
36,140,군산,2019-12-02 12:00,6.9,5.6,49.0,4.0
37,140,군산,2019-12-02 13:00,7.0,5.3,47.0,5.0
38,140,군산,2019-12-02 14:00,6.3,6.3,53.0,7.0
39,140,군산,2019-12-02 15:00,4.7,5.9,67.0,8.0
40,140,군산,2019-12-02 16:00,5.1,4.9,63.0,6.0
41,140,군산,2019-12-02 17:00,4.0,5.3,66.0,4.0
42,140,군산,2019-12-02 18:00,3.4,3.3,68.0,7.0
43,140,군산,2019-12-02 19:00,3.3,3.2,67.0,8.0
44,140,군산,2019-12-02 20:00,3.1,2.5,65.0,8.0
45,140,군산,2019-12-02 21:00,3.1,3.5,62.0,10.0
46,140,군산,2019-12-02 22:00,2.6,1.7,63.0,8.0
47,140,군산,2019-12-02 23:00,2.3,0.7,65.0,8.0
48,140,군산,2019-12-03 0:00,2.1,1.0,71.0,10.0
