,Location,place,Date,Temp,Wind,Humid,Cloud
0,238,금산,2019-12-01 0:00,6.7,0.9,56.0,9.0
1,238,금산,2019-12-01 1:00,6.1,0.5,65.0,10.0
2,238,금산,2019-12-01 2:00,5.8,0.3,71.0,10.0
3,238,금산,2019-12-01 3:00,5.5,0.4,71.0,9.5
4,238,금산,2019-12-01 4:00,5.1,0.5,79.0,9.0
5,238,금산,2019-12-01 5:00,4.8,0.3,77.0,10.0
6,238,금산,2019-12-01 6:00,4.8,0.0,76.0,9.0
7,238,금산,2019-12-01 7:00,3.9,0.5,81.0,7.0
8,238,금산,2019-12-01 8:00,4.2,0.1,77.0,2.0
9,238,금산,2019-12-01 9:00,5.1,0.1,76.0,10.0
10,238,금산,2019-12-01 10:00,6.4,0.4,69.0,10.0
11,238,금산,2019-12-01 11:00,6.4,0.9,72.0,10.0
12,238,금산,2019-12-01 12:00,6.0,0.9,76.0,10.0
13,238,금산,2019-12-01 13:00,5.5,0.8,82.0,10.0
14,238,금산,2019-12-01 14:00,5.1,0.1,87.0,10.0
15,238,금산,2019-12-01 15:00,5.0,0.4,92.0,10.0
16,238,금산,2019-12-01 16:00,5.1,0.1,97.0,10.0
17,238,금산,2019-12-01 17:00,5.0,0.2,98.0,10.0
18,238,금산,2019-12-01 18:00,5.1,0.4,99.0,10.0
19,238,금산,2019-12-01 19:00,5.3,0.5,98.0,10.0
20,238,금산,2019-12-01 20:00,5.3,0.3,98.0,10.0
21,238,금산,2019-12-01 21:00,5.1,0.0,100.0,10.0
22,238,금산,2019-12-01 22:00,5.1,0.1,100.0,10.0
23,238,금산,2019-12-01 23:00,4.8,0.9,100.0,10.0
24,238,금산,2019-12-02 0:00,4.8,0.9,100.0,1.0
25,238,금산,2019-12-02 1:00,5.1,0.0,98.0,10.0
26,238,금산,2019-12-02 2:00,5.0,4.0,95.0,10.0
27,238,금산,2019-12-02 3:00,4.1,3.1,75.0,9.0
28,238,금산,2019-12-02 4:00,3.6,2.1,75.0,10.0
29,238,금산,2019-12-02 5:00,3.5,1.4,75.0,10.0
30,238,금산,2019-12-02 6:00,3.4,1.2,74.0,7.0
31,238,금산,2019-12-02 7:00,3.1,1.8,75.0,0.0
32,238,금산,2019-12-02 8:00,2.7,0.7,78.0,9.0
33,238,금산,2019-12-02 9:00,3.9,3.6,66.0,7.0
34,238,금산,2019-12-02 10:00,4.6,2.6,57.0,5.0
35,238,금산,2019-12-02 11:00,5.5,3.8,57.0,7.0
36,238,금산,2019-12-02 12:00,5.5,3.3,52.0,7.0
37,238,금산,2019-12-02 13:00,4.8,3.6,50.0,7.0
38,238,금산,2019-12-02 14:00,6.0,3.3,40.0,4.0
39,238,금산,2019-12-02 15:00,4.9,3.9,41.0,6.0
40,238,금산,2019-12-02 16:00,5.0,3.0,46.0,0.0
41,238,금산,2019-12-02 17:00,3.5,2.5,54.0,0.0
42,238,금산,2019-12-02 18:00,2.6,3.8,58.0,0.0
43,238,금산,2019-12-02 19:00,1.9,2.4,65.0,2.0
44,238,금산,2019-12-02 20:00,0.8,0.6,71.0,1.0
45,238,금산,2019-12-02 21:00,0.9,1.4,65.0,0.0
46,238,금산,2019-12-02 22:00,0.4,1.7,63.0,5.0
47,238,금산,2019-12-02 23:00,-0.4,0.8,66.0,0.0
48,238,금산,2019-12-03 0:00,-1.3,0.2,75.0,0.0
49,238,금산,2019-12-03 1:00,-0.6,0.2,74.0,10.0
50,238,금산,2019-12-03 2:00,-0.4,0.2,74.0,10.0
51,238,금산,2019-12-03 3:00,-0.7,0.6,77.0,9.0
52,238,금산,2019-12-03 4:00,-1.4,0.7,83.0,0.0
53,238,금산,2019-12-03 5:00,-2.7,0.4,91.0,0.0
54,238,금산,2019-12-03 6:00,-3.0,0.1,92.0,0.0
55,238,금산,2019-12-03 7:00,-3.6,0.2,93.0,0.0
56,238,금산,2019-12-03 8:00,-2.9,0.5,92.0,7.0
57,238,금산,2019-12-03 9:00,-0.9,0.8,81.0,8.0
58,238,금산,2019-12-03 10:00,1.1,0.6,73.0,7.0
59,238,금산,2019-12-03 11:00,4.0,0.9,58.0,6.5
60,238,금산,2019-12-03 12:00,4.8,2.6,60.0,6.0
61,238,금산,2019-12-03 13:00,5.7,2.9,60.0,8.0
62,238,금산,2019-12-03 14:00,5.9,2.9,60.0,9.0
63,238,금산,2019-12-03 15:00,5.6,2.3,62.0,9.0
64,238,금산,2019-12-03 16:00,5.6,2.0,65.0,9.0
65,238,금산,2019-12-03 17:00,5.2,2.2,71.0,8.0
66,238,금산,2019-12-03 18:00,5.2,1.0,70.0,1.0
67,238,금산,2019-12-03 19:00,5.4,0.9,69.0,9.0
68,238,금산,2019-12-03 20:00,5.4,1.3,65.0,5.0
69,238,금산,2019-12-03 21:00,2.9,0.2,77.0,6.0
70,238,금산,2019-12-03 22:00,2.8,0.4,80.0,0.0
71,238,금산,2019-12-03 23:00,4.8,1.7,61.0,0.0
72,238,금산,2019-12-04 0:00,4.3,0.8,62.0,0.0
73,238,금산,2019-12-04 1:00,0.9,0.4,83.0,0.0
74,238,금산,2019-12-04 2:00,0.5,0.8,86.0,5.0
75,238,금산,2019-12-04 3:00,2.2,0.9,77.0,9.0
76,238,금산,2019-12-04 4:00,6.0,2.0,59.0,9.0
77,238,금산,2019-12-04 5:00,4.0,0.7,71.0,9.0
78,238,금산,2019-12-04 6:00,3.9,0.9,83.0,9.0
79,238,금산,2019-12-04 7:00,3.1,0.2,91.0,9.0
80,238,금산,2019-12-04 8:00,2.7,0.1,93.0,1.0
81,238,금산,2019-12-04 9:00,3.5,0.0,93.0,6.0
82,238,금산,2019-12-04 10:00,5.7,1.3,62.0,3.0
83,238,금산,2019-12-04 11:00,6.6,1.1,43.0,4.0
84,238,금산,2019-12-04 12:00,7.8,2.3,31.0,0.0
85,238,금산,2019-12-04 13:00,8.7,2.0,32.0,3.0
86,238,금산,2019-12-04 14:00,9.3,1.7,30.0,0.0
87,238,금산,2019-12-04 15:00,8.9,2.1,33.0,2.0
88,238,금산,2019-12-04 16:00,8.3,1.8,36.0,5.0
89,238,금산,2019-12-04 17:00,7.6,2.1,44.0,8.0
90,238,금산,2019-12-04 18:00,6.4,0.6,49.0,7.0
91,238,금산,2019-12-04 19:00,4.1,1.0,63.0,6.0
92,238,금산,2019-12-04 20:00,6.3,2.5,57.0,9.0
93,238,금산,2019-12-04 21:00,4.8,0.8,69.0,3.0
94,238,금산,2019-12-04 22:00,3.4,0.6,77.0,4.0
95,238,금산,2019-12-04 23:00,1.9,0.2,85.0,0.0
96,238,금산,2019-12-05 0:00,0.6,0.2,90.0,2.0
97,238,금산,2019-12-05 1:00,1.6,0.7,85.0,0.0
98,238,금산,2019-12-05 2:00,2.1,0.7,65.0,0.0
99,238,금산,2019-12-05 3:00,1.3,0.7,65.0,0.0
100,238,금산,2019-12-05 4:00,0.1,0.7,76.0,0.0
101,238,금산,2019-12-05 5:00,0.1,0.5,71.0,0.0
102,238,금산,2019-12-05 6:00,-1.6,0.5,73.0,0.0
103,238,금산,2019-12-05 7:00,-1.8,1.5,70.0,0.0
104,238,금산,2019-12-05 8:00,-1.4,0.6,66.0,0.0
105,238,금산,2019-12-05 9:00,0.2,1.5,47.0,0.0
106,238,금산,2019-12-05 10:00,0.6,3.9,31.0,0.0
107,238,금산,2019-12-05 11:00,1.5,2.3,30.0,1.0
108,238,금산,2019-12-05 12:00,2.6,1.6,28.0,1.0
