,Location,place,Date,Temp,Wind,Humid,Cloud
0,253,김해시,2019-12-01 0:00,9.8,0.5,66.0,9.0
1,253,김해시,2019-12-01 1:00,9.2,0.6,74.0,10.0
2,253,김해시,2019-12-01 2:00,8.8,0.6,89.0,10.0
3,253,김해시,2019-12-01 3:00,8.7,1.1,91.0,10.0
4,253,김해시,2019-12-01 4:00,8.8,0.6,92.0,10.0
5,253,김해시,2019-12-01 5:00,8.9,1.2,93.0,0.0
6,253,김해시,2019-12-01 6:00,9.0,1.9,94.0,6.0
7,253,김해시,2019-12-01 7:00,8.8,0.9,91.0,6.0
8,253,김해시,2019-12-01 8:00,8.8,1.5,85.0,9.0
9,253,김해시,2019-12-01 9:00,8.5,2.0,84.0,10.0
10,253,김해시,2019-12-01 10:00,8.6,2.8,85.0,10.0
11,253,김해시,2019-12-01 11:00,8.7,2.8,88.0,10.0
12,253,김해시,2019-12-01 12:00,8.6,2.8,91.0,10.0
13,253,김해시,2019-12-01 13:00,8.4,3.2,88.0,10.0
14,253,김해시,2019-12-01 14:00,6.5,3.3,89.0,10.0
15,253,김해시,2019-12-01 15:00,6.1,1.4,93.0,10.0
16,253,김해시,2019-12-01 16:00,6.2,1.3,95.0,10.0
17,253,김해시,2019-12-01 17:00,5.7,2.7,97.0,10.0
18,253,김해시,2019-12-01 18:00,5.4,2.0,97.0,10.0
19,253,김해시,2019-12-01 19:00,5.4,2.7,98.0,10.0
20,253,김해시,2019-12-01 20:00,5.4,3.6,96.0,10.0
21,253,김해시,2019-12-01 21:00,5.4,4.1,96.0,10.0
22,253,김해시,2019-12-01 22:00,5.5,4.2,98.0,10.0
23,253,김해시,2019-12-01 23:00,5.6,3.8,97.0,10.0
24,253,김해시,2019-12-02 0:00,5.4,5.0,97.0,10.0
25,253,김해시,2019-12-02 1:00,5.5,4.3,95.0,10.0
26,253,김해시,2019-12-02 2:00,5.3,4.3,94.0,8.0
27,253,김해시,2019-12-02 3:00,5.1,2.4,94.0,10.0
28,253,김해시,2019-12-02 4:00,5.0,2.0,92.0,9.0
29,253,김해시,2019-12-02 5:00,5.3,1.8,89.0,8.0
30,253,김해시,2019-12-02 6:00,5.9,2.0,84.0,9.0
31,253,김해시,2019-12-02 7:00,5.7,2.9,69.0,9.0
32,253,김해시,2019-12-02 8:00,5.5,2.5,59.0,6.0
33,253,김해시,2019-12-02 9:00,5.8,3.6,61.0,2.0
34,253,김해시,2019-12-02 10:00,7.1,4.0,58.0,3.0
35,253,김해시,2019-12-02 11:00,8.1,4.6,49.0,0.0
36,253,김해시,2019-12-02 12:00,9.0,4.3,44.0,0.0
37,253,김해시,2019-12-02 13:00,9.9,4.1,42.0,1.0
38,253,김해시,2019-12-02 14:00,10.1,6.0,37.0,1.0
39,253,김해시,2019-12-02 15:00,9.4,4.9,38.0,2.0
40,253,김해시,2019-12-02 16:00,9.1,5.0,37.0,0.0
41,253,김해시,2019-12-02 17:00,7.5,4.4,38.0,0.0
42,253,김해시,2019-12-02 18:00,6.6,3.8,41.0,0.0
43,253,김해시,2019-12-02 19:00,5.9,3.0,44.0,0.0
44,253,김해시,2019-12-02 20:00,5.3,3.2,45.0,0.0
45,253,김해시,2019-12-02 21:00,4.4,2.9,48.0,0.0
46,253,김해시,2019-12-02 22:00,3.8,3.5,50.0,0.0
47,253,김해시,2019-12-02 23:00,3.3,3.7,51.0,0.0
48,253,김해시,2019-12-03 0:00,2.5,2.8,54.0,0.0
49,253,김해시,2019-12-03 1:00,2.2,3.7,53.0,0.0
50,253,김해시,2019-12-03 2:00,0.8,1.1,59.0,0.0
51,253,김해시,2019-12-03 3:00,0.7,1.1,59.0,0.0
52,253,김해시,2019-12-03 4:00,0.4,1.2,61.0,0.0
53,253,김해시,2019-12-03 5:00,-0.1,0.8,65.0,0.0
54,253,김해시,2019-12-03 6:00,-0.2,0.8,71.0,0.0
55,253,김해시,2019-12-03 7:00,-0.3,1.1,70.0,0.0
56,253,김해시,2019-12-03 8:00,0.4,1.4,69.0,0.0
57,253,김해시,2019-12-03 9:00,2.5,1.8,57.0,0.0
58,253,김해시,2019-12-03 10:00,4.5,2.1,49.0,0.0
59,253,김해시,2019-12-03 11:00,5.8,2.3,47.0,0.0
60,253,김해시,2019-12-03 12:00,6.6,4.0,44.0,0.0
61,253,김해시,2019-12-03 13:00,6.5375,3.775,45.5,0.0
62,253,김해시,2019-12-03 14:00,6.475,3.55,47.0,4.0
63,253,김해시,2019-12-03 15:00,6.4125,3.325,48.5,8.0
64,253,김해시,2019-12-03 16:00,6.35,3.1,50.0,8.0
65,253,김해시,2019-12-03 17:00,6.2875,2.875,51.5,8.0
66,253,김해시,2019-12-03 18:00,6.225,2.6500000000000004,53.0,2.0
67,253,김해시,2019-12-03 19:00,6.1625,2.4250000000000003,54.5,1.0
68,253,김해시,2019-12-03 20:00,6.1,2.2,56.0,0.0
69,253,김해시,2019-12-03 21:00,5.4,2.3,61.0,0.0
70,253,김해시,2019-12-03 22:00,5.1,2.3,62.0,1.0
71,253,김해시,2019-12-03 23:00,4.5,1.6,63.0,0.0
72,253,김해시,2019-12-04 0:00,4.1,0.0,64.0,0.0
73,253,김해시,2019-12-04 1:00,4.0,2.3,66.0,0.0
74,253,김해시,2019-12-04 2:00,4.6,2.4,62.0,0.0
75,253,김해시,2019-12-04 3:00,3.6,1.2,66.0,0.0
76,253,김해시,2019-12-04 4:00,3.1,0.8,70.0,0.0
77,253,김해시,2019-12-04 5:00,2.7,1.8,71.0,0.0
78,253,김해시,2019-12-04 6:00,2.5,1.5,73.0,0.0
79,253,김해시,2019-12-04 7:00,2.2,0.6,75.0,0.0
80,253,김해시,2019-12-04 8:00,3.0,0.7,73.0,1.0
81,253,김해시,2019-12-04 9:00,5.0,1.3,63.0,3.0
82,253,김해시,2019-12-04 10:00,7.9,1.4,54.0,2.0
83,253,김해시,2019-12-04 11:00,8.7,3.7,50.0,0.0
84,253,김해시,2019-12-04 12:00,9.5,3.0,49.0,2.0
85,253,김해시,2019-12-04 13:00,10.8,2.9,45.0,5.0
86,253,김해시,2019-12-04 14:00,11.2,3.5,39.0,5.0
87,253,김해시,2019-12-04 15:00,11.1,4.0,39.0,3.0
88,253,김해시,2019-12-04 16:00,10.4,3.8,41.0,1.0
89,253,김해시,2019-12-04 17:00,9.0,2.8,45.0,0.0
90,253,김해시,2019-12-04 18:00,7.7,1.1,52.0,0.0
91,253,김해시,2019-12-04 19:00,6.7,0.4,56.0,0.0
92,253,김해시,2019-12-04 20:00,5.7,0.6,55.0,0.0
93,253,김해시,2019-12-04 21:00,5.1,1.0,61.0,0.0
94,253,김해시,2019-12-04 22:00,4.7,1.2,60.0,0.0
95,253,김해시,2019-12-04 23:00,4.2,0.9,66.0,0.0
96,253,김해시,2019-12-05 0:00,3.7,0.1,65.0,0.0
97,253,김해시,2019-12-05 1:00,3.4,0.3,65.0,0.0
98,253,김해시,2019-12-05 2:00,2.8,0.5,67.0,0.0
99,253,김해시,2019-12-05 3:00,2.9,0.3,66.0,0.0
100,253,김해시,2019-12-05 4:00,3.2,0.9,63.0,0.0
101,253,김해시,2019-12-05 5:00,2.2,1.2,69.0,0.0
102,253,김해시,2019-12-05 6:00,1.6,1.0,71.0,0.0
103,253,김해시,2019-12-05 7:00,2.0,0.7,67.0,0.0
104,253,김해시,2019-12-05 8:00,2.6,0.7,65.0,0.0
105,253,김해시,2019-12-05 9:00,4.2,1.5,57.0,0.0
106,253,김해시,2019-12-05 10:00,6.3,3.0,39.0,0.0
107,253,김해시,2019-12-05 11:00,6.9,2.8,35.0,1.0
108,253,김해시,2019-12-05 12:00,8.1,2.6,32.0,0.0
109,253,김해시,2019-12-05 13:00,8.4,4.2,31.0,0.0
110,253,김해시,2019-12-05 14:00,8.8,4.0,29.0,0.0
111,253,김해시,2019-12-05 15:00,8.5,3.5,29.0,3.0
112,253,김해시,2019-12-05 16:00,7.4,3.2,30.0,1.0
113,253,김해시,2019-12-05 17:00,5.5,3.5,31.0,1.0
114,253,김해시,2019-12-05 18:00,4.0,1.9,34.0,5.0
115,253,김해시,2019-12-05 19:00,3.7,3.0,34.0,3.0
116,253,김해시,2019-12-05 20:00,3.4,3.9,36.0,3.0
117,253,김해시,2019-12-05 21:00,2.5,3.5,39.0,6.0
118,253,김해시,2019-12-05 22:00,1.3,2.2,38.0,8.0
119,253,김해시,2019-12-05 23:00,0.4,2.7,39.0,4.0
120,253,김해시,2019-12-06 0:00,-0.6,2.0,42.0,8.0
121,253,김해시,2019-12-06 1:00,-1.6,1.9,41.0,5.0
122,253,김해시,2019-12-06 2:00,-2.1,2.7,42.0,7.0
123,253,김해시,2019-12-06 3:00,-2.8,1.2,40.0,0.0
124,253,김해시,2019-12-06 4:00,-2.2,4.4,37.0,10.0
125,253,김해시,2019-12-06 5:00,-2.4,3.5,33.0,8.0
126,253,김해시,2019-12-06 6:00,-3.2,2.2,36.0,0.0
127,253,김해시,2019-12-06 7:00,-3.3,2.7,39.0,7.0
128,253,김해시,2019-12-06 8:00,-3.2,1.9,38.0,7.0
129,253,김해시,2019-12-06 9:00,-2.4,3.7,37.0,7.0
130,253,김해시,2019-12-06 10:00,-1.2,3.4,32.0,7.0
131,253,김해시,2019-12-06 11:00,0.0,4.0,30.0,8.0
132,253,김해시,2019-12-06 12:00,1.7,4.2,25.0,8.0
133,253,김해시,2019-12-06 13:00,2.1,3.3,24.0,9.0
134,253,김해시,2019-12-06 14:00,3.9,3.4,21.0,9.0
135,253,김해시,2019-12-06 15:00,4.4,3.7,18.0,7.0
136,253,김해시,2019-12-06 16:00,4.1,3.5,17.0,6.0
137,253,김해시,2019-12-06 17:00,2.7,1.1,19.0,9.0
138,253,김해시,2019-12-06 18:00,2.1,1.3,19.0,10.0
139,253,김해시,2019-12-06 19:00,1.8,3.0,20.0,8.0
140,253,김해시,2019-12-06 20:00,1.1,2.1,22.0,10.0
141,253,김해시,2019-12-06 21:00,0.7,3.2,25.0,7.0
142,253,김해시,2019-12-06 22:00,-0.3,2.5,31.0,0.0
143,253,김해시,2019-12-06 23:00,-0.9,3.0,33.0,3.0
144,253,김해시,2019-12-07 0:00,-1.7,2.2,36.0,0.0
145,253,김해시,2019-12-07 1:00,-1.6,4.3,33.0,0.0
146,253,김해시,2019-12-07 2:00,-2.4,4.2,38.0,0.0
147,253,김해시,2019-12-07 3:00,-2.5,4.9,36.0,0.0
148,253,김해시,2019-12-07 4:00,-2.5,5.2,37.0,0.0
149,253,김해시,2019-12-07 5:00,-1.8,4.4,42.0,0.0
150,253,김해시,2019-12-07 6:00,-1.3,4.4,52.0,0.0
151,253,김해시,2019-12-07 7:00,-1.0,4.6,57.0,0.0
152,253,김해시,2019-12-07 8:00,-0.4,4.5,55.0,0.0
153,253,김해시,2019-12-07 9:00,0.6,3.9,52.0,0.0
154,253,김해시,2019-12-07 10:00,2.6,4.4,46.0,0.0
155,253,김해시,2019-12-07 11:00,4.6,4.3,41.0,0.0
156,253,김해시,2019-12-07 12:00,6.0,4.7,40.0,0.0
157,253,김해시,2019-12-07 13:00,7.6,5.1,38.0,0.0
158,253,김해시,2019-12-07 14:00,8.9,4.2,37.0,0.0
159,253,김해시,2019-12-07 15:00,9.4,3.6,35.0,0.0
160,253,김해시,2019-12-07 16:00,8.9,3.2,36.0,0.0
161,253,김해시,2019-12-07 17:00,6.9,2.0,41.0,0.0
162,253,김해시,2019-12-07 18:00,5.7,1.0,46.0,0.0
163,253,김해시,2019-12-07 19:00,4.9,0.7,49.0,0.0
164,253,김해시,2019-12-07 20:00,4.6,0.9,51.0,0.0
165,253,김해시,2019-12-07 21:00,4.3,0.6,52.0,0.0
166,253,김해시,2019-12-07 22:00,3.0,0.6,58.0,0.0
167,253,김해시,2019-12-07 23:00,3.1,1.9,60.0,0.0
168,253,김해시,2019-12-08 0:00,2.4,0.8,65.0,0.0
169,253,김해시,2019-12-08 1:00,2.1,1.4,69.0,0.0
170,253,김해시,2019-12-08 2:00,1.2,0.9,73.0,0.0
171,253,김해시,2019-12-08 3:00,0.9,1.4,74.0,0.0
172,253,김해시,2019-12-08 4:00,0.4,1.9,78.0,0.0
173,253,김해시,2019-12-08 5:00,0.0,1.1,81.0,0.0
174,253,김해시,2019-12-08 6:00,0.7,2.9,77.0,0.0
175,253,김해시,2019-12-08 7:00,0.3,1.8,79.0,0.0
176,253,김해시,2019-12-08 8:00,0.4,1.6,78.0,0.0
177,253,김해시,2019-12-08 9:00,2.1,2.1,71.0,0.0
