,Location,place,Date,Temp,Wind,Humid,Cloud
0,247,남원,2019-12-01 0:00,7.2,0.9,62.0,10.0
1,247,남원,2019-12-01 1:00,7.1,0.8,63.0,10.0
2,247,남원,2019-12-01 2:00,7.3,0.3,55.0,9.0
3,247,남원,2019-12-01 3:00,7.0,0.0,58.0,8.5
4,247,남원,2019-12-01 4:00,6.6,0.4,61.0,8.0
5,247,남원,2019-12-01 5:00,6.5,0.9,62.0,10.0
6,247,남원,2019-12-01 6:00,6.5,1.3,60.0,10.0
7,247,남원,2019-12-01 7:00,6.4,0.4,62.0,8.0
8,247,남원,2019-12-01 8:00,6.0,0.5,71.0,10.0
9,247,남원,2019-12-01 9:00,5.9,0.7,80.0,10.0
10,247,남원,2019-12-01 10:00,5.8,0.8,82.0,10.0
11,247,남원,2019-12-01 11:00,5.6,0.6,87.0,10.0
12,247,남원,2019-12-01 12:00,5.2,1.9,89.0,10.0
13,247,남원,2019-12-01 13:00,5.0,1.2,97.0,9.0
14,247,남원,2019-12-01 14:00,5.4,0.6,98.0,9.0
15,247,남원,2019-12-01 15:00,5.7,0.9,99.0,10.0
16,247,남원,2019-12-01 16:00,5.8,1.4,100.0,10.0
17,247,남원,2019-12-01 17:00,5.7,0.7,100.0,10.0
18,247,남원,2019-12-01 18:00,5.7,1.6,100.0,10.0
19,247,남원,2019-12-01 19:00,5.9,1.0,100.0,8.0
20,247,남원,2019-12-01 20:00,5.9,0.9,100.0,0.0
21,247,남원,2019-12-01 21:00,5.8,1.4,100.0,10.0
22,247,남원,2019-12-01 22:00,5.8,0.8,99.0,10.0
23,247,남원,2019-12-01 23:00,5.5,1.3,98.0,9.0
24,247,남원,2019-12-02 0:00,5.2,1.7,93.0,0.0
25,247,남원,2019-12-02 1:00,5.4,1.0,93.0,10.0
26,247,남원,2019-12-02 2:00,5.6,0.4,91.0,9.0
27,247,남원,2019-12-02 3:00,5.5,1.1,95.0,10.0
28,247,남원,2019-12-02 4:00,4.2,2.2,68.0,6.0
29,247,남원,2019-12-02 5:00,4.1,0.4,70.0,10.0
30,247,남원,2019-12-02 6:00,3.9,0.6,71.0,0.0
31,247,남원,2019-12-02 7:00,3.8,0.3,72.0,3.0
32,247,남원,2019-12-02 8:00,3.4,0.3,86.0,10.0
33,247,남원,2019-12-02 9:00,4.4,0.7,71.0,9.0
34,247,남원,2019-12-02 10:00,4.4,1.8,66.0,10.0
35,247,남원,2019-12-02 11:00,5.0,1.9,58.0,9.0
36,247,남원,2019-12-02 12:00,6.2,1.95,56.0,8.0
37,247,남원,2019-12-02 13:00,5.9,2.0,49.0,8.0
38,247,남원,2019-12-02 14:00,5.9,3.5,50.0,8.0
39,247,남원,2019-12-02 15:00,5.5,5.5,51.0,7.0
40,247,남원,2019-12-02 16:00,4.6,3.9,54.0,7.0
41,247,남원,2019-12-02 17:00,4.2,3.1,55.0,8.0
42,247,남원,2019-12-02 18:00,3.4,3.0,62.0,1.0
43,247,남원,2019-12-02 19:00,2.7,0.6,68.0,2.0
44,247,남원,2019-12-02 20:00,2.3,1.4,67.0,0.0
45,247,남원,2019-12-02 21:00,2.1,1.2,67.0,3.0
46,247,남원,2019-12-02 22:00,1.7,1.8,66.0,3.0
47,247,남원,2019-12-02 23:00,1.5,1.7,67.0,8.0
48,247,남원,2019-12-03 0:00,0.9,1.0,67.0,4.0
49,247,남원,2019-12-03 1:00,0.3,0.8,74.0,5.0
50,247,남원,2019-12-03 2:00,0.5,0.6,77.0,5.0
51,247,남원,2019-12-03 3:00,0.5,0.9,75.0,7.0
52,247,남원,2019-12-03 4:00,0.4,1.0,75.0,9.0
53,247,남원,2019-12-03 5:00,0.4,0.6,76.0,5.0
54,247,남원,2019-12-03 6:00,0.2,0.0,79.0,0.0
55,247,남원,2019-12-03 7:00,-0.2,1.7,86.0,0.0
56,247,남원,2019-12-03 8:00,-0.3,0.6,86.0,8.0
57,247,남원,2019-12-03 9:00,0.6,0.1,81.0,9.0
58,247,남원,2019-12-03 10:00,2.7,1.0,71.0,3.0
59,247,남원,2019-12-03 11:00,4.5,1.3,60.0,5.0
60,247,남원,2019-12-03 12:00,5.4,0.5,57.0,7.0
61,247,남원,2019-12-03 13:00,5.3,1.7,57.0,8.0
62,247,남원,2019-12-03 14:00,5.5,1.7,59.0,9.0
63,247,남원,2019-12-03 15:00,6.1,1.6,59.0,8.0
64,247,남원,2019-12-03 16:00,6.3,1.8,59.0,8.0
65,247,남원,2019-12-03 17:00,6.3,2.5,56.0,8.0
66,247,남원,2019-12-03 18:00,5.9,2.4,59.0,0.0
67,247,남원,2019-12-03 19:00,4.9,1.3,66.0,2.0
68,247,남원,2019-12-03 20:00,3.1,1.0,76.0,8.0
69,247,남원,2019-12-03 21:00,2.1,0.0,82.0,0.0
70,247,남원,2019-12-03 22:00,0.6,1.1,90.0,0.0
71,247,남원,2019-12-03 23:00,-0.6,1.1,94.0,0.0
72,247,남원,2019-12-04 0:00,-1.1,1.2,95.0,0.0
73,247,남원,2019-12-04 1:00,-0.8,0.7,95.0,10.0
74,247,남원,2019-12-04 2:00,-0.6,0.9,94.0,0.0
75,247,남원,2019-12-04 3:00,-1.1,1.2,96.0,6.0
76,247,남원,2019-12-04 4:00,-1.2,1.0,97.0,2.0
77,247,남원,2019-12-04 5:00,-0.7,1.2,96.0,1.0
78,247,남원,2019-12-04 6:00,-1.3,0.2,96.0,0.0
79,247,남원,2019-12-04 7:00,-1.9,1.3,97.0,0.0
80,247,남원,2019-12-04 8:00,-1.8,1.3,97.0,0.0
81,247,남원,2019-12-04 9:00,-0.1,1.1,92.0,3.0
82,247,남원,2019-12-04 10:00,2.7,1.0,78.0,4.0
83,247,남원,2019-12-04 11:00,5.3,1.5,69.0,5.0
84,247,남원,2019-12-04 12:00,8.2,1.3,54.0,1.0
85,247,남원,2019-12-04 13:00,8.5,1.5,49.0,7.0
86,247,남원,2019-12-04 14:00,8.6,0.9,47.0,8.0
87,247,남원,2019-12-04 15:00,8.5,2.0,46.0,5.0
88,247,남원,2019-12-04 16:00,8.8,2.2,46.0,3.0
89,247,남원,2019-12-04 17:00,7.8,1.4,45.0,4.0
90,247,남원,2019-12-04 18:00,5.9,0.3,55.0,0.0
91,247,남원,2019-12-04 19:00,2.9,1.4,73.0,0.0
92,247,남원,2019-12-04 20:00,1.3,1.7,81.0,0.0
93,247,남원,2019-12-04 21:00,1.3,2.2,79.0,4.0
94,247,남원,2019-12-04 22:00,1.6,0.8,81.0,8.0
95,247,남원,2019-12-04 23:00,1.0,1.8,85.0,0.0
96,247,남원,2019-12-05 0:00,0.3,1.5,87.0,0.0
97,247,남원,2019-12-05 1:00,0.5,0.9,88.0,4.0
98,247,남원,2019-12-05 2:00,0.9,1.0,88.0,0.0
99,247,남원,2019-12-05 3:00,0.8,0.8,89.0,10.0
100,247,남원,2019-12-05 4:00,-0.3,1.3,94.0,0.0
101,247,남원,2019-12-05 5:00,-0.6,1.5,94.0,0.0
102,247,남원,2019-12-05 6:00,-0.9,1.5,95.0,4.0
103,247,남원,2019-12-05 7:00,-1.4,1.5,95.0,0.0
104,247,남원,2019-12-05 8:00,-1.6,1.7,96.0,0.0
105,247,남원,2019-12-05 9:00,0.5,1.3,86.0,0.0
106,247,남원,2019-12-05 10:00,3.5,1.8,46.0,0.0
107,247,남원,2019-12-05 11:00,3.8,2.6,39.0,0.0
108,247,남원,2019-12-05 12:00,3.8,2.9,32.0,0.0
109,247,남원,2019-12-05 13:00,4.5,3.5,34.0,0.0
110,247,남원,2019-12-05 14:00,4.7,2.5,35.0,0.0
111,247,남원,2019-12-05 15:00,3.9,3.4,39.0,2.0
112,247,남원,2019-12-05 16:00,3.2,2.5,44.0,3.0
113,247,남원,2019-12-05 17:00,2.3,1.9,44.0,4.0
114,247,남원,2019-12-05 18:00,0.7,2.2,49.0,1.0
115,247,남원,2019-12-05 19:00,0.2,1.0,55.0,6.0
116,247,남원,2019-12-05 20:00,-0.8,2.0,62.0,10.0
117,247,남원,2019-12-05 21:00,-1.7,0.9,66.0,1.0
118,247,남원,2019-12-05 22:00,-2.1,1.9,62.0,0.0
119,247,남원,2019-12-05 23:00,-2.8,1.9,64.0,0.0
120,247,남원,2019-12-06 0:00,-3.7,1.6,61.0,0.0
121,247,남원,2019-12-06 1:00,-4.5,1.1,61.0,0.0
122,247,남원,2019-12-06 2:00,-5.1,1.1,63.0,0.0
123,247,남원,2019-12-06 3:00,-5.4,1.4,65.0,0.0
124,247,남원,2019-12-06 4:00,-6.3,0.7,70.0,0.0
125,247,남원,2019-12-06 5:00,-6.7,1.0,72.0,0.0
126,247,남원,2019-12-06 6:00,-7.7,0.4,82.0,8.0
127,247,남원,2019-12-06 7:00,-8.0,1.1,88.0,6.0
128,247,남원,2019-12-06 8:00,-8.4,0.7,90.0,1.0
129,247,남원,2019-12-06 9:00,-5.6,0.5,69.0,0.0
130,247,남원,2019-12-06 10:00,-3.7,1.4,52.0,0.0
131,247,남원,2019-12-06 11:00,-1.8,2.3,41.0,1.0
132,247,남원,2019-12-06 12:00,0.4,2.6,33.0,0.0
133,247,남원,2019-12-06 13:00,2.0,2.4,25.0,5.0
134,247,남원,2019-12-06 14:00,1.9,3.2,22.0,0.0
135,247,남원,2019-12-06 15:00,2.1,2.9,22.0,0.0
136,247,남원,2019-12-06 16:00,1.7,1.9,23.0,0.0
137,247,남원,2019-12-06 17:00,0.6,1.4,26.0,0.0
138,247,남원,2019-12-06 18:00,-1.2,1.2,32.0,0.0
139,247,남원,2019-12-06 19:00,-1.7,0.5,34.0,0.0
140,247,남원,2019-12-06 20:00,-2.8,0.7,45.0,0.0
141,247,남원,2019-12-06 21:00,-4.4,1.3,58.0,0.0
142,247,남원,2019-12-06 22:00,-5.8,1.7,69.0,0.0
143,247,남원,2019-12-06 23:00,-6.3,1.7,65.0,0.0
144,247,남원,2019-12-07 0:00,-7.3,0.9,73.0,0.0
145,247,남원,2019-12-07 1:00,-7.6,2.1,73.0,0.0
146,247,남원,2019-12-07 2:00,-8.0,1.6,70.0,0.0
147,247,남원,2019-12-07 3:00,-8.9,1.8,79.0,0.0
148,247,남원,2019-12-07 4:00,-8.8,1.6,75.0,0.0
149,247,남원,2019-12-07 5:00,-8.6,2.3,72.0,9.0
150,247,남원,2019-12-07 6:00,-7.2,0.8,67.0,9.0
151,247,남원,2019-12-07 7:00,-6.0,0.5,69.0,0.0
152,247,남원,2019-12-07 8:00,-5.4,0.4,68.0,1.0
153,247,남원,2019-12-07 9:00,-3.1,0.6,60.0,6.0
