,Location,place,Date,Temp,Wind,Humid,Cloud
0,100,대관령,2019-12-01 0:00,0.4,3.7,52.0,9.0
1,100,대관령,2019-12-01 1:00,0.8,3.8,53.0,10.0
2,100,대관령,2019-12-01 2:00,0.6,3.8,48.0,10.0
3,100,대관령,2019-12-01 3:00,0.5,3.7,51.0,10.0
4,100,대관령,2019-12-01 4:00,0.2,4.1,59.0,10.0
5,100,대관령,2019-12-01 5:00,0.2,4.2,63.0,10.0
6,100,대관령,2019-12-01 6:00,0.0,3.2,72.0,10.0
7,100,대관령,2019-12-01 7:00,0.2,3.7,81.0,10.0
8,100,대관령,2019-12-01 8:00,0.1,2.7,85.0,10.0
9,100,대관령,2019-12-01 9:00,0.6,2.0,87.0,10.0
10,100,대관령,2019-12-01 10:00,1.1,2.2,86.0,10.0
11,100,대관령,2019-12-01 11:00,2.0,2.6,84.0,10.0
12,100,대관령,2019-12-01 12:00,2.1,3.2,86.0,9.0
13,100,대관령,2019-12-01 13:00,3.3,3.7,82.0,10.0
14,100,대관령,2019-12-01 14:00,3.4,4.0,81.0,10.0
15,100,대관령,2019-12-01 15:00,2.9,3.3,85.0,10.0
16,100,대관령,2019-12-01 16:00,2.2,2.4,93.0,10.0
17,100,대관령,2019-12-01 17:00,1.7,1.8,95.0,10.0
18,100,대관령,2019-12-01 18:00,1.2,1.8,96.0,10.0
19,100,대관령,2019-12-01 19:00,1.2,1.6,97.0,10.0
20,100,대관령,2019-12-01 20:00,1.2,2.1,97.0,10.0
21,100,대관령,2019-12-01 21:00,0.6,1.5,98.0,10.0
22,100,대관령,2019-12-01 22:00,0.5,2.4,98.0,10.0
23,100,대관령,2019-12-01 23:00,0.3,2.4,98.0,10.0
24,100,대관령,2019-12-02 0:00,0.3,3.3,98.0,10.0
25,100,대관령,2019-12-02 1:00,0.6,4.8,96.0,10.0
26,100,대관령,2019-12-02 2:00,0.4,5.9,93.0,8.0
27,100,대관령,2019-12-02 3:00,-0.2,5.4,91.0,9.0
28,100,대관령,2019-12-02 4:00,-0.9,4.5,82.0,10.0
29,100,대관령,2019-12-02 5:00,-2.0,6.7,67.0,10.0
30,100,대관령,2019-12-02 6:00,-3.5,7.7,73.0,8.0
31,100,대관령,2019-12-02 7:00,-4.4,7.2,81.0,3.0
32,100,대관령,2019-12-02 8:00,-4.7,8.8,80.0,0.0
33,100,대관령,2019-12-02 9:00,-4.4,9.0,75.0,0.0
34,100,대관령,2019-12-02 10:00,-3.6,7.3,68.0,0.0
35,100,대관령,2019-12-02 11:00,-2.6,7.2,60.0,0.0
36,100,대관령,2019-12-02 12:00,-2.1,8.8,50.0,0.0
37,100,대관령,2019-12-02 13:00,-1.8,11.1,44.0,0.0
38,100,대관령,2019-12-02 14:00,-1.0,7.3,42.0,0.0
39,100,대관령,2019-12-02 15:00,-1.5,8.3,38.0,0.0
40,100,대관령,2019-12-02 16:00,-2.3,9.9,36.0,0.0
41,100,대관령,2019-12-02 17:00,-3.4,8.3,44.0,0.0
42,100,대관령,2019-12-02 18:00,-4.5,7.5,50.0,0.0
43,100,대관령,2019-12-02 19:00,-5.0,6.2,56.0,0.0
44,100,대관령,2019-12-02 20:00,-5.6,8.1,53.0,0.0
45,100,대관령,2019-12-02 21:00,-6.4,6.9,54.0,0.0
46,100,대관령,2019-12-02 22:00,-6.6,6.4,47.0,0.0
47,100,대관령,2019-12-02 23:00,-6.9,6.3,53.0,0.0
48,100,대관령,2019-12-03 0:00,-7.2,5.0,59.0,0.0
49,100,대관령,2019-12-03 1:00,-7.5,6.8,62.0,0.0
50,100,대관령,2019-12-03 2:00,-7.7,5.8,66.0,0.0
51,100,대관령,2019-12-03 3:00,-8.1,4.7,60.0,0.0
52,100,대관령,2019-12-03 4:00,-8.4,3.1,56.0,0.0
53,100,대관령,2019-12-03 5:00,-8.7,2.1,53.0,0.0
54,100,대관령,2019-12-03 6:00,-8.6,1.8,53.0,0.0
55,100,대관령,2019-12-03 7:00,-7.2,3.9,45.0,0.0
56,100,대관령,2019-12-03 8:00,-6.4,5.7,53.0,1.0
57,100,대관령,2019-12-03 9:00,-4.6,7.2,63.0,4.0
58,100,대관령,2019-12-03 10:00,-3.6,7.6,66.0,8.0
59,100,대관령,2019-12-03 11:00,-3.0,8.6,70.0,7.5
60,100,대관령,2019-12-03 12:00,-2.5,9.1,69.0,7.0
61,100,대관령,2019-12-03 13:00,-2.1,8.5,71.0,7.0
62,100,대관령,2019-12-03 14:00,-2.0,8.7,73.0,7.0
63,100,대관령,2019-12-03 15:00,-1.9,8.5,62.0,4.0
64,100,대관령,2019-12-03 16:00,-2.8,8.1,64.0,1.0
65,100,대관령,2019-12-03 17:00,-3.5,7.4,71.0,1.0
66,100,대관령,2019-12-03 18:00,-4.0,6.8,73.0,0.0
67,100,대관령,2019-12-03 19:00,-3.7,7.5,72.0,0.0
68,100,대관령,2019-12-03 20:00,-3.4,6.7,67.0,3.0
69,100,대관령,2019-12-03 21:00,-3.5,6.3,70.0,0.0
70,100,대관령,2019-12-03 22:00,-3.3,6.3,71.0,5.0
71,100,대관령,2019-12-03 23:00,-2.8,6.1,75.0,9.0
72,100,대관령,2019-12-04 0:00,-2.5,6.5,75.0,8.0
73,100,대관령,2019-12-04 1:00,-2.5,5.5,79.0,9.0
74,100,대관령,2019-12-04 2:00,-2.5,5.1,78.0,9.0
75,100,대관령,2019-12-04 3:00,-2.9,5.5,78.0,8.0
76,100,대관령,2019-12-04 4:00,-3.5,5.7,71.0,0.0
77,100,대관령,2019-12-04 5:00,-4.0,4.8,80.0,0.0
78,100,대관령,2019-12-04 6:00,-4.4,2.4,71.0,0.0
79,100,대관령,2019-12-04 7:00,-6.0,1.0,78.0,0.0
80,100,대관령,2019-12-04 8:00,-5.5,1.1,71.0,0.0
81,100,대관령,2019-12-04 9:00,-2.7,3.9,47.0,0.0
82,100,대관령,2019-12-04 10:00,-1.3,5.0,42.0,1.0
83,100,대관령,2019-12-04 11:00,-0.3,6.6,40.0,1.0
84,100,대관령,2019-12-04 12:00,0.2,7.2,44.0,0.0
85,100,대관령,2019-12-04 13:00,0.8,6.5,42.0,3.0
86,100,대관령,2019-12-04 14:00,0.5,8.9,43.0,3.0
87,100,대관령,2019-12-04 15:00,0.8,6.9,40.0,2.0
88,100,대관령,2019-12-04 16:00,0.2,7.0,42.0,0.0
89,100,대관령,2019-12-04 17:00,-0.9,6.7,52.0,6.0
90,100,대관령,2019-12-04 18:00,-1.1,7.6,56.0,2.0
91,100,대관령,2019-12-04 19:00,-1.4,5.6,63.0,3.0
92,100,대관령,2019-12-04 20:00,-1.7,5.6,64.0,0.0
93,100,대관령,2019-12-04 21:00,-1.9,7.3,64.0,2.0
94,100,대관령,2019-12-04 22:00,-2.6,6.0,61.0,1.0
95,100,대관령,2019-12-04 23:00,-3.0,6.3,63.0,1.0
96,100,대관령,2019-12-05 0:00,-3.5,5.3,64.0,4.0
97,100,대관령,2019-12-05 1:00,-4.0,5.1,62.0,0.0
98,100,대관령,2019-12-05 2:00,-4.9,3.5,47.0,0.0
99,100,대관령,2019-12-05 3:00,-5.4,4.4,43.0,0.0
100,100,대관령,2019-12-05 4:00,-5.7,5.0,40.0,0.0
101,100,대관령,2019-12-05 5:00,-6.3,4.7,42.0,0.0
102,100,대관령,2019-12-05 6:00,-6.5,5.1,45.0,0.0
103,100,대관령,2019-12-05 7:00,-6.6,6.6,42.0,0.0
104,100,대관령,2019-12-05 8:00,-6.7,7.4,43.0,0.0
105,100,대관령,2019-12-05 9:00,-5.5,9.8,30.0,0.0
106,100,대관령,2019-12-05 10:00,-4.9,8.9,35.0,2.0
107,100,대관령,2019-12-05 11:00,-4.2,8.5,28.0,0.0
108,100,대관령,2019-12-05 12:00,-3.6,8.0,26.0,0.0
109,100,대관령,2019-12-05 13:00,-3.3,8.1,18.0,0.0
110,100,대관령,2019-12-05 14:00,-3.3,8.5,14.0,0.0
111,100,대관령,2019-12-05 15:00,-3.5,7.6,17.0,0.0
112,100,대관령,2019-12-05 16:00,-4.2,5.9,14.0,0.0
113,100,대관령,2019-12-05 17:00,-6.0,5.2,13.0,0.0
114,100,대관령,2019-12-05 18:00,-7.3,4.4,21.0,0.0
115,100,대관령,2019-12-05 19:00,-8.7,2.6,24.0,0.0
116,100,대관령,2019-12-05 20:00,-9.5,4.7,30.0,0.0
117,100,대관령,2019-12-05 21:00,-10.2,2.9,34.0,0.0
118,100,대관령,2019-12-05 22:00,-11.2,1.8,40.0,0.0
119,100,대관령,2019-12-05 23:00,-11.7,2.1,43.0,0.0
120,100,대관령,2019-12-06 0:00,-14.4,2.6,64.0,0.0
121,100,대관령,2019-12-06 1:00,-13.7,1.3,58.0,0.0
122,100,대관령,2019-12-06 2:00,-14.5,1.7,65.0,0.0
123,100,대관령,2019-12-06 3:00,-14.6,1.5,66.0,0.0
124,100,대관령,2019-12-06 4:00,-14.2,1.6,62.0,0.0
125,100,대관령,2019-12-06 5:00,-14.7,1.1,66.0,0.0
126,100,대관령,2019-12-06 6:00,-14.5,2.2,62.0,3.0
127,100,대관령,2019-12-06 7:00,-14.9,2.3,64.0,0.0
128,100,대관령,2019-12-06 8:00,-14.6,1.7,63.0,0.0
129,100,대관령,2019-12-06 9:00,-11.0,1.2,53.0,0.0
130,100,대관령,2019-12-06 10:00,-6.9,3.1,29.0,0.0
131,100,대관령,2019-12-06 11:00,-5.4,3.8,24.0,0.0
132,100,대관령,2019-12-06 12:00,-3.2,4.3,22.0,0.0
133,100,대관령,2019-12-06 13:00,-3.0,5.7,21.0,0.0
134,100,대관령,2019-12-06 14:00,-2.3,4.3,21.0,0.0
135,100,대관령,2019-12-06 15:00,-2.7,5.0,20.0,1.0
136,100,대관령,2019-12-06 16:00,-3.6,5.1,22.0,0.0
137,100,대관령,2019-12-06 17:00,-5.4,4.2,25.0,0.0
138,100,대관령,2019-12-06 18:00,-6.8,2.9,31.0,0.0
139,100,대관령,2019-12-06 19:00,-7.8,3.1,35.0,0.0
