,Location,place,Date,Temp,Wind,Humid,Cloud
0,143,대구,2019-12-01 0:00,6.7,0.5,73.0,9.0
1,143,대구,2019-12-01 1:00,7.1,0.8,73.0,10.0
2,143,대구,2019-12-01 2:00,7.6,1.1,72.0,9.0
3,143,대구,2019-12-01 3:00,7.5,0.2,73.0,10.0
4,143,대구,2019-12-01 4:00,7.3,0.5,72.0,9.0
5,143,대구,2019-12-01 5:00,7.1,1.0,74.0,10.0
6,143,대구,2019-12-01 6:00,8.1,1.1,64.0,10.0
7,143,대구,2019-12-01 7:00,7.3,0.5,72.0,10.0
8,143,대구,2019-12-01 8:00,7.6,0.4,72.0,10.0
9,143,대구,2019-12-01 9:00,7.8,1.0,69.0,10.0
10,143,대구,2019-12-01 10:00,7.7,1.6,75.0,10.0
11,143,대구,2019-12-01 11:00,8.6,0.6,52.0,10.0
12,143,대구,2019-12-01 12:00,7.9,1.2,61.0,10.0
13,143,대구,2019-12-01 13:00,7.5,0.9,74.0,10.0
14,143,대구,2019-12-01 14:00,6.3,0.9,88.0,10.0
15,143,대구,2019-12-01 15:00,6.2,0.3,90.0,10.0
16,143,대구,2019-12-01 16:00,6.0,0.5,96.0,10.0
17,143,대구,2019-12-01 17:00,5.6,1.7,99.0,10.0
18,143,대구,2019-12-01 18:00,5.6,1.7,99.0,10.0
19,143,대구,2019-12-01 19:00,5.7,0.8,99.0,10.0
20,143,대구,2019-12-01 20:00,5.8,0.4,99.0,10.0
21,143,대구,2019-12-01 21:00,6.1,2.5,99.0,10.0
22,143,대구,2019-12-01 22:00,6.1,3.0,99.0,10.0
23,143,대구,2019-12-01 23:00,6.1,2.6,99.0,10.0
24,143,대구,2019-12-02 0:00,6.0,0.8,98.0,10.0
25,143,대구,2019-12-02 1:00,5.9,2.5,97.0,10.0
26,143,대구,2019-12-02 2:00,5.9,3.5,95.0,10.0
27,143,대구,2019-12-02 3:00,6.5,3.8,87.0,10.0
28,143,대구,2019-12-02 4:00,6.7,4.5,85.0,10.0
29,143,대구,2019-12-02 5:00,5.8,6.9,62.0,10.0
30,143,대구,2019-12-02 6:00,4.6,4.8,60.0,7.0
31,143,대구,2019-12-02 7:00,4.0,5.3,62.0,7.0
32,143,대구,2019-12-02 8:00,3.9,3.3,65.0,6.0
33,143,대구,2019-12-02 9:00,5.1,4.1,61.0,6.0
34,143,대구,2019-12-02 10:00,5.7,5.3,57.0,7.0
35,143,대구,2019-12-02 11:00,5.7,5.5,57.0,6.0
36,143,대구,2019-12-02 12:00,6.5,5.7,47.0,2.0
37,143,대구,2019-12-02 13:00,6.8,6.5,40.0,2.0
38,143,대구,2019-12-02 14:00,7.3,5.9,37.0,2.0
39,143,대구,2019-12-02 15:00,7.0,6.2,36.0,1.0
40,143,대구,2019-12-02 16:00,6.7,6.6,35.0,0.0
41,143,대구,2019-12-02 17:00,6.0,6.1,35.0,0.0
42,143,대구,2019-12-02 18:00,5.4,5.0,38.0,0.0
43,143,대구,2019-12-02 19:00,4.6,5.1,43.0,0.0
44,143,대구,2019-12-02 20:00,3.5,3.9,49.0,0.0
45,143,대구,2019-12-02 21:00,2.8,5.6,52.0,1.0
46,143,대구,2019-12-02 22:00,2.2,3.4,57.0,0.0
47,143,대구,2019-12-02 23:00,1.7,3.5,57.0,0.0
48,143,대구,2019-12-03 0:00,1.3,4.4,55.0,0.0
49,143,대구,2019-12-03 1:00,0.8,2.6,54.0,0.0
50,143,대구,2019-12-03 2:00,0.7,1.2,56.0,0.0
51,143,대구,2019-12-03 3:00,0.4,1.2,59.0,6.0
52,143,대구,2019-12-03 4:00,0.6,3.1,60.0,2.0
53,143,대구,2019-12-03 5:00,0.5,2.5,60.0,0.0
54,143,대구,2019-12-03 6:00,0.3,2.6,59.0,0.0
55,143,대구,2019-12-03 7:00,0.2,2.6,57.0,0.0
56,143,대구,2019-12-03 8:00,0.4,1.9,59.0,0.0
57,143,대구,2019-12-03 9:00,1.3,1.2,61.0,1.0
58,143,대구,2019-12-03 10:00,2.4,1.6,51.0,0.0
59,143,대구,2019-12-03 11:00,4.6,3.0,43.0,0.0
60,143,대구,2019-12-03 12:00,5.8,2.9,41.0,0.0
61,143,대구,2019-12-03 13:00,7.4,4.3,39.0,1.0
62,143,대구,2019-12-03 14:00,6.8,3.8,41.0,2.0
63,143,대구,2019-12-03 15:00,8.3,2.9,40.0,5.0
64,143,대구,2019-12-03 16:00,7.8,4.3,43.0,8.0
65,143,대구,2019-12-03 17:00,7.4,2.3,47.0,9.0
66,143,대구,2019-12-03 18:00,6.9,1.9,51.0,8.0
67,143,대구,2019-12-03 19:00,7.0,2.4,52.0,8.0
68,143,대구,2019-12-03 20:00,6.5,2.8,55.0,3.0
69,143,대구,2019-12-03 21:00,5.7,2.6,62.0,7.0
70,143,대구,2019-12-03 22:00,5.3,1.6,66.0,0.0
71,143,대구,2019-12-03 23:00,4.7,1.2,69.0,0.0
72,143,대구,2019-12-04 0:00,2.9,0.4,78.0,4.0
73,143,대구,2019-12-04 1:00,1.9,0.3,86.0,0.0
74,143,대구,2019-12-04 2:00,1.7,0.9,85.0,0.0
75,143,대구,2019-12-04 3:00,1.1,0.2,87.0,0.0
76,143,대구,2019-12-04 4:00,0.9,0.0,91.0,7.0
77,143,대구,2019-12-04 5:00,1.7,0.3,86.0,9.0
78,143,대구,2019-12-04 6:00,2.2,0.2,84.0,9.0
79,143,대구,2019-12-04 7:00,2.7,0.3,84.0,9.0
80,143,대구,2019-12-04 8:00,3.1,0.1,81.0,9.0
81,143,대구,2019-12-04 9:00,4.8,1.4,71.0,9.0
82,143,대구,2019-12-04 10:00,5.1,1.0,72.0,9.0
83,143,대구,2019-12-04 11:00,6.8,2.9,44.0,4.0
84,143,대구,2019-12-04 12:00,8.2,3.6,41.0,2.0
85,143,대구,2019-12-04 13:00,9.1,3.1,34.0,1.0
86,143,대구,2019-12-04 14:00,9.3,3.5,29.0,0.0
87,143,대구,2019-12-04 15:00,9.6,3.6,27.0,0.0
88,143,대구,2019-12-04 16:00,9.5,4.3,26.0,0.0
89,143,대구,2019-12-04 17:00,8.7,3.2,27.0,0.0
90,143,대구,2019-12-04 18:00,7.6,2.1,31.0,0.0
91,143,대구,2019-12-04 19:00,6.3,0.5,37.0,0.0
92,143,대구,2019-12-04 20:00,4.6,1.2,46.0,0.0
93,143,대구,2019-12-04 21:00,3.5,0.2,57.0,0.0
94,143,대구,2019-12-04 22:00,3.0,0.0,56.0,1.0
95,143,대구,2019-12-04 23:00,2.4,0.9,59.0,0.0
96,143,대구,2019-12-05 0:00,1.4,0.6,70.0,0.0
97,143,대구,2019-12-05 1:00,0.5,0.4,72.0,0.0
98,143,대구,2019-12-05 2:00,0.7,0.8,71.0,0.0
99,143,대구,2019-12-05 3:00,2.8,1.1,62.0,2.0
100,143,대구,2019-12-05 4:00,3.5,3.3,54.0,0.0
101,143,대구,2019-12-05 5:00,2.8,1.6,56.0,0.0
102,143,대구,2019-12-05 6:00,3.0,4.0,49.0,0.0
103,143,대구,2019-12-05 7:00,2.6,3.6,48.0,0.0
104,143,대구,2019-12-05 8:00,1.5,0.6,62.0,0.0
105,143,대구,2019-12-05 9:00,2.8,3.9,35.0,0.0
106,143,대구,2019-12-05 10:00,3.3,3.9,31.0,0.0
107,143,대구,2019-12-05 11:00,3.6,5.1,29.0,0.0
108,143,대구,2019-12-05 12:00,4.0,4.2,30.0,0.0
109,143,대구,2019-12-05 13:00,4.5,4.9,31.0,0.0
110,143,대구,2019-12-05 14:00,5.5,4.3,28.0,0.0
111,143,대구,2019-12-05 15:00,4.8,6.7,29.0,0.0
112,143,대구,2019-12-05 16:00,4.1,6.5,29.0,1.0
113,143,대구,2019-12-05 17:00,3.2,4.9,32.0,0.0
114,143,대구,2019-12-05 18:00,2.7,4.5,35.0,0.0
115,143,대구,2019-12-05 19:00,1.7,4.2,39.0,0.0
116,143,대구,2019-12-05 20:00,0.1,4.2,44.0,3.0
117,143,대구,2019-12-05 21:00,-0.8,4.4,44.0,0.0
118,143,대구,2019-12-05 22:00,-1.6,5.1,48.0,0.0
119,143,대구,2019-12-05 23:00,-2.3,3.6,50.0,0.0
120,143,대구,2019-12-06 0:00,-3.0,3.1,44.0,0.0
121,143,대구,2019-12-06 1:00,-3.4,4.3,46.0,0.0
122,143,대구,2019-12-06 2:00,-3.8,5.5,46.0,0.0
123,143,대구,2019-12-06 3:00,-3.9,5.1,41.0,0.0
124,143,대구,2019-12-06 4:00,-4.5,2.7,43.0,0.0
125,143,대구,2019-12-06 5:00,-4.8,3.5,45.0,0.0
126,143,대구,2019-12-06 6:00,-4.7,2.5,41.0,0.0
127,143,대구,2019-12-06 7:00,-4.7,2.2,40.0,1.0
128,143,대구,2019-12-06 8:00,-4.9,1.2,49.0,1.0
129,143,대구,2019-12-06 9:00,-3.8,2.8,44.0,0.0
130,143,대구,2019-12-06 10:00,-2.5,3.1,34.0,1.0
131,143,대구,2019-12-06 11:00,-0.2,2.2,26.0,1.0
132,143,대구,2019-12-06 12:00,1.7,2.6,17.0,3.0
133,143,대구,2019-12-06 13:00,2.0,2.7,12.0,5.0
134,143,대구,2019-12-06 14:00,2.7,2.5,11.0,2.0
135,143,대구,2019-12-06 15:00,2.8,3.2,12.0,2.0
136,143,대구,2019-12-06 16:00,2.2,3.1,13.0,4.0
137,143,대구,2019-12-06 17:00,1.2,2.6,21.0,4.0
138,143,대구,2019-12-06 18:00,0.8,2.1,24.0,5.0
139,143,대구,2019-12-06 19:00,0.4,2.9,25.0,6.0
140,143,대구,2019-12-06 20:00,-0.3,3.2,25.0,0.0
141,143,대구,2019-12-06 21:00,-0.8,3.0,27.0,0.0
142,143,대구,2019-12-06 22:00,-2.0,1.5,34.0,0.0
143,143,대구,2019-12-06 23:00,-2.7,1.1,36.0,0.0
144,143,대구,2019-12-07 0:00,-3.5,1.7,42.0,0.0
145,143,대구,2019-12-07 1:00,-4.8,1.2,47.0,0.0
146,143,대구,2019-12-07 2:00,-3.9,1.7,41.0,0.0
147,143,대구,2019-12-07 3:00,-2.8,2.9,36.0,0.0
148,143,대구,2019-12-07 4:00,-4.6,1.9,50.0,0.0
149,143,대구,2019-12-07 5:00,-4.8,1.2,52.0,0.0
150,143,대구,2019-12-07 6:00,-2.7,2.4,48.0,0.0
151,143,대구,2019-12-07 7:00,-3.0,1.5,53.0,0.0
152,143,대구,2019-12-07 8:00,-1.8,1.4,52.0,0.0
153,143,대구,2019-12-07 9:00,-0.8,0.4,53.0,0.0
154,143,대구,2019-12-07 10:00,1.5,2.7,46.0,0.0
155,143,대구,2019-12-07 11:00,3.7,2.3,43.0,0.0
156,143,대구,2019-12-07 12:00,5.7,3.5,39.0,0.0
157,143,대구,2019-12-07 13:00,7.3,4.5,37.0,0.0
158,143,대구,2019-12-07 14:00,6.7,3.7,38.0,1.0
159,143,대구,2019-12-07 15:00,7.2,2.9,39.0,2.0
160,143,대구,2019-12-07 16:00,7.7,4.0,38.0,2.0
161,143,대구,2019-12-07 17:00,6.6,3.2,41.0,2.0
162,143,대구,2019-12-07 18:00,5.5,2.0,47.0,7.0
163,143,대구,2019-12-07 19:00,4.8,1.7,51.0,0.0
164,143,대구,2019-12-07 20:00,4.5,1.7,54.0,0.0
165,143,대구,2019-12-07 21:00,4.0,2.0,57.0,5.0
166,143,대구,2019-12-07 22:00,3.7,2.1,60.0,0.0
167,143,대구,2019-12-07 23:00,3.1,1.9,62.0,0.0
168,143,대구,2019-12-08 0:00,2.7,1.8,64.0,0.0
169,143,대구,2019-12-08 1:00,2.3,2.3,67.0,0.0
170,143,대구,2019-12-08 2:00,1.0,0.6,75.0,0.0
171,143,대구,2019-12-08 3:00,1.8,3.0,68.0,0.0
