,Location,place,Date,Temp,Wind,Humid,Cloud
0,133,대전,2019-12-01 0:00,6.8,0.0,60.0,10.0
1,133,대전,2019-12-01 1:00,6.6,1.1,63.0,10.0
2,133,대전,2019-12-01 2:00,6.4,0.0,65.0,10.0
3,133,대전,2019-12-01 3:00,6.2,0.0,64.0,3.0
4,133,대전,2019-12-01 4:00,5.8,0.7,67.0,10.0
5,133,대전,2019-12-01 5:00,5.6,1.0,69.0,10.0
6,133,대전,2019-12-01 6:00,5.3,0.0,70.0,10.0
7,133,대전,2019-12-01 7:00,5.0,0.6,73.0,8.0
8,133,대전,2019-12-01 8:00,4.7,0.0,76.0,8.0
9,133,대전,2019-12-01 9:00,5.6,0.6,72.0,10.0
10,133,대전,2019-12-01 10:00,6.8,0.5,67.0,10.0
11,133,대전,2019-12-01 11:00,7.9,0.0,65.0,10.0
12,133,대전,2019-12-01 12:00,8.0,0.0,72.0,10.0
13,133,대전,2019-12-01 13:00,7.6,0.0,87.0,10.0
14,133,대전,2019-12-01 14:00,7.0,0.8,88.0,10.0
15,133,대전,2019-12-01 15:00,6.9,0.7,93.0,10.0
16,133,대전,2019-12-01 16:00,6.7,0.6,94.0,10.0
17,133,대전,2019-12-01 17:00,6.7,0.1,95.0,10.0
18,133,대전,2019-12-01 18:00,6.5,0.3,96.0,10.0
19,133,대전,2019-12-01 19:00,6.4,0.3,96.0,10.0
20,133,대전,2019-12-01 20:00,6.4,0.7,96.0,10.0
21,133,대전,2019-12-01 21:00,6.4,0.1,96.0,10.0
22,133,대전,2019-12-01 22:00,6.3,0.0,96.0,10.0
23,133,대전,2019-12-01 23:00,6.1,1.2,96.0,10.0
24,133,대전,2019-12-02 0:00,5.9,1.4,96.0,10.0
25,133,대전,2019-12-02 1:00,5.6,2.1,96.0,10.0
26,133,대전,2019-12-02 2:00,4.5,1.3,92.0,10.0
27,133,대전,2019-12-02 3:00,3.2,0.2,86.0,8.0
28,133,대전,2019-12-02 4:00,2.7,0.5,88.0,10.0
29,133,대전,2019-12-02 5:00,2.4,1.0,90.0,7.0
30,133,대전,2019-12-02 6:00,2.4,1.0,87.0,9.0
31,133,대전,2019-12-02 7:00,2.4,0.4,87.0,9.0
32,133,대전,2019-12-02 8:00,2.2,0.3,87.0,6.0
33,133,대전,2019-12-02 9:00,2.5,1.1,86.0,6.0
34,133,대전,2019-12-02 10:00,4.1,1.5,73.0,3.0
35,133,대전,2019-12-02 11:00,5.3,2.5,60.0,6.0
36,133,대전,2019-12-02 12:00,6.0,2.6,51.0,4.0
37,133,대전,2019-12-02 13:00,6.4,3.5,38.0,1.0
38,133,대전,2019-12-02 14:00,7.1,3.2,38.0,1.0
39,133,대전,2019-12-02 15:00,6.2,4.3,40.0,2.0
40,133,대전,2019-12-02 16:00,5.1,3.4,50.0,2.0
41,133,대전,2019-12-02 17:00,3.5,2.5,55.0,4.0
42,133,대전,2019-12-02 18:00,2.5,1.4,65.0,6.0
43,133,대전,2019-12-02 19:00,1.7,1.6,70.0,0.0
44,133,대전,2019-12-02 20:00,0.8,2.0,66.0,1.0
45,133,대전,2019-12-02 21:00,0.1,1.3,65.0,2.0
46,133,대전,2019-12-02 22:00,-0.3,1.6,68.0,0.0
47,133,대전,2019-12-02 23:00,-1.4,0.0,71.0,2.0
48,133,대전,2019-12-03 0:00,-1.1,0.4,77.0,8.0
49,133,대전,2019-12-03 1:00,-0.6,0.5,76.0,9.0
50,133,대전,2019-12-03 2:00,-0.7,0.5,76.0,8.0
51,133,대전,2019-12-03 3:00,-1.0,0.6,73.0,3.0
52,133,대전,2019-12-03 4:00,-1.3,1.0,77.0,0.0
53,133,대전,2019-12-03 5:00,-1.6,1.0,79.0,0.0
54,133,대전,2019-12-03 6:00,-2.1,0.7,81.0,0.0
55,133,대전,2019-12-03 7:00,-2.3,1.3,85.0,7.0
56,133,대전,2019-12-03 8:00,-1.8,1.6,84.0,2.0
57,133,대전,2019-12-03 9:00,0.6,1.3,66.0,7.0
58,133,대전,2019-12-03 10:00,1.5,1.0,66.0,6.0
59,133,대전,2019-12-03 11:00,4.9,2.1,51.0,1.0
60,133,대전,2019-12-03 12:00,5.6,1.9,53.0,10.0
61,133,대전,2019-12-03 13:00,5.3,3.3,63.0,9.0
62,133,대전,2019-12-03 14:00,5.6,1.9,66.0,8.0
63,133,대전,2019-12-03 15:00,5.5,1.5,70.0,10.0
64,133,대전,2019-12-03 16:00,5.6,0.9,71.0,10.0
65,133,대전,2019-12-03 17:00,5.5,1.1,74.0,10.0
66,133,대전,2019-12-03 18:00,4.1,1.6,86.0,9.0
67,133,대전,2019-12-03 19:00,4.0,0.4,87.0,9.0
68,133,대전,2019-12-03 20:00,3.8,0.0,87.0,9.0
69,133,대전,2019-12-03 21:00,3.7,0.0,87.0,9.0
70,133,대전,2019-12-03 22:00,3.2,1.2,88.0,4.0
71,133,대전,2019-12-03 23:00,2.4,0.5,92.0,0.0
72,133,대전,2019-12-04 0:00,1.7,0.7,94.0,0.0
73,133,대전,2019-12-04 1:00,1.5,1.0,93.0,9.0
74,133,대전,2019-12-04 2:00,3.3,1.6,78.0,9.0
75,133,대전,2019-12-04 3:00,3.7,1.1,78.0,10.0
76,133,대전,2019-12-04 4:00,4.0,1.8,83.0,10.0
77,133,대전,2019-12-04 5:00,3.8,1.4,84.0,10.0
78,133,대전,2019-12-04 6:00,3.5,1.0,84.0,9.0
79,133,대전,2019-12-04 7:00,3.1,0.5,86.0,7.0
80,133,대전,2019-12-04 8:00,3.0,0.0,88.0,8.0
81,133,대전,2019-12-04 9:00,3.8,0.0,87.0,4.0
82,133,대전,2019-12-04 10:00,5.7,1.6,52.0,3.0
83,133,대전,2019-12-04 11:00,7.3,1.7,37.0,0.0
84,133,대전,2019-12-04 12:00,8.3,3.0,36.0,0.0
85,133,대전,2019-12-04 13:00,9.3,1.0,35.0,1.0
86,133,대전,2019-12-04 14:00,10.3,3.2,31.0,1.0
87,133,대전,2019-12-04 15:00,10.3,2.2,32.0,1.0
88,133,대전,2019-12-04 16:00,9.1,2.6,35.0,7.0
89,133,대전,2019-12-04 17:00,8.3,2.3,41.0,8.0
90,133,대전,2019-12-04 18:00,6.8,0.9,48.0,8.0
91,133,대전,2019-12-04 19:00,7.1,2.5,53.0,8.0
92,133,대전,2019-12-04 20:00,6.3,1.5,63.0,3.0
93,133,대전,2019-12-04 21:00,5.5,1.0,71.0,2.0
94,133,대전,2019-12-04 22:00,4.7,0.0,74.0,4.0
95,133,대전,2019-12-04 23:00,3.8,1.0,79.0,0.0
96,133,대전,2019-12-05 0:00,3.3,1.7,69.0,0.0
97,133,대전,2019-12-05 1:00,2.5,2.6,66.0,0.0
98,133,대전,2019-12-05 2:00,1.4,1.3,65.0,0.0
99,133,대전,2019-12-05 3:00,0.6,0.8,66.0,6.0
100,133,대전,2019-12-05 4:00,0.3,1.6,63.0,2.0
101,133,대전,2019-12-05 5:00,-0.6,1.0,62.0,1.0
102,133,대전,2019-12-05 6:00,-1.1,0.9,63.0,0.0
103,133,대전,2019-12-05 7:00,-1.9,1.9,61.0,0.0
