,Location,place,Date,Temp,Wind,Humid,Cloud
0,98,동두천,2019-12-01 0:00,4.1,0.4,64.0,10.0
1,98,동두천,2019-12-01 1:00,3.9,0.1,65.0,9.0
2,98,동두천,2019-12-01 2:00,3.9,1.0,66.0,10.0
3,98,동두천,2019-12-01 3:00,3.5,0.3,72.0,10.0
4,98,동두천,2019-12-01 4:00,3.2,0.2,77.0,10.0
5,98,동두천,2019-12-01 5:00,3.2,0.0,81.0,9.0
6,98,동두천,2019-12-01 6:00,2.8,0.6,88.0,10.0
7,98,동두천,2019-12-01 7:00,2.4,1.0,93.0,10.0
8,98,동두천,2019-12-01 8:00,2.1,0.5,95.0,10.0
9,98,동두천,2019-12-01 9:00,2.6,0.1,97.0,6.0
10,98,동두천,2019-12-01 10:00,3.7,0.3,95.0,8.0
11,98,동두천,2019-12-01 11:00,4.4,0.2,92.0,9.0
12,98,동두천,2019-12-01 12:00,4.8,0.3,93.0,10.0
13,98,동두천,2019-12-01 13:00,4.8,0.6,95.0,10.0
14,98,동두천,2019-12-01 14:00,4.8,0.5,96.0,10.0
15,98,동두천,2019-12-01 15:00,4.9,0.2,97.0,10.0
16,98,동두천,2019-12-01 16:00,4.4,1.2,96.0,10.0
17,98,동두천,2019-12-01 17:00,3.7,1.0,95.0,9.0
18,98,동두천,2019-12-01 18:00,2.7,2.3,94.0,9.0
19,98,동두천,2019-12-01 19:00,2.2,1.0,93.0,9.0
20,98,동두천,2019-12-01 20:00,2.0,1.2,89.0,10.0
21,98,동두천,2019-12-01 21:00,2.2,0.1,87.0,10.0
22,98,동두천,2019-12-01 22:00,2.0,1.4,92.0,10.0
23,98,동두천,2019-12-01 23:00,1.3,1.2,92.0,9.0
24,98,동두천,2019-12-02 0:00,1.2,0.7,92.0,8.0
25,98,동두천,2019-12-02 1:00,0.6,1.0,87.0,9.0
26,98,동두천,2019-12-02 2:00,0.6,1.7,82.0,10.0
27,98,동두천,2019-12-02 3:00,0.2,1.2,81.0,8.0
28,98,동두천,2019-12-02 4:00,-0.6,3.2,80.0,5.0
29,98,동두천,2019-12-02 5:00,-0.9,2.2,78.0,0.0
30,98,동두천,2019-12-02 6:00,-1.8,0.9,91.0,0.0
31,98,동두천,2019-12-02 7:00,-2.1,1.8,89.0,0.0
32,98,동두천,2019-12-02 8:00,-2.1,2.4,76.0,0.0
33,98,동두천,2019-12-02 9:00,-0.6,2.1,66.0,0.0
34,98,동두천,2019-12-02 10:00,0.5,3.2,57.0,0.0
35,98,동두천,2019-12-02 11:00,1.3,3.2,55.0,0.0
36,98,동두천,2019-12-02 12:00,2.8,3.5,42.0,0.0
37,98,동두천,2019-12-02 13:00,2.9,6.2,42.0,0.0
38,98,동두천,2019-12-02 14:00,2.9,5.2,45.0,0.0
39,98,동두천,2019-12-02 15:00,2.8,5.5,39.0,0.0
40,98,동두천,2019-12-02 16:00,1.7,3.6,35.0,0.0
41,98,동두천,2019-12-02 17:00,-0.3,4.5,43.0,0.0
42,98,동두천,2019-12-02 18:00,-2.0,4.6,40.0,0.0
43,98,동두천,2019-12-02 19:00,-2.6,2.1,46.0,0.0
44,98,동두천,2019-12-02 20:00,-3.0,1.8,46.0,0.0
45,98,동두천,2019-12-02 21:00,-3.1,1.3,48.0,6.0
46,98,동두천,2019-12-02 22:00,-3.6,0.7,49.0,0.0
47,98,동두천,2019-12-02 23:00,-3.6,0.4,57.0,9.0
48,98,동두천,2019-12-03 0:00,-4.5,0.6,64.0,0.0
49,98,동두천,2019-12-03 1:00,-5.4,0.7,68.0,0.0
50,98,동두천,2019-12-03 2:00,-6.0,0.9,71.0,0.0
51,98,동두천,2019-12-03 3:00,-6.5,0.4,77.0,0.0
52,98,동두천,2019-12-03 4:00,-6.7,0.5,73.0,0.0
53,98,동두천,2019-12-03 5:00,-7.2,0.7,78.0,0.0
54,98,동두천,2019-12-03 6:00,-7.2,0.3,83.0,0.0
55,98,동두천,2019-12-03 7:00,-7.0,0.2,82.0,4.0
56,98,동두천,2019-12-03 8:00,-6.5,0.4,82.0,2.0
57,98,동두천,2019-12-03 9:00,-4.7,0.3,75.0,6.0
58,98,동두천,2019-12-03 10:00,-3.3,0.4,70.0,9.0
59,98,동두천,2019-12-03 11:00,-2.3,0.5,73.0,7.5
60,98,동두천,2019-12-03 12:00,0.6,0.9,71.0,6.0
61,98,동두천,2019-12-03 13:00,2.5,1.0,64.0,5.0
62,98,동두천,2019-12-03 14:00,3.7,1.4,61.0,6.0
63,98,동두천,2019-12-03 15:00,4.5,2.0,52.0,6.0
64,98,동두천,2019-12-03 16:00,3.2,2.3,53.0,5.0
65,98,동두천,2019-12-03 17:00,3.0,2.3,55.0,8.0
66,98,동두천,2019-12-03 18:00,2.3,2.4,61.0,7.0
67,98,동두천,2019-12-03 19:00,1.3,0.8,65.0,0.0
68,98,동두천,2019-12-03 20:00,0.6,0.5,71.0,5.0
69,98,동두천,2019-12-03 21:00,0.1,0.2,76.0,7.0
70,98,동두천,2019-12-03 22:00,0.5,0.7,75.0,6.0
71,98,동두천,2019-12-03 23:00,0.4,0.4,78.0,8.0
72,98,동두천,2019-12-04 0:00,0.7,2.3,80.0,8.0
73,98,동두천,2019-12-04 1:00,-0.4,1.2,66.0,3.0
74,98,동두천,2019-12-04 2:00,-0.9,0.5,66.0,0.0
75,98,동두천,2019-12-04 3:00,-1.8,0.5,67.0,0.0
76,98,동두천,2019-12-04 4:00,-2.7,1.1,74.0,0.0
77,98,동두천,2019-12-04 5:00,-3.8,0.9,75.0,0.0
78,98,동두천,2019-12-04 6:00,-4.2,0.6,76.0,0.0
79,98,동두천,2019-12-04 7:00,-4.7,0.7,78.0,0.0
80,98,동두천,2019-12-04 8:00,-5.0,0.0,81.0,0.0
81,98,동두천,2019-12-04 9:00,-2.9,0.2,69.0,3.0
82,98,동두천,2019-12-04 10:00,0.4,0.6,42.0,2.0
83,98,동두천,2019-12-04 11:00,1.9,1.2,33.0,3.0
84,98,동두천,2019-12-04 12:00,3.1,0.8,30.0,0.0
85,98,동두천,2019-12-04 13:00,4.4,1.2,33.0,0.0
86,98,동두천,2019-12-04 14:00,4.4,0.8,36.0,4.0
87,98,동두천,2019-12-04 15:00,5.3,1.7,46.0,8.0
88,98,동두천,2019-12-04 16:00,5.1,2.9,48.0,7.0
89,98,동두천,2019-12-04 17:00,3.3,2.1,52.0,7.0
90,98,동두천,2019-12-04 18:00,2.5,0.8,56.0,0.0
91,98,동두천,2019-12-04 19:00,1.2,0.4,64.0,0.0
92,98,동두천,2019-12-04 20:00,0.0,0.4,69.0,0.0
93,98,동두천,2019-12-04 21:00,-1.4,0.9,77.0,8.0
94,98,동두천,2019-12-04 22:00,-0.1,2.8,61.0,0.0
95,98,동두천,2019-12-04 23:00,-0.7,2.0,54.0,0.0
96,98,동두천,2019-12-05 0:00,-1.6,0.8,62.0,0.0
97,98,동두천,2019-12-05 1:00,-2.5,0.6,52.0,0.0
98,98,동두천,2019-12-05 2:00,-3.0,2.2,52.0,0.0
99,98,동두천,2019-12-05 3:00,-3.4,1.1,47.0,0.0
100,98,동두천,2019-12-05 4:00,-3.5,0.9,42.0,0.0
101,98,동두천,2019-12-05 5:00,-4.4,1.9,40.0,0.0
102,98,동두천,2019-12-05 6:00,-4.9,0.7,39.0,0.0
103,98,동두천,2019-12-05 7:00,-5.4,2.4,35.0,0.0
104,98,동두천,2019-12-05 8:00,-6.1,1.8,41.0,0.0
105,98,동두천,2019-12-05 9:00,-4.5,3.2,26.0,3.0
106,98,동두천,2019-12-05 10:00,-3.8,3.3,25.0,0.0
107,98,동두천,2019-12-05 11:00,-2.9,2.7,23.0,0.0
108,98,동두천,2019-12-05 12:00,-2.6,3.5,18.0,0.0
109,98,동두천,2019-12-05 13:00,-1.6,3.8,25.0,0.0
110,98,동두천,2019-12-05 14:00,-1.3,3.6,28.0,0.0
111,98,동두천,2019-12-05 15:00,-1.6,4.0,25.0,0.0
112,98,동두천,2019-12-05 16:00,-2.4,4.4,27.0,0.0
113,98,동두천,2019-12-05 17:00,-4.8,4.5,36.0,0.0
114,98,동두천,2019-12-05 18:00,-6.4,3.2,43.0,0.0
115,98,동두천,2019-12-05 19:00,-7.2,2.4,42.0,0.0
116,98,동두천,2019-12-05 20:00,-8.0,2.0,45.0,0.0
117,98,동두천,2019-12-05 21:00,-8.7,1.5,41.0,0.0
118,98,동두천,2019-12-05 22:00,-9.2,1.4,39.0,0.0
119,98,동두천,2019-12-05 23:00,-9.4,0.9,38.0,0.0
120,98,동두천,2019-12-06 0:00,-9.8,0.5,39.0,0.0
121,98,동두천,2019-12-06 1:00,-10.7,0.8,51.0,0.0
122,98,동두천,2019-12-06 2:00,-10.9,0.7,47.0,0.0
123,98,동두천,2019-12-06 3:00,-11.5,0.6,52.0,0.0
