,Location,place,Date,Temp,Wind,Humid,Cloud
0,106,동해,2019-12-01 0:00,8.8,1.0,41.0,10.0
1,106,동해,2019-12-01 1:00,9.6,2.7,32.0,10.0
2,106,동해,2019-12-01 2:00,9.3,2.8,33.0,10.0
3,106,동해,2019-12-01 3:00,8.9,3.5,38.0,10.0
4,106,동해,2019-12-01 4:00,8.3,0.4,42.0,10.0
5,106,동해,2019-12-01 5:00,8.3,0.7,41.0,10.0
6,106,동해,2019-12-01 6:00,7.8,1.1,48.0,10.0
7,106,동해,2019-12-01 7:00,8.3,3.0,46.0,10.0
8,106,동해,2019-12-01 8:00,8.0,2.8,49.0,10.0
9,106,동해,2019-12-01 9:00,7.7,1.3,51.0,10.0
10,106,동해,2019-12-01 10:00,7.6,0.6,55.0,10.0
11,106,동해,2019-12-01 11:00,8.2,0.5,55.0,10.0
12,106,동해,2019-12-01 12:00,8.4,0.2,58.0,10.0
13,106,동해,2019-12-01 13:00,9.1,0.1,58.0,9.0
14,106,동해,2019-12-01 14:00,8.7,0.1,60.0,10.0
15,106,동해,2019-12-01 15:00,8.8,0.6,60.0,9.0
16,106,동해,2019-12-01 16:00,8.9,1.0,59.0,10.0
17,106,동해,2019-12-01 17:00,8.6,0.2,63.0,10.0
18,106,동해,2019-12-01 18:00,7.2,1.4,80.0,10.0
19,106,동해,2019-12-01 19:00,6.3,1.0,92.0,10.0
20,106,동해,2019-12-01 20:00,6.7,2.3,89.0,10.0
21,106,동해,2019-12-01 21:00,6.2,2.0,90.0,10.0
22,106,동해,2019-12-01 22:00,6.3,1.8,93.0,10.0
23,106,동해,2019-12-01 23:00,6.3,0.9,94.0,10.0
24,106,동해,2019-12-02 0:00,6.2,0.6,89.0,10.0
25,106,동해,2019-12-02 1:00,7.2,1.2,73.0,10.0
26,106,동해,2019-12-02 2:00,7.7,2.8,64.0,9.0
27,106,동해,2019-12-02 3:00,7.8,3.5,57.0,6.0
28,106,동해,2019-12-02 4:00,7.3,4.6,54.0,8.0
29,106,동해,2019-12-02 5:00,6.8,3.9,45.0,10.0
30,106,동해,2019-12-02 6:00,6.3,3.6,27.0,10.0
31,106,동해,2019-12-02 7:00,5.3,2.8,31.0,9.0
32,106,동해,2019-12-02 8:00,4.5,5.6,32.0,8.0
33,106,동해,2019-12-02 9:00,4.3,3.9,36.0,6.0
34,106,동해,2019-12-02 10:00,4.5,3.0,33.0,7.0
35,106,동해,2019-12-02 11:00,5.7,2.6,29.0,2.0
36,106,동해,2019-12-02 12:00,5.7,3.9,23.0,0.0
37,106,동해,2019-12-02 13:00,6.2,4.1,25.0,0.0
