,Location,place,Date,Temp,Wind,Humid,Cloud
0,165,목포,2019-12-01 0:00,7.4,1.7,73.0,10.0
1,165,목포,2019-12-01 1:00,7.2,1.3,71.0,10.0
2,165,목포,2019-12-01 2:00,7.1,1.1,74.0,10.0
3,165,목포,2019-12-01 3:00,6.8,2.3,74.0,10.0
4,165,목포,2019-12-01 4:00,6.4,3.3,83.0,10.0
5,165,목포,2019-12-01 5:00,6.7,2.6,80.0,10.0
6,165,목포,2019-12-01 6:00,6.7,2.2,79.0,10.0
7,165,목포,2019-12-01 7:00,6.3,2.8,82.0,10.0
8,165,목포,2019-12-01 8:00,6.1,2.4,82.0,10.0
9,165,목포,2019-12-01 9:00,5.8,2.9,83.0,10.0
10,165,목포,2019-12-01 10:00,5.4,2.3,86.0,10.0
11,165,목포,2019-12-01 11:00,5.2,2.3,90.0,10.0
12,165,목포,2019-12-01 12:00,5.3,1.3,91.0,10.0
13,165,목포,2019-12-01 13:00,5.4,3.0,94.0,10.0
14,165,목포,2019-12-01 14:00,4.9,4.1,95.0,10.0
15,165,목포,2019-12-01 15:00,5.3,3.4,96.0,10.0
16,165,목포,2019-12-01 16:00,5.6,3.4,97.0,10.0
17,165,목포,2019-12-01 17:00,5.9,6.2,96.0,10.0
18,165,목포,2019-12-01 18:00,6.0,5.7,96.0,10.0
19,165,목포,2019-12-01 19:00,6.0,5.9,94.0,10.0
20,165,목포,2019-12-01 20:00,5.7,6.5,94.0,10.0
21,165,목포,2019-12-01 21:00,6.0,5.4,93.0,10.0
22,165,목포,2019-12-01 22:00,5.9,5.7,91.0,6.0
23,165,목포,2019-12-01 23:00,6.0,4.3,90.0,7.0
24,165,목포,2019-12-02 0:00,6.2,4.9,88.0,10.0
25,165,목포,2019-12-02 1:00,6.6,6.0,88.0,10.0
26,165,목포,2019-12-02 2:00,6.7,6.6,91.0,5.0
27,165,목포,2019-12-02 3:00,6.9,9.0,75.0,9.0
28,165,목포,2019-12-02 4:00,7.0,7.9,66.0,10.0
29,165,목포,2019-12-02 5:00,6.9,9.1,62.0,10.0
30,165,목포,2019-12-02 6:00,6.8,9.6,58.0,8.0
31,165,목포,2019-12-02 7:00,6.6,8.0,59.0,8.0
32,165,목포,2019-12-02 8:00,6.6,7.7,62.0,10.0
33,165,목포,2019-12-02 9:00,6.7,5.9,64.0,10.0
34,165,목포,2019-12-02 10:00,5.9,6.4,71.0,8.0
35,165,목포,2019-12-02 11:00,5.6,6.1,70.0,9.0
36,165,목포,2019-12-02 12:00,5.1,5.4,77.0,10.0
37,165,목포,2019-12-02 13:00,5.7,6.7,72.0,10.0
38,165,목포,2019-12-02 14:00,4.5,8.7,81.0,10.0
39,165,목포,2019-12-02 15:00,4.6,7.5,78.0,8.0
