,Location,place,Date,Temp,Wind,Humid,Cloud
0,273,문경,2019-12-01 0:00,7.1,0.6,56.0,10.0
1,273,문경,2019-12-01 1:00,7.5,1.2,47.0,9.0
2,273,문경,2019-12-01 2:00,7.2,1.1,45.0,10.0
3,273,문경,2019-12-01 3:00,7.1,1.2,48.0,10.0
4,273,문경,2019-12-01 4:00,6.3,0.7,50.0,10.0
5,273,문경,2019-12-01 5:00,5.5,0.1,50.0,10.0
6,273,문경,2019-12-01 6:00,6.2,3.3,48.0,9.0
7,273,문경,2019-12-01 7:00,5.5,1.5,57.0,9.0
8,273,문경,2019-12-01 8:00,4.6,1.0,66.0,9.0
9,273,문경,2019-12-01 9:00,6.7,1.7,66.0,9.0
10,273,문경,2019-12-01 10:00,7.8,1.9,65.0,10.0
11,273,문경,2019-12-01 11:00,8.1,1.6,65.0,10.0
12,273,문경,2019-12-01 12:00,8.3,1.0,64.0,10.0
13,273,문경,2019-12-01 13:00,7.0,1.1,82.0,10.0
14,273,문경,2019-12-01 14:00,6.7,0.4,94.0,9.0
15,273,문경,2019-12-01 15:00,6.4,0.4,95.0,9.0
16,273,문경,2019-12-01 16:00,6.1,0.6,94.0,10.0
17,273,문경,2019-12-01 17:00,5.5,1.1,97.0,10.0
18,273,문경,2019-12-01 18:00,5.3,1.0,98.0,10.0
19,273,문경,2019-12-01 19:00,5.1,0.2,99.0,10.0
20,273,문경,2019-12-01 20:00,5.0,0.5,99.0,10.0
21,273,문경,2019-12-01 21:00,4.8,0.9,100.0,10.0
22,273,문경,2019-12-01 22:00,4.7,0.8,98.0,10.0
23,273,문경,2019-12-01 23:00,4.6,0.2,98.0,10.0
24,273,문경,2019-12-02 0:00,4.5,3.1,94.0,10.0
25,273,문경,2019-12-02 1:00,5.1,1.7,89.0,9.0
26,273,문경,2019-12-02 2:00,5.5,3.9,84.0,9.0
27,273,문경,2019-12-02 3:00,5.0,6.5,76.0,9.0
28,273,문경,2019-12-02 4:00,3.3,4.4,57.0,9.0
29,273,문경,2019-12-02 5:00,2.4,3.3,54.0,10.0
30,273,문경,2019-12-02 6:00,1.8,2.4,61.0,5.0
31,273,문경,2019-12-02 7:00,1.7,5.9,62.0,3.0
32,273,문경,2019-12-02 8:00,1.8,4.0,63.0,9.0
33,273,문경,2019-12-02 9:00,1.8,2.3,64.0,9.0
34,273,문경,2019-12-02 10:00,2.6,2.4,57.0,5.0
35,273,문경,2019-12-02 11:00,3.6,3.9,44.0,0.0
36,273,문경,2019-12-02 12:00,4.4,4.7,36.0,0.0
37,273,문경,2019-12-02 13:00,4.2,6.5,30.0,0.0
38,273,문경,2019-12-02 14:00,4.8,5.4,33.0,0.0
39,273,문경,2019-12-02 15:00,4.8,4.6,36.0,0.0
40,273,문경,2019-12-02 16:00,3.5,6.8,41.0,0.0
41,273,문경,2019-12-02 17:00,2.0,6.4,50.0,0.0
42,273,문경,2019-12-02 18:00,1.5,4.4,54.0,3.0
43,273,문경,2019-12-02 19:00,1.0,4.7,58.0,3.0
44,273,문경,2019-12-02 20:00,0.4,4.6,55.0,0.0
45,273,문경,2019-12-02 21:00,-0.1,4.5,51.0,0.0
46,273,문경,2019-12-02 22:00,-0.4,5.6,44.0,0.0
47,273,문경,2019-12-02 23:00,-0.6,3.3,48.0,0.0
48,273,문경,2019-12-03 0:00,-0.9,1.7,52.0,3.0
49,273,문경,2019-12-03 1:00,-1.1,2.6,57.0,0.0
50,273,문경,2019-12-03 2:00,-0.8,2.6,63.0,0.0
51,273,문경,2019-12-03 3:00,-0.9,2.7,61.0,0.0
52,273,문경,2019-12-03 4:00,-1.3,4.4,59.0,0.0
53,273,문경,2019-12-03 5:00,-1.9,2.6,53.0,0.0
