,Location,place,Date,Temp,Wind,Humid,Cloud
0,288,밀양,2019-12-01 0:00,6.7,0.4,73.0,0.0
1,288,밀양,2019-12-01 1:00,7.1,0.2,71.0,9.0
2,288,밀양,2019-12-01 2:00,7.4,0.1,69.0,10.0
3,288,밀양,2019-12-01 3:00,6.7,0.0,99.0,5.5
4,288,밀양,2019-12-01 4:00,6.6,0.4,99.0,1.0
5,288,밀양,2019-12-01 5:00,6.5,0.0,99.0,7.0
6,288,밀양,2019-12-01 6:00,6.7,0.4,99.0,8.0
7,288,밀양,2019-12-01 7:00,7.0,0.0,99.0,10.0
8,288,밀양,2019-12-01 8:00,7.1,0.2,99.0,10.0
9,288,밀양,2019-12-01 9:00,7.3,0.3,99.0,10.0
10,288,밀양,2019-12-01 10:00,7.9,0.2,99.0,10.0
11,288,밀양,2019-12-01 11:00,8.4,0.2,99.0,10.0
12,288,밀양,2019-12-01 12:00,8.0,0.8,83.0,10.0
13,288,밀양,2019-12-01 13:00,7.5,1.0,94.0,10.0
14,288,밀양,2019-12-01 14:00,7.0,0.1,99.0,10.0
15,288,밀양,2019-12-01 15:00,6.7,0.3,99.0,10.0
16,288,밀양,2019-12-01 16:00,6.6,0.9,99.0,10.0
17,288,밀양,2019-12-01 17:00,6.6,0.7,99.0,10.0
18,288,밀양,2019-12-01 18:00,6.4,0.8,99.0,10.0
19,288,밀양,2019-12-01 19:00,6.4,1.1,99.0,10.0
20,288,밀양,2019-12-01 20:00,6.7,0.1,99.0,10.0
21,288,밀양,2019-12-01 21:00,6.9,1.1,99.0,5.0
22,288,밀양,2019-12-01 22:00,6.7,0.2,99.0,10.0
23,288,밀양,2019-12-01 23:00,6.7,0.6,99.0,9.0
24,288,밀양,2019-12-02 0:00,6.5,0.2,99.0,10.0
25,288,밀양,2019-12-02 1:00,6.5,0.5,99.0,10.0
26,288,밀양,2019-12-02 2:00,6.1,0.4,99.0,8.0
27,288,밀양,2019-12-02 3:00,5.3,0.4,99.0,7.0
28,288,밀양,2019-12-02 4:00,5.7,0.7,99.0,9.0
29,288,밀양,2019-12-02 5:00,7.1,1.2,79.0,9.0
30,288,밀양,2019-12-02 6:00,6.4,1.9,54.0,8.0
31,288,밀양,2019-12-02 7:00,4.8,2.0,51.0,7.0
32,288,밀양,2019-12-02 8:00,3.9,1.6,61.0,7.0
33,288,밀양,2019-12-02 9:00,5.8,2.4,53.0,2.0
34,288,밀양,2019-12-02 10:00,7.0,2.7,46.0,3.0
35,288,밀양,2019-12-02 11:00,8.0,3.8,40.0,6.0
36,288,밀양,2019-12-02 12:00,8.5,4.9,34.0,5.0
37,288,밀양,2019-12-02 13:00,8.9,5.2,29.0,4.0
38,288,밀양,2019-12-02 14:00,8.8,3.0,34.0,5.0
39,288,밀양,2019-12-02 15:00,8.6,3.7,29.0,0.0
40,288,밀양,2019-12-02 16:00,8.2,2.6,30.0,0.0
41,288,밀양,2019-12-02 17:00,6.5,1.5,31.0,0.0
42,288,밀양,2019-12-02 18:00,4.6,0.9,41.0,0.0
