,Location,place,Date,Temp,Wind,Humid,Cloud
0,102,백령도,2019-12-01 0:00,6.7,2.5,91.0,10.0
1,102,백령도,2019-12-01 1:00,6.9,2.8,93.0,10.0
2,102,백령도,2019-12-01 2:00,7.1,4.2,86.0,10.0
3,102,백령도,2019-12-01 3:00,7.3,2.7,90.0,10.0
4,102,백령도,2019-12-01 4:00,7.0,3.0,89.0,10.0
5,102,백령도,2019-12-01 5:00,7.0,4.4,88.0,10.0
6,102,백령도,2019-12-01 6:00,6.6,4.1,87.0,10.0
7,102,백령도,2019-12-01 7:00,6.2,1.9,88.0,10.0
8,102,백령도,2019-12-01 8:00,5.6,2.3,92.0,10.0
9,102,백령도,2019-12-01 9:00,5.5,2.5,90.0,10.0
10,102,백령도,2019-12-01 10:00,5.3,2.6,90.0,10.0
11,102,백령도,2019-12-01 11:00,5.0,3.3,90.0,10.0
12,102,백령도,2019-12-01 12:00,4.9,2.1,91.0,10.0
13,102,백령도,2019-12-01 13:00,5.1,3.5,85.0,10.0
14,102,백령도,2019-12-01 14:00,4.7,6.0,78.0,10.0
15,102,백령도,2019-12-01 15:00,5.3,4.7,74.0,10.0
16,102,백령도,2019-12-01 16:00,5.5,5.6,61.0,10.0
17,102,백령도,2019-12-01 17:00,5.4,4.5,56.0,10.0
18,102,백령도,2019-12-01 18:00,5.3,5.7,53.0,10.0
19,102,백령도,2019-12-01 19:00,5.0,3.4,55.0,10.0
20,102,백령도,2019-12-01 20:00,4.8,5.6,52.0,9.0
21,102,백령도,2019-12-01 21:00,4.8,7.1,53.0,8.0
22,102,백령도,2019-12-01 22:00,4.7,8.0,44.0,4.0
23,102,백령도,2019-12-01 23:00,5.0,10.2,54.0,6.0
24,102,백령도,2019-12-02 0:00,4.9,10.3,54.0,7.0
25,102,백령도,2019-12-02 1:00,4.5,9.4,55.0,9.0
26,102,백령도,2019-12-02 2:00,4.0,10.2,54.0,7.0
27,102,백령도,2019-12-02 3:00,3.6,9.5,46.0,9.0
28,102,백령도,2019-12-02 4:00,3.9,8.1,47.0,9.0
29,102,백령도,2019-12-02 5:00,2.7,11.6,44.0,5.0
30,102,백령도,2019-12-02 6:00,2.7,9.1,46.0,5.0
31,102,백령도,2019-12-02 7:00,2.5,8.2,49.0,8.0
32,102,백령도,2019-12-02 8:00,2.5,7.8,49.0,9.0
33,102,백령도,2019-12-02 9:00,1.0,10.4,79.0,9.0
34,102,백령도,2019-12-02 10:00,1.7,9.5,61.0,8.0
35,102,백령도,2019-12-02 11:00,1.4,9.3,59.0,7.0
36,102,백령도,2019-12-02 12:00,1.8,7.9,49.0,7.0
37,102,백령도,2019-12-02 13:00,1.8,7.4,44.0,6.0
38,102,백령도,2019-12-02 14:00,1.9,7.9,44.0,8.0
39,102,백령도,2019-12-02 15:00,1.2,9.0,46.0,7.0
40,102,백령도,2019-12-02 16:00,1.5,7.5,44.0,8.0
41,102,백령도,2019-12-02 17:00,1.6,6.9,60.0,9.0
42,102,백령도,2019-12-02 18:00,1.8,6.3,70.0,9.0
43,102,백령도,2019-12-02 19:00,3.1,6.8,58.0,9.0
44,102,백령도,2019-12-02 20:00,3.6,8.7,50.0,9.0
45,102,백령도,2019-12-02 21:00,3.7,7.6,50.0,9.0
46,102,백령도,2019-12-02 22:00,2.7,8.0,64.0,9.0
47,102,백령도,2019-12-02 23:00,3.2,6.5,51.0,8.0
48,102,백령도,2019-12-03 0:00,3.1,5.1,48.0,7.0
49,102,백령도,2019-12-03 1:00,3.8,4.9,48.0,6.0
50,102,백령도,2019-12-03 2:00,4.4,6.8,47.0,9.0
51,102,백령도,2019-12-03 3:00,4.2,6.4,51.0,9.0
