,Location,place,Date,Temp,Wind,Humid,Cloud
0,235,보령,2019-12-01 0:00,6.1,0.9,68.0,9.0
1,235,보령,2019-12-01 1:00,6.0,0.2,70.0,10.0
2,235,보령,2019-12-01 2:00,6.1,0.0,70.0,9.0
3,235,보령,2019-12-01 3:00,6.0,0.7,71.0,9.0
4,235,보령,2019-12-01 4:00,5.9,1.0,73.0,9.0
5,235,보령,2019-12-01 5:00,5.8,0.9,74.0,10.0
6,235,보령,2019-12-01 6:00,5.9,0.7,78.0,10.0
7,235,보령,2019-12-01 7:00,5.7,0.9,82.0,9.0
8,235,보령,2019-12-01 8:00,6.1,0.9,80.0,10.0
9,235,보령,2019-12-01 9:00,6.6,0.9,84.0,9.0
10,235,보령,2019-12-01 10:00,7.2,1.4,85.0,10.0
11,235,보령,2019-12-01 11:00,8.1,2.0,79.0,10.0
12,235,보령,2019-12-01 12:00,7.9,1.8,84.0,10.0
13,235,보령,2019-12-01 13:00,7.7,1.3,86.0,9.0
14,235,보령,2019-12-01 14:00,7.5,1.1,88.0,10.0
15,235,보령,2019-12-01 15:00,7.3,1.3,92.0,10.0
16,235,보령,2019-12-01 16:00,7.3,1.2,93.0,10.0
17,235,보령,2019-12-01 17:00,7.1,1.5,93.0,10.0
18,235,보령,2019-12-01 18:00,7.1,0.3,94.0,10.0
19,235,보령,2019-12-01 19:00,6.6,0.8,93.0,10.0
20,235,보령,2019-12-01 20:00,6.4,0.0,94.0,4.0
21,235,보령,2019-12-01 21:00,6.4,0.0,96.0,10.0
22,235,보령,2019-12-01 22:00,6.4,2.1,94.0,9.0
23,235,보령,2019-12-01 23:00,5.7,3.1,89.0,9.0
24,235,보령,2019-12-02 0:00,5.4,2.0,86.0,10.0
25,235,보령,2019-12-02 1:00,5.4,2.6,72.0,10.0
26,235,보령,2019-12-02 2:00,5.0,2.0,62.0,8.0
27,235,보령,2019-12-02 3:00,5.5,2.2,63.0,10.0
28,235,보령,2019-12-02 4:00,5.8,2.6,59.0,9.0
29,235,보령,2019-12-02 5:00,5.7,3.1,61.0,9.0
30,235,보령,2019-12-02 6:00,5.6,1.6,55.0,7.0
31,235,보령,2019-12-02 7:00,5.2,2.0,59.0,9.0
32,235,보령,2019-12-02 8:00,5.0,1.5,54.0,7.0
33,235,보령,2019-12-02 9:00,4.8,2.8,58.0,7.0
34,235,보령,2019-12-02 10:00,5.9,3.0,55.0,2.0
35,235,보령,2019-12-02 11:00,6.3,2.0,44.0,3.0
36,235,보령,2019-12-02 12:00,5.8,2.4,44.0,0.0
37,235,보령,2019-12-02 13:00,6.3,1.5,45.0,5.0
38,235,보령,2019-12-02 14:00,5.2,1.9,51.0,7.0
39,235,보령,2019-12-02 15:00,4.1,1.8,61.0,7.0
40,235,보령,2019-12-02 16:00,3.8,2.2,64.0,6.0
41,235,보령,2019-12-02 17:00,3.1,2.3,69.0,7.0
42,235,보령,2019-12-02 18:00,3.2,1.9,61.0,9.0
43,235,보령,2019-12-02 19:00,3.2,2.9,57.0,9.0
44,235,보령,2019-12-02 20:00,2.7,2.0,57.0,9.0
45,235,보령,2019-12-02 21:00,2.2,1.8,58.0,9.0
46,235,보령,2019-12-02 22:00,2.0,1.8,58.0,9.0
47,235,보령,2019-12-02 23:00,1.5,2.3,71.0,10.0
48,235,보령,2019-12-03 0:00,0.4,0.5,90.0,8.0
49,235,보령,2019-12-03 1:00,0.3,1.5,94.0,10.0
50,235,보령,2019-12-03 2:00,0.5,0.8,92.0,9.0
51,235,보령,2019-12-03 3:00,0.3,1.3,90.0,9.0
52,235,보령,2019-12-03 4:00,0.2,1.8,82.0,6.0
53,235,보령,2019-12-03 5:00,0.5,1.4,77.0,7.0
54,235,보령,2019-12-03 6:00,-1.0,0.0,88.0,1.0
55,235,보령,2019-12-03 7:00,-0.8,0.0,87.0,8.0
56,235,보령,2019-12-03 8:00,-0.2,0.2,86.0,9.0
57,235,보령,2019-12-03 9:00,0.8,0.0,86.0,9.0
58,235,보령,2019-12-03 10:00,1.8,2.2,77.0,8.0
59,235,보령,2019-12-03 11:00,3.3,2.4,73.0,8.0
60,235,보령,2019-12-03 12:00,4.4,2.5,73.0,8.0
61,235,보령,2019-12-03 13:00,5.8,2.9,72.0,9.0
62,235,보령,2019-12-03 14:00,5.5,2.6,82.0,9.0
63,235,보령,2019-12-03 15:00,7.4,1.0,55.0,9.0
64,235,보령,2019-12-03 16:00,7.1,1.0,60.0,9.0
65,235,보령,2019-12-03 17:00,5.3,1.5,78.0,9.0
66,235,보령,2019-12-03 18:00,4.5,1.3,81.0,9.0
67,235,보령,2019-12-03 19:00,4.0,0.1,84.0,8.0
68,235,보령,2019-12-03 20:00,4.1,0.0,83.0,9.0
69,235,보령,2019-12-03 21:00,6.9,0.6,51.0,3.0
70,235,보령,2019-12-03 22:00,6.7,0.8,50.0,1.0
71,235,보령,2019-12-03 23:00,7.5,0.9,45.0,1.0
72,235,보령,2019-12-04 0:00,7.5,1.2,49.0,5.0
73,235,보령,2019-12-04 1:00,7.9,0.7,49.0,5.0
74,235,보령,2019-12-04 2:00,8.2,1.2,50.0,8.0
75,235,보령,2019-12-04 3:00,8.5,1.2,51.0,9.0
76,235,보령,2019-12-04 4:00,5.7,2.0,75.0,9.0
77,235,보령,2019-12-04 5:00,4.5,0.1,87.0,9.0
78,235,보령,2019-12-04 6:00,3.1,0.7,90.0,5.0
