,Location,place,Date,Temp,Wind,Humid,Cloud
0,258,보성군,2019-12-01 0:00,8.5,3.6,77.0,10.0
1,258,보성군,2019-12-01 1:00,8.4,4.0,76.0,10.0
2,258,보성군,2019-12-01 2:00,8.3,3.0,78.0,10.0
3,258,보성군,2019-12-01 3:00,8.1,3.5,77.0,5.5
4,258,보성군,2019-12-01 4:00,8.0,3.6,76.0,1.0
5,258,보성군,2019-12-01 5:00,8.4,3.9,69.0,7.0
6,258,보성군,2019-12-01 6:00,8.3,3.7,69.0,5.0
7,258,보성군,2019-12-01 7:00,8.2,2.4,72.0,7.0
8,258,보성군,2019-12-01 8:00,7.1,2.3,85.0,10.0
9,258,보성군,2019-12-01 9:00,6.9,2.4,93.0,10.0
10,258,보성군,2019-12-01 10:00,7.2,1.6,93.0,10.0
11,258,보성군,2019-12-01 11:00,7.5,1.5,95.0,10.0
12,258,보성군,2019-12-01 12:00,7.4,1.9,95.0,10.0
13,258,보성군,2019-12-01 13:00,7.3,0.9,95.0,10.0
14,258,보성군,2019-12-01 14:00,7.8,1.5,96.0,10.0
15,258,보성군,2019-12-01 15:00,8.1,1.1,97.0,10.0
16,258,보성군,2019-12-01 16:00,8.0,1.5,98.0,10.0
17,258,보성군,2019-12-01 17:00,7.9,1.3,97.0,10.0
18,258,보성군,2019-12-01 18:00,8.0,3.5,97.0,10.0
19,258,보성군,2019-12-01 19:00,8.0,3.8,94.0,4.0
20,258,보성군,2019-12-01 20:00,8.0,6.7,92.0,10.0
21,258,보성군,2019-12-01 21:00,7.9,3.3,92.0,10.0
22,258,보성군,2019-12-01 22:00,7.8,5.2,93.0,10.0
23,258,보성군,2019-12-01 23:00,8.2,3.8,86.0,3.0
24,258,보성군,2019-12-02 0:00,8.2,6.5,81.0,9.0
25,258,보성군,2019-12-02 1:00,8.1,4.6,80.0,9.0
26,258,보성군,2019-12-02 2:00,7.2,3.3,85.0,8.0
27,258,보성군,2019-12-02 3:00,7.4,2.8,84.0,10.0
28,258,보성군,2019-12-02 4:00,7.6,6.5,78.0,10.0
29,258,보성군,2019-12-02 5:00,6.5,7.5,69.0,8.0
30,258,보성군,2019-12-02 6:00,6.5,6.4,65.0,9.0
31,258,보성군,2019-12-02 7:00,6.0,6.5,66.0,2.0
32,258,보성군,2019-12-02 8:00,6.5,2.5,61.0,2.0
33,258,보성군,2019-12-02 9:00,6.9,5.2,63.0,4.0
34,258,보성군,2019-12-02 10:00,7.6,6.9,61.0,7.0
35,258,보성군,2019-12-02 11:00,7.3,9.2,62.0,9.0
36,258,보성군,2019-12-02 12:00,8.1,5.2,63.0,8.0
37,258,보성군,2019-12-02 13:00,8.1,5.4,62.0,7.0
38,258,보성군,2019-12-02 14:00,7.9,6.5,57.0,9.0
39,258,보성군,2019-12-02 15:00,7.6,5.9,59.0,8.0
40,258,보성군,2019-12-02 16:00,7.8,6.1,54.0,7.0
41,258,보성군,2019-12-02 17:00,6.3,6.7,60.0,6.0
42,258,보성군,2019-12-02 18:00,5.1,5.5,66.0,0.0
43,258,보성군,2019-12-02 19:00,4.8,4.0,66.0,2.0
44,258,보성군,2019-12-02 20:00,4.7,6.2,68.0,1.0
45,258,보성군,2019-12-02 21:00,4.5,6.8,68.0,1.0
46,258,보성군,2019-12-02 22:00,4.2,5.0,62.0,1.0
47,258,보성군,2019-12-02 23:00,4.3,5.8,62.0,8.0
48,258,보성군,2019-12-03 0:00,4.2,6.0,61.0,4.0
49,258,보성군,2019-12-03 1:00,3.6,4.0,62.0,0.0
50,258,보성군,2019-12-03 2:00,2.9,1.9,69.0,8.0
51,258,보성군,2019-12-03 3:00,2.9,3.0,71.0,1.0
52,258,보성군,2019-12-03 4:00,2.9,2.9,77.0,8.0
53,258,보성군,2019-12-03 5:00,1.8,2.5,84.0,2.0
54,258,보성군,2019-12-03 6:00,2.5,1.7,84.0,1.0
55,258,보성군,2019-12-03 7:00,3.0,1.8,83.0,9.0
56,258,보성군,2019-12-03 8:00,3.2,0.9,85.0,5.0
57,258,보성군,2019-12-03 9:00,4.2,0.8,76.0,7.0
58,258,보성군,2019-12-03 10:00,5.5,2.4,67.0,4.0
59,258,보성군,2019-12-03 11:00,7.2,2.9,61.0,4.5
60,258,보성군,2019-12-03 12:00,8.3,2.7,55.0,5.0
61,258,보성군,2019-12-03 13:00,8.6,5.2,53.0,8.0
62,258,보성군,2019-12-03 14:00,8.5,5.4,51.0,8.0
63,258,보성군,2019-12-03 15:00,8.1,5.3,58.0,10.0
64,258,보성군,2019-12-03 16:00,8.1,3.8,56.0,9.0
65,258,보성군,2019-12-03 17:00,7.0,4.3,62.0,8.0
66,258,보성군,2019-12-03 18:00,5.4,3.1,69.0,4.0
67,258,보성군,2019-12-03 19:00,5.5,2.5,66.0,0.0
68,258,보성군,2019-12-03 20:00,1.6,1.6,85.0,0.0
69,258,보성군,2019-12-03 21:00,1.8,2.4,87.0,0.0
70,258,보성군,2019-12-03 22:00,1.6,1.5,85.0,0.0
71,258,보성군,2019-12-03 23:00,0.8,0.9,89.0,0.0
72,258,보성군,2019-12-04 0:00,0.4,1.6,89.0,0.0
73,258,보성군,2019-12-04 1:00,0.3,1.9,89.0,0.0
74,258,보성군,2019-12-04 2:00,0.4,1.0,89.0,0.0
75,258,보성군,2019-12-04 3:00,-0.7,0.5,93.0,1.0
76,258,보성군,2019-12-04 4:00,-0.6,0.9,88.0,0.0
77,258,보성군,2019-12-04 5:00,-1.5,0.9,92.0,7.0
78,258,보성군,2019-12-04 6:00,-1.4,1.5,93.0,6.0
79,258,보성군,2019-12-04 7:00,0.6,0.4,87.0,0.0
80,258,보성군,2019-12-04 8:00,1.3,1.7,90.0,6.0
81,258,보성군,2019-12-04 9:00,2.8,0.6,87.0,8.0
82,258,보성군,2019-12-04 10:00,5.8,0.5,76.0,4.0
83,258,보성군,2019-12-04 11:00,10.6,2.7,56.0,0.0
84,258,보성군,2019-12-04 12:00,11.3,3.7,49.0,1.0
85,258,보성군,2019-12-04 13:00,11.3,5.3,43.0,0.0
86,258,보성군,2019-12-04 14:00,11.2,4.833333333333333,44.333333333333336,1.0
87,258,보성군,2019-12-04 15:00,11.1,4.366666666666666,45.66666666666666,2.0
88,258,보성군,2019-12-04 16:00,11.0,3.9,47.0,4.0
89,258,보성군,2019-12-04 17:00,9.6,4.4,47.0,2.0
90,258,보성군,2019-12-04 18:00,8.1,4.5,51.0,0.0
91,258,보성군,2019-12-04 19:00,6.9,2.7,55.0,0.0
92,258,보성군,2019-12-04 20:00,5.2,2.6,66.0,0.0
93,258,보성군,2019-12-04 21:00,3.7,2.7,74.0,0.0
94,258,보성군,2019-12-04 22:00,2.4,2.6,81.0,0.0
95,258,보성군,2019-12-04 23:00,2.5,1.7,82.0,0.0
96,258,보성군,2019-12-05 0:00,1.1,1.8,88.0,4.0
97,258,보성군,2019-12-05 1:00,1.1,2.1,90.0,0.0
98,258,보성군,2019-12-05 2:00,1.0,2.0,90.0,0.0
99,258,보성군,2019-12-05 3:00,1.5,3.5,86.0,0.0
100,258,보성군,2019-12-05 4:00,0.6,0.8,92.0,0.0
101,258,보성군,2019-12-05 5:00,0.5,1.9,93.0,0.0
102,258,보성군,2019-12-05 6:00,-0.4,1.6,94.0,0.0
103,258,보성군,2019-12-05 7:00,0.4,1.8,91.0,0.0
104,258,보성군,2019-12-05 8:00,-0.6,0.6,96.0,2.0
105,258,보성군,2019-12-05 9:00,3.6,2.5,76.0,4.0
106,258,보성군,2019-12-05 10:00,6.4,2.5,53.0,1.0
107,258,보성군,2019-12-05 11:00,7.4,5.9,36.0,2.0
108,258,보성군,2019-12-05 12:00,7.6,6.2,49.0,0.0
109,258,보성군,2019-12-05 13:00,7.5,6.4,42.0,1.0
110,258,보성군,2019-12-05 14:00,7.3,4.2,33.0,1.0
111,258,보성군,2019-12-05 15:00,7.3,4.8,35.0,0.0
112,258,보성군,2019-12-05 16:00,6.1,7.4,41.0,4.0
113,258,보성군,2019-12-05 17:00,4.5,6.4,48.0,1.0
114,258,보성군,2019-12-05 18:00,3.0,6.3,55.0,5.0
115,258,보성군,2019-12-05 19:00,2.4,5.3,59.0,7.0
116,258,보성군,2019-12-05 20:00,2.0,6.4,61.0,1.0
117,258,보성군,2019-12-05 21:00,1.8,6.8,59.0,2.0
118,258,보성군,2019-12-05 22:00,1.2,6.0,58.0,6.0
119,258,보성군,2019-12-05 23:00,0.9,5.0,58.0,8.0
120,258,보성군,2019-12-06 0:00,0.0,4.1,63.0,0.0
121,258,보성군,2019-12-06 1:00,-1.0,6.2,50.0,0.0
122,258,보성군,2019-12-06 2:00,-1.5,5.2,43.0,10.0
123,258,보성군,2019-12-06 3:00,-2.0,6.2,41.0,1.0
124,258,보성군,2019-12-06 4:00,-2.3,4.8,40.0,0.0
125,258,보성군,2019-12-06 5:00,-2.6,4.2,40.0,8.0
126,258,보성군,2019-12-06 6:00,-2.7,5.2,43.0,6.0
127,258,보성군,2019-12-06 7:00,-2.5,4.3,41.0,9.0
128,258,보성군,2019-12-06 8:00,-2.3,5.2,40.0,8.0
129,258,보성군,2019-12-06 9:00,-1.6,3.5,35.0,6.0
130,258,보성군,2019-12-06 10:00,-0.4,3.5,29.0,7.0
131,258,보성군,2019-12-06 11:00,1.0,4.2,28.0,6.0
132,258,보성군,2019-12-06 12:00,2.1,4.8,25.0,8.0
133,258,보성군,2019-12-06 13:00,3.4,4.3,23.0,6.0
134,258,보성군,2019-12-06 14:00,4.1,4.8,22.0,3.0
135,258,보성군,2019-12-06 15:00,3.9,5.1,19.0,3.0
136,258,보성군,2019-12-06 16:00,3.6,5.0,21.0,6.0
137,258,보성군,2019-12-06 17:00,2.5,4.7,27.0,2.0
138,258,보성군,2019-12-06 18:00,1.2,4.7,32.0,4.0
139,258,보성군,2019-12-06 19:00,0.1,2.7,36.0,1.0
140,258,보성군,2019-12-06 20:00,0.1,3.2,36.0,0.0
141,258,보성군,2019-12-06 21:00,-1.3,3.4,45.0,0.0
142,258,보성군,2019-12-06 22:00,-1.5,3.1,44.0,0.0
143,258,보성군,2019-12-06 23:00,-2.1,3.5,47.0,0.0
144,258,보성군,2019-12-07 0:00,-1.7,4.2,43.0,0.0
