,Location,place,Date,Temp,Wind,Humid,Cloud
0,226,보은,2019-12-01 0:00,5.1,0.7,72.0,10.0
1,226,보은,2019-12-01 1:00,5.4,0.6,66.0,9.0
2,226,보은,2019-12-01 2:00,5.3,0.2,70.0,10.0
3,226,보은,2019-12-01 3:00,5.1,0.0,66.0,9.0
4,226,보은,2019-12-01 4:00,4.2,0.0,70.0,8.0
5,226,보은,2019-12-01 5:00,3.9,0.4,78.0,9.0
6,226,보은,2019-12-01 6:00,3.7,0.0,78.0,9.0
7,226,보은,2019-12-01 7:00,2.5,0.0,85.0,10.0
8,226,보은,2019-12-01 8:00,2.5,0.0,84.0,5.0
9,226,보은,2019-12-01 9:00,3.4,0.0,81.0,7.0
10,226,보은,2019-12-01 10:00,5.0,0.3,72.0,10.0
11,226,보은,2019-12-01 11:00,6.6,0.1,64.0,10.0
12,226,보은,2019-12-01 12:00,6.8,0.4,71.0,10.0
13,226,보은,2019-12-01 13:00,6.2,0.0,81.0,10.0
14,226,보은,2019-12-01 14:00,5.7,0.4,91.0,10.0
15,226,보은,2019-12-01 15:00,5.6,0.4,96.0,10.0
16,226,보은,2019-12-01 16:00,5.6,0.1,96.0,10.0
17,226,보은,2019-12-01 17:00,5.4,0.2,98.0,10.0
18,226,보은,2019-12-01 18:00,5.4,0.0,99.0,10.0
19,226,보은,2019-12-01 19:00,5.3,0.0,100.0,10.0
20,226,보은,2019-12-01 20:00,5.2,0.2,100.0,10.0
21,226,보은,2019-12-01 21:00,5.2,0.0,100.0,10.0
22,226,보은,2019-12-01 22:00,4.9,0.0,100.0,10.0
23,226,보은,2019-12-01 23:00,4.7,0.0,100.0,10.0
24,226,보은,2019-12-02 0:00,4.5,0.4,100.0,8.0
25,226,보은,2019-12-02 1:00,5.0,1.1,100.0,10.0
26,226,보은,2019-12-02 2:00,4.2,2.7,94.0,10.0
27,226,보은,2019-12-02 3:00,2.6,2.6,74.0,6.0
28,226,보은,2019-12-02 4:00,2.6,2.5,71.0,10.0
29,226,보은,2019-12-02 5:00,2.0,2.1,78.0,9.0
30,226,보은,2019-12-02 6:00,1.4,1.5,78.0,6.0
31,226,보은,2019-12-02 7:00,1.6,1.8,78.0,0.0
32,226,보은,2019-12-02 8:00,1.8,1.4,78.0,9.0
33,226,보은,2019-12-02 9:00,2.3,2.2,77.0,8.0
34,226,보은,2019-12-02 10:00,3.0,2.5,72.0,6.0
35,226,보은,2019-12-02 11:00,3.2,3.2,68.0,9.0
36,226,보은,2019-12-02 12:00,3.2,4.5,52.0,6.0
37,226,보은,2019-12-02 13:00,4.8,4.2,44.0,1.0
38,226,보은,2019-12-02 14:00,5.3,4.1,43.0,0.0
39,226,보은,2019-12-02 15:00,5.2,4.4,43.0,1.0
40,226,보은,2019-12-02 16:00,4.1,3.5,47.0,1.0
41,226,보은,2019-12-02 17:00,2.1,3.1,61.0,3.0
42,226,보은,2019-12-02 18:00,0.8,3.6,79.0,0.0
43,226,보은,2019-12-02 19:00,0.5,2.6,74.0,9.0
44,226,보은,2019-12-02 20:00,0.3,2.7,69.0,6.0
45,226,보은,2019-12-02 21:00,0.1,3.1,64.0,3.0
46,226,보은,2019-12-02 22:00,-0.9,1.5,65.0,0.0
47,226,보은,2019-12-02 23:00,-2.5,0.3,75.0,0.0
48,226,보은,2019-12-03 0:00,-2.9,0.1,80.0,0.0
49,226,보은,2019-12-03 1:00,-2.5,0.0,83.0,9.0
50,226,보은,2019-12-03 2:00,-2.6,0.7,81.0,7.0
51,226,보은,2019-12-03 3:00,-3.4,1.3,83.0,0.0
52,226,보은,2019-12-03 4:00,-3.7,0.3,83.0,0.0
53,226,보은,2019-12-03 5:00,-4.7,0.0,89.0,0.0
54,226,보은,2019-12-03 6:00,-4.5,0.7,89.0,0.0
55,226,보은,2019-12-03 7:00,-5.2,0.3,94.0,0.0
56,226,보은,2019-12-03 8:00,-5.1,0.0,93.0,0.0
57,226,보은,2019-12-03 9:00,-2.5,0.2,82.0,1.0
58,226,보은,2019-12-03 10:00,0.6,0.5,60.0,9.0
59,226,보은,2019-12-03 11:00,1.7,0.6,55.0,8.0
60,226,보은,2019-12-03 12:00,4.2,2.2,56.0,7.0
61,226,보은,2019-12-03 13:00,4.9,1.8,58.0,8.0
62,226,보은,2019-12-03 14:00,4.3,1.5,65.0,10.0
63,226,보은,2019-12-03 15:00,4.4,1.1,69.0,9.0
64,226,보은,2019-12-03 16:00,2.7,1.6,89.0,9.0
65,226,보은,2019-12-03 17:00,1.8,1.0,96.0,9.0
66,226,보은,2019-12-03 18:00,2.0,0.6,98.0,9.0
67,226,보은,2019-12-03 19:00,2.1,0.1,98.0,9.0
68,226,보은,2019-12-03 20:00,2.0,0.0,99.0,9.0
69,226,보은,2019-12-03 21:00,1.8,0.0,99.0,9.0
70,226,보은,2019-12-03 22:00,1.7,0.3,99.0,9.0
71,226,보은,2019-12-03 23:00,0.0,0.0,100.0,0.0
72,226,보은,2019-12-04 0:00,0.3,0.0,100.0,8.0
73,226,보은,2019-12-04 1:00,0.4,0.0,100.0,9.0
74,226,보은,2019-12-04 2:00,0.6,0.5,100.0,9.0
75,226,보은,2019-12-04 3:00,0.9,0.3,100.0,9.0
76,226,보은,2019-12-04 4:00,1.4,1.3,100.0,9.0
77,226,보은,2019-12-04 5:00,1.0,0.6,100.0,2.0
78,226,보은,2019-12-04 6:00,0.8,0.2,99.0,2.0
79,226,보은,2019-12-04 7:00,0.8,0.2,100.0,5.0
80,226,보은,2019-12-04 8:00,0.9,0.0,100.0,8.0
81,226,보은,2019-12-04 9:00,2.2,0.0,98.0,1.0
82,226,보은,2019-12-04 10:00,4.6,0.2,69.0,1.0
83,226,보은,2019-12-04 11:00,6.2,2.7,40.0,0.0
84,226,보은,2019-12-04 12:00,7.4,2.6,40.0,0.0
85,226,보은,2019-12-04 13:00,7.7,3.1,39.0,0.0
86,226,보은,2019-12-04 14:00,8.0,2.9,40.0,0.0
87,226,보은,2019-12-04 15:00,8.3,2.2,37.0,3.0
88,226,보은,2019-12-04 16:00,7.7,2.6,38.0,5.0
89,226,보은,2019-12-04 17:00,6.7,2.1,44.0,7.0
90,226,보은,2019-12-04 18:00,6.5,3.1,50.0,9.0
91,226,보은,2019-12-04 19:00,6.1,1.0,53.0,9.0
92,226,보은,2019-12-04 20:00,5.7,1.6,59.0,10.0
93,226,보은,2019-12-04 21:00,4.5,1.2,69.0,0.0
94,226,보은,2019-12-04 22:00,3.4,1.0,77.0,2.0
95,226,보은,2019-12-04 23:00,2.9,1.4,82.0,0.0
96,226,보은,2019-12-05 0:00,2.8,2.3,68.0,1.0
