,Location,place,Date,Temp,Wind,Humid,Cloud
0,271,봉화,2019-12-01 0:00,1.8,0.1,100.0,9.0
1,271,봉화,2019-12-01 1:00,2.3,0.5,99.0,10.0
2,271,봉화,2019-12-01 2:00,2.5,1.1,98.0,10.0
3,271,봉화,2019-12-01 3:00,2.9,0.5,98.0,10.0
4,271,봉화,2019-12-01 4:00,2.8,0.0,99.0,10.0
5,271,봉화,2019-12-01 5:00,2.8,0.6,100.0,9.0
6,271,봉화,2019-12-01 6:00,2.0,0.5,100.0,9.0
7,271,봉화,2019-12-01 7:00,2.1,0.2,100.0,9.0
8,271,봉화,2019-12-01 8:00,2.2,0.1,100.0,9.0
9,271,봉화,2019-12-01 9:00,3.4,0.7,87.0,9.0
10,271,봉화,2019-12-01 10:00,5.3,0.2,74.0,7.0
11,271,봉화,2019-12-01 11:00,7.1,2.2,61.0,8.0
12,271,봉화,2019-12-01 12:00,8.5,1.2,60.0,9.0
13,271,봉화,2019-12-01 13:00,7.9,1.8,63.0,10.0
14,271,봉화,2019-12-01 14:00,7.1,0.3,75.0,10.0
15,271,봉화,2019-12-01 15:00,6.3,0.5,85.0,10.0
16,271,봉화,2019-12-01 16:00,6.0,1.7,98.0,10.0
17,271,봉화,2019-12-01 17:00,5.3,1.0,97.0,10.0
18,271,봉화,2019-12-01 18:00,4.9,0.9,100.0,10.0
19,271,봉화,2019-12-01 19:00,4.8,0.7,100.0,10.0
20,271,봉화,2019-12-01 20:00,4.7,0.9,100.0,10.0
21,271,봉화,2019-12-01 21:00,4.7,0.0,100.0,10.0
22,271,봉화,2019-12-01 22:00,4.5,0.3,100.0,10.0
23,271,봉화,2019-12-01 23:00,4.5,0.5,100.0,10.0
24,271,봉화,2019-12-02 0:00,4.2,0.7,100.0,10.0
25,271,봉화,2019-12-02 1:00,4.0,1.3,100.0,9.0
26,271,봉화,2019-12-02 2:00,5.1,3.5,79.0,9.0
27,271,봉화,2019-12-02 3:00,4.9,3.5,75.0,10.0
28,271,봉화,2019-12-02 4:00,4.8,2.0,67.0,9.0
29,271,봉화,2019-12-02 5:00,3.8,3.1,66.0,10.0
30,271,봉화,2019-12-02 6:00,2.4,1.9,59.0,10.0
31,271,봉화,2019-12-02 7:00,-0.1,1.0,72.0,4.0
32,271,봉화,2019-12-02 8:00,0.1,2.0,62.0,2.0
33,271,봉화,2019-12-02 9:00,1.4,3.4,50.0,2.0
34,271,봉화,2019-12-02 10:00,2.1,2.9,34.0,0.0
35,271,봉화,2019-12-02 11:00,3.2,2.8,30.0,0.0
36,271,봉화,2019-12-02 12:00,3.5,3.1,29.0,0.0
37,271,봉화,2019-12-02 13:00,3.5,3.8,29.0,0.0
38,271,봉화,2019-12-02 14:00,3.7,3.6,26.0,0.0
39,271,봉화,2019-12-02 15:00,3.6,3.0,26.0,0.0
40,271,봉화,2019-12-02 16:00,3.0,2.5,28.0,0.0
41,271,봉화,2019-12-02 17:00,1.8,2.2,33.0,0.0
42,271,봉화,2019-12-02 18:00,1.0,3.3,37.0,0.0
43,271,봉화,2019-12-02 19:00,0.0,2.8,45.0,0.0
44,271,봉화,2019-12-02 20:00,-0.5,2.5,46.0,0.0
45,271,봉화,2019-12-02 21:00,-1.0,3.5,47.0,0.0
46,271,봉화,2019-12-02 22:00,-1.4,2.5,45.0,0.0
47,271,봉화,2019-12-02 23:00,-2.2,0.9,48.0,0.0
48,271,봉화,2019-12-03 0:00,-3.0,0.9,58.0,0.0
49,271,봉화,2019-12-03 1:00,-4.2,0.4,64.0,0.0
