,Location,place,Date,Temp,Wind,Humid,Cloud
0,159,부산,2019-12-01 0:00,11.8,1.2,64.0,10.0
1,159,부산,2019-12-01 1:00,11.7,4.8,73.0,10.0
2,159,부산,2019-12-01 2:00,11.2,3.9,82.0,10.0
3,159,부산,2019-12-01 3:00,10.8,2.4,95.0,10.0
4,159,부산,2019-12-01 4:00,10.9,2.6,97.0,10.0
5,159,부산,2019-12-01 5:00,10.8,3.0,93.0,10.0
6,159,부산,2019-12-01 6:00,10.9,3.7,89.0,10.0
7,159,부산,2019-12-01 7:00,10.6,1.9,89.0,10.0
8,159,부산,2019-12-01 8:00,10.4,1.4,79.0,10.0
9,159,부산,2019-12-01 9:00,9.7,3.5,80.0,10.0
10,159,부산,2019-12-01 10:00,10.4,1.3,79.0,10.0
11,159,부산,2019-12-01 11:00,10.8,0.7,84.0,10.0
12,159,부산,2019-12-01 12:00,11.3,1.3,85.0,10.0
13,159,부산,2019-12-01 13:00,11.2,0.6,90.0,10.0
14,159,부산,2019-12-01 14:00,10.4,1.1,95.0,10.0
15,159,부산,2019-12-01 15:00,9.5,2.9,97.0,10.0
16,159,부산,2019-12-01 16:00,9.1,3.0,98.0,10.0
17,159,부산,2019-12-01 17:00,8.7,4.4,99.0,10.0
18,159,부산,2019-12-01 18:00,8.5,2.2,100.0,10.0
19,159,부산,2019-12-01 19:00,8.6,3.2,100.0,10.0
20,159,부산,2019-12-01 20:00,8.6,4.1,100.0,10.0
21,159,부산,2019-12-01 21:00,8.3,1.7,100.0,10.0
22,159,부산,2019-12-01 22:00,6.6,7.3,99.0,10.0
23,159,부산,2019-12-01 23:00,7.2,5.8,97.0,10.0
24,159,부산,2019-12-02 0:00,6.9,2.9,97.0,10.0
25,159,부산,2019-12-02 1:00,6.6,1.6,98.0,10.0
26,159,부산,2019-12-02 2:00,6.6,2.8,96.0,10.0
27,159,부산,2019-12-02 3:00,6.8,3.3,88.0,8.0
28,159,부산,2019-12-02 4:00,6.7,1.7,86.0,8.0
29,159,부산,2019-12-02 5:00,6.6,1.8,81.0,9.0
30,159,부산,2019-12-02 6:00,6.8,2.6,78.0,8.0
31,159,부산,2019-12-02 7:00,6.5,3.6,77.0,8.0
32,159,부산,2019-12-02 8:00,5.9,2.9,56.0,5.0
33,159,부산,2019-12-02 9:00,6.5,2.4,53.0,3.0
34,159,부산,2019-12-02 10:00,7.7,2.4,52.0,3.0
35,159,부산,2019-12-02 11:00,8.0,3.6,49.0,2.0
36,159,부산,2019-12-02 12:00,9.0,3.2,45.0,0.0
37,159,부산,2019-12-02 13:00,9.0,5.0,42.0,2.0
38,159,부산,2019-12-02 14:00,10.1,2.7,39.0,0.0
39,159,부산,2019-12-02 15:00,10.0,5.9,36.0,1.0
40,159,부산,2019-12-02 16:00,8.8,2.4,35.0,0.0
41,159,부산,2019-12-02 17:00,7.5,4.4,36.0,0.0
42,159,부산,2019-12-02 18:00,6.5,4.4,40.0,0.0
43,159,부산,2019-12-02 19:00,5.9,4.4,41.0,0.0
44,159,부산,2019-12-02 20:00,5.2,3.6,41.0,0.0
45,159,부산,2019-12-02 21:00,4.5,2.8,41.0,0.0
46,159,부산,2019-12-02 22:00,3.8,2.5,45.0,0.0
47,159,부산,2019-12-02 23:00,3.2,3.1,48.0,0.0
48,159,부산,2019-12-03 0:00,2.6,1.5,49.0,0.0
49,159,부산,2019-12-03 1:00,2.0,2.5,50.0,0.0
50,159,부산,2019-12-03 2:00,1.6,1.6,49.0,0.0
51,159,부산,2019-12-03 3:00,0.9,0.6,51.0,0.0
