,Location,place,Date,Temp,Wind,Humid,Cloud
0,104,북강릉,2019-12-01 0:00,9.2,4.0,28.0,9.0
1,104,북강릉,2019-12-01 1:00,8.8,2.8,26.0,10.0
2,104,북강릉,2019-12-01 2:00,8.3,1.8,30.0,10.0
3,104,북강릉,2019-12-01 3:00,7.6,1.0,38.0,10.0
4,104,북강릉,2019-12-01 4:00,7.5,1.5,39.0,10.0
5,104,북강릉,2019-12-01 5:00,7.2,0.9,45.0,10.0
6,104,북강릉,2019-12-01 6:00,7.0,1.1,47.0,10.0
7,104,북강릉,2019-12-01 7:00,6.7,1.0,52.0,10.0
8,104,북강릉,2019-12-01 8:00,6.7,1.5,54.0,8.0
9,104,북강릉,2019-12-01 9:00,6.8,0.9,58.0,9.0
10,104,북강릉,2019-12-01 10:00,6.8,1.6,62.0,9.0
11,104,북강릉,2019-12-01 11:00,7.6,1.0,60.0,9.0
12,104,북강릉,2019-12-01 12:00,7.7,0.7,63.0,10.0
13,104,북강릉,2019-12-01 13:00,8.3,0.4,62.0,10.0
14,104,북강릉,2019-12-01 14:00,7.9,0.2,68.0,10.0
15,104,북강릉,2019-12-01 15:00,7.3,0.4,71.0,10.0
16,104,북강릉,2019-12-01 16:00,7.4,0.0,69.0,10.0
17,104,북강릉,2019-12-01 17:00,7.0,0.0,74.0,10.0
18,104,북강릉,2019-12-01 18:00,6.7,1.2,77.0,10.0
19,104,북강릉,2019-12-01 19:00,6.3,0.5,81.0,10.0
20,104,북강릉,2019-12-01 20:00,6.7,1.2,76.0,10.0
21,104,북강릉,2019-12-01 21:00,5.8,0.7,86.0,10.0
22,104,북강릉,2019-12-01 22:00,6.2,0.7,83.0,10.0
23,104,북강릉,2019-12-01 23:00,5.9,0.7,83.0,10.0
24,104,북강릉,2019-12-02 0:00,5.6,0.5,86.0,10.0
25,104,북강릉,2019-12-02 1:00,4.8,0.8,85.0,9.0
26,104,북강릉,2019-12-02 2:00,5.3,0.9,79.0,8.0
27,104,북강릉,2019-12-02 3:00,6.7,4.2,57.0,8.0
28,104,북강릉,2019-12-02 4:00,5.9,2.0,57.0,10.0
29,104,북강릉,2019-12-02 5:00,5.5,1.8,44.0,10.0
30,104,북강릉,2019-12-02 6:00,4.7,3.2,36.0,9.0
31,104,북강릉,2019-12-02 7:00,2.9,2.9,45.0,3.0
32,104,북강릉,2019-12-02 8:00,2.1,0.6,47.0,0.0
33,104,북강릉,2019-12-02 9:00,3.4,2.6,35.0,2.0
34,104,북강릉,2019-12-02 10:00,4.1,4.8,30.0,0.0
35,104,북강릉,2019-12-02 11:00,4.4,6.9,26.0,0.0
36,104,북강릉,2019-12-02 12:00,4.8,5.0,28.0,0.0
37,104,북강릉,2019-12-02 13:00,5.7,2.7,27.0,0.0
38,104,북강릉,2019-12-02 14:00,6.0,2.9,24.0,0.0
39,104,북강릉,2019-12-02 15:00,5.8,2.0,23.0,0.0
40,104,북강릉,2019-12-02 16:00,5.5,1.4,22.0,0.0
41,104,북강릉,2019-12-02 17:00,3.5,1.7,25.0,0.0
42,104,북강릉,2019-12-02 18:00,1.9,0.1,31.0,0.0
43,104,북강릉,2019-12-02 19:00,1.4,1.3,33.0,0.0
44,104,북강릉,2019-12-02 20:00,0.3,0.8,35.0,0.0
45,104,북강릉,2019-12-02 21:00,1.2,6.0,26.0,0.0
46,104,북강릉,2019-12-02 22:00,0.5,4.2,28.0,0.0
47,104,북강릉,2019-12-02 23:00,-0.2,3.5,33.0,0.0
48,104,북강릉,2019-12-03 0:00,-0.4,3.2,36.0,0.0
49,104,북강릉,2019-12-03 1:00,-0.4,2.9,39.0,0.0
50,104,북강릉,2019-12-03 2:00,-1.3,2.5,43.0,1.0
51,104,북강릉,2019-12-03 3:00,-0.6,5.6,32.0,0.0
52,104,북강릉,2019-12-03 4:00,-1.0,2.3,29.0,0.0
