,Location,place,Date,Temp,Wind,Humid,Cloud
0,255,북창원,2019-12-01 0:00,7.3,0.6,62.0,9.0
1,255,북창원,2019-12-01 1:00,7.1,0.6,69.0,9.0
2,255,북창원,2019-12-01 2:00,5.9,0.4,88.0,10.0
3,255,북창원,2019-12-01 3:00,6.1,0.6,85.0,9.5
4,255,북창원,2019-12-01 4:00,6.2,0.6,89.0,9.0
5,255,북창원,2019-12-01 5:00,6.2,0.8,86.0,0.0
6,255,북창원,2019-12-01 6:00,5.8,0.4,86.0,10.0
7,255,북창원,2019-12-01 7:00,6.1,0.1,84.0,10.0
8,255,북창원,2019-12-01 8:00,5.8,0.7,86.0,10.0
9,255,북창원,2019-12-01 9:00,6.0,0.3,91.0,10.0
10,255,북창원,2019-12-01 10:00,6.1,1.2,86.0,10.0
11,255,북창원,2019-12-01 11:00,5.9,0.9,88.0,10.0
12,255,북창원,2019-12-01 12:00,6.1,1.3,85.0,10.0
13,255,북창원,2019-12-01 13:00,5.5,2.0,87.0,10.0
14,255,북창원,2019-12-01 14:00,4.7,1.4,91.0,10.0
15,255,북창원,2019-12-01 15:00,4.8,0.7,94.0,10.0
16,255,북창원,2019-12-01 16:00,4.4,1.3,94.0,10.0
17,255,북창원,2019-12-01 17:00,4.0,2.0,94.0,10.0
18,255,북창원,2019-12-01 18:00,4.0,1.4,94.0,10.0
19,255,북창원,2019-12-01 19:00,3.9,1.2,95.0,10.0
20,255,북창원,2019-12-01 20:00,3.9,1.5,95.0,10.0
21,255,북창원,2019-12-01 21:00,4.1,1.1,95.0,10.0
22,255,북창원,2019-12-01 22:00,4.0,1.5,94.0,10.0
23,255,북창원,2019-12-01 23:00,4.0,1.4,94.0,10.0
24,255,북창원,2019-12-02 0:00,4.1,0.6,94.0,10.0
25,255,북창원,2019-12-02 1:00,4.0,1.3,94.0,10.0
26,255,북창원,2019-12-02 2:00,3.9,1.6,92.0,8.0
27,255,북창원,2019-12-02 3:00,4.3,3.1,86.0,9.0
28,255,북창원,2019-12-02 4:00,4.1,2.1,84.0,9.0
29,255,북창원,2019-12-02 5:00,4.3,1.8,82.0,10.0
30,255,북창원,2019-12-02 6:00,4.3,2.8,79.0,9.0
31,255,북창원,2019-12-02 7:00,3.2,3.2,59.0,9.0
32,255,북창원,2019-12-02 8:00,2.5,2.5,59.0,6.0
33,255,북창원,2019-12-02 9:00,3.4,2.2,57.0,3.0
34,255,북창원,2019-12-02 10:00,4.4,2.8,56.0,2.0
35,255,북창원,2019-12-02 11:00,5.5,3.0,50.0,1.0
36,255,북창원,2019-12-02 12:00,7.3,2.4,48.0,1.0
37,255,북창원,2019-12-02 13:00,7.0,3.8,39.0,3.0
38,255,북창원,2019-12-02 14:00,6.8,3.6,38.0,6.0
39,255,북창원,2019-12-02 15:00,6.6,3.6,37.0,6.0
40,255,북창원,2019-12-02 16:00,6.0,2.5,35.0,3.0
41,255,북창원,2019-12-02 17:00,4.2,2.9,41.0,0.0
42,255,북창원,2019-12-02 18:00,3.4,1.9,42.0,0.0
43,255,북창원,2019-12-02 19:00,2.4,1.9,45.0,0.0
44,255,북창원,2019-12-02 20:00,1.5,1.2,48.0,0.0
45,255,북창원,2019-12-02 21:00,1.6,1.8,49.0,0.0
46,255,북창원,2019-12-02 22:00,0.9,1.9,49.0,0.0
47,255,북창원,2019-12-02 23:00,0.6,3.7,51.0,0.0
48,255,북창원,2019-12-03 0:00,-0.3,2.5,51.0,0.0
49,255,북창원,2019-12-03 1:00,-0.6,2.3,51.0,0.0
50,255,북창원,2019-12-03 2:00,-1.2,1.6,53.0,0.0
51,255,북창원,2019-12-03 3:00,-1.4,1.6,54.0,0.0
52,255,북창원,2019-12-03 4:00,-1.7,0.6,56.0,0.0
53,255,북창원,2019-12-03 5:00,-2.6,0.3,62.0,0.0
54,255,북창원,2019-12-03 6:00,-2.6,0.7,66.0,0.0
55,255,북창원,2019-12-03 7:00,-2.5,0.8,70.0,0.0
56,255,북창원,2019-12-03 8:00,-2.6,0.2,69.0,0.0
57,255,북창원,2019-12-03 9:00,0.5,0.6,57.0,0.0
58,255,북창원,2019-12-03 10:00,1.8,0.6,49.0,1.0
59,255,북창원,2019-12-03 11:00,3.4,1.3,44.0,0.5
60,255,북창원,2019-12-03 12:00,4.5,1.7,42.0,0.0
61,255,북창원,2019-12-03 13:00,5.9,1.7,40.0,0.0
62,255,북창원,2019-12-03 14:00,5.7,1.7,45.0,7.0
63,255,북창원,2019-12-03 15:00,5.2,1.3,50.0,8.0
64,255,북창원,2019-12-03 16:00,5.3,2.1,50.0,8.0
65,255,북창원,2019-12-03 17:00,4.1,1.1,55.0,8.0
66,255,북창원,2019-12-03 18:00,3.0,0.8,59.0,1.0
67,255,북창원,2019-12-03 19:00,2.9,0.6,54.0,0.0
68,255,북창원,2019-12-03 20:00,2.4,0.4,56.0,0.0
69,255,북창원,2019-12-03 21:00,2.4,0.6,59.0,0.0
70,255,북창원,2019-12-03 22:00,2.7,0.5,56.0,0.0
71,255,북창원,2019-12-03 23:00,2.4,0.5,55.0,0.0
72,255,북창원,2019-12-04 0:00,1.6,0.4,65.0,0.0
73,255,북창원,2019-12-04 1:00,1.3,0.4,67.0,0.0
74,255,북창원,2019-12-04 2:00,0.4,0.6,70.0,0.0
75,255,북창원,2019-12-04 3:00,-0.2,0.3,73.0,0.0
76,255,북창원,2019-12-04 4:00,-0.2,0.3,73.0,0.0
77,255,북창원,2019-12-04 5:00,-0.5,0.4,77.0,0.0
78,255,북창원,2019-12-04 6:00,-0.5,0.5,77.0,0.0
79,255,북창원,2019-12-04 7:00,-1.4,0.6,81.0,0.0
80,255,북창원,2019-12-04 8:00,-0.5,0.6,78.0,0.0
81,255,북창원,2019-12-04 9:00,1.8,0.6,69.0,1.0
82,255,북창원,2019-12-04 10:00,4.3,1.8,55.0,0.0
83,255,북창원,2019-12-04 11:00,6.3,1.2,48.0,0.0
84,255,북창원,2019-12-04 12:00,7.0,1.2,45.0,1.0
85,255,북창원,2019-12-04 13:00,7.9,2.6,40.0,5.0
86,255,북창원,2019-12-04 14:00,8.3,2.0,42.0,5.0
87,255,북창원,2019-12-04 15:00,7.4,1.6,44.0,4.0
88,255,북창원,2019-12-04 16:00,7.1,1.7,46.0,2.0
89,255,북창원,2019-12-04 17:00,6.4,1.0,46.0,0.0
90,255,북창원,2019-12-04 18:00,4.7,0.6,53.0,0.0
91,255,북창원,2019-12-04 19:00,3.3,0.3,64.0,0.0
92,255,북창원,2019-12-04 20:00,2.9,0.4,65.0,0.0
93,255,북창원,2019-12-04 21:00,2.3,0.5,66.0,0.0
94,255,북창원,2019-12-04 22:00,2.0,0.3,63.0,0.0
95,255,북창원,2019-12-04 23:00,1.2,0.4,67.0,0.0
96,255,북창원,2019-12-05 0:00,1.2,0.4,67.0,0.0
97,255,북창원,2019-12-05 1:00,1.2,0.7,66.0,0.0
98,255,북창원,2019-12-05 2:00,0.1,0.3,69.0,0.0
99,255,북창원,2019-12-05 3:00,0.1,0.5,71.0,0.0
100,255,북창원,2019-12-05 4:00,-0.2,0.4,72.0,0.0
101,255,북창원,2019-12-05 5:00,-0.5,1.0,76.0,0.0
102,255,북창원,2019-12-05 6:00,-0.3,0.4,74.0,0.0
103,255,북창원,2019-12-05 7:00,-1.3,0.2,78.0,0.0
104,255,북창원,2019-12-05 8:00,-0.6,0.5,75.0,0.0
105,255,북창원,2019-12-05 9:00,1.9,0.3,61.0,0.0
106,255,북창원,2019-12-05 10:00,3.1,1.7,40.0,0.0
107,255,북창원,2019-12-05 11:00,4.5,0.9,34.0,0.0
108,255,북창원,2019-12-05 12:00,5.9,1.9,30.0,0.0
109,255,북창원,2019-12-05 13:00,5.1,3.9,29.0,0.0
110,255,북창원,2019-12-05 14:00,4.9,3.1,31.0,0.0
111,255,북창원,2019-12-05 15:00,4.4,3.2,29.0,3.0
112,255,북창원,2019-12-05 16:00,3.6,3.6,29.0,2.0
113,255,북창원,2019-12-05 17:00,2.8,3.0,30.0,0.0
114,255,북창원,2019-12-05 18:00,2.2,3.3,29.0,5.0
115,255,북창원,2019-12-05 19:00,1.1,2.3,33.0,4.0
116,255,북창원,2019-12-05 20:00,0.7,2.3,34.0,3.0
117,255,북창원,2019-12-05 21:00,-0.3,2.7,38.0,5.0
118,255,북창원,2019-12-05 22:00,-1.5,2.8,38.0,5.0
119,255,북창원,2019-12-05 23:00,-2.4,2.9,38.0,6.0
120,255,북창원,2019-12-06 0:00,-3.2,2.8,46.0,6.0
121,255,북창원,2019-12-06 1:00,-3.9,2.6,42.0,2.0
122,255,북창원,2019-12-06 2:00,-4.4,3.1,38.0,1.0
123,255,북창원,2019-12-06 3:00,-4.8,2.9,40.0,0.0
124,255,북창원,2019-12-06 4:00,-5.4,2.0,43.0,10.0
125,255,북창원,2019-12-06 5:00,-6.0,1.5,46.0,8.0
126,255,북창원,2019-12-06 6:00,-6.3,2.0,46.0,10.0
127,255,북창원,2019-12-06 7:00,-6.5,1.0,43.0,7.0
128,255,북창원,2019-12-06 8:00,-6.3,0.5,40.0,6.0
129,255,북창원,2019-12-06 9:00,-5.2,1.0,35.0,1.0
130,255,북창원,2019-12-06 10:00,-3.5,1.7,28.0,9.0
131,255,북창원,2019-12-06 11:00,-2.8,2.8,25.0,8.0
132,255,북창원,2019-12-06 12:00,-1.8,2.3,22.0,6.0
133,255,북창원,2019-12-06 13:00,-0.5,1.1,20.0,9.0
134,255,북창원,2019-12-06 14:00,1.0,2.0,18.0,7.0
135,255,북창원,2019-12-06 15:00,1.8,2.0,17.0,0.0
136,255,북창원,2019-12-06 16:00,1.2,2.1,17.0,3.0
137,255,북창원,2019-12-06 17:00,0.2,1.6,16.0,9.0
138,255,북창원,2019-12-06 18:00,-0.6,0.8,17.0,10.0
139,255,북창원,2019-12-06 19:00,-1.5,1.4,22.0,8.0
140,255,북창원,2019-12-06 20:00,-1.9,2.2,23.0,9.0
141,255,북창원,2019-12-06 21:00,-3.3,1.2,27.0,4.0
142,255,북창원,2019-12-06 22:00,-3.3,1.8,26.0,0.0
143,255,북창원,2019-12-06 23:00,-3.4,0.7,25.0,0.0
